Used 2009 Datasets
Initialized Expression Datasets
Intersection: 0
Initialized training and validation data
Initialized Network
Used Cross Entropy Loss Function
./Yeast Resources/Pairwise/Spell/Dropout_Small/Original_x_b_113x50x53_lr0.01_batch50_hiddenDrop0.3_Train_/
./Yeast Resources/Pairwise/Spell/Dropout_Small/Original_x_b_113x50x53_lr0.01_batch50_hiddenDrop0.3_Test_/
100 Batch Cumulative Loss: 434.74254608154297
Time for 100 Batches: 0.04017200867335002
100 Batch Cumulative Loss: 399.3683934211731
Time for 100 Batches: 0.41658276319503784
100 Batch Cumulative Loss: 362.8471336364746
Time for 100 Batches: 0.4066340923309326
100 Batch Cumulative Loss: 340.2607765197754
Time for 100 Batches: 0.40650495688120525
100 Batch Cumulative Loss: 336.15692472457886
Time for 100 Batches: 0.40466010173161826
100 Batch Cumulative Loss: 331.9774799346924
Time for 100 Batches: 0.4146678606669108
100 Batch Cumulative Loss: 328.9666187763214
Time for 100 Batches: 0.40607110659281415
100 Batch Cumulative Loss: 328.4504554271698
Time for 100 Batches: 0.40435454845428465
100 Batch Cumulative Loss: 323.66037011146545
Time for 100 Batches: 0.4040093978246053
100 Batch Cumulative Loss: 322.2045247554779
Time for 100 Batches: 0.4005546053250631
100 Batch Cumulative Loss: 317.9766013622284
Time for 100 Batches: 0.40336885849634807
100 Batch Cumulative Loss: 316.6060571670532
Time for 100 Batches: 0.40739618937174477
100 Batch Cumulative Loss: 318.4192898273468
Time for 100 Batches: 0.3982091744740804
100 Batch Cumulative Loss: 309.2028419971466
Time for 100 Batches: 0.40347489913304646
100 Batch Cumulative Loss: 316.88751578330994
Time for 100 Batches: 0.40484166542689004
100 Batch Cumulative Loss: 308.8184413909912
Time for 100 Batches: 0.4034313201904297
100 Batch Cumulative Loss: 312.8252170085907
Time for 100 Batches: 0.39965181350708007
100 Batch Cumulative Loss: 305.6002879142761
Time for 100 Batches: 0.40548548301060994
100 Batch Cumulative Loss: 311.6984803676605
Time for 100 Batches: 0.3991828322410583
100 Batch Cumulative Loss: 314.67542934417725
Time for 100 Batches: 0.4075261950492859
100 Batch Cumulative Loss: 311.7351951599121
Time for 100 Batches: 0.4022681752840678
100 Batch Cumulative Loss: 309.47332525253296
Time for 100 Batches: 0.40648945172627765
100 Batch Cumulative Loss: 312.3191559314728
Time for 100 Batches: 0.4070279677708944
100 Batch Cumulative Loss: 308.9285674095154
Time for 100 Batches: 0.40798149903615316
100 Batch Cumulative Loss: 310.990270614624
Time for 100 Batches: 0.40372302134831745
100 Batch Cumulative Loss: 309.68075585365295
Time for 100 Batches: 0.4040804664293925
100 Batch Cumulative Loss: 305.3959176540375
Time for 100 Batches: 0.40683177709579466
100 Batch Cumulative Loss: 305.0656154155731
Time for 100 Batches: 0.39794205824534096
100 Batch Cumulative Loss: 305.69305753707886
Time for 100 Batches: 0.40211625496546427
100 Batch Cumulative Loss: 307.61268043518066
Time for 100 Batches: 0.4032994031906128
100 Batch Cumulative Loss: 304.1211965084076
Time for 100 Batches: 0.40472513834635415
100 Batch Cumulative Loss: 306.19939136505127
Time for 100 Batches: 0.4041948715845744
100 Batch Cumulative Loss: 305.7482953071594
Time for 100 Batches: 0.40257901748021446
100 Batch Cumulative Loss: 306.5577757358551
Time for 100 Batches: 0.40792262156804404
100 Batch Cumulative Loss: 309.4242351055145
Time for 100 Batches: 0.3999240756034851
100 Batch Cumulative Loss: 305.80380487442017
Time for 100 Batches: 0.4000598430633545
100 Batch Cumulative Loss: 312.100848197937
Time for 100 Batches: 0.40248916943868
100 Batch Cumulative Loss: 303.8676438331604
Time for 100 Batches: 0.4045199155807495
100 Batch Cumulative Loss: 304.8080253601074
Time for 100 Batches: 0.40249346097310384
100 Batch Cumulative Loss: 302.8424026966095
Time for 100 Batches: 0.4050838311513265
100 Batch Cumulative Loss: 305.7398135662079
Time for 100 Batches: 0.3993988235791524
100 Batch Cumulative Loss: 300.7850196361542
Time for 100 Batches: 0.40125608841578164
100 Batch Cumulative Loss: 304.7324855327606
Time for 100 Batches: 0.4038595239321391
100 Batch Cumulative Loss: 308.2345938682556
Time for 100 Batches: 0.4051146944363912
100 Batch Cumulative Loss: 300.6679222583771
Time for 100 Batches: 0.4022136330604553
100 Batch Cumulative Loss: 303.2585837841034
Time for 100 Batches: 0.4062318404515584
100 Batch Cumulative Loss: 301.3943166732788
Time for 100 Batches: 0.4053456981976827
100 Batch Cumulative Loss: 301.2026023864746
Time for 100 Batches: 0.406730584303538
100 Batch Cumulative Loss: 301.94511103630066
Time for 100 Batches: 0.4074632525444031
100 Batch Cumulative Loss: 300.3575098514557
Time for 100 Batches: 0.4038045326868693
100 Batch Cumulative Loss: 298.36426973342896
Time for 100 Batches: 0.4004820942878723
100 Batch Cumulative Loss: 302.8997964859009
Time for 100 Batches: 0.4035817821820577
100 Batch Cumulative Loss: 304.1099488735199
Time for 100 Batches: 0.4078885316848755
100 Batch Cumulative Loss: 301.23819065093994
Time for 100 Batches: 0.40413983662923175
100 Batch Cumulative Loss: 301.8249855041504
Time for 100 Batches: 0.4059217850367228
100 Batch Cumulative Loss: 300.6811182498932
Time for 100 Batches: 0.40457518498102824
100 Batch Cumulative Loss: 303.4278373718262
Time for 100 Batches: 0.40808400710423787
100 Batch Cumulative Loss: 298.26199316978455
Time for 100 Batches: 0.4010172088940938
100 Batch Cumulative Loss: 307.5189173221588
Time for 100 Batches: 0.4048048178354899
100 Batch Cumulative Loss: 301.8782947063446
Time for 100 Batches: 0.40333149830500287
100 Batch Cumulative Loss: 301.53145360946655
Time for 100 Batches: 0.39840253988901775
100 Batch Cumulative Loss: 304.19965720176697
Time for 100 Batches: 0.40683120489120483
100 Batch Cumulative Loss: 302.0488259792328
Time for 100 Batches: 0.4051390369733175
100 Batch Cumulative Loss: 298.49792432785034
Time for 100 Batches: 0.40459802945454915
100 Batch Cumulative Loss: 300.14931559562683
Time for 100 Batches: 0.40206795930862427
100 Batch Cumulative Loss: 302.0494842529297
Time for 100 Batches: 0.40596652030944824
100 Batch Cumulative Loss: 296.0636360645294
Time for 100 Batches: 0.40192429224650067
100 Batch Cumulative Loss: 301.60120940208435
Time for 100 Batches: 0.40826998551686605
100 Batch Cumulative Loss: 296.83328008651733
Time for 100 Batches: 0.4042963703473409
100 Batch Cumulative Loss: 300.7595613002777
Time for 100 Batches: 0.3996548255284627
100 Batch Cumulative Loss: 304.35457468032837
Time for 100 Batches: 0.40800289312998456
100 Batch Cumulative Loss: 302.19845604896545
Time for 100 Batches: 0.40813161532084147
100 Batch Cumulative Loss: 298.2644011974335
Time for 100 Batches: 0.4049825390179952
100 Batch Cumulative Loss: 296.7273645401001
Time for 100 Batches: 0.4041107177734375
100 Batch Cumulative Loss: 297.0538077354431
Time for 100 Batches: 0.40638251304626466
100 Batch Cumulative Loss: 305.4963593482971
Time for 100 Batches: 0.4059209704399109
100 Batch Cumulative Loss: 302.7751877307892
Time for 100 Batches: 0.40553149382273357
100 Batch Cumulative Loss: 297.294207572937
Time for 100 Batches: 0.40227392117182414
100 Batch Cumulative Loss: 301.3964772224426
Time for 100 Batches: 0.40200300216674806
100 Batch Cumulative Loss: 295.7054994106293
Time for 100 Batches: 0.40868165493011477
100 Batch Cumulative Loss: 297.12575125694275
Time for 100 Batches: 0.4067152659098307
100 Batch Cumulative Loss: 297.2640450000763
Time for 100 Batches: 0.40697327852249143
100 Batch Cumulative Loss: 295.1454849243164
Time for 100 Batches: 0.4086314479509989
100 Batch Cumulative Loss: 298.75367879867554
