Used 2009 Datasets
Initialized Expression Datasets
Initialized training and validation data
Initialized Network
Used Cross Entropy Loss Function
./Yeast Resources/Pairwise/Spell/CE_OnlyPos_ps/Original_x_b_113x25000x53_lr0.01_batch50_Train_/
./Yeast Resources/Pairwise/Spell/CE_OnlyPos_ps/Original_x_b_113x25000x53_lr0.01_batch50_Test_/
100 Batch Cumulative Loss: 431.72945976257324
Time for 100 Batches: 0.0049736340840657554
100 Batch Cumulative Loss: 693.9305949211121
Time for 100 Batches: 0.38103154102961223
100 Batch Cumulative Loss: 688.450840473175
Time for 100 Batches: 0.37652719020843506
100 Batch Cumulative Loss: 611.019208908081
Time for 100 Batches: 0.3800111333529154
100 Batch Cumulative Loss: 582.4381213188171
Time for 100 Batches: 0.3764338413874308
100 Batch Cumulative Loss: 520.5506091117859
Time for 100 Batches: 0.3773816704750061
100 Batch Cumulative Loss: 441.17492628097534
Time for 100 Batches: 0.36905208428700764
100 Batch Cumulative Loss: 431.31491327285767
Time for 100 Batches: 0.3786355892817179
100 Batch Cumulative Loss: 425.466082572937
Time for 100 Batches: 0.377896515528361
100 Batch Cumulative Loss: 403.70642018318176
Time for 100 Batches: 0.3790209929148356
100 Batch Cumulative Loss: 378.78001046180725
Time for 100 Batches: 0.3777989665667216
100 Batch Cumulative Loss: 374.78870463371277
Time for 100 Batches: 0.3768255551656087
100 Batch Cumulative Loss: 354.38844108581543
Time for 100 Batches: 0.3754395643870036
100 Batch Cumulative Loss: 351.1915035247803
Time for 100 Batches: 0.3806081533432007
100 Batch Cumulative Loss: 341.0319356918335
Time for 100 Batches: 0.3716524839401245
100 Batch Cumulative Loss: 351.8821258544922
Time for 100 Batches: 0.3726680358250936
100 Batch Cumulative Loss: 335.0630123615265
Time for 100 Batches: 0.373335591952006
100 Batch Cumulative Loss: 353.9769492149353
Time for 100 Batches: 0.3743568301200867
100 Batch Cumulative Loss: 331.49387669563293
Time for 100 Batches: 0.3718960920969645
100 Batch Cumulative Loss: 319.29065477848053
Time for 100 Batches: 0.371031665802002
100 Batch Cumulative Loss: 302.3259439468384
Time for 100 Batches: 0.37569305102030437
100 Batch Cumulative Loss: 300.56663489341736
Time for 100 Batches: 0.37877602179845177
100 Batch Cumulative Loss: 304.57258439064026
Time for 100 Batches: 0.37615749835968015
100 Batch Cumulative Loss: 293.33816957473755
Time for 100 Batches: 0.37750329573949176
100 Batch Cumulative Loss: 294.0417776107788
Time for 100 Batches: 0.3745808839797974
100 Batch Cumulative Loss: 293.3011784553528
Time for 100 Batches: 0.37960898876190186
100 Batch Cumulative Loss: 301.60373306274414
Time for 100 Batches: 0.3766482710838318
100 Batch Cumulative Loss: 280.97244131565094
Time for 100 Batches: 0.3743927319844564
100 Batch Cumulative Loss: 271.4653033018112
Time for 100 Batches: 0.37275773684183755
100 Batch Cumulative Loss: 283.2393114566803
Time for 100 Batches: 0.37614286740620934
100 Batch Cumulative Loss: 267.11033725738525
Time for 100 Batches: 0.3729832927385966
100 Batch Cumulative Loss: 263.2867112159729
Time for 100 Batches: 0.37110583384831747
100 Batch Cumulative Loss: 280.89377522468567
Time for 100 Batches: 0.3782729427019755
100 Batch Cumulative Loss: 268.4386839866638
Time for 100 Batches: 0.37991710503896076
100 Batch Cumulative Loss: 272.63962280750275
Time for 100 Batches: 0.3758217453956604
100 Batch Cumulative Loss: 260.57540488243103
Time for 100 Batches: 0.37481318712234496
100 Batch Cumulative Loss: 254.42604959011078
Time for 100 Batches: 0.3754583636919657
100 Batch Cumulative Loss: 251.75387799739838
Time for 100 Batches: 0.3771067420641581
100 Batch Cumulative Loss: 249.102778673172
Time for 100 Batches: 0.3735351006189982
100 Batch Cumulative Loss: 249.57509803771973
Time for 100 Batches: 0.37656999031702676
100 Batch Cumulative Loss: 254.54775631427765
Time for 100 Batches: 0.37377285957336426
100 Batch Cumulative Loss: 249.72377383708954
Time for 100 Batches: 0.3782273014386495
100 Batch Cumulative Loss: 238.77651858329773
Time for 100 Batches: 0.37817076047261555
100 Batch Cumulative Loss: 241.9377269744873
Time for 100 Batches: 0.37726061741511024
100 Batch Cumulative Loss: 240.9952644109726
Time for 100 Batches: 0.3791012763977051
100 Batch Cumulative Loss: 237.7635828256607
Time for 100 Batches: 0.37651432355244957
100 Batch Cumulative Loss: 240.6817603111267
Time for 100 Batches: 0.37702012062072754
100 Batch Cumulative Loss: 232.3679460287094
Time for 100 Batches: 0.36895756324132284
100 Batch Cumulative Loss: 238.59749484062195
Time for 100 Batches: 0.37493744293848674
100 Batch Cumulative Loss: 242.86287713050842
Time for 100 Batches: 0.3763975580533346
100 Batch Cumulative Loss: 244.52758157253265
Time for 100 Batches: 0.37244427601496377
100 Batch Cumulative Loss: 226.73247015476227
Time for 100 Batches: 0.37719103892644246
100 Batch Cumulative Loss: 233.4124891757965
Time for 100 Batches: 0.38229452768961586
100 Batch Cumulative Loss: 221.82451939582825
Time for 100 Batches: 0.3716333429018656
100 Batch Cumulative Loss: 225.912269115448
Time for 100 Batches: 0.37646448612213135
100 Batch Cumulative Loss: 225.28489422798157
Time for 100 Batches: 0.37326387961705526
100 Batch Cumulative Loss: 219.32317781448364
Time for 100 Batches: 0.3750778039296468
100 Batch Cumulative Loss: 214.48570215702057
Time for 100 Batches: 0.3802627762158712
100 Batch Cumulative Loss: 215.3910892009735
Time for 100 Batches: 0.3749191125233968
100 Batch Cumulative Loss: 216.57637321949005
Time for 100 Batches: 0.3766091664632161
100 Batch Cumulative Loss: 213.50104212760925
Time for 100 Batches: 0.37676988045374554
100 Batch Cumulative Loss: 224.6840785741806
Time for 100 Batches: 0.37642290592193606
100 Batch Cumulative Loss: 221.56495082378387
Time for 100 Batches: 0.37755595048268636
100 Batch Cumulative Loss: 204.26175618171692
Time for 100 Batches: 0.38151630957921345
100 Batch Cumulative Loss: 218.09473168849945
Time for 100 Batches: 0.3768830935160319
100 Batch Cumulative Loss: 206.2024484872818
Time for 100 Batches: 0.3793876846631368
100 Batch Cumulative Loss: 214.82503843307495
Time for 100 Batches: 0.37633312940597535
100 Batch Cumulative Loss: 200.2787744998932
Time for 100 Batches: 0.37263126373291017
100 Batch Cumulative Loss: 208.08522045612335
Time for 100 Batches: 0.3764153798421224
100 Batch Cumulative Loss: 206.94421863555908
Time for 100 Batches: 0.3777946392695109
100 Batch Cumulative Loss: 201.67915642261505
Time for 100 Batches: 0.3751207629839579
100 Batch Cumulative Loss: 202.2522794008255
Time for 100 Batches: 0.3743663708368937
100 Batch Cumulative Loss: 197.58102798461914
Time for 100 Batches: 0.37793366114298504
100 Batch Cumulative Loss: 203.10181069374084
Time for 100 Batches: 0.3797799229621887
100 Batch Cumulative Loss: 205.6367290019989
Time for 100 Batches: 0.3743671933809916
100 Batch Cumulative Loss: 205.14740633964539
Time for 100 Batches: 0.3701997518539429
100 Batch Cumulative Loss: 201.29608285427094
Time for 100 Batches: 0.37869972387949624
100 Batch Cumulative Loss: 197.9229475259781
Time for 100 Batches: 0.3729675769805908
100 Batch Cumulative Loss: 194.25023138523102
Time for 100 Batches: 0.3780689040819804
100 Batch Cumulative Loss: 195.19453608989716
Time for 100 Batches: 0.37138172388076784
100 Batch Cumulative Loss: 194.68151545524597
Time for 100 Batches: 0.37516738573710123
100 Batch Cumulative Loss: 191.46681606769562
Time for 100 Batches: 0.3724562883377075
100 Batch Cumulative Loss: 194.74263632297516
Time for 100 Batches: 0.3764296134312948
100 Batch Cumulative Loss: 206.01948726177216
Time for 100 Batches: 0.37822485764821373
