Used 2009 Datasets
Initialized Expression Datasets
Initialized training and validation data
Initialized Network
Used Cross Entropy Loss Function
./Yeast Resources/Pairwise/Spell/OnlyPos_Unreasonable_nonRandom/Original_x_b_113x250000x53_batch50_Train_/
./Yeast Resources/Pairwise/Spell/OnlyPos_Unreasonable_nonRandom/Original_x_b_113x250000x53_batch50_Test_/
100 Batch Cumulative Loss: 441.89515113830566
Time for 100 Batches: 0.007428876558939616
100 Batch Cumulative Loss: 694.1208522319794
Time for 100 Batches: 0.4858860373497009
100 Batch Cumulative Loss: 785.9222812652588
Time for 100 Batches: 0.46907201210657756
100 Batch Cumulative Loss: 820.2868881225586
Time for 100 Batches: 0.469998041788737
100 Batch Cumulative Loss: 791.7777390480042
Time for 100 Batches: 0.4732071002324422
100 Batch Cumulative Loss: 728.8596200942993
Time for 100 Batches: 0.4717426021893819
100 Batch Cumulative Loss: 789.2722797393799
Time for 100 Batches: 0.4741122881571452
100 Batch Cumulative Loss: 767.3065986633301
Time for 100 Batches: 0.4695573608080546
100 Batch Cumulative Loss: 747.9856142997742
Time for 100 Batches: 0.46710493564605715
100 Batch Cumulative Loss: 798.7531609535217
Time for 100 Batches: 0.4700266718864441
100 Batch Cumulative Loss: 684.7968640327454
Time for 100 Batches: 0.4699082612991333
100 Batch Cumulative Loss: 745.4727845191956
Time for 100 Batches: 0.47431541681289674
100 Batch Cumulative Loss: 701.690758228302
Time for 100 Batches: 0.4684569756189982
100 Batch Cumulative Loss: 818.5536508560181
Time for 100 Batches: 0.4736404577891032
100 Batch Cumulative Loss: 711.5704231262207
Time for 100 Batches: 0.4735268235206604
100 Batch Cumulative Loss: 716.9758415222168
Time for 100 Batches: 0.46918557087580365
100 Batch Cumulative Loss: 713.9509782791138
Time for 100 Batches: 0.47626899878184
100 Batch Cumulative Loss: 686.7898635864258
Time for 100 Batches: 0.47308458884557086
100 Batch Cumulative Loss: 680.9965806007385
Time for 100 Batches: 0.4707817196846008
100 Batch Cumulative Loss: 692.3455624580383
Time for 100 Batches: 0.4720122893651327
100 Batch Cumulative Loss: 667.4923176765442
Time for 100 Batches: 0.46788234313329063
100 Batch Cumulative Loss: 672.1067171096802
Time for 100 Batches: 0.472481373945872
100 Batch Cumulative Loss: 661.8499093055725
Time for 100 Batches: 0.4720455288887024
100 Batch Cumulative Loss: 638.7271237373352
Time for 100 Batches: 0.4715085506439209
100 Batch Cumulative Loss: 674.9434461593628
Time for 100 Batches: 0.473088542620341
100 Batch Cumulative Loss: 638.0054235458374
Time for 100 Batches: 0.46804537773132326
100 Batch Cumulative Loss: 641.2893161773682
Time for 100 Batches: 0.46744933525721233
100 Batch Cumulative Loss: 676.1185235977173
Time for 100 Batches: 0.47571426232655845
100 Batch Cumulative Loss: 668.4424805641174
Time for 100 Batches: 0.47401368618011475
100 Batch Cumulative Loss: 632.2755002975464
Time for 100 Batches: 0.47309439182281493
100 Batch Cumulative Loss: 677.1450719833374
Time for 100 Batches: 0.4760435779889425
100 Batch Cumulative Loss: 626.1089601516724
Time for 100 Batches: 0.467163356145223
100 Batch Cumulative Loss: 641.0045869350433
Time for 100 Batches: 0.47247327168782555
100 Batch Cumulative Loss: 667.0430455207825
Time for 100 Batches: 0.4692583123842875
100 Batch Cumulative Loss: 588.6056823730469
Time for 100 Batches: 0.4727600455284119
100 Batch Cumulative Loss: 596.683470249176
Time for 100 Batches: 0.4763945380846659
100 Batch Cumulative Loss: 624.0425918102264
Time for 100 Batches: 0.47151272296905516
100 Batch Cumulative Loss: 637.2690043449402
Time for 100 Batches: 0.47284655570983886
100 Batch Cumulative Loss: 697.8394675254822
Time for 100 Batches: 0.47483956019083656
100 Batch Cumulative Loss: 668.3822190761566
Time for 100 Batches: 0.47182507514953614
100 Batch Cumulative Loss: 604.6998624801636
Time for 100 Batches: 0.46824552218119303
100 Batch Cumulative Loss: 597.840624332428
Time for 100 Batches: 0.4692107597986857
100 Batch Cumulative Loss: 609.4087390899658
Time for 100 Batches: 0.47410810391108194
100 Batch Cumulative Loss: 587.6295731067657
Time for 100 Batches: 0.47340677976608275
100 Batch Cumulative Loss: 585.8589918613434
Time for 100 Batches: 0.47288366556167605
100 Batch Cumulative Loss: 588.5128953456879
Time for 100 Batches: 0.4714951197306315
100 Batch Cumulative Loss: 561.7812843322754
Time for 100 Batches: 0.4729330460230509
100 Batch Cumulative Loss: 610.0332682132721
Time for 100 Batches: 0.4678414583206177
100 Batch Cumulative Loss: 571.7746613025665
Time for 100 Batches: 0.47126726309458417
100 Batch Cumulative Loss: 616.8575766086578
Time for 100 Batches: 0.4739177783330282
100 Batch Cumulative Loss: 638.1764187812805
Time for 100 Batches: 0.47568267981211343
100 Batch Cumulative Loss: 602.3069586753845
Time for 100 Batches: 0.4733794331550598
100 Batch Cumulative Loss: 590.9977142810822
Time for 100 Batches: 0.4657636841138204
100 Batch Cumulative Loss: 590.8570635318756
Time for 100 Batches: 0.47569207350413006
100 Batch Cumulative Loss: 587.1227252483368
Time for 100 Batches: 0.47611730098724364
100 Batch Cumulative Loss: 584.6385929584503
Time for 100 Batches: 0.4696337302525838
100 Batch Cumulative Loss: 567.3267636299133
Time for 100 Batches: 0.4709205428759257
100 Batch Cumulative Loss: 559.1834816932678
Time for 100 Batches: 0.4751942793528239
100 Batch Cumulative Loss: 563.4468023777008
Time for 100 Batches: 0.47157110770543414
100 Batch Cumulative Loss: 556.4509744644165
Time for 100 Batches: 0.4707953055699666
100 Batch Cumulative Loss: 583.27601146698
Time for 100 Batches: 0.47155622243881223
100 Batch Cumulative Loss: 611.3365647792816
Time for 100 Batches: 0.4715616822242737
100 Batch Cumulative Loss: 544.6266045570374
Time for 100 Batches: 0.47048664490381875
100 Batch Cumulative Loss: 557.6486639976501
Time for 100 Batches: 0.46576175689697263
100 Batch Cumulative Loss: 606.5626926422119
Time for 100 Batches: 0.47286936044692995
100 Batch Cumulative Loss: 583.3799402713776
Time for 100 Batches: 0.47317034006118774
100 Batch Cumulative Loss: 549.6655020713806
Time for 100 Batches: 0.47147591908772785
100 Batch Cumulative Loss: 590.4931106567383
Time for 100 Batches: 0.47016162077585855
100 Batch Cumulative Loss: 533.5637564659119
Time for 100 Batches: 0.47698389291763305
100 Batch Cumulative Loss: 595.1860859394073
Time for 100 Batches: 0.4701099157333374
100 Batch Cumulative Loss: 534.0340840816498
Time for 100 Batches: 0.4727904200553894
100 Batch Cumulative Loss: 516.7677931785583
Time for 100 Batches: 0.4727663556734721
100 Batch Cumulative Loss: 524.4854161739349
Time for 100 Batches: 0.4668269673983256
100 Batch Cumulative Loss: 590.3928525447845
Time for 100 Batches: 0.4663594285647074
100 Batch Cumulative Loss: 566.701254606247
Time for 100 Batches: 0.47292519013086953
100 Batch Cumulative Loss: 583.4807269573212
Time for 100 Batches: 0.46861056486765545
100 Batch Cumulative Loss: 520.6807217597961
Time for 100 Batches: 0.47260976235071817
100 Batch Cumulative Loss: 586.3336892127991
Time for 100 Batches: 0.4705024123191833
100 Batch Cumulative Loss: 529.3988621234894
Time for 100 Batches: 0.47165480454762776
100 Batch Cumulative Loss: 532.8777363300323
Time for 100 Batches: 0.46746499141057335
100 Batch Cumulative Loss: 508.9398555755615
Time for 100 Batches: 0.469994854927063
100 Batch Cumulative Loss: 518.9747455120087
Time for 100 Batches: 0.46872596740722655
100 Batch Cumulative Loss: 502.52829694747925
Time for 100 Batches: 0.46795018513997394
100 Batch Cumulative Loss: 548.602285861969
Time for 100 Batches: 0.4651456594467163
