Used 2009 Datasets
Initialized Expression Datasets
Initialized training and validation data
Initialized Network
Used Cross Entropy Loss Function
./Yeast Resources/Pairwise/Spell/SwapGenes_ProperSwapBack/Original_x_b_113x25000x53_lr0.01_batch50_Train_/
./Yeast Resources/Pairwise/Spell/SwapGenes_ProperSwapBack/Original_x_b_113x25000x53_lr0.01_batch50_Test_/
100 Batch Cumulative Loss: 9.602943062782288
Time for 100 Batches: 0.005274776617685954
100 Batch Cumulative Loss: 25.960867301211692
Time for 100 Batches: 0.3855956315994263
100 Batch Cumulative Loss: 32.76415384747088
Time for 100 Batches: 0.36889981031417846
100 Batch Cumulative Loss: 33.39197889971547
Time for 100 Batches: 0.372482168674469
100 Batch Cumulative Loss: 30.609936071485272
Time for 100 Batches: 0.3699631611506144
100 Batch Cumulative Loss: 33.03960016061501
Time for 100 Batches: 0.3665669639905294
100 Batch Cumulative Loss: 33.48231495820437
Time for 100 Batches: 0.3731987992922465
100 Batch Cumulative Loss: 30.490478517720476
Time for 100 Batches: 0.3699804385503133
100 Batch Cumulative Loss: 32.57597918534884
Time for 100 Batches: 0.37371994654337565
100 Batch Cumulative Loss: 35.21258017488435
Time for 100 Batches: 0.3740127166112264
100 Batch Cumulative Loss: 36.12751183169894
Time for 100 Batches: 0.37310109933217367
100 Batch Cumulative Loss: 27.485386783082504
Time for 100 Batches: 0.3729415059089661
100 Batch Cumulative Loss: 28.502282732137246
Time for 100 Batches: 0.3759330987930298
100 Batch Cumulative Loss: 32.64581015229487
Time for 100 Batches: 0.376301900545756
100 Batch Cumulative Loss: 27.73876401153393
Time for 100 Batches: 0.37477485338846844
100 Batch Cumulative Loss: 30.62804989522556
Time for 100 Batches: 0.3708187937736511
100 Batch Cumulative Loss: 23.57658942807757
Time for 100 Batches: 0.3731701413790385
100 Batch Cumulative Loss: 34.059990638517775
Time for 100 Batches: 0.37718995412190753
100 Batch Cumulative Loss: 30.93556580785662
Time for 100 Batches: 0.37244296073913574
100 Batch Cumulative Loss: 30.36849706224166
Time for 100 Batches: 0.3700257897377014
100 Batch Cumulative Loss: 31.554223031075765
Time for 100 Batches: 0.3799078941345215
100 Batch Cumulative Loss: 35.23443041369319
Time for 100 Batches: 0.3712161382039388
100 Batch Cumulative Loss: 31.31449214927852
Time for 100 Batches: 0.36826616525650024
100 Batch Cumulative Loss: 31.75400124033331
Time for 100 Batches: 0.37517294883728025
100 Batch Cumulative Loss: 28.09674489829922
Time for 100 Batches: 0.37744482755661013
100 Batch Cumulative Loss: 28.359858533833176
Time for 100 Batches: 0.3724411050478617
100 Batch Cumulative Loss: 27.48885310726473
Time for 100 Batches: 0.3732100566228231
100 Batch Cumulative Loss: 28.749482037732378
Time for 100 Batches: 0.37423644463221234
100 Batch Cumulative Loss: 29.683227243134752
Time for 100 Batches: 0.3719085335731506
100 Batch Cumulative Loss: 32.021382887731306
Time for 100 Batches: 0.37531795501708987
100 Batch Cumulative Loss: 23.54146246620803
Time for 100 Batches: 0.3711180249849955
100 Batch Cumulative Loss: 19.266578448703513
Time for 100 Batches: 0.37176830768585206
100 Batch Cumulative Loss: 23.0179272769019
Time for 100 Batches: 0.3765574057896932
100 Batch Cumulative Loss: 26.636724362293535
Time for 100 Batches: 0.36821211576461793
100 Batch Cumulative Loss: 29.8966008752177
Time for 100 Batches: 0.36726396083831786
100 Batch Cumulative Loss: 30.9252414124785
Time for 100 Batches: 0.37006481091181437
100 Batch Cumulative Loss: 28.21495318110101
Time for 100 Batches: 0.37388200759887696
100 Batch Cumulative Loss: 24.94947370319278
Time for 100 Batches: 0.36993486881256105
100 Batch Cumulative Loss: 24.039154663107183
Time for 100 Batches: 0.37133524417877195
100 Batch Cumulative Loss: 26.03664215203935
Time for 100 Batches: 0.3731371561686198
100 Batch Cumulative Loss: 24.41696035116911
Time for 100 Batches: 0.37212002674738565
100 Batch Cumulative Loss: 24.00938733998919
Time for 100 Batches: 0.3718114177385966
100 Batch Cumulative Loss: 23.406719645718113
Time for 100 Batches: 0.3690843383471171
100 Batch Cumulative Loss: 24.51846605632454
Time for 100 Batches: 0.3713436484336853
100 Batch Cumulative Loss: 24.143423249508487
Time for 100 Batches: 0.375966211160024
100 Batch Cumulative Loss: 21.785403358284384
Time for 100 Batches: 0.3677922566731771
100 Batch Cumulative Loss: 24.865990511374548
Time for 100 Batches: 0.37124389012654624
100 Batch Cumulative Loss: 27.413781646920143
Time for 100 Batches: 0.37117642958958946
100 Batch Cumulative Loss: 25.302146292247926
Time for 100 Batches: 0.3735837936401367
100 Batch Cumulative Loss: 19.918369983918637
Time for 100 Batches: 0.3683679223060608
100 Batch Cumulative Loss: 23.159709006608864
Time for 100 Batches: 0.3696797609329224
100 Batch Cumulative Loss: 22.49429064229018
Time for 100 Batches: 0.3708755056063334
100 Batch Cumulative Loss: 17.989810340106487
Time for 100 Batches: 0.37527653376261394
100 Batch Cumulative Loss: 21.6600084353704
Time for 100 Batches: 0.37382893562316893
100 Batch Cumulative Loss: 22.359665228053927
Time for 100 Batches: 0.37620964845021565
100 Batch Cumulative Loss: 19.81445598851542
Time for 100 Batches: 0.3740135431289673
100 Batch Cumulative Loss: 20.29036637506215
Time for 100 Batches: 0.37234601577123005
100 Batch Cumulative Loss: 17.23473345808452
Time for 100 Batches: 0.3759511033693949
100 Batch Cumulative Loss: 23.492780039156493
Time for 100 Batches: 0.3714912533760071
100 Batch Cumulative Loss: 20.652337566621213
Time for 100 Batches: 0.37005839347839353
100 Batch Cumulative Loss: 19.213638470275328
Time for 100 Batches: 0.3733585476875305
100 Batch Cumulative Loss: 20.561871180601884
Time for 100 Batches: 0.3743195096651713
100 Batch Cumulative Loss: 19.471648101636674
Time for 100 Batches: 0.3711241881052653
100 Batch Cumulative Loss: 22.394721450516954
Time for 100 Batches: 0.3683289885520935
100 Batch Cumulative Loss: 23.57220854735351
Time for 100 Batches: 0.3712328314781189
100 Batch Cumulative Loss: 21.798018543915532
Time for 100 Batches: 0.37442880868911743
100 Batch Cumulative Loss: 19.150043983012438
Time for 100 Batches: 0.37055227359135945
100 Batch Cumulative Loss: 15.644395399373025
Time for 100 Batches: 0.3740153988202413
100 Batch Cumulative Loss: 17.679589631992712
Time for 100 Batches: 0.3717974026997884
100 Batch Cumulative Loss: 16.213817533673136
Time for 100 Batches: 0.37198042472203574
100 Batch Cumulative Loss: 19.070705759892007
Time for 100 Batches: 0.370098610719045
100 Batch Cumulative Loss: 17.94843968388159
Time for 100 Batches: 0.37205938895543417
100 Batch Cumulative Loss: 18.196890966881256
Time for 100 Batches: 0.37247763872146605
100 Batch Cumulative Loss: 19.09213512763381
Time for 100 Batches: 0.36850704352060953
100 Batch Cumulative Loss: 12.878817314944172
Time for 100 Batches: 0.3680726250012716
100 Batch Cumulative Loss: 22.067775110946968
Time for 100 Batches: 0.3736005345980326
100 Batch Cumulative Loss: 17.792596161517565
Time for 100 Batches: 0.3740554928779602
100 Batch Cumulative Loss: 16.73611385928234
Time for 100 Batches: 0.36685318549474083
100 Batch Cumulative Loss: 18.589674352973816
Time for 100 Batches: 0.3754788319269816
100 Batch Cumulative Loss: 17.501464308035793
Time for 100 Batches: 0.3754974802335103
100 Batch Cumulative Loss: 16.030510876327753
Time for 100 Batches: 0.36939911047617596
100 Batch Cumulative Loss: 17.837294099270366
Time for 100 Batches: 0.3751160184542338
100 Batch Cumulative Loss: 19.310043007368222
Time for 100 Batches: 0.3694373885790507
100 Batch Cumulative Loss: 19.168111803359352
Time for 100 Batches: 0.3728321552276611
