Used 2009 Datasets
Initialized Expression Datasets
Initialized training and validation data
Initialized Network
Used Cross Entropy Loss Function
./Yeast Resources/Pairwise/Spell/RandomInputs_original/Original_x_b_113x25000x53_lr0.01_batch50_Train_/
./Yeast Resources/Pairwise/Spell/RandomInputs_original/Original_x_b_113x25000x53_lr0.01_batch50_Test_/
100 Batch Cumulative Loss: 442.50192642211914
Time for 100 Batches: 0.00538261334101359
100 Batch Cumulative Loss: 645.4505438804626
Time for 100 Batches: 0.3916791796684265
100 Batch Cumulative Loss: 726.7413945198059
Time for 100 Batches: 0.3727142651875814
100 Batch Cumulative Loss: 783.324604511261
Time for 100 Batches: 0.3659887433052063
100 Batch Cumulative Loss: 757.5734934806824
Time for 100 Batches: 0.3689840753873189
100 Batch Cumulative Loss: 716.3929805755615
Time for 100 Batches: 0.36988743940989177
100 Batch Cumulative Loss: 717.6667547225952
Time for 100 Batches: 0.3718060334523519
100 Batch Cumulative Loss: 677.0431733131409
Time for 100 Batches: 0.36205995877583824
100 Batch Cumulative Loss: 682.9328150749207
Time for 100 Batches: 0.36923017501831057
100 Batch Cumulative Loss: 692.0101842880249
Time for 100 Batches: 0.3739419142405192
100 Batch Cumulative Loss: 689.2313008308411
Time for 100 Batches: 0.3737240513165792
100 Batch Cumulative Loss: 633.718948841095
Time for 100 Batches: 0.36880725622177124
100 Batch Cumulative Loss: 656.5482635498047
Time for 100 Batches: 0.37040998935699465
100 Batch Cumulative Loss: 626.1061034202576
Time for 100 Batches: 0.3693169116973877
100 Batch Cumulative Loss: 628.2993001937866
Time for 100 Batches: 0.37249372402826947
100 Batch Cumulative Loss: 628.3446478843689
Time for 100 Batches: 0.3702700614929199
100 Batch Cumulative Loss: 611.6127753257751
Time for 100 Batches: 0.37159231106440227
100 Batch Cumulative Loss: 596.70307970047
Time for 100 Batches: 0.3683189392089844
100 Batch Cumulative Loss: 586.7209968566895
Time for 100 Batches: 0.3695824384689331
100 Batch Cumulative Loss: 584.2599854469299
Time for 100 Batches: 0.37033891677856445
100 Batch Cumulative Loss: 576.1304259300232
Time for 100 Batches: 0.3732984781265259
100 Batch Cumulative Loss: 584.7817072868347
Time for 100 Batches: 0.36745941241582236
100 Batch Cumulative Loss: 565.6935706138611
Time for 100 Batches: 0.3752157966295878
100 Batch Cumulative Loss: 572.9501204490662
Time for 100 Batches: 0.3733878493309021
100 Batch Cumulative Loss: 555.0426549911499
Time for 100 Batches: 0.37226221164067586
100 Batch Cumulative Loss: 550.7401475906372
Time for 100 Batches: 0.37380277713139853
100 Batch Cumulative Loss: 560.8250279426575
Time for 100 Batches: 0.37258276144663494
100 Batch Cumulative Loss: 560.2666487693787
Time for 100 Batches: 0.37258346875508624
100 Batch Cumulative Loss: 545.5819087028503
Time for 100 Batches: 0.3725244601567586
100 Batch Cumulative Loss: 540.7745399475098
Time for 100 Batches: 0.3656711141268412
100 Batch Cumulative Loss: 523.7434124946594
Time for 100 Batches: 0.36759934425354
100 Batch Cumulative Loss: 508.4723153114319
Time for 100 Batches: 0.3705398956934611
100 Batch Cumulative Loss: 511.54818534851074
Time for 100 Batches: 0.3694835384686788
100 Batch Cumulative Loss: 505.79950189590454
Time for 100 Batches: 0.37337653239568075
100 Batch Cumulative Loss: 491.4265995025635
Time for 100 Batches: 0.3717748522758484
100 Batch Cumulative Loss: 497.7565987110138
Time for 100 Batches: 0.36907378435134885
100 Batch Cumulative Loss: 502.17079973220825
Time for 100 Batches: 0.36926605701446535
100 Batch Cumulative Loss: 495.87536430358887
Time for 100 Batches: 0.3696334719657898
100 Batch Cumulative Loss: 492.62129282951355
Time for 100 Batches: 0.3679524302482605
100 Batch Cumulative Loss: 480.2462453842163
Time for 100 Batches: 0.3715163032213847
100 Batch Cumulative Loss: 468.5850479602814
Time for 100 Batches: 0.369879146416982
100 Batch Cumulative Loss: 481.78091406822205
Time for 100 Batches: 0.36725886662801105
100 Batch Cumulative Loss: 475.1583876609802
Time for 100 Batches: 0.36685925324757895
100 Batch Cumulative Loss: 468.8338477611542
Time for 100 Batches: 0.37075023651123046
100 Batch Cumulative Loss: 462.76765275001526
Time for 100 Batches: 0.3668062686920166
100 Batch Cumulative Loss: 466.1391212940216
Time for 100 Batches: 0.371560796101888
100 Batch Cumulative Loss: 466.0068919658661
Time for 100 Batches: 0.3761331081390381
100 Batch Cumulative Loss: 455.78737902641296
Time for 100 Batches: 0.3669191082318624
100 Batch Cumulative Loss: 448.9271140098572
Time for 100 Batches: 0.3706995606422424
100 Batch Cumulative Loss: 455.04352140426636
Time for 100 Batches: 0.3729184071222941
100 Batch Cumulative Loss: 446.2426278591156
Time for 100 Batches: 0.37178966601689656
100 Batch Cumulative Loss: 451.5251729488373
Time for 100 Batches: 0.3700073520342509
100 Batch Cumulative Loss: 441.94733333587646
Time for 100 Batches: 0.36798953215281166
100 Batch Cumulative Loss: 452.58524775505066
Time for 100 Batches: 0.3755734086036682
100 Batch Cumulative Loss: 444.20813727378845
Time for 100 Batches: 0.3645509441693624
100 Batch Cumulative Loss: 442.97010588645935
Time for 100 Batches: 0.3729105949401855
100 Batch Cumulative Loss: 438.44753766059875
Time for 100 Batches: 0.364817750453949
100 Batch Cumulative Loss: 432.7911949157715
Time for 100 Batches: 0.37107685407002766
100 Batch Cumulative Loss: 424.06447172164917
Time for 100 Batches: 0.36914327144622805
100 Batch Cumulative Loss: 427.84542536735535
Time for 100 Batches: 0.3716713507970174
100 Batch Cumulative Loss: 428.31196117401123
Time for 100 Batches: 0.3743518312772115
100 Batch Cumulative Loss: 421.8244631290436
Time for 100 Batches: 0.38282187779744464
100 Batch Cumulative Loss: 434.3690228462219
Time for 100 Batches: 0.38221211433410646
100 Batch Cumulative Loss: 422.8887577056885
Time for 100 Batches: 0.36667295296986896
100 Batch Cumulative Loss: 428.1251711845398
Time for 100 Batches: 0.36619983116785687
100 Batch Cumulative Loss: 423.4334273338318
Time for 100 Batches: 0.3728536287943522
100 Batch Cumulative Loss: 421.5891680717468
Time for 100 Batches: 0.37443750699361167
100 Batch Cumulative Loss: 414.06674814224243
Time for 100 Batches: 0.3670746684074402
100 Batch Cumulative Loss: 416.06610655784607
Time for 100 Batches: 0.37341837882995604
100 Batch Cumulative Loss: 418.33725023269653
Time for 100 Batches: 0.3676206111907959
100 Batch Cumulative Loss: 412.1233947277069
Time for 100 Batches: 0.3711689829826355
100 Batch Cumulative Loss: 413.12079405784607
Time for 100 Batches: 0.36560099522272743
100 Batch Cumulative Loss: 418.16430401802063
Time for 100 Batches: 0.3736260890960693
100 Batch Cumulative Loss: 414.63261318206787
Time for 100 Batches: 0.3728298743565877
100 Batch Cumulative Loss: 404.4245493412018
Time for 100 Batches: 0.37134270668029784
100 Batch Cumulative Loss: 404.541029214859
Time for 100 Batches: 0.3705494523048401
100 Batch Cumulative Loss: 410.4384796619415
Time for 100 Batches: 0.3735956311225891
100 Batch Cumulative Loss: 403.3445072174072
Time for 100 Batches: 0.36939321358998617
100 Batch Cumulative Loss: 406.6253089904785
Time for 100 Batches: 0.37477437655131024
100 Batch Cumulative Loss: 403.948787689209
Time for 100 Batches: 0.37260611057281495
100 Batch Cumulative Loss: 401.275616645813
Time for 100 Batches: 0.3698094367980957
100 Batch Cumulative Loss: 399.6138324737549
Time for 100 Batches: 0.3749972939491272
100 Batch Cumulative Loss: 397.3195786476135
Time for 100 Batches: 0.3703275680541992
100 Batch Cumulative Loss: 399.3492753505707
Time for 100 Batches: 0.37200310627619426
