Gene,Correlation
YDR036C,0.48717505
YPL002C,0.48492202
YCL052C,0.47521663
YOR259C,0.47192374
YDR148C,0.4712305
YPR108W,0.46568456
YBL041W,0.46083188
YPL176C,0.4589255
YKL145W,0.45632583
YBL058W,0.4558059
YNL307C,0.4556326
YDR394W,0.45233968
YDL007W,0.45147315
YPL096W,0.45077989
YBL057C,0.44384748
YFR052W,0.44315425
YFL018C,0.4428076
YJR102C,0.4426343
YOR117W,0.44142115
YML092C,0.4386482
YOR157C,0.43760833
YDL008W,0.43691507
YLR330W,0.43327555
YMR119W,0.43240902
YPL087W,0.42946273
YER143W,0.42807627
YDR177W,0.42790294
YGL011C,0.42755634
YDR427W,0.427383
YMR314W,0.4272097
YBR173C,0.4202773
YOR362C,0.420104
YNL045W,0.4185442
YDR054C,0.417331
YPR103W,0.41646448
YHR200W,0.41594455
YER100W,0.41577122
YMR067C,0.41299826
YDL097C,0.41109186
YKL213C,0.4031196
YNL008C,0.4017331
YDR294C,0.39948007
YJL001W,0.39514732
YBR273C,0.39220104
YGR253C,0.39202774
YBR058C,0.38509533
YMR022W,0.3830156
YOL013C,0.3828423
YOR256C,0.37989601
YJR090C,0.3760832
YMR264W,0.37348354
YNL239W,0.37227038
YDL132W,0.3715771
YOL082W,0.36828423
YER012W,0.3630849
YKL059C,0.36256498
YJL060W,0.35632583
YFR050C,0.3542461
YGL048C,0.34939343
YLR224W,0.3443674
YNL159C,0.3421144
YER021W,0.3360485
YGR048W,0.33171576
YNR001C,0.32928944
YLR231C,0.32513
YOR261C,0.32461005
YMR247C,0.32079723
YKL034W,0.3206239
YHR108W,0.31629115
YBR041W,0.31265163
YKL022C,0.3119584
YDR328C,0.31109184
YBR133C,0.31074524
YOR249C,0.30554593
YLR097C,0.30467936
YKL002W,0.3036395
YPL084W,0.3015598
YBR160W,0.2932409
YOR007C,0.28700173
YGL004C,0.2861352
YHR115C,0.28596187
YKL054C,0.28509533
YMR021C,0.2830156
YPL065W,0.28232235
YLR207W,0.27279028
YOR257W,0.27157712
YER094C,0.26187176
YDR028C,0.2594454
YFL009W,0.25649914
YMR184W,0.2559792
YEL037C,0.25199306
YER151C,0.24540728
YER068W,0.24332756
YJR017C,0.23622184
YBR170C,0.23587522
YLR025W,0.23362218
YDR411C,0.23327556
YOL133W,0.23015597
YNR006W,0.22859618
YOR080W,0.2272097
YJR052W,0.22668977
YHR027C,0.22634315
YOL038W,0.22409011
YBR082C,0.22322357
YDR255C,0.22149047
YKL041W,0.21629116
YBL098W,0.2136915
YDR057W,0.20901214
YML059C,0.20727903
YFR047C,0.2067591
YMR100W,0.205026
YMR161W,0.20225303
YGL067W,0.20138648
