Gene,Confidence,True Positive,False Positive,True Negative,False Negative,Accuracy,Precision,Recall,False Positive Rate,Selectivity
YCR088W,3.635684,106,4341,1,0,0.024055755395683453,0.023836294130874746,1.0,0.9997696913864579,0.00023030861354214648
YOR181W,3.561067,106,4340,2,0,0.024280575539568347,0.02384165542060279,1.0,0.9995393827729157,0.00046061722708429296
YLR337C,3.464689,106,4339,3,0,0.024505395683453238,0.023847019122609673,1.0,0.9993090741593735,0.0006909258406264394
YDL029W,3.192347,105,4339,3,1,0.024280575539568347,0.023627362736273628,0.9905660377358491,0.9993090741593735,0.0006909258406264394
YDR388W,3.055402,105,4338,4,1,0.024505395683453238,0.02363268062120189,0.9905660377358491,0.9990787655458314,0.0009212344541685859
YJR065C,3.002868,104,4338,4,2,0.024280575539568347,0.02341287708239532,0.9811320754716981,0.9990787655458314,0.0009212344541685859
YMR109W,2.995048,104,4337,5,2,0.024505395683453238,0.023418149065525782,0.9811320754716981,0.9988484569322893,0.0011515430677107323
YDR129C,2.969995,104,4336,6,2,0.02473021582733813,0.023423423423423424,0.9811320754716981,0.9986181483187471,0.0013818516812528789
YNR017W,2.837127,104,4335,7,2,0.024955035971223023,0.023428700157693175,0.9811320754716981,0.998387839705205,0.0016121602947950253
YIL062C,2.751667,103,4335,7,3,0.02473021582733813,0.023208652546191977,0.9716981132075472,0.998387839705205,0.0016121602947950253
YKL013C,2.649508,102,4335,7,4,0.024505395683453238,0.022988505747126436,0.9622641509433962,0.998387839705205,0.0016121602947950253
YNR035C,2.624792,101,4335,7,5,0.024280575539568347,0.022768259693417493,0.9528301886792453,0.998387839705205,0.0016121602947950253
YLL001W,2.583777,100,4335,7,6,0.024055755395683453,0.02254791431792559,0.9433962264150944,0.998387839705205,0.0016121602947950253
YEL020W-A,2.511385,99,4335,7,7,0.023830935251798562,0.022327469553450607,0.9339622641509434,0.998387839705205,0.0016121602947950253
YBR179C,2.454402,98,4335,7,8,0.023606115107913668,0.022106925332731786,0.9245283018867925,0.998387839705205,0.0016121602947950253
YLR370C,2.394002,97,4335,7,9,0.023381294964028777,0.021886281588447652,0.9150943396226415,0.998387839705205,0.0016121602947950253
YCR009C,2.386632,97,4334,8,9,0.023606115107913668,0.021891220943353645,0.9150943396226415,0.9981575310916628,0.0018424689083371719
YGR082W,2.351128,97,4333,9,9,0.023830935251798562,0.021896162528216703,0.9150943396226415,0.9979272224781207,0.0020727775218793184
YLL006W,2.31306,96,4333,9,10,0.023606115107913668,0.021675321743057124,0.9056603773584906,0.9979272224781207,0.0020727775218793184
YKL129C,2.288682,96,4332,10,10,0.023830935251798562,0.02168021680216802,0.9056603773584906,0.9976969138645785,0.0023030861354214646
YOR367W,2.231324,96,4331,11,10,0.024055755395683453,0.021685114072735486,0.9056603773584906,0.9974666052510364,0.002533394748963611
YBR091C,2.160861,95,4331,11,11,0.023830935251798562,0.021464075915047447,0.8962264150943396,0.9974666052510364,0.002533394748963611
YMR092C,2.118297,95,4330,12,11,0.024055755395683453,0.021468926553672316,0.8962264150943396,0.9972362966374942,0.0027637033625057578
YOR035C,2.096628,95,4329,13,11,0.024280575539568347,0.02147377938517179,0.8962264150943396,0.9970059880239521,0.0029940119760479044
YBR234C,2.014789,94,4329,13,12,0.024055755395683453,0.02125254352249604,0.8867924528301887,0.9970059880239521,0.0029940119760479044
YJL054W,1.992612,93,4329,13,13,0.023830935251798562,0.02103120759837178,0.8773584905660378,0.9970059880239521,0.0029940119760479044
YJL112W,1.933452,92,4329,13,14,0.023606115107913668,0.020809771544899346,0.8679245283018868,0.9970059880239521,0.0029940119760479044
YLR429W,1.933452,92,4328,14,14,0.023830935251798562,0.02081447963800905,0.8679245283018868,0.9967756794104099,0.0032243205895900505
YOR297C,1.931094,92,4327,15,14,0.024055755395683453,0.02081918986195972,0.8679245283018868,0.9965453707968678,0.003454629203132197
YKL007W,1.895278,92,4326,16,14,0.024280575539568347,0.02082390221819828,0.8679245283018868,0.9963150621833257,0.0036849378166743437
YPR024W,1.80399,91,4326,16,15,0.024055755395683453,0.020602218700475437,0.8584905660377359,0.9963150621833257,0.0036849378166743437
YIL034C,1.80399,91,4325,17,15,0.024280575539568347,0.020606884057971016,0.8584905660377359,0.9960847535697835,0.00391524643021649
