Gene,+/-,Fold
YLR272C,1,0
YPL253C,1,0
YER147C,1,0
YGL249W,1,0
YNR010W,1,0
YDR254W,1,0
YMR311C,1,0
YJL080C,1,0
YBR088C,1,0
YIL031W,1,0
YGL086W,1,0
YGL127C,1,0
YMR190C,1,0
YLR127C,1,0
YMR078C,1,0
YKL193C,1,0
YIR025W,1,0
YPL008W,1,0
YGR089W,1,0
YDL008W,1,0
YCR086W,1,0
YIL073C,1,0
YBR107C,1,0
YPL018W,1,0
YDR130C,1,0
YGL190C,1,0
YML033W,1,0
YHR122W,1,0
YER016W,1,0
YML085C,1,0
YER106W,1,0
YPL024W,1,0
YBR233W-A,1,0
YOR156C,1,0
YNL299W,1,0
YPR141C,1,0
YKL138C-A,1,0
YDR285W,1,0
YGL003C,1,0
YGR179C,1,0
YDR318W,1,0
YHR166C,1,0
YGR113W,1,0
YDR201W,1,0
YOR014W,1,0
YLR451W,0,0
YLR057W,0,0
YDR309C,0,0
YER087W,0,0
YHR168W,0,0
YLR350W,0,0
YJL203W,0,0
YOL121C,0,0
YJL058C,0,0
YDR399W,0,0
YLR181C,0,0
YJR045C,0,0
YDL085W,0,0
YOR109W,0,0
YDR441C,0,0
YKL214C,0,0
YMR295C,0,0
YHR143W-A,0,0
YCL032W,0,0
YAR031W,0,0
YMR122W-A,0,0
YDL133C-A,0,0
YDR251W,0,0
YLR420W,0,0
YNL259C,0,0
YKL013C,0,0
YLR028C,0,0
YDR213W,0,0
YCR002C,0,0
YOR276W,0,0
YMR101C,0,0
YAL062W,0,0
YHL043W,0,0
YER181C,0,0
YER070W,0,0
YOR369C,0,0
YPL085W,0,0
YAL039C,0,0
YNL221C,0,0
YEL009C,0,0
YHR037W,0,0
YMR083W,0,0
YOR378W,0,0
YBL103C,0,0
YMR066W,0,0
YER068W,0,0
YML005W,0,0
YLR045C,0,0
YGR026W,0,0
YOR069W,0,0
YJL002C,0,0
YNL160W,0,0
YHR200W,0,0
YOR362C,0,0
YMR022W,0,0
YNL113W,0,0
YLL015W,0,0
YLR395C,0,0
YNL268W,0,0
YLR115W,0,0
YML069W,0,0
YHR104W,0,0
YNL272C,0,0
YPR036W,0,0
YHR060W,0,0
YGR281W,0,0
YOR264W,0,0
YIL056W,0,0
YOR057W,0,0
YDR424C,0,0
YDR488C,0,0
YDR482C,0,0
YIR035C,0,0
YBR066C,0,0
YNL033W,0,0
YGR175C,0,0
YLR067C,0,0
YMR277W,0,0
YNL258C,0,0
YER019W,0,0
YBR278W,0,0
YJR098C,0,0
YPR118W,0,0
YKL085W,0,0
YMR030W,0,0
YLR154C,0,0
YNL010W,0,0
YDR463W,0,0
YPR052C,0,0
YOR189W,0,0
YIR021W,0,0
YPL186C,0,0
YGR127W,0,0
YOR310C,0,0
YOR155C,0,0
YAR044W,0,0
YLR185W,0,0
YDR270W,0,0
YHR006W,0,0
YPR102C,0,0
YGR118W,0,0
YMR180C,0,0
YDR331W,0,0
YNL045W,0,0
YGL198W,0,0
YDR503C,0,0
YPR015C,0,0
YIL140W,0,0
YHR002W,0,0
YKL162C,0,0
YHR188C,0,0
YGL056C,0,0
YKL187C,0,0
YNR051C,0,0
YDR152W,0,0
YGR177C,0,0
YLL051C,0,0
YCR087C-A,0,0
YFR032C-A,0,0
YOL124C,0,0
YMR273C,0,0
YGR023W,0,0
YMR097C,0,0
YDR329C,0,0
