GO Term ID,GO Term Name,ES,p-value,NES (NES*_pos = None;NES*_neg=None)),Leading-edge subset
GO:0048308,organelle inheritance,1.3333333333333326,0.535,1.0000000000000042,YFL039C
GO:0000003,reproduction,1.0279441117764476,0.189,0.9999999999999833,YFL039C
GO:0007033,vacuole organization,1.1400000000000001,0.0,1.0000000000000007,YFL039C
GO:0000011,vacuole inheritance,3.8000000000000016,0.0,0.9999999999999828,YFL039C
GO:0006281,DNA repair,1.0468227424749164,0.0,1.0000000000000075,YFL039C
GO:0051052,regulation of DNA metabolic process,1.1261261261261257,0.283,1.0000000000000098,YOR060C
GO:1903047,mitotic cell cycle process,1.0396600566572234,0.391,0.9999999999999991,YFL039C
GO:0042274,ribosomal small subunit biogenesis,1.1076923076923078,0.0,0.999999999999984,YDR339C
GO:0043604,amide biosynthetic process,1.0202578268876619,0.023,0.9999999999999848,YIL051C;YKR085C;YBL080C;YJL063C
GO:1901566,organonitrogen compound biosynthetic process,1.009852216748768,0.969,1.0000000000000115,YJL063C;YKR085C;YIL051C;YJL116C;YBL080C
GO:1901605,alpha-amino acid metabolic process,1.0858895705521467,0.7,1.0000000000000138,YIL051C
GO:0051656,establishment of organelle localization,1.1196581196581195,0.195,1.0000000000000056,YLR370C
GO:0042254,ribosome biogenesis,1.035897435897436,0.0,0.9999999999999825,YDR339C
GO:0006082,organic acid metabolic process,1.0308056872037918,0.27,0.9999999999999815,YIL051C;YBL080C
GO:0006790,sulfur compound metabolic process,1.1007194244604317,0.0,1.0000000000000089,
GO:1901564,organonitrogen compound metabolic process,1.0033317467872442,0.126,1.0000000000000044,YJL063C;YFL039C;YKR085C;YCL044C;YIL051C;YJL116C;YBL080C
GO:0016053,organic acid biosynthetic process,1.0769230769230766,0.599,0.9999999999999885,YIL051C
GO:1901565,organonitrogen compound catabolic process,1.0320987654320983,0.641,0.9999999999999823,YIL051C;YCL044C
GO:0008652,cellular amino acid biosynthetic process,1.12280701754386,0.0,0.9999999999999893,YIL051C
GO:0022607,cellular component assembly,1.010449320794148,0.679,1.0000000000000175,YKL013C;YFL039C;YLR370C;YBR234C;YNR035C
GO:0030866,cortical actin cytoskeleton organization,1.2045454545454544,0.235,0.9999999999999819,YKL013C;YFL039C;YLR370C;YBR234C;YJR065C;YNR035C
GO:0044396,actin cortical patch organization,2.0000000000000004,0.026,1.0000000000000002,YKL013C;YLR370C;YBR234C;YJR065C;YNR035C
GO:0006364,rRNA processing,1.0498220640569398,0.73,1.0000000000000169,YDR339C
GO:1901607,alpha-amino acid biosynthetic process,1.141414141414142,0.107,1.0000000000000246,YIL051C
GO:0071554,cell wall organization or biogenesis,1.0456140350877194,0.0,0.9999999999999881,YJL116C;YFL039C
GO:1903046,meiotic cell cycle process,1.0526315789473677,0.538,0.9999999999999937,YFL039C
GO:0007010,cytoskeleton organization,1.0337078651685394,0.034,0.9999999999999751,YKL013C;YFL039C;YLR370C;YBR234C;YJR065C;YNR035C
GO:0007017,microtubule-based process,1.1400000000000001,0.0,1.0000000000000007,YNR035C
GO:0000226,microtubule cytoskeleton organization,1.1521739130434787,0.195,0.9999999999999879,YNR035C
GO:0043603,cellular amide metabolic process,1.0180032733224227,0.045,1.0000000000000084,YIL051C;YKR085C;YBL080C;YJL063C
GO:0046483,heterocycle metabolic process,1.0045431600201917,0.662,1.0000000000000164,YDR339C;YFL039C;YJL116C;YOR060C;YBL080C
GO:1901360,organic cyclic compound metabolic process,1.0044160942100098,0.102,1.0000000000000075,YDR339C;YFL039C;YJL116C;YOR060C;YBL080C
GO:0009059,macromolecule biosynthetic process,1.007596685082873,0.099,1.0000000000000187,YIL051C;YKR085C;YBL080C;YJL063C
GO:0009057,macromolecule catabolic process,1.0300429184549353,0.204,1.0000000000000178,YCL044C
