GO Term ID,GO Term Name,Num Annotations,ES,p-value,NES,FDR q-value,LES size,Leading-edge subset
GO:0000001,mitochondrion inheritance,24,0.8636363636363636,0.05855855855855856,1.4772779979411779,0.05292249794190287,1,YGR132C
GO:0048311,mitochondrion distribution,26,0.8604651162790695,0.06103286384976526,1.4709469358514264,0.028048923909208517,1,YGR132C
GO:0006310,DNA recombination,254,1.7605633802816893,0.08,1.0000000000000147,0.480536281312478,3,YER095W;YML032C;YBR279W
GO:0000003,reproduction,516,1.2599009900990101,0.073,1.0000000000000073,0.6424791250147007,7,YOL071W;YER095W;YER125W;YLL040C;YDR512C;YFR028C;YML032C
GO:0007005,mitochondrion organization,292,1.0000000000000002,0.0,1.0,0.8100670351640598,111,YLL018C-A;YLR008C;YHR024C;YNL131W;YOR297C;YLR163C;YGR183C;YOR043W;YBR037C;YOR020C;YDL069C;YKL166C;YEL030W;YER125W;YNR007C;YDR375C;YLR295C;YOR027W;YPL218W;YGR082W;YOR045W;YJR045C;YML081C-A;YAL015C;YGR112W;YJL104W;YBR024W;YKL011C;YHR116W;YER095W;YMR203W;YDR065W;YER017C;YGR029W;YPL029W;YGR033C;YGR028W;YPL063W;YOR232W;YNR032W;YPR020W;YDR511W;YER083C;YJL143W;YDR322C-A;YKL134C;YKL141W;YDL113C;YBR279W;YGL191W;YDR079W;YJL003W;YNL169C;YNL138W;YLL040C;YKL084W;YGR231C;YJL036W;YMR150C;YNL064C;YBL022C;YFL016C;YLR305C;YDR231C;YLR423C;YIR004W;YOL026C;YIL098C;YAL005C;YIR021W;YDL126C;YKR065C;YGR178C;YBL103C;YLR067C;YLL042C;YDR529C;YHR171W;YLR259C;YLR090W;YDR512C;YFR004W;YFR028C;YPL100W;YDR022C;YBR217W;YOL071W;YJL102W;YML129C;YLR059C;YPR100W;YNL223W;YNL242W;YCR065W;YDL149W;YPR133W-A;YNR017W;YGR132C;YIL022W;YNL328C;YMR035W;YOL145C;YPL240C;YLL009C;YPL149W;YKR087C;YKL195W;YBL078C;YBL045C;YML032C;YBL017C
GO:1903047,mitotic cell cycle process,368,1.41796875,0.095,1.0,0.8100670351640598,5,YER095W;YDL126C;YFR028C;YBR279W;YOL145C
GO:0007033,vacuole organization,115,34.66666666666664,0.014,0.99999999999999,0.7787167554308563,11,YJL036W;YHR171W;YDL149W;YNR007C;YPL149W;YNL242W;YBL078C;YFR028C;YPL100W;YLR423C;YBR217W
GO:0051052,regulation of DNA metabolic process,126,8.357142857142849,0.019,0.9999999999999883,0.7944990003528167,8,YPL240C;YJR045C;YAL015C;YBL022C;YBR279W;YML032C;YOL145C;YDL126C
GO:0006281,DNA repair,314,1.524752475247525,0.686,0.999999999999983,0.9032106315418088,5,YER095W;YAL015C;YBR279W;YML032C;YOL145C
GO:0000018,regulation of DNA recombination,28,-0.6547619047619045,0.7884914463452566,-0.7309989871638521,0.9012188466436238,1,YBR279W
GO:0048308,organelle inheritance,57,-1.0000000000000004,0.431,-0.8607991982804789,1.0380662179370566,1,
GO:0000002,mitochondrial genome maintenance,50,-0.6615180430074097,0.331,-1.0342698080569461,0.6100297131768844,1,YDL059C
GO:0007052,mitotic spindle organization,42,-1.3142857142857116,0.22099447513812154,-1.2813419771848482,0.35246498089867195,1,YDL126C
GO:0006312,mitotic recombination,57,-1.6909090909090871,0.013,-1.531401648546005,0.11460796798253592,3,YER095W;YDL059C;YML032C
