Gene,Correlation
YNL182C,-0.49681208
YFL023W,-0.49479866
YPL211W,-0.4941275
YKL009W,-0.49345636
YHR197W,-0.49228188
YIL104C,-0.48892617
YKR081C,-0.4884228
YJR055W,-0.48036912
YDR416W,-0.47969797
YLR009W,-0.47902685
YHR085W,-0.4761745
YCR072C,-0.47583893
YNL175C,-0.47466442
YLR221C,-0.47449663
YNR054C,-0.4684564
YHR040W,-0.46442953
YGL099W,-0.46057048
YDL030W,-0.45805368
YIR012W,-0.45654362
YPL093W,-0.45419464
YDL209C,-0.4511745
YHR066W,-0.44832215
YNL124W,-0.447651
YLL008W,-0.44697988
YKL074C,-0.44362417
YMR309C,-0.44345638
YNL061W,-0.4432886
YNL286W,-0.41308725
YGR159C,-0.40822148
YJL191W,-0.40536913
YOL080C,-0.39479867
YKL021C,-0.39463088
YOL077C,-0.38036913
YOR361C,-0.3714765
YDL031W,-0.36845636
YPR112C,-0.36409396
YLR323C,-0.36090603
YDR060W,-0.35033557
YFL002C,-0.34077182
YPR163C,-0.3397651
YCR057C,-0.33942953
YIL110W,-0.33137584
YNL112W,-0.3305369
YNL244C,-0.32802013
YKL156W,-0.32701343
YLR048W,-0.32634228
YMR268C,-0.3238255
YCR058C,-0.32348993
YPL235W,-0.31845638
YBR055C,-0.3182886
YNR011C,-0.3181208
YPL193W,-0.31526846
YHR165C,-0.31493288
YFL018W-A,-0.3125839
YMR229C,-0.3090604
YMR240C,-0.30755034
YDR429C,-0.30620804
YLR424W,-0.3033557
YIR026C,-0.29781878
YCR055C,-0.29748324
YPR178W,-0.29714766
YBL074C,-0.2946309
YPL240C,-0.29379195
YPL146C,-0.29228187
YBR237W,-0.29144296
YCL031C,-0.28892618
YPR016C,-0.28255033
