Gene,+/-,Fold
YPL145C,1,0
YDL019C,1,0
YNL093W,1,0
YCR009C,1,0
YOR034C,1,0
YCL034W,1,0
YHR073W,1,0
YJR125C,1,0
YLR337C,1,0
YEL027W,1,0
YNL106C,1,0
YLR337W,1,0
YCR053W,1,0
YNR075W,1,0
YDR177W,1,0
YDR129C,1,0
YKL129C,1,0
YAL030W,1,0
YLR371W,1,0
YHR016C,1,0
YNL055C,0,0
YDL064W,0,0
YGR089W,0,0
YNR019W,0,0
YDR085C,0,0
YFL055W,0,0
YKR061W,0,0
YMR281W,0,0
YLL043W,0,0
YBL057C,0,0
YDR316W-B,0,0
YOR208W,0,0
YNL284C-A,0,0
YMR093W,0,0
YOR032C,0,0
YEL034W,0,0
YJR108W,0,0
YLR002C,0,0
YDR337W,0,0
YBL039C,0,0
YEL031W,0,0
YNL059C,0,0
YKR101W,0,0
YPL047W,0,0
YDR343C,0,0
YNL075W,0,0
YMR167W,0,0
YCL051W,0,0
YNL339C,0,0
YJR120W,0,0
YLR254C,0,0
YBL051C,0,0
YFL041W,0,0
YNR023W,0,0
YMR276W,0,0
YNL006W,0,0
YGR156W,0,0
YKL182W,0,0
YLR219W,0,0
YHR129C,0,0
YGR098C,0,0
YPL118W,0,0
YPL239W,0,0
YBL041W,0,0
YFR053C,0,0
YMR029C,0,0
YOR020C,0,0
YOR209C,0,0
YJR094C,0,0
YNL302C,0,0
YOL051W,0,0
YPR137W,0,0
YKL213C,0,0
YJR035W,0,0
YDR421W,0,0
YBR049C,0,0
YDR208W,0,0
YDL015C,0,0
YJL113W,0,0
YDR046C,0,0
YDR418W,0,0
YOR039W,0,0
YNR059W,0,0
YHR118C,0,0
YPR037C,0,0
YOL021C,0,0
YDL185W,0,0
YIL035C,0,0
YER174C,0,0
YHR005C,0,0
YGL018C,0,0
YJL012C-A,0,0
YBL035C,0,0
YNL298W,0,0
YGR181W,0,0
YDR110W,0,0
YCL054W,0,0
YOR130C,0,0
YOL011W,0,0
YAL040C,0,0
YBR035C,0,0
YNL250W,0,0
YGR165W,0,0
YDR191W,0,0
YAL015C,0,0
YGL126W,0,0
YER032W,0,0
YDR079C-A,0,0
YAL033W,0,0
YGR211W,0,0
YJR022W,0,0
YLR452C,0,0
YOL009C,0,0
YDL143W,0,0
YPL069C,0,0
YHR115C,0,0
YBR098W,0,0
YLR467W,0,0
YAR019C,0,0
YDL065C,0,0
YOR326W,0,0
YML005W,0,0
YJL080C,0,0
YFL017W-A,0,0
YIL124W,0,0
YDR359C,0,0
YKR052C,0,0
YGR090W,0,0
YMR026C,0,0
YML121W,0,0
YFL024C,0,0
YDR464W,0,0
YGL094C,0,0
YOR142W,0,0
YMR287C,0,0
YIL017C,0,0
YER159C-A,0,0
YNL172W,0,0
YDR214W,0,0
YPR158W-B,0,0
YML045W-A,0,0
YIR011C,0,0
YJL198W,0,0
YDR429C,0,0
YHL009W-A,0,0
YPR199C,0,0
YDL003W,0,0
YPL060W,0,0
YDR516C,0,0
YLR324W,0,0
YKL034W,0,0
YPR067W,0,0
YGL178W,0,0
YBR084W,0,0
YNR016C,0,0
YPR161C,0,0
YLR081W,0,0
YAL005C,0,0
YCR080W,0,0
YNR072W,0,0
YBL071W-A,0,0
YBR245C,0,0
YKL004W,0,0
YDR138W,0,0
YOR201C,0,0
YBR211C,0,0
YPL040C,0,0
YAR007C,0,0
YNL079C,0,0
YGR070W,0,0
YNL066W,0,0
YML062C,0,0
YLR052W,0,0
YML132W,0,0
YPL231W,0,0
YBR082C,0,0
YJL045W,0,0
YOR195W,0,0
YMR270C,0,0
YCR035C,0,0
YER164W,0,0
YOL089C,0,0
YNL054W-A,0,0
YDR447C,0,0
YJL133W,0,0
YGR008C,0,0
YJL054W,0,0
YOR068C,0,0
YLR399C,0,0
YNL080C,0,0
YPR068C,0,0
YGR097W,0,0
YMR264W,0,0
YPL029W,0,0
YCL062W,0,0
YML048W,0,0
YDR034C-D,0,0
YGR296W,0,0
YCL061C,0,0
YOL076W,0,0
YCR086W,0,0
YDR210C-D,0,0
YDR228C,0,0
YDL108W,0,0
YGL142C,0,0
YLR256W,0,0
YOL125W,0,0
YGR007W,0,0
YGR274C,0,0
YJL093C,0,0
YDL197C,0,0
YLR003C,0,0
YHR005C-A,0,0
YJR093C,0,0
YNR031C,0,0
YDL166C,0,0
YBR160W,0,0
YDR167W,0,0
YKL139W,0,0
YHR026W,0,0
YOR315W,0,0
YHR070W,0,0
YOR073W,0,0
YBR295W,0,0
YPR046W,0,0
YNL286W,0,0
YER030W,0,0
YGR169C,0,0
YJL073W,0,0
YPR056W,0,0
YJL101C,0,0
YLR405W,0,0
YOL044W,0,0
YHR012W,0,0
YNL082W,0,0
YBL045C,0,0
YMR182C,0,0
YEL066W,0,0
YAL021C,0,0
YGL063W,0,0
YNL102W,0,0
YIL160C,0,0
YDR295C,0,0
YML130C,0,0
YMR077C,0,0
YPR163C,0,0
YNL292W,0,0
YJR050W,0,0
YJR110W,0,0
YMR058W,0,0
YBR247C,0,0
YPL257W-B,0,0
YBR070C,0,0
YOL045W,0,0
YLR313C,0,0
YOR147W,0,0
YOR290C,0,0
YER159C,0,0
YOL123W,0,0
YGR275W,0,0
YMR012W,0,0
YPL112C,0,0
YOR221C,0,0
YDR283C,0,0
YJR027W,0,0
YGR109C,0,0
YLR340W,0,0
YHR090C,0,0
YKR026C,0,0
YDR382W,0,0
YPR078C,0,0
YDR170W-A,0,0
YJL168C,0,0
YOL135C,0,0
YDR097C,0,0
YNR054C,0,0
YLL026W,0,0
YLR360W,0,0
YBR055C,0,0
YJL128C,0,0
YAL041W,0,0
YNR053C,0,0
YOL008W,0,0
YFL036W,0,0
YCR057C,0,0
YOR367W,0,0
YOR340C,0,0
YOR094W,0,0
YLR240W,0,0
YPR140W,0,0
YPL117C,0,0
YML049C,0,0
YDL076C,0,0
YOR355W,0,0
YML014W,0,0
YJL115W,0,0
YER106W,0,0
YMR149W,0,0
YHL020C,0,0
YML080W,0,0
YKL022C,0,0
YDR330W,0,0
YFL050C,0,0
YDR507C,0,0
YDL024C,0,0
YDR312W,0,0
YER029C,0,0
YLR274W,0,0
YLR451W,0,0
YKL160W,0,0
YGR183C,0,0
YNR044W,0,0
YER044C-A,0,0
YJL109C,0,0
YJR057W,0,0
YDL142C,0,0
YDR457W,0,0
YML123C,0,0
YDL159W,0,0
YGR214W,0,0
YJL170C,0,0
YGL111W,0,0
YOR341W,0,0
YPL015C,0,0
YOR298C-A,0,0
YJR160C,0,0
YHL040C,0,0
YPL091W,0,0
YKL185W,0,0
YMR296C,0,0
YKR001C,0,0
YDR054C,0,0
YNL281W,0,0
YDR298C,0,0
YDR014W-A,0,0
YLL035W,0,0
YLL006W,0,0
YMR184W,0,0
YCL024W,0,0
YOL002C,0,0
YDR358W,0,0
YOL124C,0,0
YGR103W,0,0
YOR270C,0,0
YDR221W,0,0
YGL045W,0,0
YDL098C,0,0
YMR263W,0,0
YDR487C,0,0
YOR014W,0,0
YJL065C,0,0
YPL082C,0,0
YMR260C,0,0
YPL176C,0,0
YER137C-A,0,0
YOR204W,0,0
YGR289C,0,0
YJL139C,0,0
YGR161W-B,0,0
YBR010W,0,0
YJL074C,0,0
YKR038C,0,0
YJR086W,0,0
YGR055W,0,0
YJR028W,0,0
YDR259C,0,0
YGR216C,0,0
YIL122W,0,0
YJL207C,0,0
YCL020W,0,0
YDR156W,0,0
YMR013C,0,0
YHR014W,0,0
YKL054C,0,0
YLR262C,0,0
YOL004W,0,0
YBR272C,0,0
YCR072C,0,0
YLR102C,0,0
YKL101W,0,0
YJR135C,0,0
YDR151C,0,0
YJR135W-A,0,0
YGL027C,0,0
YPL110C,0,0
YJL164C,0,0
YOR148C,0,0
YLR069C,0,0
YPR057W,0,0
YFL025C,0,0
YDR078C,0,0
YOR028C,0,0
YBR087W,0,0
YAR018C,0,0
YLR291C,0,0
YFL018W-A,0,0
YEL054C,0,0
YPL131W,0,0
YER149C,0,0
YFR003C,0,0
YLR006C,0,0
YNL272C,0,0
YKL093W,0,0
YDR002W,0,0
YBL026W,0,0
YDR296W,0,0
YDR508C,0,0
YDL120W,0,0
YJL058C,0,0
YOL111C,0,0
YOR343C-A,0,0
YDL043C,0,0
YOR004W,0,0
YBR273C,0,0
YMR238W,0,0
YMR241W,0,0
YLR448W,0,0
YHR175W,0,0
YHR200W,0,0
YEL056W,0,0
YIL115C,0,0
YDR175C,0,0
YGL167C,0,0
YLR167W,0,0
YDR489W,0,0
YFL005W,0,0
YMR240C,0,0
YOL108C,0,0
YNL088W,0,0
YGL136C,0,0
YER054C,0,0
YCR073W-A,0,0
YER143W,0,0
YLR449W,0,0
YOR274W,0,0
YLR265C,0,0
YPL177C,0,0
YPR070W,0,0
YDL014W,0,0
YNL267W,0,0
YCL060C,0,0
YBL004W,0,0
YMR008C,0,0
YDL059C,0,0
YBR156C,0,0
YDR207C,0,0
YER145C,0,0
YKL062W,0,0
YBL088C,0,0
YBL100W-A,0,0
YOR372C,0,0
YOR067C,0,0
YFL002W-B,0,0
YKL190W,0,0
YJL167W,0,0
YER155C,0,0
YOL038W,0,0
YLR212C,0,0
YOR122C,0,0
YMR056C,0,0
YKL188C,0,0
YKR087C,0,0
YHR062C,0,0
YLR060W,0,0
YPL022W,0,0
YGR161W-A,0,0
YDR258C,0,0
YHR067W,0,0
YJL018W,0,0
YDL175C,0,0
YDR211W,0,0
YDL017W,0,0
YDL209C,0,0
YLR183C,0,0
YJL140W,0,0
YBR294W,0,0
YNL207W,0,0
YFR052W,0,0
YDR098C,0,0
YHR069C,0,0
YJL033W,0,0
YDL212W,0,0
YDR244W,0,0
YPR112C,0,0
YBR061C,0,0
YGR280C,0,0
YLR182W,0,0
YHR206W,0,0
YLR298C,0,0
YLR335W,0,0
YDR434W,0,0
YPL156C,0,0
YGL172W,0,0
YIL125W,0,0
YOL063C,0,0
YMR125W,0,0
YLR016C,0,0
YJR063W,0,0
YGL058W,0,0
YDL006W,0,0
YOR256C,0,0
YDR022C,0,0
YML043C,0,0
YNL219C,0,0
YLR117C,0,0
YLL008W,0,0
YDR080W,0,0
YAL011W,0,0
YJL146W,0,0
YOL093W,0,0
YNL330C,0,0
YLR133W,0,0
YHR111W,0,0
YBL025W,0,0
YOR168W,0,0
YMR161W,0,0
YPL167C,0,0
YOL005C,0,0
YPR007C,0,0
YKL081W,0,0
YPL146C,0,0
YLR430W,0,0
YER160C,0,0
YDR314C,0,0
YBR080C,0,0
YGL158W,0,0
YJR082C,0,0
YNL128W,0,0
YBR276C,0,0
YOL149W,0,0
YGL003C,0,0
YJL042W,0,0
YLR330W,0,0
YBL063W,0,0
