Name,+/-,Score,True Positive,False Positive,True Negative,False Negative,Accuracy,Precision,Recall,False Positive Rate,Selectivity
YDR225W,1,141.1935235736564,1,0,6427,155,0.9764545040255203,1.0,0.00641025641025641,0.0,1.0
YBL003C,1,137.80224375807992,2,0,6427,154,0.976606410451162,1.0,0.01282051282051282,0.0,1.0
YJR140C,1,137.46472189123634,3,0,6427,153,0.9767583168768039,1.0,0.019230769230769232,0.0,1.0
YGR221C,1,135.96217292120338,4,0,6427,152,0.9769102233024457,1.0,0.02564102564102564,0.0,1.0
YGL194C,1,134.65704322560225,5,0,6427,151,0.9770621297280875,1.0,0.03205128205128205,0.0,1.0
YAL011W,1,133.64709713564503,6,0,6427,150,0.9772140361537293,1.0,0.038461538461538464,0.0,1.0
YER088C,1,133.2120434228742,7,0,6427,149,0.9773659425793711,1.0,0.04487179487179487,0.0,1.0
YNL030W,1,132.2723178851349,8,0,6427,148,0.9775178490050129,1.0,0.05128205128205128,0.0,1.0
YHR056C,1,131.55562017469686,9,0,6427,147,0.9776697554306547,1.0,0.057692307692307696,0.0,1.0
YLR399C,1,131.27193470548588,10,0,6427,146,0.9778216618562965,1.0,0.0641025641025641,0.0,1.0
YBL006C,1,131.07831203205234,11,0,6427,145,0.9779735682819384,1.0,0.07051282051282051,0.0,1.0
YCL061C,1,131.0532072746928,12,0,6427,144,0.9781254747075802,1.0,0.07692307692307693,0.0,1.0
YML109W,1,131.05045357860155,13,0,6427,143,0.9782773811332219,1.0,0.08333333333333333,0.0,1.0
YBL002W,1,130.97933507450202,14,0,6427,142,0.9784292875588637,1.0,0.08974358974358974,0.0,1.0
YDR224C,1,130.40170200261375,15,0,6427,141,0.9785811939845055,1.0,0.09615384615384616,0.0,1.0
YPR068C,1,130.31716775742055,16,0,6427,140,0.9787331004101474,1.0,0.10256410256410256,0.0,1.0
YDR155C,1,130.30718867669938,17,0,6427,139,0.9788850068357892,1.0,0.10897435897435898,0.0,1.0
YFL049W,1,129.92197384844098,18,0,6427,138,0.9790369132614309,1.0,0.11538461538461539,0.0,1.0
YMR227C,1,129.8721758442755,19,0,6427,137,0.9791888196870727,1.0,0.12179487179487179,0.0,1.0
YHL025W,1,129.75426059821427,20,0,6427,136,0.9793407261127146,1.0,0.1282051282051282,0.0,1.0
YLR103C,1,129.56141598463063,21,0,6427,135,0.9794926325383564,1.0,0.1346153846153846,0.0,1.0
YMR190C,1,129.4350508542723,22,0,6427,134,0.9796445389639982,1.0,0.14102564102564102,0.0,1.0
YFL013C,1,128.97602303273578,23,0,6427,133,0.97979644538964,1.0,0.14743589743589744,0.0,1.0
YDR145W,1,128.87970370243846,24,0,6427,132,0.9799483518152818,1.0,0.15384615384615385,0.0,1.0
YDL105W,1,128.60015747582344,25,0,6427,131,0.9801002582409236,1.0,0.16025641025641027,0.0,1.0
YOL090W,1,128.50195517175138,26,0,6427,130,0.9802521646665654,1.0,0.16666666666666666,0.0,1.0
YDR363W,1,128.44494629455474,27,0,6427,129,0.9804040710922072,1.0,0.17307692307692307,0.0,1.0
YPR175W,1,128.39447231198739,28,0,6427,128,0.980555977517849,1.0,0.1794871794871795,0.0,1.0
YPL011C,1,128.23676014867584,29,0,6427,127,0.9807078839434908,1.0,0.1858974358974359,0.0,1.0
YGR002C,1,127.81474381000888,30,0,6427,126,0.9808597903691326,1.0,0.19230769230769232,0.0,1.0
YBR215W,1,127.77176965877506,31,0,6427,125,0.9810116967947744,1.0,0.1987179487179487,0.0,1.0
YPL127C,1,127.43409919037748,32,0,6427,124,0.9811636032204162,1.0,0.20512820512820512,0.0,1.0
YLR357W,1,127.25780922937595,33,0,6427,123,0.9813155096460581,1.0,0.21153846153846154,0.0,1.0
YGR116W,1,127.24188251966534,34,0,6427,122,0.9814674160716998,1.0,0.21794871794871795,0.0,1.0
YLR052W,1,127.10914787960803,35,0,6427,121,0.9816193224973416,1.0,0.22435897435897437,0.0,1.0
YGR056W,1,127.07207788294272,36,0,6427,120,0.9817712289229834,1.0,0.23076923076923078,0.0,1.0
YGR063C,1,127.0377897746227,37,0,6427,119,0.9819231353486253,1.0,0.23717948717948717,0.0,1.0
YIL150C,1,127.02447502865996,38,0,6427,118,0.9820750417742671,1.0,0.24358974358974358,0.0,1.0
YPL235W,1,126.97124208569663,39,0,6427,117,0.9822269481999089,1.0,0.25,0.0,1.0
YOL017W,1,126.93927523941352,40,0,6427,116,0.9823788546255506,1.0,0.2564102564102564,0.0,1.0
YNL107W,1,126.9304680972006,41,0,6427,115,0.9825307610511924,1.0,0.26282051282051283,0.0,1.0
YOL012C,1,126.77895680815776,42,0,6427,114,0.9826826674768343,1.0,0.2692307692307692,0.0,1.0
YDR167W,1,126.76071676477962,43,0,6427,113,0.9828345739024761,1.0,0.27564102564102566,0.0,1.0
YMR044W,1,126.67029243305007,44,0,6427,112,0.9829864803281179,1.0,0.28205128205128205,0.0,1.0
YKR010C,1,126.56012196737599,45,0,6427,111,0.9831383867537596,1.0,0.28846153846153844,0.0,1.0
YNL135C,1,126.490504284443,46,0,6427,110,0.9832902931794015,1.0,0.2948717948717949,0.0,1.0
YBR198C,1,126.16820832868751,47,0,6427,109,0.9834421996050433,1.0,0.30128205128205127,0.0,1.0
YLR055C,1,126.13450083608299,48,0,6427,108,0.9835941060306851,1.0,0.3076923076923077,0.0,1.0
YBR060C,1,125.97168549198955,49,0,6427,107,0.9837460124563269,1.0,0.3141025641025641,0.0,1.0
YLR321C,1,125.93528303126317,50,0,6427,106,0.9838979188819688,1.0,0.32051282051282054,0.0,1.0
YBL008W,1,125.77031211269204,51,0,6427,105,0.9840498253076105,1.0,0.3269230769230769,0.0,1.0
YLR385C,1,125.70691050515542,52,0,6427,104,0.9842017317332523,1.0,0.3333333333333333,0.0,1.0
YPR052C,1,125.50089797855983,53,0,6427,103,0.9843536381588941,1.0,0.33974358974358976,0.0,1.0
YKR019C,1,125.49588385289057,54,0,6427,102,0.9845055445845359,1.0,0.34615384615384615,0.0,1.0
YPR162C,1,125.45433542152033,55,0,6427,101,0.9846574510101778,1.0,0.3525641025641026,0.0,1.0
YBR231C,1,125.29084359479423,56,0,6427,100,0.9848093574358195,1.0,0.358974358974359,0.0,1.0
YMR223W,1,125.23317954509913,57,0,6427,99,0.9849612638614613,1.0,0.36538461538461536,0.0,1.0
YKR048C,1,125.10451113161334,58,0,6427,98,0.9851131702871031,1.0,0.3717948717948718,0.0,1.0
YDR439W,1,125.09202039198107,59,0,6427,97,0.985265076712745,1.0,0.3782051282051282,0.0,1.0
YJL194W,1,125.02491808525875,60,0,6427,96,0.9854169831383868,1.0,0.38461538461538464,0.0,1.0
