Gene A,Gene B,Score
YIL062C,YHL004W,2.4707183861389798e-18
YIL062C,YPL118W,4.452772582618815e-14
YIL062C,YNL005C,4.334185428904371e-15
YIL062C,YHR091C,3.355600843477022e-18
YIL062C,YLR069C,4.1134563587906544e-17
YIL062C,YDR116C,1.546291913956388e-11
YIL062C,YNL284C,6.386291235421782e-13
YIL062C,YDL202W,8.288424911955406e-16
YIL062C,YKR006C,1.422817755541289e-13
YIL062C,YLR312W-A,2.693818373933083e-14
YIL062C,YBL038W,3.6818467654027576e-13
YIL062C,YNL252C,2.3535371175271817e-14
YIL062C,YNL185C,5.493400873080034e-13
YIL062C,YKL194C,7.251054824054117e-24
YIL062C,YKR085C,3.1481746342494485e-17
YIL062C,YNL177C,2.970773125750883e-21
YIL062C,YOR150W,3.784822281971412e-12
YIL062C,YDR268W,1.0733785968883093e-17
YIL062C,YMR193W,6.362600638682662e-15
YIL062C,YGR076C,1.26043412695556e-16
YIL062C,YBR282W,2.2011787947917583e-09
YIL062C,YNL081C,3.303457632225157e-14
YIL062C,YDR462W,0.0009739890811033547
YIL062C,YMR024W,7.50923542740103e-20
YIL062C,YKL138C,6.658375240053971e-12
YIL062C,YCR003W,1.3561938403488127e-18
YIL062C,YML025C,3.473184738943258e-14
YIL062C,YMR286W,1.0005042627714289e-10
YIL062C,YDR322W,3.342871498276251e-13
YIL062C,YBR122C,1.4144513739520331e-13
YIL062C,YBR268W,3.1024353686114406e-14
YIL062C,YKL170W,3.1409176132993983e-17
YIL062C,YOR335C,3.535352732694899e-16
YIL062C,YML009C,2.077313494830424e-11
YIL062C,YBR121C,1.5553137431126776e-22
YIL062C,YPL173W,4.2436408560083326e-18
YIL062C,YMR225C,2.3814436344140114e-14
YIL062C,YDR041W,2.842718465137506e-13
YIL062C,YJL096W,9.166803600912932e-13
YIL062C,YER050C,1.6813736181120476e-08
YIL062C,YNR022C,4.079232091003249e-11
YIL062C,YNR037C,7.75229456095785e-15
YIL062C,YPR100W,6.648637550451351e-17
YIL062C,YKL155C,6.950996495732798e-22
YIL062C,YHR147C,1.3451573067868594e-05
YIL062C,YGL129C,2.8976564923699556e-18
YIL062C,YDR237W,3.3724415854260706e-23
YIL062C,YDR175C,1.26190147918778e-16
YIL062C,YJL063C,4.5262860126626947e-10
YIL062C,YIL093C,7.324666126183584e-18
YIL062C,YJR101W,1.1211140985884666e-22
YIL062C,YOL023W,5.089045198131512e-23
YIL062C,YGR215W,6.373720453332898e-13
YIL062C,YPL040C,3.2559346786511204e-18
YIL062C,YNR036C,4.3338845898688305e-06
YIL062C,YMR282C,2.999895343997262e-19
YIL062C,YPL013C,1.7622489838914346e-12
YIL062C,YMR188C,2.5035268302886493e-10
YIL062C,YJR113C,2.0391606697471587e-14
