Gene,Label,Score,Background Score,Precision,Recall,False Positive Rate
YMR066W,0,-47.47039921581745,-3020.404562212527,1.0,0.0,0.0
YGL080W,0,-49.48516795039177,-3767.4915408678353,1.0,0.0,0.0
YCR028C-A,1,-66.45035010576248,-8307.849801316857,1.0,0.009433962264150943,0.0
YJR080C,0,-78.72733044624329,-5860.012887708843,1.0,0.009433962264150943,0.0
YCL064C,0,-80.12017971277237,-5711.1800546348095,1.0,0.009433962264150943,0.0
YPL134C,0,-80.59044443070889,-6081.5113887786865,1.0,0.009433962264150943,0.0
YGL143C,0,-80.75348057597876,-5887.814135186374,1.0,0.009433962264150943,0.0
YML110C,-1,-85.11896470189095,-9052.21816071868,0.5,0.009433962264150943,0.00034965034965034965
YDR322C-A,-1,-88.29192325472832,-9431.541074424982,0.3333333333333333,0.009433962264150943,0.0006993006993006993
YMR257C,0,-88.48715060949326,-6378.088111229241,0.3333333333333333,0.009433962264150943,0.0006993006993006993
YNL115C,0,-91.54062831401825,-5332.81914973259,0.3333333333333333,0.009433962264150943,0.0006993006993006993
YOR246C,0,-93.15916895866394,-5459.373664140701,0.3333333333333333,0.009433962264150943,0.0006993006993006993
YJR142W,0,-93.32508099079132,-5451.453146696091,0.3333333333333333,0.009433962264150943,0.0006993006993006993
YMR193W,0,-94.07140392065048,-5936.374222129583,0.3333333333333333,0.009433962264150943,0.0006993006993006993
YPR002W,0,-94.9976452589035,-6643.566416144371,0.3333333333333333,0.009433962264150943,0.0006993006993006993
YGR112W,-1,-95.218701004982,-9926.250840008259,0.25,0.009433962264150943,0.001048951048951049
YBR292C,0,-95.31444919109344,-5446.946726202965,0.25,0.009433962264150943,0.001048951048951049
YPL107W,0,-95.54244256019592,-5883.021736115217,0.25,0.009433962264150943,0.001048951048951049
YOL157C,0,-96.36213219165802,-5560.731540679932,0.25,0.009433962264150943,0.001048951048951049
YMR307W,0,-96.46372154355049,-6295.452726364136,0.25,0.009433962264150943,0.001048951048951049
YJL131C,0,-97.1629650592804,-6535.518324971199,0.25,0.009433962264150943,0.001048951048951049
YBR284W,0,-97.2599995136261,-5588.636236906052,0.25,0.009433962264150943,0.001048951048951049
YJR051W,0,-97.38945189118385,-6697.8119142353535,0.25,0.009433962264150943,0.001048951048951049
YML030W,0,-97.52764934301376,-6627.359880715609,0.25,0.009433962264150943,0.001048951048951049
YHR051W,0,-97.59755736589432,-6606.462113246322,0.25,0.009433962264150943,0.001048951048951049
YDR197W,0,-97.71302445232868,-6973.569409690797,0.25,0.009433962264150943,0.001048951048951049
YML081C-A,-1,-98.6718448549509,-9947.36708816886,0.2,0.009433962264150943,0.0013986013986013986
YPR116W,0,-100.01853081583977,-6341.043051823974,0.2,0.009433962264150943,0.0013986013986013986
YER086W,0,-101.26724034547806,-6342.204799950123,0.2,0.009433962264150943,0.0013986013986013986
YNL005C,0,-102.90389943122864,-6894.033192135394,0.2,0.009433962264150943,0.0013986013986013986
YDL138W,0,-103.16244506835938,-5777.428496152163,0.2,0.009433962264150943,0.0013986013986013986
YIL113W,0,-103.32681745290756,-6817.394493371248,0.2,0.009433962264150943,0.0013986013986013986
YDR462W,0,-103.62344053387642,-7149.216914713383,0.2,0.009433962264150943,0.0013986013986013986
YGR082W,0,-103.64931738376617,-6644.302436321974,0.2,0.009433962264150943,0.0013986013986013986
YDL202W,0,-103.75324457883835,-6571.1707055568695,0.2,0.009433962264150943,0.0013986013986013986
YDR322W,0,-103.94917504489422,-6965.615034982562,0.2,0.009433962264150943,0.0013986013986013986
YML009C,0,-105.33447594940662,-6837.334007930011,0.2,0.009433962264150943,0.0013986013986013986
YOR118W,0,-105.5491373538971,-6529.6541348695755,0.2,0.009433962264150943,0.0013986013986013986
YNL158W,0,-106.09469437599182,-6247.696998715401,0.2,0.009433962264150943,0.0013986013986013986
YKL195W,0,-106.84114165604115,-7566.25656215474,0.2,0.009433962264150943,0.0013986013986013986
YNL121C,1,-109.02446019649506,-10371.178014963865,0.3333333333333333,0.018867924528301886,0.0013986013986013986
YKR049C,0,-109.24102264642715,-6841.541082441807,0.3333333333333333,0.018867924528301886,0.0013986013986013986
YJR129C,0,-109.66780638694763,-6454.730821251869,0.3333333333333333,0.018867924528301886,0.0013986013986013986
YKL167C,0,-109.72741883993149,-7183.715663135052,0.3333333333333333,0.018867924528301886,0.0013986013986013986
YJL104W,0,-110.52318441867828,-7730.7661619484425,0.3333333333333333,0.018867924528301886,0.0013986013986013986
YGR102C,0,-110.80899322032928,-6555.501194059849,0.3333333333333333,0.018867924528301886,0.0013986013986013986
YOL126C,0,-111.50129064917564,-7949.827124476433,0.3333333333333333,0.018867924528301886,0.0013986013986013986
YBR302C,0,-111.62789887189865,-8010.716201007366,0.3333333333333333,0.018867924528301886,0.0013986013986013986
YLR163C,0,-112.08550500869751,-7598.475466281176,0.3333333333333333,0.018867924528301886,0.0013986013986013986
YLR193C,0,-115.59800088405609,-8142.898760855198,0.3333333333333333,0.018867924528301886,0.0013986013986013986
YBR268W,0,-116.74620878696442,-8139.398638784885,0.3333333333333333,0.018867924528301886,0.0013986013986013986
YBR176W,0,-117.54386439919472,-7381.116266220808,0.3333333333333333,0.018867924528301886,0.0013986013986013986
YER060W-A,0,-117.68871366977692,-6924.119225859642,0.3333333333333333,0.018867924528301886,0.0013986013986013986
YPL078C,-1,-117.92222934961319,-10917.091021195054,0.2857142857142857,0.018867924528301886,0.0017482517482517483
YJL063C,1,-118.01749715209007,-9878.935700714588,0.375,0.02830188679245283,0.0017482517482517483
