Gene,Label,Score,Background Score,Precision,Recall,False Positive Rate
YLR430W,1,-145.5132188796997,-29827.73289823532,1.0,0.05,0.0
YGR178C,-1,-149.00059700012207,-29165.62515258789,0.5,0.05,0.00027616680475006904
YLR451W,-1,-149.52800750732422,-29535.83303642273,0.3333333333333333,0.05,0.0005523336095001381
YDR292C,-1,-150.1866331100464,-29733.370385169983,0.25,0.05,0.0008285004142502071
YMR192W,-1,-150.81180906295776,-29180.815410614014,0.2,0.05,0.0011046672190002762
YER129W,-1,-150.95930337905884,-28822.046914577484,0.16666666666666666,0.05,0.0013808340237503453
YJR043C,-1,-151.0445647239685,-29898.71342611313,0.14285714285714285,0.05,0.0016570008285004142
YDR198C,-1,-151.25164365768433,-29747.949996471405,0.125,0.05,0.0019331676332504833
YCR052W,-1,-151.2627911567688,-29933.989181518555,0.1111111111111111,0.05,0.0022093344380005524
YDR110W,-1,-151.47695446014404,-30148.513088703156,0.1,0.05,0.0024855012427506215
YDL207W,-1,-151.92544603347778,-29027.108035087585,0.09090909090909091,0.05,0.0027616680475006906
YCL011C,-1,-151.92725896835327,-29834.64303255081,0.08333333333333333,0.05,0.0030378348522507597
YIL115C,-1,-151.9641351699829,-29500.58965730667,0.07692307692307693,0.05,0.0033140016570008283
YJL041W,-1,-152.0688076019287,-28970.74351978302,0.07142857142857142,0.05,0.0035901684617508974
YGR252W,-1,-152.18845415115356,-28694.130866527557,0.06666666666666667,0.05,0.0038663352665009665
YLR357W,-1,-152.22563552856445,-29131.88070821762,0.0625,0.05,0.004142502071251036
YPR088C,-1,-152.37829208374023,-29641.720686912537,0.058823529411764705,0.05,0.004418668876001105
YKL068W,-1,-152.5776777267456,-29918.84158372879,0.05555555555555555,0.05,0.004694835680751174
YOL006C,-1,-152.593505859375,-29711.475426197052,0.05263157894736842,0.05,0.004971002485501243
YHR206W,-1,-152.8088321685791,-29959.2038064003,0.05,0.05,0.005247169290251312
YAR014C,-1,-152.8107991218567,-29380.84253358841,0.047619047619047616,0.05,0.005523336095001381
YKR099W,-1,-153.0014615058899,-29684.597129821777,0.045454545454545456,0.05,0.00579950289975145
YOR112W,-1,-153.02928256988525,-29614.78350687027,0.043478260869565216,0.05,0.006075669704501519
YIL126W,-1,-153.1913604736328,-29543.211046218872,0.041666666666666664,0.05,0.0063518365092515875
YDR054C,-1,-153.207763671875,-29136.15701150894,0.04,0.05,0.006628003314001657
YBR198C,-1,-153.22963619232178,-29997.012305259705,0.038461538461538464,0.05,0.006904170118751726
YER122C,-1,-153.2301950454712,-29305.354956150055,0.037037037037037035,0.05,0.007180336923501795
YGR027W-B,-1,-153.34668159484863,-28204.960306167603,0.03571428571428571,0.05,0.007456503728251864
YJR042W,-1,-153.3733615875244,-29763.872712135315,0.034482758620689655,0.05,0.007732670533001933
YOR151C,-1,-153.37718725204468,-29782.525063991547,0.03333333333333333,0.05,0.008008837337752003
YJR060W,-1,-153.4838514328003,-29215.78404903412,0.03225806451612903,0.05,0.008285004142502071
YHR072W-A,-1,-153.68559646606445,-28660.04727125168,0.03125,0.05,0.00856117094725214
YFR009W,-1,-153.7639603614807,-30183.679173469543,0.030303030303030304,0.05,0.00883733775200221
YLR096W,-1,-153.82275104522705,-29257.74472808838,0.029411764705882353,0.05,0.009113504556752278
YML115C,-1,-153.82740879058838,-29288.13092470169,0.02857142857142857,0.05,0.009389671361502348
YBR017C,-1,-153.831458568573,-29749.1768078804,0.027777777777777776,0.05,0.009665838166252416
YCR077C,-1,-153.88976430892944,-28600.891817092896,0.02702702702702703,0.05,0.009942004971002486
YNL139C,-1,-153.9039125442505,-28321.463658332825,0.02631578947368421,0.05,0.010218171775752554
YDR261W-A,-1,-153.93742656707764,-28195.363849639893,0.02564102564102564,0.05,0.010494338580502624
