Gene,Label,Score,Background Score,Precision,Recall,False Positive Rate
YNL210W,1,-891.6891044378281,-14652.1040391922,1.0,0.00423728813559322,0.0
YOR351C,-1,-924.7851264476776,-15960.089058876038,0.5,0.00423728813559322,0.0003045066991473812
YGR188C,-1,-939.9294860363007,-16238.743870019913,0.3333333333333333,0.00423728813559322,0.0006090133982947625
YPR055W,-1,-946.8798551559448,-16094.493344068527,0.25,0.00423728813559322,0.0009135200974421437
YGL249W,1,-948.8620910644531,-16428.20511484146,0.4,0.00847457627118644,0.0009135200974421437
YGR179C,-1,-950.5791437625885,-16228.53188419342,0.3333333333333333,0.00847457627118644,0.001218026796589525
YDR446W,1,-953.2301404476166,-16187.053116321564,0.42857142857142855,0.012711864406779662,0.001218026796589525
YLR263W,1,-958.0987076759338,-17028.789454698563,0.5,0.01694915254237288,0.001218026796589525
YPL124W,-1,-959.4113304615021,-16261.413267850876,0.4444444444444444,0.01694915254237288,0.0015225334957369061
YLR234W,1,-960.3023929595947,-16163.477598190308,0.5,0.0211864406779661,0.0015225334957369061
YPL121C,1,-961.1668112277985,-16668.065031528473,0.5454545454545454,0.025423728813559324,0.0015225334957369061
YIL132C,1,-961.3743143081665,-16787.9015583992,0.5833333333333334,0.029661016949152543,0.0015225334957369061
YOR349W,-1,-962.0530418157578,-16829.04796898365,0.5384615384615384,0.029661016949152543,0.0018270401948842874
YHR124W,-1,-962.0547876358032,-16170.32752931118,0.5,0.029661016949152543,0.002131546894031669
YIR025W,1,-963.3585398197174,-17069.09151172638,0.5333333333333333,0.03389830508474576,0.002131546894031669
YJL059W,-1,-966.1340141296387,-16553.601411104202,0.5,0.03389830508474576,0.00243605359317905
YER111C,-1,-966.6422011852264,-16316.278856992722,0.47058823529411764,0.03389830508474576,0.0027405602923264312
YBR250W,-1,-967.2072284221649,-16452.43717932701,0.4444444444444444,0.03389830508474576,0.0030450669914738123
YDL044C,-1,-967.6512911319733,-16514.910839796066,0.42105263157894735,0.03389830508474576,0.0033495736906211937
YNL172W,-1,-967.7415287494659,-15609.20061802864,0.4,0.03389830508474576,0.0036540803897685747
YDR437W,-1,-968.8046627044678,-15646.045767068863,0.38095238095238093,0.03389830508474576,0.003958587088915956
YCR066W,-1,-968.8806736469269,-16930.318599700928,0.36363636363636365,0.03389830508474576,0.004263093788063338
YDL077C,-1,-969.3047535419464,-16466.96028494835,0.34782608695652173,0.03389830508474576,0.004567600487210719
YPR046W,-1,-970.1652841567993,-16548.078258395195,0.3333333333333333,0.03389830508474576,0.0048721071863581
YPL209C,-1,-970.4785287380219,-17181.246220827103,0.32,0.03389830508474576,0.0051766138855054815
YDR244W,-1,-970.7804234027863,-16364.13414645195,0.3076923076923077,0.03389830508474576,0.0054811205846528625
YHR079C-A,1,-970.846429347992,-15988.85366821289,0.3333333333333333,0.038135593220338986,0.0054811205846528625
YCL069W,-1,-970.9617817401886,-16153.326729297638,0.32142857142857145,0.038135593220338986,0.0057856272838002435
YLR288C,1,-972.1878638267517,-17271.05548596382,0.3448275862068966,0.0423728813559322,0.0057856272838002435
YOR003W,0,-972.2557210922241,-17522.577433109283,0.3448275862068966,0.0423728813559322,0.0057856272838002435
YNL250W,1,-972.4687006473541,-17323.714725494385,0.36666666666666664,0.046610169491525424,0.0057856272838002435
