Gene,Label,Score,Background Score,Precision,Recall,False Positive Rate
YOL039W,1,-111.48220229148865,-32912.13273406029,1.0,0.05,0.0
YJR145C,-1,-113.8216016292572,-32620.146575927734,0.5,0.05,0.00027616680475006904
YKR059W,-1,-116.31799077987671,-30845.475344896317,0.3333333333333333,0.05,0.0005523336095001381
YDL083C,-1,-116.94815564155579,-33534.008991241455,0.25,0.05,0.0008285004142502071
YLR048W,-1,-117.56377577781677,-32844.39023518562,0.2,0.05,0.0011046672190002762
YML073C,-1,-118.01882100105286,-33338.408328294754,0.16666666666666666,0.05,0.0013808340237503453
YGR285C,-1,-119.80745673179626,-33074.665036678314,0.14285714285714285,0.05,0.0016570008285004142
YKL056C,-1,-119.93872404098511,-32792.05722975731,0.125,0.05,0.0019331676332504833
YLR293C,-1,-120.58475494384766,-32944.49845838547,0.1111111111111111,0.05,0.0022093344380005524
YGL030W,-1,-121.50937628746033,-32366.83823823929,0.1,0.05,0.0024855012427506215
YOL121C,-1,-121.65679454803467,-31174.4582195282,0.09090909090909091,0.05,0.0027616680475006906
YMR142C,-1,-121.70727825164795,-33456.31405520439,0.08333333333333333,0.05,0.0030378348522507597
YER117W,-1,-122.7302098274231,-32318.734626293182,0.07692307692307693,0.05,0.0033140016570008283
YHR019C,-1,-123.4001030921936,-32863.76504635811,0.07142857142857142,0.05,0.0035901684617508974
YHR203C,-1,-123.958993434906,-31688.72553539276,0.06666666666666667,0.05,0.0038663352665009665
YHR193C,-1,-125.4762315750122,-32633.914439201355,0.0625,0.05,0.004142502071251036
YGL105W,-1,-126.81447649002075,-32164.55233192444,0.058823529411764705,0.05,0.004418668876001105
YGR155W,-1,-127.98512649536133,-32565.969355106354,0.05555555555555555,0.05,0.004694835680751174
YDL014W,-1,-128.25022268295288,-33567.384840488434,0.05263157894736842,0.05,0.004971002485501243
YGL195W,1,-129.61464977264404,-31906.1296043396,0.1,0.1,0.004971002485501243
YLR355C,-1,-130.1279797554016,-31798.85535287857,0.09523809523809523,0.1,0.005247169290251312
YJR070C,-1,-130.5063772201538,-33224.6333026886,0.09090909090909091,0.1,0.005523336095001381
YJL183W,-1,-131.03451585769653,-33219.851608753204,0.08695652173913043,0.1,0.00579950289975145
YGL078C,-1,-131.26984310150146,-33485.34285116196,0.08333333333333333,0.1,0.006075669704501519
YER165W,-1,-131.3250551223755,-32088.089581012726,0.08,0.1,0.0063518365092515875
YOL127W,-1,-131.33239841461182,-33250.413353443146,0.07692307692307693,0.1,0.006628003314001657
YNL302C,-1,-131.40573740005493,-33744.116525650024,0.07407407407407407,0.1,0.006904170118751726
YLR249W,1,-132.57981300354004,-33283.83482885361,0.10714285714285714,0.15,0.006904170118751726
YOR210W,-1,-133.09235382080078,-32905.43759393692,0.10344827586206896,0.15,0.007180336923501795
YML093W,-1,-133.20869731903076,-34706.66602420807,0.1,0.15,0.007456503728251864
YJL111W,-1,-133.9359941482544,-32205.97522878647,0.0967741935483871,0.15,0.007732670533001933
YDR086C,-1,-133.9511022567749,-31503.81076860428,0.09375,0.15,0.008008837337752003
YJL121C,-1,-134.05347204208374,-32101.592524528503,0.09090909090909091,0.15,0.008285004142502071
YGL135W,-1,-134.22452545166016,-32126.229770183563,0.08823529411764706,0.15,0.00856117094725214
YBR048W,-1,-134.2650055885315,-33947.596354961395,0.08571428571428572,0.15,0.00883733775200221
YEL027W,-1,-134.53487300872803,-30855.347763061523,0.08333333333333333,0.15,0.009113504556752278
YBR118W,1,-134.65979862213135,-31501.058837890625,0.10810810810810811,0.2,0.009113504556752278
YPL043W,-1,-135.1552710533142,-34019.47982120514,0.10526315789473684,0.2,0.009389671361502348
YMR079W,-1,-135.29257774353027,-33883.74831819534,0.10256410256410256,0.2,0.009665838166252416
YPL235W,-1,-135.67652416229248,-33279.100361824036,0.1,0.2,0.009942004971002486
YDL229W,-1,-136.17246770858765,-31665.15771818161,0.0975609756097561,0.2,0.010218171775752554
YKL212W,-1,-136.22372388839722,-31857.68154144287,0.09523809523809523,0.2,0.010494338580502624
YLR192C,-1,-136.2556095123291,-32120.623516082764,0.09302325581395349,0.2,0.010770505385252692
YDR341C,-1,-136.4152956008911,-32130.675857543945,0.09090909090909091,0.2,0.011046672190002762
YNL061W,-1,-136.81803226470947,-34289.18176937103,0.08888888888888889,0.2,0.01132283899475283
YDR398W,-1,-136.86615371704102,-33216.984545230865,0.08695652173913043,0.2,0.0115990057995029
YLR008C,-1,-137.01116800308228,-32912.448731422424,0.0851063829787234,0.2,0.011875172604252969
YBR283C,-1,-137.0703101158142,-32455.3464179039,0.08333333333333333,0.2,0.012151339409003039
YDR174W,-1,-137.1514172554016,-31316.425453186035,0.08163265306122448,0.2,0.012427506213753107
YMR116C,-1,-137.37483501434326,-34186.88896036148,0.08,0.2,0.012703673018503175
YOR209C,-1,-137.38580751419067,-31321.102197647095,0.0784313725490196,0.2,0.012979839823253245
YPL063W,-1,-137.72448873519897,-31635.839383602142,0.07692307692307693,0.2,0.013256006628003313
YGR158C,-1,-138.04535961151123,-33684.045834064484,0.07547169811320754,0.2,0.013532173432753383
YAL003W,1,-138.08577251434326,-33500.19079732895,0.09259259259259259,0.25,0.013532173432753383
YER110C,-1,-138.0927710533142,-32588.40221118927,0.09090909090909091,0.25,0.013808340237503451
YGL171W,-1,-139.00549459457397,-33786.2129406929,0.08928571428571429,0.25,0.014084507042253521
YMR296C,-1,-139.0518455505371,-30883.236654281616,0.08771929824561403,0.25,0.01436067384700359
YKL029C,-1,-139.4012942314148,-32283.495458126068,0.08620689655172414,0.25,0.01463684065175366
YBR143C,-1,-139.46033477783203,-32767.59854412079,0.0847457627118644,0.25,0.014913007456503728
YBR034C,-1,-139.66705703735352,-31491.502618312836,0.08333333333333333,0.25,0.015189174261253798
YNL154C,-1,-139.9293065071106,-32973.92360544205,0.08196721311475409,0.25,0.015465341066003866
YOR254C,-1,-140.09867668151855,-32906.80617523193,0.08064516129032258,0.25,0.015741507870753936
YCL054W,-1,-140.12938499450684,-33650.95938920975,0.07936507936507936,0.25,0.016017674675504006
YOR063W,-1,-140.54565858840942,-33244.54325962067,0.078125,0.25,0.016293841480254073
YOL040C,-1,-140.82211875915527,-33067.98103046417,0.07692307692307693,0.25,0.016570008285004142
YKL021C,-1,-140.96240377426147,-33568.753566265106,0.07575757575757576,0.25,0.016846175089754212
YOR272W,-1,-141.07202291488647,-33505.29414463043,0.07462686567164178,0.25,0.01712234189450428
YGL092W,-1,-141.18299961090088,-32357.435955524445,0.07352941176470588,0.25,0.01739850869925435
