Gene,Label,Score,Background Score,Precision,Recall,False Positive Rate
YLR204W,-1,-80.26835310459137,-9375.168984606862,0.0,0.0,0.0002995805871779509
YNL055C,1,-106.992716640234,-9295.3346529454,0.5,0.006024096385542169,0.0002995805871779509
YLR193C,1,-120.54546841979027,-10699.550037816167,0.6666666666666666,0.012048192771084338,0.0002995805871779509
YML110C,-1,-121.82142721116543,-9053.97219029069,0.5,0.012048192771084338,0.0005991611743559018
YMR267W,-1,-127.28325590491295,-9210.61719815433,0.4,0.012048192771084338,0.0008987417615338526
YOR176W,0,-128.0167920589447,-10074.457321822643,0.4,0.012048192771084338,0.0008987417615338526
YDR322C-A,-1,-133.26961374282837,-10712.884404212236,0.3333333333333333,0.012048192771084338,0.0011983223487118035
YOR045W,1,-138.9342794418335,-10800.113745376468,0.42857142857142855,0.018072289156626505,0.0011983223487118035
YOR142W,-1,-139.41255812346935,-10309.600534543395,0.375,0.018072289156626505,0.0014979029358897543
YBL099W,-1,-141.5414504557848,-9996.895915478468,0.3333333333333333,0.018072289156626505,0.0017974835230677051
YNR001C,-1,-141.8662902265787,-12367.316489070654,0.3,0.018072289156626505,0.002097064110245656
YHR117W,0,-143.01832762360573,-9894.541687309742,0.3,0.018072289156626505,0.002097064110245656
YML129C,-1,-143.1617602854967,-10333.140643522143,0.2727272727272727,0.018072289156626505,0.002396644697423607
YCR028C-A,1,-143.18846330046654,-9981.50743354857,0.3333333333333333,0.024096385542168676,0.002396644697423607
YGL068W,-1,-143.70608568191528,-9933.996673747897,0.3076923076923077,0.024096385542168676,0.0026962252846015576
YMR286W,-1,-143.8759008795023,-9707.676127150655,0.2857142857142857,0.024096385542168676,0.0029958058717795086
YLR312W-A,-1,-144.4124617576599,-11219.02196867764,0.26666666666666666,0.024096385542168676,0.0032953864589574597
YDR296W,1,-146.4471241235733,-10730.855218946934,0.3125,0.030120481927710843,0.0032953864589574597
