Gene,Label,Score,Background Score,Precision,Recall,False Positive Rate
YOL164W-A,0,-17.097906470298767,-2179.991135403514,1.0,0.0,0.0
YDR182W-A,0,-17.302631869912148,-2170.1643148213625,1.0,0.0,0.0
YER138W-A,0,-17.885908603668213,-2405.3611231148243,1.0,0.0,0.0
YAL037C-A,0,-18.58674469590187,-2371.5199823975563,1.0,0.0,0.0
YER188C-A,0,-18.587821900844574,-2359.902382671833,1.0,0.0,0.0
YIL071W,0,-18.603543490171432,-2452.0134003460407,1.0,0.0,0.0
YNL067W-B,0,-18.745387464761734,-2345.2012159638107,1.0,0.0,0.0
YIL015C-A,0,-18.814285933971405,-2384.891497731209,1.0,0.0,0.0
YJL136W-A,0,-18.885854095220566,-2338.349069803953,1.0,0.0,0.0
YOL013W-B,0,-18.898890614509583,-2385.571814864874,1.0,0.0,0.0
YCR062W,0,-18.929918587207794,-2394.0614040493965,1.0,0.0,0.0
YJL205C-A,0,-19.01681897044182,-2451.001398563385,1.0,0.0,0.0
YJL206C-A,0,-19.01681900024414,-2451.0013980418444,1.0,0.0,0.0
YHR214C-D,0,-19.052239537239075,-2383.267417192459,1.0,0.0,0.0
YKL068W-A,0,-19.057617664337158,-2374.7722933888435,1.0,0.0,0.0
YMR158C-B,0,-19.105115711688995,-2384.376901179552,1.0,0.0,0.0
YAL065C-A,0,-19.130971044301987,-2387.3564654290676,1.0,0.0,0.0
YPR010C-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YER190C-B,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YLR154C-H,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YLR156C-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YLR157C-C,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YLR159C-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YBR296C-A,0,-19.145160734653473,-2385.3301711678505,1.0,0.0,0.0
YLR157W-D,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YLR157W-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YLR157W-C,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YLR157W-B,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YHL048C-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YMR030W-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YBR230W-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YDR246W-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YKL183C-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YJR151W-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YBR255C-A,0,-19.145160734653473,-2385.3305507302284,1.0,0.0,0.0
YBR196C-B,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YBR221W-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YGR240C-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YCR095W-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YBR072C-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YLR361C-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YER078W-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YMR230W-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YOL097W-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YNL277W-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YNL146C-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YNL042W-B,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YIR018C-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YIL046W-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YIL002W-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YHL015W-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YDR003W-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YOR381W-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YOR376W-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YOR316C-A,0,-19.145160734653473,-2385.33069306612,1.0,0.0,0.0
YML054C-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YLL006W-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YHR175W-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YGR121W-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YFL041W-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YDR194W-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YCR108C,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YAR069W-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YHR214W-F,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YPR145C-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YKL023C-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YDR461C-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YDL007C-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YBR201C-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YOR034C-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YJL047C-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YIR021W-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YHR086W-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YBL101W-C,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YNL097C-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YHR007C-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YOR072W-B,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YIL134C-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YGR035W-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YCL011C-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YOR394C-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YOL166W-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YLL066W-B,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YHR213W-B,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YBR298C-A,0,-19.145160734653473,-2385.3308772444725,1.0,0.0,0.0
YAL067W-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YPR159C-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YPL152W-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YOL019W-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YMR315W-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YMR182W-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YMR105W-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YKL096C-B,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YJL077W-B,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YHR213W-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
YHR022C-A,0,-19.145160734653473,-2385.3307405114174,1.0,0.0,0.0
