Gene,Label,Score,Background Score,Precision,Recall,False Positive Rate
YLR457C,0,2187.244924724102,58006.304739288986,1.0,0.0,0.0
YGL075C,0,2008.8574607372284,55876.58735602349,1.0,0.0,0.0
YPR179C,0,1721.392555296421,44767.55423229933,1.0,0.0,0.0
YDR295C,0,1545.0951189398766,43340.735636256635,1.0,0.0,0.0
YAL027W,0,1526.5042147040367,36912.143847176805,1.0,0.0,0.0
YNL201C,0,1520.9515110254288,39726.47679727338,1.0,0.0,0.0
YNR009W,0,1448.5075051635504,38558.33565271273,1.0,0.0,0.0
YMR069W,0,1435.0464913845062,37346.24468655884,1.0,0.0,0.0
YKR063C,0,1434.5386906266212,39462.976884678006,1.0,0.0,0.0
YGR270W,0,1419.5761079788208,40760.847175732255,1.0,0.0,0.0
YNL215W,0,1409.6776148676872,39254.387609463185,1.0,0.0,0.0
YER092W,0,1384.8896831423044,37578.67325770855,1.0,0.0,0.0
YOR023C,0,1344.8446677923203,34994.82386693731,1.0,0.0,0.0
YHR127W,0,1312.0079101920128,34668.46423413884,1.0,0.0,0.0
YGL066W,0,1305.6138756275177,34883.01986620575,1.0,0.0,0.0
YER116C,0,1298.4000186920166,34826.837378609926,1.0,0.0,0.0
YHR195W,0,1279.8640537261963,35846.68799556792,1.0,0.0,0.0
YLR227C,0,1257.6207656860352,30374.279660526663,1.0,0.0,0.0
YCR084C,0,1248.8862953782082,30860.1246645255,1.0,0.0,0.0
YJL038C,0,1245.8910828828812,28306.29193531163,1.0,0.0,0.0
YPR045C,0,1231.1838184595108,34763.93705033511,1.0,0.0,0.0
YIL104C,0,1222.5149554610252,35591.99281982891,1.0,0.0,0.0
YGL091C,0,1217.9496739506721,29878.19620440714,1.0,0.0,0.0
YBR148W,0,1217.2723640203476,30235.452939848416,1.0,0.0,0.0
YDR181C,0,1214.4926374554634,30701.967666765675,1.0,0.0,0.0
YNL004W,0,1211.8862981200218,34165.24029956013,1.0,0.0,0.0
YLR375W,0,1206.6813395619392,31469.60152983293,1.0,0.0,0.0
YBL104C,0,1205.9526044875383,27718.282347434666,1.0,0.0,0.0
YPL166W,0,1202.659497499466,34199.07799565233,1.0,0.0,0.0
YMR294W,0,1187.5924946069717,27739.245153674856,1.0,0.0,0.0
YGL258W,0,1180.9517486691475,27645.561177805066,1.0,0.0,0.0
YER059W,0,1178.2806057929993,31080.458845318295,1.0,0.0,0.0
YNL196C,0,1172.7898272275925,27464.873008288443,1.0,0.0,0.0
YNL108C,0,1156.0764922499657,29348.76285532117,1.0,0.0,0.0
YGL263W,0,1153.3217200040817,26243.483818357345,1.0,0.0,0.0
YPR040W,0,1120.2677447795868,28105.34144202806,1.0,0.0,0.0
YHR177W,0,1117.8000268936157,25208.500442717224,1.0,0.0,0.0
YNL187W,0,1116.3329892158508,27936.45117486082,1.0,0.0,0.0
YBR194W,0,1115.9932324886322,29945.81914011389,1.0,0.0,0.0
YNL204C,0,1105.2703930735588,25835.58485961333,1.0,0.0,0.0
YMR174C,0,1096.4861440062523,29405.41713041067,1.0,0.0,0.0
YAL067C,0,1094.8841844201088,24283.591888676398,1.0,0.0,0.0
YNL249C,0,1092.5626081824303,25792.012336298823,1.0,0.0,0.0
YBR147W,0,1092.3808019086719,23807.123964339495,1.0,0.0,0.0
YMR111C,0,1091.3642734885216,34633.390292555094,1.0,0.0,0.0
YOR213C,0,1089.6706021428108,28517.19172910601,1.0,0.0,0.0
YEL007W,0,1085.2981706857681,29141.9115230944,1.0,0.0,0.0
YJL105W,0,1081.4258592426777,24790.193264583126,1.0,0.0,0.0
YGR213C,0,1065.7022758126259,24960.017219999805,1.0,0.0,0.0
YML103C,0,1064.5989746134728,24842.157272077166,1.0,0.0,0.0
YHR151C,0,1062.7994249463081,24248.529776591808,1.0,0.0,0.0
YHR040W,0,1060.507394760847,28057.57093450427,1.0,0.0,0.0
YCR059C,0,1051.0349246561527,27920.215847906657,1.0,0.0,0.0
YPL165C,0,1049.6592798233032,24017.007593500428,1.0,0.0,0.0
YGR093W,0,1030.209476172924,32662.81613135338,1.0,0.0,0.0
YOR166C,0,1027.4173920229077,24361.848480360582,1.0,0.0,0.0
YBL033C,0,1023.241492152214,26583.693989396095,1.0,0.0,0.0
YFL028C,0,1016.3931175023317,25582.574912158772,1.0,0.0,0.0
YJL084C,0,1013.441900730133,21716.309822882526,1.0,0.0,0.0
YIR030C,0,1008.3913888633251,23600.899884772487,1.0,0.0,0.0
YGR043C,0,1007.1519711539149,27870.39263028931,1.0,0.0,0.0
YPR089W,0,1005.3038476109505,23646.948082487565,1.0,0.0,0.0
YJR089W,1,1003.3090924024582,28514.16783887148,1.0,0.0055248618784530384,0.0
YFL017C,0,991.874305382371,25004.907435105182,1.0,0.0055248618784530384,0.0
YMR095C,0,989.5577422678471,23682.682579737157,1.0,0.0055248618784530384,0.0
YDR458C,0,987.0798888206482,23915.42871759087,1.0,0.0055248618784530384,0.0
YML017W,0,986.0440844073892,25548.209458626807,1.0,0.0055248618784530384,0.0
YGR188C,1,983.3425451517105,27681.505728900433,1.0,0.011049723756906077,0.0
YLR262C-A,0,982.8130392432213,25301.07707125973,1.0,0.011049723756906077,0.0
YOL063C,0,981.7951696515083,24361.72442517616,1.0,0.011049723756906077,0.0
YAR002W,0,980.0873187305406,22451.33464274695,1.0,0.011049723756906077,0.0
YJL023C,0,978.959925532341,21373.483046951704,1.0,0.011049723756906077,0.0
YJR094C,0,978.1431642174721,22997.497234359384,1.0,0.011049723756906077,0.0
YHL030W,0,975.3476684987545,25454.94921872951,1.0,0.011049723756906077,0.0
YDR066C,0,975.1228319853544,21883.92378920084,1.0,0.011049723756906077,0.0
YFL060C,0,969.7098529338837,24170.15582205914,1.0,0.011049723756906077,0.0
YPR093C,0,968.5658675935119,19952.05568716023,1.0,0.011049723756906077,0.0
YGR233C,0,962.8645204156637,24931.703097810037,1.0,0.011049723756906077,0.0
YDL001W,0,961.823718726635,22955.821718624793,1.0,0.011049723756906077,0.0
YGL110C,0,960.9490867555141,19051.343956538476,1.0,0.011049723756906077,0.0
YFR026C,0,960.2464294545352,22107.15875164559,1.0,0.011049723756906077,0.0
YGR230W,0,959.9353603422642,23621.30549123045,1.0,0.011049723756906077,0.0
YPR141C,1,959.6259229779243,27083.539478838444,1.0,0.016574585635359115,0.0
YFL007W,0,959.5813963115215,24223.96372588817,1.0,0.016574585635359115,0.0
YCR032W,0,957.3386262059212,24461.979423929937,1.0,0.016574585635359115,0.0
YOR104W,0,957.0172095000744,21898.44930539839,1.0,0.016574585635359115,0.0
YDL182W,0,955.3692393153906,27996.033953588456,1.0,0.016574585635359115,0.0
YMR310C,0,952.439012825489,32490.120884895325,1.0,0.016574585635359115,0.0
YJL061W,0,946.4119899272919,22008.584523283876,1.0,0.016574585635359115,0.0
YJL037W,0,939.1677423715591,20222.943094348535,1.0,0.016574585635359115,0.0
YPL014W,0,938.8372485637665,29296.006660044193,1.0,0.016574585635359115,0.0
YPL219W,0,936.0776408016682,25037.782669206616,1.0,0.016574585635359115,0.0
YBL059C-A,0,935.8724650144577,30984.918891310692,1.0,0.016574585635359115,0.0
YDR223W,0,935.566874306649,21678.178943469655,1.0,0.016574585635359115,0.0
YIL149C,0,935.0275687379763,23343.420314081945,1.0,0.016574585635359115,0.0
YMR028W,0,934.7842789292336,21149.863385501318,1.0,0.016574585635359115,0.0
YML068W,0,930.2054041475058,21503.385286388453,1.0,0.016574585635359115,0.0
