Gene,Label,Score,Background Score,Precision,Recall,False Positive Rate
YFR053C,-1,-9.454659789800644,-433.55898616090417,0.0,0.0,0.000286368843069874
YML058W-A,-1,-9.616220269352198,-273.66361827775836,0.0,0.0,0.000572737686139748
YBR072W,-1,-10.157650139182806,-446.2335479706526,0.0,0.0,0.000859106529209622
YMR303C,-1,-10.305659472942352,-359.91123612597585,0.0,0.0,0.001145475372279496
YDR342C,-1,-10.454914350062609,-487.0824300684035,0.0,0.0,0.0014318442153493699
YJR073C,-1,-11.390811834484339,-517.8699268177152,0.0,0.0,0.001718213058419244
YER062C,-1,-11.596641551703215,-374.6956117711961,0.0,0.0,0.002004581901489118
YCL040W,-1,-11.778871905058622,-610.7630208879709,0.0,0.0,0.002290950744558992
YDR516C,-1,-12.07116198912263,-575.0460069812834,0.0,0.0,0.002577319587628866
YER103W,-1,-12.166005503386259,-415.0461238399148,0.0,0.0,0.0028636884306987398
YCR102C,-1,-12.302062083035707,-306.21354077383876,0.0,0.0,0.003150057273768614
YDR343C,-1,-12.327426444739103,-533.9863642714918,0.0,0.0,0.003436426116838488
YDR055W,-1,-12.445145539939404,-518.5020789839327,0.0,0.0,0.0037227949599083618
YGL055W,-1,-13.086587138473988,-477.1225129403174,0.0,0.0,0.004009163802978236
YJL021C,-1,-13.118870079517365,-345.27097761258483,0.0,0.0,0.00429553264604811
YMR250W,-1,-13.323022484779358,-601.3507347740233,0.0,0.0,0.004581901489117984
YGR248W,-1,-13.525013476610184,-570.284731540829,0.0,0.0,0.004868270332187858
YFL014W,-1,-13.665621295571327,-512.9080653488636,0.0,0.0,0.005154639175257732
YIL017W,-1,-13.892873466014862,-361.8050787858665,0.0,0.0,0.005441008018327606
YJR009C,-1,-13.959221296012402,-534.1159442327917,0.0,0.0,0.0057273768613974796
YER108C,-1,-14.0879872366786,-357.30518309772015,0.0,0.0,0.006013745704467354
YML131W,-1,-14.11032534018159,-374.43620216473937,0.0,0.0,0.006300114547537228
YOR185C,-1,-14.133236587047577,-546.3827034123242,0.0,0.0,0.006586483390607102
YOR008C-A,-1,-14.22369584068656,-351.37558491155505,0.0,0.0,0.006872852233676976
YBR090C-A,-1,-14.235428869724274,-359.31166457757354,0.0,0.0,0.00715922107674685
YLR391W,-1,-14.302041821181774,-355.33883026987314,0.0,0.0,0.0074455899198167235
YDR077W,-1,-14.310579627752304,-626.4608775898814,0.0,0.0,0.007731958762886598
YKL200C,-1,-14.311819791793823,-364.03363232687116,0.0,0.0,0.008018327605956471
YPL276W,-1,-14.353763494640589,-356.1351918950677,0.0,0.0,0.008304696449026346
