Gene,Label,Annos,Score,Background Score,Num pos pairs,Precision,Recall,False Positive Rate
YOR343C-A,-1,-/-,-72.14353561401367,-26260.246963500977,10,0.0,0.0,0.00020863759649488838
YDR261C-C,-1,-/-,-72.25199127197266,-26326.25175333023,10,0.0,0.0,0.00041727519298977677
YGR109W-A,-1,-/-,-72.2853889465332,-26371.511283397675,10,0.0,0.0,0.0006259127894846651
YDR210W-A,-1,-/-,-72.29750347137451,-26345.038927555084,10,0.0,0.0,0.0008345503859795535
YGR161C-C,-1,-/-,-72.38063669204712,-26388.052525997162,10,0.0,0.0,0.001043187982474442
YLR410W-A,-1,-/-,-72.42417764663696,-26468.93416261673,10,0.0,0.0,0.0012518255789693302
YDR365W-B,-1,-/-,-72.44565200805664,-26431.244782924652,10,0.0,0.0,0.0014604631754642186
YOR192C-A,-1,-/-,-72.50292110443115,-26380.938672542572,10,0.0,0.0,0.001669100771959107
YOR142W-B,-1,-/-,-72.51145935058594,-26487.114017486572,10,0.0,0.0,0.0018777383684539955
YOR192C-B,-1,-/-,-72.52833938598633,-26472.941121578217,10,0.0,0.0,0.002086375964948884
YDR210W-B,-1,-/-,-72.57010173797607,-26495.225616455078,10,0.0,0.0,0.0022950135614437724
YPR137C-B,-1,-/-,-72.58889055252075,-26486.742392539978,10,0.0,0.0,0.0025036511579386604
YDR098C-B,-1,-/-,-72.59629154205322,-26496.619574546814,10,0.0,0.0,0.002712288754433549
YPL257W-A,-1,-/-,-72.60644197463989,-26488.51588821411,10,0.0,0.0,0.0029209263509284373
YOR142W-A,-1,-/-,-72.66331100463867,-26498.86007642746,10,0.0,0.0,0.0031295639474233257
YGR038C-B,-1,-/-,-72.66416358947754,-26527.49324607849,10,0.0,0.0,0.003338201543918214
YDR316W-B,-1,-/-,-72.66759538650513,-26531.789316654205,10,0.0,0.0,0.0035468391404131026
YPL257W-B,-1,-/-,-72.71292114257812,-26480.749809741974,10,0.0,0.0,0.003755476736907991
YLR227W-A,-1,-/-,-72.76478433609009,-26453.078111171722,10,0.0,0.0,0.0039641143334028794
YGR161C-D,-1,-/-,-72.77382230758667,-26534.766491413116,10,0.0,0.0,0.004172751929897768
YLR157C-B,-1,-/-,-72.77676916122437,-26549.844789028168,10,0.0,0.0,0.004381389526392656
YGR038C-A,-1,-/-,-72.90612983703613,-26498.402551651,10,0.0,0.0,0.004590027122887545
YHR039C-B,-1,-/-,-73.97384071350098,-27484.496406555176,10,0.0,0.0,0.004798664719382432
YDR210W-C,-1,-/-,-74.82458305358887,-27236.149620056152,10,0.0,0.0,0.005007302315877321
YOR343C-B,-1,-/-,-74.8245849609375,-27236.149620056152,10,0.0,0.0,0.005215939912372209
YDR014W-A,-1,-/-,-74.8245849609375,-27236.149620056152,10,0.0,0.0,0.005424577508867098
YML045W-A,-1,-/-,-74.8245849609375,-27236.149620056152,10,0.0,0.0,0.005633215105361986
YDR098C-A,-1,-/-,-74.83918619155884,-27341.73280096054,10,0.0,0.0,0.0058418527018568745
YDR034C-D,-1,-/-,-75.00111436843872,-27431.605449199677,10,0.0,0.0,0.006050490298351763
YFL035C,-1,-/-,-75.00228929519653,-27180.84470462799,10,0.0,0.0,0.006259127894846651
YFL035C-A,-1,-/-,-75.00229024887085,-27180.844747543335,10,0.0,0.0,0.00646776549134154
YOR396W,0,0/0,-75.16455900669098,-45813.34964823723,40,0.0,0.0,0.00646776549134154
YLR410W-B,-1,-/-,-75.18071222305298,-27462.060116291046,10,0.0,0.0,0.006676403087836428
YDR316W-A,-1,-/-,-75.25548076629639,-27514.380083084106,10,0.0,0.0,0.006885040684331317
YOL103W-B,-1,-/-,-75.30052471160889,-27526.964627742767,10,0.0,0.0,0.007093678280826205
YPR158C-C,-1,-/-,-75.30372142791748,-27388.39952993393,10,0.0,0.0,0.007302315877321094
YNL284C-B,-1,-/-,-75.44325590133667,-27581.335379600525,10,0.0,0.0,0.007510953473815982
YMR194C-B,0,0/0,-75.64203405380249,-45075.089301109314,40,0.0,0.0,0.007510953473815982
YBL029C-A,0,0/0,-75.64203453063965,-45075.08930039406,40,0.0,0.0,0.007510953473815982
YLR285C-A,0,0/0,-75.64203464984894,-45075.089300751686,40,0.0,0.0,0.007510953473815982
YPL038W-A,0,0/0,-75.64203464984894,-45075.089300990105,40,0.0,0.0,0.007510953473815982
YIL002W-A,0,0/0,-75.64203464984894,-45075.08930003643,40,0.0,0.0,0.007510953473815982
YHR022C-A,0,0/0,-75.64203464984894,-45075.08930027485,40,0.0,0.0,0.007510953473815982
YHL048C-A,0,0/0,-75.64203464984894,-45075.08930039406,40,0.0,0.0,0.007510953473815982
YBR221W-A,0,0/0,-75.64203476905823,-45075.089300990105,40,0.0,0.0,0.007510953473815982
YAL044W-A,-1,0/-,-75.64203476905823,-45075.08930039406,40,0.0,0.0,0.0077195910703108704
YLR157C-C,0,0/0,-75.64203488826752,-45075.08930003643,40,0.0,0.0,0.0077195910703108704
YJL127C-A,-1,0/-,-75.64203488826752,-45075.08930039406,40,0.0,0.0,0.007928228666805759
YER175W-A,0,0/0,-75.6420350074768,-45075.08930039406,40,0.0,0.0,0.007928228666805759
YNL277W-A,0,0/0,-75.6420350074768,-45075.089301109314,40,0.0,0.0,0.007928228666805759
YLR363W-A,0,0/0,-75.6420350074768,-45075.089301109314,40,0.0,0.0,0.007928228666805759
YGR240C-A,0,0/0,-75.6420350074768,-45075.08930039406,40,0.0,0.0,0.007928228666805759
YOR161C-C,0,0/0,-75.6420351266861,-45075.08930039406,40,0.0,0.0,0.007928228666805759
YKL023C-A,0,0/0,-75.6420351266861,-45075.08930039406,40,0.0,0.0,0.007928228666805759
YNL042W-B,0,0/0,-75.6420351266861,-45075.08930039406,40,0.0,0.0,0.007928228666805759
