Gene,Label,Annos,Score,Background Score,Num pos pairs,Precision,Recall,False Positive Rate
YIL021W,-1,-/-,-452.33532574772835,-10806.526934579015,244,0.0,0.0,0.00029437739181630853
YGR082W,1,+/+,-464.0562804490328,-10229.146699801087,243,0.5,0.004098360655737705,0.00029437739181630853
YLR270W,-1,-/-,-464.3536375761032,-11612.106027647853,244,0.3333333333333333,0.004098360655737705,0.0005887547836326171
YOR151C,-1,-/-,-479.9798715263605,-10428.496962994337,244,0.25,0.004098360655737705,0.0008831321754489255
YML128C,-1,-/-,-484.01426653563976,-10458.55278043449,244,0.2,0.004098360655737705,0.0011775095672652341
YCR053W,-1,-/0,-487.94280253350735,-10665.210408970714,244,0.16666666666666666,0.004098360655737705,0.0014718869590815426
YBR143C,-1,-/-,-497.12782150506973,-11762.402108997107,244,0.14285714285714285,0.004098360655737705,0.001766264350897851
YLR102C,-1,-/-,-498.294429987669,-11290.86668048799,244,0.125,0.004098360655737705,0.0020606417427141595
YCR028C-A,-1,-/-,-499.4964412301779,-10153.738223388791,244,0.1111111111111111,0.004098360655737705,0.0023550191345304682
YOR254C,1,+/+,-501.41174061596394,-11002.987252831459,243,0.2,0.00819672131147541,0.0023550191345304682
YDL112W,-1,-/-,-501.56073193252087,-12101.955919504166,244,0.18181818181818182,0.00819672131147541,0.0026493965263467765
YIL110W,-1,-/-,-509.6640360355377,-12423.713746979833,244,0.16666666666666666,0.00819672131147541,0.0029437739181630853
YOR168W,-1,-/-,-510.53744365274906,-11545.05127593875,244,0.15384615384615385,0.00819672131147541,0.0032381513099793936
YEL012W,-1,-/-,-519.0665665566921,-11790.057714566588,244,0.14285714285714285,0.00819672131147541,0.003532528701795702
YNR007C,1,+/+,-521.3713198900223,-12345.79838232696,243,0.2,0.012295081967213115,0.003532528701795702
YDR037W,-1,-/-,-521.75963306427,-11526.979532852769,244,0.1875,0.012295081967213115,0.0038269060936120106
YER143W,-1,-/-,-522.9748510420322,-11833.61592797935,244,0.17647058823529413,0.012295081967213115,0.004121283485428319
YOL061W,-1,-/-,-524.0603998601437,-11487.34855902195,244,0.16666666666666666,0.012295081967213115,0.004415660877244628
YGL070C,-1,-/-,-524.5660041868687,-11125.568194925785,244,0.15789473684210525,0.012295081967213115,0.0047100382690609364
YLR208W,-1,-/-,-525.2560166567564,-10742.718322217464,244,0.15,0.012295081967213115,0.005004415660877244
