Gene,Label,Annos,Score,Background Score,Num pos pairs,Precision,Recall,False Positive Rate
YEL050C,-1,-/-,-313.76232731342316,-15686.727678630501,106,0.0,0.0,0.00021724961981316532
YKL192C,-1,-/-,-317.3344261646271,-14962.758325330913,106,0.0,0.0,0.00043449923962633063
YGR220C,-1,-/-,-319.70578268915415,-15865.373091038316,106,0.0,0.0,0.000651748859439496
YBL090W,-1,-/-,-320.0173855870962,-15786.175379734486,106,0.0,0.0,0.0008689984792526613
YPR100W,1,-/+,-320.35336607694626,-15375.157294414937,106,0.2,0.003424657534246575,0.0008689984792526613
YMR267W,-1,-/-,-329.0790191292763,-15731.676097631454,106,0.16666666666666666,0.003424657534246575,0.0010862480990658267
YDL004W,-1,-/-,-330.21149499714375,-15644.100194625556,106,0.14285714285714285,0.003424657534246575,0.001303497718878992
YML078W,-1,-/-,-335.18560467660427,-15788.066542834044,106,0.125,0.003424657534246575,0.0015207473386921572
YBR221C,-1,-/-,-338.3433100581169,-15472.537532955408,106,0.1111111111111111,0.003424657534246575,0.0017379969585053225
YKR065C,1,-/+,-340.28582459688187,-15984.061481166631,106,0.2,0.00684931506849315,0.0017379969585053225
YGR181W,1,+/+,-340.3436504602432,-15628.297427386045,105,0.2727272727272727,0.010273972602739725,0.0017379969585053225
YOR150W,-1,-/-,-344.52506919950247,-16916.013284590095,106,0.25,0.010273972602739725,0.001955246578318488
YJR080C,1,0/+,-350.76257825270295,-28309.686195052695,424,0.3076923076923077,0.0136986301369863,0.001955246578318488
YLR204W,-1,0/-,-357.9250454902649,-27416.71801332617,424,0.2857142857142857,0.0136986301369863,0.0021724961981316533
YDR322C-A,1,-/+,-358.52534011006355,-16598.50801473856,106,0.3333333333333333,0.017123287671232876,0.0021724961981316533
YJR135W-A,1,+/+,-360.8626515865326,-15964.919363707304,105,0.375,0.02054794520547945,0.0021724961981316533
YOR286W,0,0/0,-360.942883182317,-28056.892386041116,424,0.375,0.02054794520547945,0.0021724961981316533
YHR038W,-1,-/-,-361.6068034172058,-16618.806813806295,106,0.35294117647058826,0.02054794520547945,0.0023897458179448186
YLR312W-A,-1,0/-,-364.8122565224767,-28001.222512258682,424,0.3333333333333333,0.02054794520547945,0.002606995437757984
YPL098C,1,+/+,-365.43313229084015,-16639.044871389866,105,0.3684210526315789,0.023972602739726026,0.002606995437757984
YLR163C,1,-/+,-367.1203530728817,-17634.05407705903,106,0.4,0.0273972602739726,0.002606995437757984
YJL180C,1,0/+,-368.1486526634544,-28490.673199941404,424,0.42857142857142855,0.030821917808219176,0.002606995437757984
YOR187W,-1,-/-,-369.8418173491955,-16926.912148714066,106,0.4090909090909091,0.030821917808219176,0.002824245057571149
YDR276C,-1,-/-,-370.13711285591125,-16390.36734959483,106,0.391304347826087,0.030821917808219176,0.0030414946773843145
YCR003W,-1,0/-,-370.53899343311787,-29085.532175357454,424,0.375,0.030821917808219176,0.00325874429719748
YGL129C,-1,-/-,-370.5406685769558,-17109.387682408094,106,0.36,0.030821917808219176,0.003475993917010645
YJR045C,1,-/+,-370.9325584769249,-16136.017754167318,106,0.38461538461538464,0.03424657534246575,0.003475993917010645
YGR076C,-1,0/-,-371.49948849435896,-28669.458959231153,424,0.37037037037037035,0.03424657534246575,0.0036932435368238104
YMR157C,0,0/0,-371.5954515589401,-28472.04547951091,424,0.37037037037037035,0.03424657534246575,0.0036932435368238104
YOR045W,1,-/+,-371.95961090922356,-16817.511892732233,106,0.39285714285714285,0.03767123287671233,0.0036932435368238104
YFL018C,-1,-/-,-372.0875941514969,-17417.12068902701,106,0.3793103448275862,0.03767123287671233,0.003910493156636976
YPR166C,-1,0/-,-372.35793904960155,-28570.195384052582,424,0.36666666666666664,0.03767123287671233,0.004127742776450141
YML048W,-1,-/-,-373.0633462667465,-16793.480927973986,106,0.3548387096774194,0.03767123287671233,0.004344992396263307
YLR295C,1,-/+,-373.3369910120964,-16051.635126765817,106,0.375,0.0410958904109589,0.004344992396263307
YCR071C,-1,-/-,-373.41227889060974,-17001.569463133812,106,0.36363636363636365,0.0410958904109589,0.004562242016076472
YCR028C-A,1,+/+,-373.6557717323303,-16388.19960129261,105,0.38235294117647056,0.04452054794520548,0.004562242016076472
YOR020C,1,-/+,-376.58003121614456,-15720.38952948153,106,0.4,0.04794520547945205,0.004562242016076472
YKL053C-A,1,+/+,-378.13801777362823,-16482.24268770218,105,0.4166666666666667,0.05136986301369863,0.004562242016076472
YJR104C,-1,-/-,-378.76847782731056,-16680.516663379967,106,0.40540540540540543,0.05136986301369863,0.004779491635889637
YNL081C,-1,0/-,-379.30807900056243,-28850.259937984403,424,0.39473684210526316,0.05136986301369863,0.0049967412557028025
YNL005C,1,0/+,-379.4416195657104,-29083.529124007095,424,0.41025641025641024,0.0547945205479452,0.0049967412557028025
YPR133W-A,1,-/+,-379.85553908348083,-16739.230700984597,106,0.425,0.05821917808219178,0.0049967412557028025
YLR069C,-1,-/-,-381.2903105020523,-16724.230722509325,106,0.4146341463414634,0.05821917808219178,0.005213990875515968
YNL315C,1,0/+,-381.30582477431744,-29626.97523838887,424,0.42857142857142855,0.06164383561643835,0.005213990875515968
