Gene,Label,Score,Background Score,Precision,Recall,False Positive Rate
YDR322C-A,1,-718.598642334342,-17044.076974093914,1.0,0.004830917874396135,0.0
YMR267W,-1,-724.6187362670898,-16939.268691539764,0.5,0.004830917874396135,0.00030184123151222455
YIL098C,1,-732.3719972968102,-17176.01189428568,0.6666666666666666,0.00966183574879227,0.00030184123151222455
YCR028C-A,1,-734.1022751927376,-16953.860773980618,0.75,0.014492753623188406,0.00030184123151222455
YKL053C-A,1,-739.7443090677261,-16813.469478607178,0.8,0.01932367149758454,0.00030184123151222455
YJR135W-A,1,-742.4933933019638,-16726.136049866676,0.8333333333333334,0.024154589371980676,0.00030184123151222455
YOR045W,1,-746.6092196404934,-17557.649202913046,0.8571428571428571,0.028985507246376812,0.00030184123151222455
YDR377W,-1,-757.8520230054855,-17212.115666478872,0.75,0.028985507246376812,0.0006036824630244491
YMR150C,1,-763.2304186224937,-17255.60267740488,0.7777777777777778,0.033816425120772944,0.0006036824630244491
YOR187W,-1,-767.1190052032471,-17824.485033154488,0.7,0.033816425120772944,0.0009055236945366737
YBL045C,1,-769.6111456602812,-17700.274254724383,0.7272727272727273,0.03864734299516908,0.0009055236945366737
YOR150W,-1,-770.3598955869675,-17520.775651454926,0.6666666666666666,0.03864734299516908,0.0012073649260488982
YDR435C,-1,-774.9898569583893,-17420.880684256554,0.6153846153846154,0.03864734299516908,0.001509206157561123
YGL068W,-1,-780.4868683218956,-17746.550580084324,0.5714285714285714,0.03864734299516908,0.0018110473890733474
YGL187C,-1,-781.4735832214355,-18293.66671639681,0.5333333333333333,0.03864734299516908,0.002112888620585572
YML081C-A,1,-782.412084877491,-17391.39054363966,0.5625,0.043478260869565216,0.002112888620585572
YJR121W,-1,-785.422292470932,-17136.86517250538,0.5294117647058824,0.043478260869565216,0.0024147298520977964
YLR193C,-1,-786.7995980978012,-17789.10884708166,0.5,0.043478260869565216,0.0027165710836100213
YDR079W,1,-787.637501001358,-17523.62717950344,0.5263157894736842,0.04830917874396135,0.0027165710836100213
YBR185C,1,-789.6907697319984,-18137.488934338093,0.55,0.05314009661835749,0.0027165710836100213
YGL206C,-1,-793.3715305328369,-16671.12475347519,0.5238095238095238,0.05314009661835749,0.003018412315122246
YML025C,-1,-795.5541881322861,-18000.452294945717,0.5,0.05314009661835749,0.0033202535466344703
YBL099W,-1,-796.7898989319801,-17799.05823355913,0.4782608695652174,0.05314009661835749,0.003622094778146695
YHR008C,-1,-798.2071471214294,-16777.436405062675,0.4583333333333333,0.05314009661835749,0.00392393600965892
YGR220C,-1,-798.5940866470337,-18015.94803518057,0.44,0.05314009661835749,0.004225777241171144
YDR272W,-1,-799.7544697523117,-17351.478247761726,0.4230769230769231,0.05314009661835749,0.004527618472683369
YDR296W,1,-800.1484144926071,-18100.08443135023,0.4444444444444444,0.057971014492753624,0.004527618472683369
YOR142W,-1,-801.52086186409,-18127.14072394371,0.42857142857142855,0.057971014492753624,0.004829459704195593
YML110C,-1,-802.0848925113678,-17420.009386062622,0.41379310344827586,0.057971014492753624,0.005131300935707818
YDL004W,-1,-802.1168373823166,-18008.647322654724,0.4,0.057971014492753624,0.005433142167220043
YNL138W,1,-803.4390488862991,-16446.65514230728,0.41935483870967744,0.06280193236714976,0.005433142167220043
YER178W,-1,-803.5397771596909,-17362.02850627899,0.40625,0.06280193236714976,0.005734983398732267
YKL016C,-1,-803.9323171973228,-18057.217736899853,0.3939393939393939,0.06280193236714976,0.006036824630244492
YJR019C,-1,-807.8513069152832,-17751.74273645878,0.38235294117647056,0.06280193236714976,0.006338665861756716
YBL090W,-1,-808.295782327652,-17977.575456619263,0.37142857142857144,0.06280193236714976,0.006640507093268941
YLR109W,-1,-809.3344413042068,-16235.06152254343,0.3611111111111111,0.06280193236714976,0.006942348324781165
YKL192C,-1,-809.5528076887131,-17514.227908611298,0.35135135135135137,0.06280193236714976,0.00724418955629339
YPL078C,-1,-809.8351802229881,-18046.283701360226,0.34210526315789475,0.06280193236714976,0.007546030787805615
YDR276C,-1,-810.2270931005478,-17400.23143529892,0.3333333333333333,0.06280193236714976,0.00784787201931784
YPL262W,-1,-810.8317347764969,-17343.866683721542,0.325,0.06280193236714976,0.008149713250830063
YDL126C,1,-812.0218948125839,-16429.218613624573,0.34146341463414637,0.06763285024154589,0.008149713250830063
YJL166W,-1,-812.8916857838631,-17559.79040914774,0.3333333333333333,0.06763285024154589,0.008451554482342288
YNR017W,1,-813.013130068779,-18463.063595891,0.3488372093023256,0.07246376811594203,0.008451554482342288
YDR298C,-1,-813.5480543375015,-18143.54014569521,0.3409090909090909,0.07246376811594203,0.008753395713854513
