Gene,Label,Score,Background Score,Precision,Recall,False Positive Rate
YDR388W,1,-565.7562463283539,-25394.887099027634,1.0,0.007936507936507936,0.0
YCL057W,-1,-570.6168868541718,-26025.21551513672,0.5,0.007936507936507936,0.00022624434389140272
YDR294C,-1,-575.7376222610474,-26554.016499996185,0.3333333333333333,0.007936507936507936,0.00045248868778280545
YIL034C,-1,-576.9799757003784,-26305.261095285416,0.25,0.007936507936507936,0.0006787330316742081
YAL016W,-1,-580.3057794570923,-25940.496183395386,0.2,0.007936507936507936,0.0009049773755656109
YBL058W,-1,-580.3654012680054,-26478.868309617043,0.16666666666666666,0.007936507936507936,0.0011312217194570137
YFR024C-A,-1,-581.8529136180878,-26313.432721138,0.14285714285714285,0.007936507936507936,0.0013574660633484162
YBL102W,-1,-582.2448852062225,-25452.697444200516,0.125,0.007936507936507936,0.001583710407239819
YCL052C,-1,-582.3369836807251,-26228.397161245346,0.1111111111111111,0.007936507936507936,0.0018099547511312218
YKL213C,-1,-583.6411004066467,-26335.685843467712,0.1,0.007936507936507936,0.0020361990950226246
YLR028C,-1,-588.9134840965271,-25795.048101186752,0.09090909090909091,0.007936507936507936,0.0022624434389140274
YGL161C,-1,-589.311322927475,-27463.809666275978,0.08333333333333333,0.007936507936507936,0.0024886877828054297
YFR010W,-1,-593.8781595230103,-26323.269815921783,0.07692307692307693,0.007936507936507936,0.0027149321266968325
YGL173C,-1,-594.8401827812195,-26488.864772319794,0.07142857142857142,0.007936507936507936,0.0029411764705882353
YGR167W,1,-595.7346692085266,-26129.36889052391,0.13333333333333333,0.015873015873015872,0.0029411764705882353
YGL190C,-1,-596.526040315628,-25886.787209510803,0.125,0.015873015873015872,0.003167420814479638
YNL243W,1,-597.3668410778046,-26828.875380039215,0.17647058823529413,0.023809523809523808,0.003167420814479638
YPL084W,-1,-597.3709635734558,-27229.093402147293,0.16666666666666666,0.023809523809523808,0.003393665158371041
YCR009C,1,-598.2402062416077,-26524.433252096176,0.21052631578947367,0.031746031746031744,0.003393665158371041
YGR193C,-1,-598.6993219852448,-26460.60017824173,0.2,0.031746031746031744,0.0036199095022624436
YDR456W,-1,-600.3447885513306,-26412.406277894974,0.19047619047619047,0.031746031746031744,0.0038461538461538464
YBR109C,1,-600.929413318634,-25813.726865530014,0.22727272727272727,0.03968253968253968,0.0038461538461538464
YML057W,-1,-601.9172904491425,-27568.1544611454,0.21739130434782608,0.03968253968253968,0.004072398190045249
