Gene,Label,Score,Background Score,Precision,Recall,False Positive Rate
YIL119C,-1,-531.2697972655296,-10909.505024686456,0.0,0.0,0.00023004370830457787
YGL055W,-1,-545.3241611868143,-12516.497947864234,0.0,0.0,0.00046008741660915573
YER015W,-1,-557.8025961965322,-14465.832652390003,0.0,0.0,0.0006901311249137336
YPR192W,1,-574.4195219576359,-13826.048690319061,0.25,0.0038910505836575876,0.0006901311249137336
YGR289C,-1,-581.8328151702881,-14594.202014230192,0.2,0.0038910505836575876,0.0009201748332183115
YOL126C,-1,-588.5938324928284,-15782.971483588219,0.16666666666666666,0.0038910505836575876,0.0011502185415228894
YML054C,-1,-590.9003975093365,-14529.4608053267,0.14285714285714285,0.0038910505836575876,0.0013802622498274672
YGR138C,1,-607.5266369432211,-14354.890334740281,0.25,0.007782101167315175,0.0013802622498274672
YOR032C,-1,-608.6530778557062,-14503.820311814547,0.2222222222222222,0.007782101167315175,0.001610305958132045
YPL092W,1,-615.4861360192299,-14526.245273187757,0.3,0.011673151750972763,0.001610305958132045
YIL121W,1,-616.7932710647583,-12333.387894928455,0.36363636363636365,0.01556420233463035,0.001610305958132045
YML091C,-1,-624.0170367956161,-15135.966957613826,0.3333333333333333,0.01556420233463035,0.001840349666436623
YGR049W,-1,-627.7606625556946,-12561.60293353349,0.3076923076923077,0.01556420233463035,0.002070393374741201
YOR100C,-1,-628.3784382343292,-16229.281044095755,0.2857142857142857,0.01556420233463035,0.002300437083045779
YPR138C,1,-629.0200012177229,-14329.633109003305,0.3333333333333333,0.019455252918287938,0.002300437083045779
YAL040C,-1,-629.8177800774574,-14425.96495218575,0.3125,0.019455252918287938,0.0025304807913503567
YOR306C,1,-641.7078921943903,-13951.56103529036,0.35294117647058826,0.023346303501945526,0.0025304807913503567
YBL005W,-1,-642.8958852440119,-14738.15329836309,0.3333333333333333,0.023346303501945526,0.0027605244996549345
YPR151C,-1,-644.6531963944435,-16430.372441530228,0.3157894736842105,0.023346303501945526,0.0029905682079595123
YDR046C,1,-646.4322296380997,-14965.539277479053,0.35,0.027237354085603113,0.0029905682079595123
YJL219W,1,-647.3593301475048,-15467.724730044603,0.38095238095238093,0.0311284046692607,0.0029905682079595123
YHL028W,-1,-648.6151479035616,-13370.82923053205,0.36363636363636365,0.0311284046692607,0.00322061191626409
YBR298C,-1,-650.2149414271116,-16758.61901320517,0.34782608695652173,0.0311284046692607,0.003450655624568668
YLL028W,1,-653.8313732147217,-13531.539953514934,0.375,0.03501945525291829,0.003450655624568668
YMR303C,-1,-658.1558783054352,-14312.017849057913,0.36,0.03501945525291829,0.003680699332873246
YOL154W,-1,-658.6587601602077,-14058.589621514082,0.34615384615384615,0.03501945525291829,0.003910743041177824
YJR155W,-1,-666.0808748453856,-15534.040054216981,0.3333333333333333,0.03501945525291829,0.004140786749482402
YBR078W,1,-666.2424283623695,-15145.502404853702,0.35714285714285715,0.038910505836575876,0.004140786749482402
YMR006C,-1,-668.5526639074087,-15467.157469578087,0.3448275862068966,0.038910505836575876,0.004370830457786979
YKR102W,-1,-672.121834024787,-16176.198478475213,0.3333333333333333,0.038910505836575876,0.004600874166091558
YOR049C,1,-672.95031978935,-13558.72163336724,0.3548387096774194,0.042801556420233464,0.004600874166091558
YOR348C,1,-675.4859908819199,-14588.96666662395,0.375,0.04669260700389105,0.004600874166091558
YKL217W,1,-675.7181739807129,-16879.271346718073,0.3939393939393939,0.05058365758754864,0.004600874166091558
YDL243C,-1,-678.2869900166988,-16395.144136205316,0.38235294117647056,0.05058365758754864,0.004830917874396135
YML123C,1,-684.7093060016632,-13869.02882105112,0.4,0.054474708171206226,0.004830917874396135
YPL265W,1,-685.3257716298103,-14932.250825628638,0.4166666666666667,0.058365758754863814,0.004830917874396135
YMR175W,-1,-686.9100104272366,-17078.051488608122,0.40540540540540543,0.058365758754863814,0.005060961582700713
YJL079C,-1,-689.3522006869316,-15675.873499326408,0.39473684210526316,0.058365758754863814,0.005291005291005291
YMR272C,-1,-689.3971002995968,-13911.051024347544,0.38461538461538464,0.058365758754863814,0.005521048999309869
YML075C,-1,-691.509961783886,-14197.408229246736,0.375,0.058365758754863814,0.005751092707614446
YDR384C,1,-694.6393321156502,-15472.268933787942,0.3902439024390244,0.0622568093385214,0.005751092707614446
YOR092W,-1,-695.6721158921719,-15123.694025725126,0.38095238095238093,0.0622568093385214,0.005981136415919025
YBR117C,-1,-696.2174625843763,-16843.362801231444,0.37209302325581395,0.0622568093385214,0.006211180124223602
YMR011W,1,-696.2514630109072,-15438.8211645782,0.38636363636363635,0.06614785992217899,0.006211180124223602
YBL042C,1,-698.9855643510818,-14817.649405181408,0.4,0.07003891050583658,0.006211180124223602
YLL052C,1,-701.4654545933008,-15289.734775692225,0.41304347826086957,0.07392996108949416,0.006211180124223602
YGR161C,-1,-701.5519060492516,-16957.88674673438,0.40425531914893614,0.07392996108949416,0.00644122383252818
YBR183W,-1,-702.141652867198,-17818.297451928258,0.3958333333333333,0.07392996108949416,0.006671267540832759
YLR256W,-1,-702.1881623864174,-16038.968142971396,0.3877551020408163,0.07392996108949416,0.006901311249137336
YAL054C,-1,-702.435037702322,-17527.993164241314,0.38,0.07392996108949416,0.007131354957441914
YNL044W,-1,-702.4633851200342,-15511.986830979586,0.37254901960784315,0.07392996108949416,0.007361398665746492
YDR317W,-1,-702.5683146119118,-14837.47957123816,0.36538461538461536,0.07392996108949416,0.00759144237405107
YOL084W,-1,-702.8203559815884,-18001.50730331242,0.3584905660377358,0.07392996108949416,0.007821486082355647
YBR093C,-1,-703.156676903367,-15229.125179842114,0.35185185185185186,0.07392996108949416,0.008051529790660225
YPR156C,1,-703.4863891750574,-15866.660164788365,0.36363636363636365,0.07782101167315175,0.008051529790660225
YOR324C,-1,-706.8581410646439,-15247.25933099538,0.35714285714285715,0.07782101167315175,0.008281573498964804
YPL005W,-1,-708.0448832586408,-16515.21350131929,0.3508771929824561,0.07782101167315175,0.008511617207269381
YDR534C,-1,-715.1987291425467,-16969.81249818206,0.3448275862068966,0.07782101167315175,0.008741660915573959
YPR201W,1,-715.8272522687912,-15931.133315294981,0.3559322033898305,0.08171206225680934,0.008741660915573959
YMR081C,-1,-716.7192403227091,-18526.919484362006,0.35,0.08171206225680934,0.008971704623878536
YKR039W,1,-718.1842188984156,-15432.956959336996,0.36065573770491804,0.08560311284046693,0.008971704623878536
YNL270C,1,-719.1753101572394,-16561.457648418844,0.3709677419354839,0.08949416342412451,0.008971704623878536
YPL018W,-1,-719.5226306170225,-14624.576053515077,0.36507936507936506,0.08949416342412451,0.009201748332183115
YCL026C-A,-1,-722.2217152714729,-15199.068424507976,0.359375,0.08949416342412451,0.009431792040487693
YGL059W,-1,-724.2468215227127,-16626.13051737845,0.35384615384615387,0.08949416342412451,0.00966183574879227
YIL006W,-1,-724.2862125039101,-16251.468892082572,0.3484848484848485,0.08949416342412451,0.00989187945709685
YOR193W,-1,-725.8367610126734,-15729.072395503521,0.34328358208955223,0.08949416342412451,0.010121923165401427
YHR092C,1,-725.9396411180496,-14699.114219486713,0.35294117647058826,0.0933852140077821,0.010121923165401427
YMR280C,-1,-726.6698791831732,-16488.34531877935,0.34782608695652173,0.0933852140077821,0.010351966873706004
YNR058W,-1,-727.1727660596371,-15600.006076723337,0.34285714285714286,0.0933852140077821,0.010582010582010581
YPL171C,-1,-727.755407243967,-16261.565517872572,0.3380281690140845,0.0933852140077821,0.01081205429031516
YPR001W,-1,-728.1733006834984,-17214.424317099154,0.3333333333333333,0.0933852140077821,0.011042097998619738
YLR237W,1,-728.7411580681801,-15565.798703536391,0.3424657534246575,0.09727626459143969,0.011042097998619738
YCR068W,-1,-729.6774574667215,-16678.78511954844,0.33783783783783783,0.09727626459143969,0.011272141706924315
YAR035W,-1,-729.8112468421459,-16209.53767696023,0.3333333333333333,0.09727626459143969,0.011502185415228893
YNL271C,-1,-730.5459668189287,-15916.088899567723,0.32894736842105265,0.09727626459143969,0.011732229123533472
YLR174W,-1,-730.6759614348412,-16959.41787804663,0.3246753246753247,0.09727626459143969,0.01196227283183805
YGR189C,-1,-733.0961771011353,-15985.093124628067,0.32051282051282054,0.09727626459143969,0.012192316540142627
YJL101C,-1,-733.4219742119312,-16373.390189141035,0.31645569620253167,0.09727626459143969,0.012422360248447204
YMR136W,-1,-733.4615854620934,-18329.260079443455,0.3125,0.09727626459143969,0.012652403956751783
YJR094C,-1,-737.7528285235167,-16588.094967275858,0.30864197530864196,0.09727626459143969,0.01288244766505636
YPL119C,-1,-739.511832267046,-18160.210094615817,0.3048780487804878,0.09727626459143969,0.013112491373360938
YNR056C,1,-739.7598682940006,-17303.535183131695,0.3132530120481928,0.10116731517509728,0.013112491373360938
YBR050C,-1,-740.0124040991068,-17560.233191385865,0.30952380952380953,0.10116731517509728,0.013342535081665517
YER020W,1,-741.5726406127214,-17470.793493807316,0.3176470588235294,0.10505836575875487,0.013342535081665517
YIL160C,-1,-741.6162877082825,-17495.884184136987,0.313953488372093,0.10505836575875487,0.013572578789970095
YFL050C,1,-741.9629538059235,-16072.32245786488,0.3218390804597701,0.10894941634241245,0.013572578789970095
YJL093C,1,-742.7293746173382,-17053.194163888693,0.32954545454545453,0.11284046692607004,0.013572578789970095
YKR093W,1,-743.0901973247528,-15138.42072622478,0.33707865168539325,0.11673151750972763,0.013572578789970095
YNL169C,-1,-743.4654599130154,-16522.947638094425,0.3333333333333333,0.11673151750972763,0.013802622498274672
YGL158W,-1,-743.8665142655373,-15363.986366726458,0.32967032967032966,0.11673151750972763,0.01403266620657925
YNR060W,1,-744.5160968601704,-16097.775839589536,0.33695652173913043,0.12062256809338522,0.01403266620657925
YLR228C,-1,-744.634451508522,-16910.04501146078,0.3333333333333333,0.12062256809338522,0.014262709914883829
YKL178C,1,-744.8148069381714,-16240.307836055756,0.3404255319148936,0.1245136186770428,0.014262709914883829
YOR137C,-1,-745.0620744526386,-17429.740570694208,0.3368421052631579,0.1245136186770428,0.014492753623188406
YJL058C,-1,-746.0002771615982,-16365.734394147992,0.3333333333333333,0.1245136186770428,0.014722797331492983
YPL133C,-1,-746.2160123884678,-17066.87331394106,0.32989690721649484,0.1245136186770428,0.01495284103979756
YNL117W,-1,-747.1705348193645,-16874.343479931355,0.32653061224489793,0.1245136186770428,0.01518288474810214
YJL052W,-1,-747.5332075357437,-15437.78936046362,0.32323232323232326,0.1245136186770428,0.015412928456406717
YGR239C,-1,-749.0385056734085,-14441.48961597681,0.32,0.1245136186770428,0.015642972164711295
YDL079C,-1,-749.046427860856,-17253.765594422817,0.31683168316831684,0.1245136186770428,0.015873015873015872
YGR260W,1,-749.8882321119308,-15436.698477447033,0.3235294117647059,0.12840466926070038,0.015873015873015872
YKL182W,-1,-750.6139616668224,-15206.568422034383,0.32038834951456313,0.12840466926070038,0.01610305958132045
YBL075C,-1,-750.6638794541359,-16537.423552781343,0.3173076923076923,0.12840466926070038,0.01633310328962503
YOL156W,1,-750.7619456648827,-16354.579819440842,0.3238095238095238,0.13229571984435798,0.01633310328962503
YOL091W,-1,-751.1823593974113,-15825.605779588223,0.32075471698113206,0.13229571984435798,0.016563146997929608
YNL327W,-1,-752.0807298123837,-15310.834973275661,0.3177570093457944,0.13229571984435798,0.016793190706234185
YPL075W,-1,-752.8647869229317,-15383.862484678626,0.3148148148148148,0.13229571984435798,0.017023234414538763
YNR044W,-1,-753.1293616294861,-16597.66932013631,0.3119266055045872,0.13229571984435798,0.01725327812284334
