Gene,Label,Score,Background Score,Precision,Recall,False Positive Rate
YIL159W,-1,-467.2733540534973,-29202.420419692993,0.0,0.0,0.00022406453058480843
YDL005C,-1,-472.6238398551941,-29016.317589998245,0.0,0.0,0.00044812906116961686
YDR303C,-1,-473.09733486175537,-28858.870666503906,0.0,0.0,0.0006721935917544253
YHR115C,-1,-473.3152241706848,-28191.468213558197,0.0,0.0,0.0008962581223392337
YKL139W,-1,-474.8321614265442,-29026.42317342758,0.0,0.0,0.001120322652924042
YBR102C,-1,-475.97189807891846,-28311.849798202515,0.0,0.0,0.0013443871835088505
YPL083C,-1,-476.10982751846313,-28520.311663150787,0.0,0.0,0.001568451714093659
YBR215W,-1,-476.8727459907532,-28539.697840213776,0.0,0.0,0.0017925162446784674
YDR288W,-1,-477.1392092704773,-28679.88358926773,0.0,0.0,0.002016580775263276
YOL148C,1,-477.65019512176514,-29071.361867904663,0.1,0.012048192771084338,0.002016580775263276
YNL199C,-1,-478.0586037635803,-29209.30520915985,0.09090909090909091,0.012048192771084338,0.002240645305848084
YBR245C,-1,-478.2498664855957,-28652.77335500717,0.08333333333333333,0.012048192771084338,0.002464709836432893
YKL042W,-1,-478.32150745391846,-28569.354160785675,0.07692307692307693,0.012048192771084338,0.002688774367017701
YBR211C,-1,-478.8464078903198,-28795.131854057312,0.07142857142857142,0.012048192771084338,0.0029128388976025093
YDR217C,-1,-478.9640393257141,-28936.31622982025,0.06666666666666667,0.012048192771084338,0.003136903428187318
YBR198C,1,-479.00005626678467,-29153.81344795227,0.125,0.024096385542168676,0.003136903428187318
YDL116W,-1,-479.1219825744629,-28971.513946533203,0.11764705882352941,0.024096385542168676,0.0033609679587721262
YDR118W,-1,-479.32160472869873,-28910.204899787903,0.1111111111111111,0.024096385542168676,0.003585032489356935
YIL068C,-1,-479.43377923965454,-28873.608792304993,0.10526315789473684,0.024096385542168676,0.003809097019941743
YDR228C,-1,-479.4881157875061,-28738.28210401535,0.1,0.024096385542168676,0.004033161550526552
YDL030W,-1,-479.66658782958984,-29828.493407726288,0.09523809523809523,0.024096385542168676,0.00425722608111136
YOL072W,-1,-480.2606234550476,-28705.467866897583,0.09090909090909091,0.024096385542168676,0.004481290611696168
YGL145W,-1,-480.2902398109436,-28970.46882724762,0.08695652173913043,0.024096385542168676,0.0047053551422809765
YDL013W,-1,-480.5311236381531,-28903.372079372406,0.08333333333333333,0.024096385542168676,0.004929419672865786
YGL216W,-1,-480.7604064941406,-29358.965466976166,0.08,0.024096385542168676,0.005153484203450594
YPL161C,-1,-480.8122811317444,-28989.00842142105,0.07692307692307693,0.024096385542168676,0.005377548734035402
YGR252W,1,-480.8278489112854,-29188.834632873535,0.1111111111111111,0.03614457831325301,0.005377548734035402
YBL052C,1,-480.98721837997437,-29768.379106521606,0.14285714285714285,0.04819277108433735,0.005377548734035402
YGL243W,-1,-481.50137281417847,-29584.43260574341,0.13793103448275862,0.04819277108433735,0.00560161326462021
YKL173W,-1,-481.99073934555054,-29674.370940685272,0.13333333333333333,0.04819277108433735,0.005825677795205019
YDR295C,-1,-482.1309561729431,-28440.873398303986,0.12903225806451613,0.04819277108433735,0.006049742325789828
YKL015W,-1,-482.24844217300415,-28968.151671886444,0.125,0.04819277108433735,0.006273806856374636
YNL038W,-1,-482.3471751213074,-29218.125423908234,0.12121212121212122,0.04819277108433735,0.006497871386959444
YJR084W,-1,-482.4873056411743,-29432.207924842834,0.11764705882352941,0.04819277108433735,0.0067219359175442524
YGR002C,1,-482.61015796661377,-29016.737008571625,0.14285714285714285,0.060240963855421686,0.0067219359175442524
YCR039C,-1,-482.6520504951477,-28652.64101457596,0.1388888888888889,0.060240963855421686,0.0069460004481290616
YDR320C-A,-1,-483.00745820999146,-28019.382740974426,0.13513513513513514,0.060240963855421686,0.00717006497871387
YGL025C,-1,-483.2656555175781,-29319.65039539337,0.13157894736842105,0.060240963855421686,0.007394129509298678
YBL060W,-1,-483.4121379852295,-29174.566796779633,0.1282051282051282,0.060240963855421686,0.007618194039883486
YOR304W,-1,-483.54463052749634,-29084.15519618988,0.125,0.060240963855421686,0.007842258570468295
YOR330C,-1,-483.70511198043823,-29812.123045921326,0.12195121951219512,0.060240963855421686,0.008066323101053104
YEL053C,1,-484.04891538619995,-29338.45994949341,0.14285714285714285,0.07228915662650602,0.008066323101053104
YNR011C,-1,-484.0960087776184,-30227.126502275467,0.13953488372093023,0.07228915662650602,0.008290387631637912
YPR056W,-1,-484.10498237609863,-28944.13632917404,0.13636363636363635,0.07228915662650602,0.00851445216222272
YLR319C,-1,-484.51525926589966,-29450.687203884125,0.13333333333333333,0.07228915662650602,0.008738516692807528
YHR058C,-1,-484.55678272247314,-29230.80309867859,0.13043478260869565,0.07228915662650602,0.008962581223392337
YBL085W,-1,-484.67299461364746,-29663.24572992325,0.1276595744680851,0.07228915662650602,0.009186645753977145
YGR098C,-1,-484.8047995567322,-29120.578988552094,0.125,0.07228915662650602,0.009410710284561953
YBL008W,-1,-485.0135087966919,-29674.960766792297,0.12244897959183673,0.07228915662650602,0.009634774815146763
YJR140C,1,-485.05084323883057,-29199.323497772217,0.14,0.08433734939759036,0.009634774815146763
YNL161W,-1,-485.0797414779663,-29318.665632724762,0.13725490196078433,0.08433734939759036,0.009858839345731571
YER129W,-1,-485.14302110671997,-28979.27478504181,0.1346153846153846,0.08433734939759036,0.01008290387631638
YBL025W,-1,-485.4137554168701,-29602.875136375427,0.1320754716981132,0.08433734939759036,0.010306968406901188
YDR137W,-1,-485.54421615600586,-28893.813111782074,0.12962962962962962,0.08433734939759036,0.010531032937485996
YGL130W,-1,-485.5537872314453,-29401.1697974205,0.12727272727272726,0.08433734939759036,0.010755097468070804
YOL076W,1,-485.6269292831421,-29503.979483127594,0.14285714285714285,0.0963855421686747,0.010755097468070804
YPR179C,-1,-485.64476776123047,-29844.629562854767,0.14035087719298245,0.0963855421686747,0.010979161998655613
YPL139C,-1,-485.6753525733948,-29591.677629470825,0.13793103448275862,0.0963855421686747,0.01120322652924042
YBR057C,-1,-486.071834564209,-29218.529936790466,0.13559322033898305,0.0963855421686747,0.011427291059825229
YPL242C,-1,-486.1243405342102,-29083.84082174301,0.13333333333333333,0.0963855421686747,0.011651355590410037
YER074W-A,-1,-486.33665227890015,-28409.87855911255,0.13114754098360656,0.0963855421686747,0.011875420120994847
YDL043C,-1,-486.5995554924011,-29068.895809173584,0.12903225806451613,0.0963855421686747,0.012099484651579655
YML015C,-1,-486.8462815284729,-29604.47043323517,0.12698412698412698,0.0963855421686747,0.012323549182164464
YLR145W,-1,-487.02131175994873,-29254.739377498627,0.125,0.0963855421686747,0.012547613712749272
YML088W,-1,-487.0659189224243,-29403.059009552002,0.12307692307692308,0.0963855421686747,0.01277167824333408
YDL088C,-1,-487.13882398605347,-28973.986736774445,0.12121212121212122,0.0963855421686747,0.012995742773918888
YBR279W,-1,-487.3828635215759,-29216.87009716034,0.11940298507462686,0.0963855421686747,0.013219807304503697
YKL176C,-1,-487.4326457977295,-29415.423825263977,0.11764705882352941,0.0963855421686747,0.013443871835088505
YBL079W,-1,-487.4552459716797,-29428.503247737885,0.11594202898550725,0.0963855421686747,0.013667936365673313
YMR044W,-1,-487.60429668426514,-28820.67546892166,0.11428571428571428,0.0963855421686747,0.013892000896258123
YDR325W,-1,-487.6045823097229,-29399.379039764404,0.11267605633802817,0.0963855421686747,0.014116065426842931
YJR057W,-1,-487.6544885635376,-29420.726123809814,0.1111111111111111,0.0963855421686747,0.01434012995742774
YGL155W,0,-487.7723913192749,-29631.517369270325,0.1111111111111111,0.0963855421686747,0.01434012995742774
YJR083C,0,-487.7846169471741,-29319.713348388672,0.1111111111111111,0.0963855421686747,0.01434012995742774
YPL151C,-1,-488.066370010376,-29193.42374610901,0.1095890410958904,0.0963855421686747,0.014564194488012548
YOR058C,-1,-488.1860246658325,-28732.63656759262,0.10810810810810811,0.0963855421686747,0.014788259018597356
YGL112C,1,-488.2538046836853,-30650.62232542038,0.12,0.10843373493975904,0.014788259018597356
YJL085W,-1,-488.2621603012085,-29202.062010765076,0.11842105263157894,0.10843373493975904,0.015012323549182164
YPR046W,-1,-488.5554709434509,-30035.700091362,0.11688311688311688,0.10843373493975904,0.015236388079766973
YML065W,-1,-488.60327434539795,-29751.104960918427,0.11538461538461539,0.10843373493975904,0.01546045261035178
YNL118C,-1,-488.60694885253906,-29718.98822784424,0.11392405063291139,0.10843373493975904,0.01568451714093659
YNL107W,1,-488.67078924179077,-30310.599325180054,0.125,0.12048192771084337,0.01568451714093659
YFL049W,-1,-488.7656240463257,-29276.260024547577,0.12345679012345678,0.12048192771084337,0.0159085816715214
YML103C,-1,-488.8071427345276,-29503.520833015442,0.12195121951219512,0.12048192771084337,0.016132646202106207
YOR106W,-1,-488.84097957611084,-30045.54463672638,0.12048192771084337,0.12048192771084337,0.016356710732691015
YOR194C,-1,-488.8754725456238,-29780.18835735321,0.11904761904761904,0.12048192771084337,0.016580775263275824
YDR532C,-1,-488.96536922454834,-28944.69706439972,0.11764705882352941,0.12048192771084337,0.016804839793860632
YGL086W,-1,-488.9950199127197,-29816.4579744339,0.11627906976744186,0.12048192771084337,0.01702890432444544
YGR005C,-1,-489.1026577949524,-29897.236753940582,0.11494252873563218,0.12048192771084337,0.01725296885503025
YIR025W,-1,-489.10531997680664,-30057.599286556244,0.11363636363636363,0.12048192771084337,0.017477033385615057
YHR119W,1,-489.1766424179077,-29948.47381067276,0.12359550561797752,0.13253012048192772,0.017477033385615057
YIR004W,-1,-489.183171749115,-29391.653902053833,0.12222222222222222,0.13253012048192772,0.017701097916199865
YNL027W,-1,-489.20634937286377,-29412.757029533386,0.12087912087912088,0.13253012048192772,0.017925162446784673
YDR227W,-1,-489.2578887939453,-28907.06908416748,0.11956521739130435,0.13253012048192772,0.01814922697736948
YNL139C,-1,-489.33382654190063,-28643.763644218445,0.11827956989247312,0.13253012048192772,0.01837329150795429
YPL074W,-1,-489.4311761856079,-29968.359116077423,0.11702127659574468,0.13253012048192772,0.018597356038539098
YOR039W,-1,-489.6060423851013,-29037.90954017639,0.11578947368421053,0.13253012048192772,0.018821420569123906
