Gene,Label,Score,Background Score,Precision,Recall,False Positive Rate
YOR348C,-1,-384.5109086036682,-18667.20488229394,0.0,0.0,0.0002221235006663705
YMR303C,-1,-396.2449052333832,-19609.068339824677,0.0,0.0,0.000444247001332741
YER062C,-1,-397.6559307575226,-19681.35208070278,0.0,0.0,0.0006663705019991116
YOL058W,-1,-399.07971823215485,-21036.9044252038,0.0,0.0,0.000888494002665482
YMR015C,-1,-408.7537899017334,-21622.153392791748,0.0,0.0,0.0011106175033318525
YFL014W,-1,-413.7909346818924,-22383.32799065113,0.0,0.0,0.0013327410039982231
YAL040C,-1,-420.9202411174774,-23521.445694684982,0.0,0.0,0.0015548645046645935
YKL178C,-1,-421.2832262516022,-23285.319936156273,0.0,0.0,0.001776988005330964
YML123C,-1,-428.9053535461426,-21860.346096634865,0.0,0.0,0.0019991115059973343
YOL019W,-1,-428.93769431114197,-24715.98312997818,0.0,0.0,0.002221235006663705
YLR258W,-1,-431.6504189968109,-24505.276449918747,0.0,0.0,0.0024433585073300756
YLR158C,-1,-436.14063942432404,-21454.009630322456,0.0,0.0,0.0026654820079964462
YHL035C,-1,-438.6395434141159,-22476.18864798546,0.0,0.0,0.0028876055086628164
YHL016C,-1,-439.63938784599304,-23936.631102323532,0.0,0.0,0.003109729009329187
YDL223C,-1,-439.7880506515503,-23977.68741631508,0.0,0.0,0.0033318525099955577
YJL079C,-1,-439.8112554550171,-24710.63255548477,0.0,0.0,0.003553976010661928
YGR161C,-1,-441.0615670681,-24509.521537542343,0.0,0.0,0.0037760995113282985
YLR327C,-1,-442.09100365638733,-24940.40050637722,0.0,0.0,0.003998223011994669
YDR019C,-1,-442.7749071121216,-21371.84429717064,0.0,0.0,0.004220346512661039
YIL119C,-1,-444.57569003105164,-23026.80920958519,0.0,0.0,0.00444247001332741
YFR015C,-1,-445.4377429485321,-23432.418944001198,0.0,0.0,0.0046645935139937806
YGL055W,-1,-448.18365454673767,-22343.72183394432,0.0,0.0,0.004886717014660151
YOR306C,-1,-448.8304634094238,-23389.78068423271,0.0,0.0,0.005108840515326522
YFL026W,-1,-448.8698995113373,-21937.90593934059,0.0,0.0,0.0053309640159928924
YKL096W-A,1,-450.9037939310074,-23371.64134645462,0.04,0.00980392156862745,0.0053309640159928924
YPL092W,-1,-452.0483852624893,-24887.916193813086,0.038461538461538464,0.00980392156862745,0.005553087516659262
YLR237W,-1,-452.09953904151917,-27016.94967341423,0.037037037037037035,0.00980392156862745,0.005775211017325633
YMR250W,-1,-452.61359190940857,-24496.834450125694,0.03571428571428571,0.00980392156862745,0.0059973345179920035
YFR053C,-1,-453.44364523887634,-22707.29623901844,0.034482758620689655,0.00980392156862745,0.006219458018658374
YLR160C,-1,-453.6855249404907,-22296.04221844673,0.03333333333333333,0.00980392156862745,0.006441581519324745
YDR033W,-1,-455.72880923748016,-21831.42557799816,0.03225806451612903,0.00980392156862745,0.006663705019991115
YBL075C,-1,-455.9983866214752,-22909.73849797249,0.03125,0.00980392156862745,0.006885828520657486
YOL052C-A,-1,-457.09973883628845,-26849.801357388496,0.030303030303030304,0.00980392156862745,0.007107952021323856
YDL222C,-1,-457.7074394226074,-24106.77164208889,0.029411764705882353,0.00980392156862745,0.007330075521990226
YBR072W,-1,-458.62896251678467,-25870.9851436615,0.02857142857142857,0.00980392156862745,0.007552199022656597
YER091C,-1,-458.74539041519165,-22258.998853206635,0.027777777777777776,0.00980392156862745,0.007774322523322968
YPL265W,-1,-460.20116543769836,-23239.945560336113,0.02702702702702703,0.00980392156862745,0.007996446023989337
YML056C,-1,-460.268714427948,-22163.7041182518,0.02631578947368421,0.00980392156862745,0.008218569524655708
YMR195W,-1,-460.2737206220627,-23902.088566422462,0.02564102564102564,0.00980392156862745,0.008440693025322079
YOR133W,-1,-460.7452669143677,-23991.00711250305,0.025,0.00980392156862745,0.00866281652598845
YCL030C,-1,-460.9079132080078,-21539.075013518333,0.024390243902439025,0.00980392156862745,0.00888494002665482
YGL008C,-1,-461.5686535835266,-21761.740590453148,0.023809523809523808,0.00980392156862745,0.00910706352732119
YHR142W,-1,-462.65037858486176,-26400.757279992104,0.023255813953488372,0.00980392156862745,0.009329187027987561
YDR077W,1,-462.69727301597595,-25914.153665065765,0.045454545454545456,0.0196078431372549,0.009329187027987561
YHR143W,1,-463.91233348846436,-22319.463386535645,0.06666666666666667,0.029411764705882353,0.009329187027987561
YER150W,1,-465.6030979156494,-25721.23174881935,0.08695652173913043,0.0392156862745098,0.009329187027987561
YEL039C,-1,-468.1696140766144,-24719.059610128403,0.0851063829787234,0.0392156862745098,0.009551310528653932
YKL035W,-1,-468.9115090370178,-27487.481860399246,0.08333333333333333,0.0392156862745098,0.009773434029320302
YOR393W,-1,-468.96306562423706,-23289.814675569534,0.08163265306122448,0.0392156862745098,0.009995557529986673
YEL011W,-1,-469.220246553421,-26177.493560910225,0.08,0.0392156862745098,0.010217681030653044
YOR120W,-1,-469.9023244380951,-26450.43048107624,0.0784313725490196,0.0392156862745098,0.010439804531319414
YIR034C,-1,-470.01439094543457,-26325.608340263367,0.07692307692307693,0.0392156862745098,0.010661928031985785
YOL155C,1,-470.41480588912964,-26128.35516142845,0.09433962264150944,0.049019607843137254,0.010661928031985785
YJL159W,1,-470.5942585468292,-24917.321218013763,0.1111111111111111,0.058823529411764705,0.010661928031985785
YHL024W,-1,-471.9310886859894,-26356.524170160294,0.10909090909090909,0.058823529411764705,0.010884051532652154
YDL024C,1,-471.9539564847946,-26765.921532034874,0.125,0.06862745098039216,0.010884051532652154
