Gene,Label,Score,Background Score,Precision,Recall,False Positive Rate
YEL018W,-1,-408.24895753338933,-20853.555170033127,0.0,0.0,0.0002244668911335578
YDR288W,-1,-414.2574551105499,-19269.029854357243,0.0,0.0,0.0004489337822671156
YDR416W,1,-439.26647478342056,-19967.804237648845,0.3333333333333333,0.006711409395973154,0.0004489337822671156
YCL029C,-1,-446.6752468943596,-19882.790216103196,0.25,0.006711409395973154,0.0006734006734006734
YCL016C,-1,-458.2440767288208,-21339.548432528973,0.2,0.006711409395973154,0.0008978675645342312
YKL012W,1,-463.3860110491514,-21618.810486234725,0.3333333333333333,0.013422818791946308,0.0008978675645342312
YLR052W,-1,-463.7985021471977,-21200.36987182498,0.2857142857142857,0.013422818791946308,0.001122334455667789
YHR058C,-1,-465.5531892776489,-20831.420645058155,0.25,0.013422818791946308,0.0013468013468013469
YDR217C,-1,-465.6526886820793,-20432.399040341377,0.2222222222222222,0.013422818791946308,0.0015712682379349046
YLR275W,1,-468.2734211906791,-23406.653323907405,0.3,0.020134228187919462,0.0015712682379349046
YML015C,-1,-468.76876425743103,-20626.75864855945,0.2727272727272727,0.020134228187919462,0.0017957351290684624
YLR145W,1,-469.0147852897644,-21394.14332127571,0.3333333333333333,0.026845637583892617,0.0017957351290684624
YMR059W,-1,-469.0818904042244,-22442.920329630375,0.3076923076923077,0.026845637583892617,0.00202020202020202
YMR227C,-1,-470.88818579912186,-20644.100456550717,0.2857142857142857,0.026845637583892617,0.002244668911335578
YPL151C,1,-473.7597234249115,-21080.24912428856,0.3333333333333333,0.03355704697986577,0.002244668911335578
YGR072W,-1,-474.2779606580734,-22796.33570216596,0.3125,0.03355704697986577,0.0024691358024691358
YDR075W,-1,-476.855681180954,-22931.335204541683,0.29411764705882354,0.03355704697986577,0.0026936026936026937
YBR167C,1,-477.2238815538585,-22366.187108051032,0.3333333333333333,0.040268456375838924,0.0026936026936026937
YDR311W,-1,-477.65309303998947,-21490.00218617916,0.3157894736842105,0.040268456375838924,0.0029180695847362513
YGR003W,-1,-478.9946509823203,-21140.495866261423,0.3,0.040268456375838924,0.0031425364758698093
YLR319C,-1,-479.43118128180504,-21162.270665436983,0.2857142857142857,0.040268456375838924,0.003367003367003367
YDR121W,-1,-480.67895233631134,-23518.266712129116,0.2727272727272727,0.040268456375838924,0.003591470258136925
YML112W,-1,-481.53649055957794,-21649.229582190514,0.2608695652173913,0.040268456375838924,0.0038159371492704824
YDR013W,-1,-481.67027193307877,-21711.39119015634,0.25,0.040268456375838924,0.00404040404040404
YDR473C,1,-483.222448348999,-21226.82789617777,0.28,0.04697986577181208,0.00404040404040404
YMR268C,1,-483.406943321228,-21940.637638509274,0.3076923076923077,0.053691275167785234,0.00404040404040404
YHR118C,-1,-483.7739750146866,-21164.83059760928,0.2962962962962963,0.053691275167785234,0.004264870931537598
YOR274W,-1,-484.73582541942596,-21346.61594903469,0.2857142857142857,0.053691275167785234,0.004489337822671156
YCR066W,-1,-485.4058701992035,-21231.925691127777,0.27586206896551724,0.053691275167785234,0.0047138047138047135
YML062C,-1,-487.63197803497314,-20813.63353830576,0.26666666666666666,0.053691275167785234,0.0049382716049382715
YDL005C,-1,-489.32336062192917,-21986.126396268606,0.25806451612903225,0.053691275167785234,0.0051627384960718295
YOL125W,-1,-489.6873168349266,-24065.503128141165,0.25,0.053691275167785234,0.0053872053872053875
YNR023W,-1,-489.6957985162735,-20352.0595523417,0.24242424242424243,0.053691275167785234,0.005611672278338945
YAL047C,-1,-490.09283781051636,-20278.97283756733,0.23529411764705882,0.053691275167785234,0.005836139169472503
YDR527W,-1,-491.66439467668533,-22818.798165738583,0.22857142857142856,0.053691275167785234,0.006060606060606061
YPL011C,-1,-491.95982456207275,-20893.486750125885,0.2222222222222222,0.053691275167785234,0.006285072951739619
YDL044C,1,-493.1843811273575,-21554.96808037162,0.24324324324324326,0.06040268456375839,0.006285072951739619
YJL024C,-1,-494.298186480999,-22766.314985454082,0.23684210526315788,0.06040268456375839,0.006509539842873177
YBR200W,-1,-494.33642196655273,-21742.10448396206,0.23076923076923078,0.06040268456375839,0.006734006734006734
YDR439W,-1,-495.6038451194763,-21799.921808958054,0.225,0.06040268456375839,0.006958473625140292
YLR200W,-1,-498.39534628391266,-23265.0137296319,0.21951219512195122,0.06040268456375839,0.00718294051627385
YBR215W,-1,-498.6613794565201,-21226.645436525345,0.21428571428571427,0.06040268456375839,0.007407407407407408
YDR308C,-1,-499.5758788585663,-23493.70747389272,0.20930232558139536,0.06040268456375839,0.007631874298540965
YKR063C,-1,-499.8466577529907,-22262.285639107227,0.20454545454545456,0.06040268456375839,0.007856341189674524
YLR288C,-1,-499.9470277428627,-22408.078952673823,0.2,0.06040268456375839,0.00808080808080808
YPL045W,-1,-501.39694261550903,-20929.45709478855,0.1956521739130435,0.06040268456375839,0.008305274971941638
YGR275W,-1,-502.916645437479,-21915.290004983544,0.19148936170212766,0.06040268456375839,0.008529741863075197
YBL103C,-1,-503.2858855128288,-22718.422633379698,0.1875,0.06040268456375839,0.008754208754208754
YJR097W,-1,-504.3760400414467,-24796.646956205368,0.1836734693877551,0.06040268456375839,0.008978675645342313
YNL199C,-1,-506.10230779647827,-22327.9853092134,0.18,0.06040268456375839,0.00920314253647587
YMR285C,-1,-506.6244652271271,-22562.726872861385,0.17647058823529413,0.06040268456375839,0.009427609427609427
YBR211C,-1,-506.6707679629326,-20886.775482058525,0.17307692307692307,0.06040268456375839,0.009652076318742986
YGR129W,1,-506.68259996175766,-22883.563845038414,0.18867924528301888,0.06711409395973154,0.009652076318742986
YHR090C,-1,-507.40616524219513,-21895.55370026827,0.18518518518518517,0.06711409395973154,0.009876543209876543
YBR095C,-1,-507.8874828219414,-21338.525516986847,0.18181818181818182,0.06711409395973154,0.010101010101010102
YDL030W,1,-508.32271844148636,-22912.38817322254,0.19642857142857142,0.0738255033557047,0.010101010101010102
YKR062W,-1,-508.5393056869507,-21286.8203971982,0.19298245614035087,0.0738255033557047,0.010325476992143659
YNR024W,-1,-508.89298075437546,-24986.017326787114,0.1896551724137931,0.0738255033557047,0.010549943883277216
YLR015W,-1,-509.5546981692314,-23491.716621756554,0.1864406779661017,0.0738255033557047,0.010774410774410775
YMR234W,-1,-510.61771261692047,-21716.399066209793,0.18333333333333332,0.0738255033557047,0.010998877665544332
YLR226W,-1,-510.8505958765745,-23684.54543940723,0.18032786885245902,0.0738255033557047,0.01122334455667789
YHR120W,-1,-510.9024347066879,-22788.87909334898,0.1774193548387097,0.0738255033557047,0.011447811447811448
YJL203W,1,-511.9905304312706,-22530.41828417778,0.19047619047619047,0.08053691275167785,0.011447811447811448
YMR153W,-1,-512.216090798378,-23350.06987798214,0.1875,0.08053691275167785,0.011672278338945005
YNL023C,-1,-512.4242577552795,-22949.50473958254,0.18461538461538463,0.08053691275167785,0.011896745230078564
YJR089W,-1,-512.6189692020416,-22835.409239768982,0.18181818181818182,0.08053691275167785,0.012121212121212121
YIR004W,-1,-514.4469348192215,-22936.61249667406,0.1791044776119403,0.08053691275167785,0.012345679012345678
YMR167W,-1,-514.4627822637558,-21142.51628935337,0.17647058823529413,0.08053691275167785,0.012570145903479237
YER168C,-1,-514.9536487460136,-23229.768743038177,0.17391304347826086,0.08053691275167785,0.012794612794612794
YNL250W,-1,-514.9981806874275,-23415.76017332077,0.17142857142857143,0.08053691275167785,0.013019079685746353
YKL173W,1,-515.0440888404846,-23122.14807380736,0.18309859154929578,0.087248322147651,0.013019079685746353
YPR070W,-1,-515.502193570137,-22241.061011955142,0.18055555555555555,0.087248322147651,0.01324354657687991
YNL222W,-1,-516.4801149368286,-21789.209100067616,0.1780821917808219,0.087248322147651,0.013468013468013467
YJL025W,-1,-516.6337221860886,-22835.529178082943,0.17567567567567569,0.087248322147651,0.013692480359147026
YOL135C,-1,-516.7487654685974,-23235.370913147926,0.17333333333333334,0.087248322147651,0.013916947250280583
YML076C,-1,-517.0307184457779,-21328.348235309124,0.17105263157894737,0.087248322147651,0.014141414141414142
YGR134W,-1,-517.129293680191,-22404.837853848934,0.16883116883116883,0.087248322147651,0.0143658810325477
YML103C,-1,-517.1924486160278,-23085.385481655598,0.16666666666666666,0.087248322147651,0.014590347923681257
YNL201C,-1,-517.5178707242012,-22908.003350913525,0.16455696202531644,0.087248322147651,0.014814814814814815
YBR279W,-1,-517.5974414348602,-21683.321723341942,0.1625,0.087248322147651,0.015039281705948373
YKL005C,-1,-518.1754742264748,-22750.71534359455,0.16049382716049382,0.087248322147651,0.01526374859708193
YNL164C,-1,-518.4376415610313,-23473.774759232998,0.15853658536585366,0.087248322147651,0.015488215488215488
YOR119C,-1,-518.8590407371521,-24423.791724026203,0.1566265060240964,0.087248322147651,0.015712682379349047
YDR351W,-1,-519.7810754776001,-21930.91276216507,0.15476190476190477,0.087248322147651,0.015937149270482603
YGR002C,-1,-520.334941983223,-21366.391598701477,0.15294117647058825,0.087248322147651,0.01616161616161616
YMR005W,-1,-520.4621829986572,-22589.556135118008,0.1511627906976744,0.087248322147651,0.01638608305274972
YGL061C,-1,-521.0610984861851,-23030.234423592687,0.14942528735632185,0.087248322147651,0.016610549943883276
YIR005W,1,-521.1198784708977,-22366.984352767467,0.1590909090909091,0.09395973154362416,0.016610549943883276
YNL227C,-1,-522.5818898677826,-23521.8735075593,0.15730337078651685,0.09395973154362416,0.016835016835016835
YGL174W,1,-522.7568014860153,-21953.738956332207,0.16666666666666666,0.10067114093959731,0.016835016835016835
YNL107W,-1,-523.0375183820724,-22247.650999218225,0.16483516483516483,0.10067114093959731,0.017059483726150394
YDL043C,1,-523.3558708429337,-22681.591469824314,0.17391304347826086,0.10738255033557047,0.017059483726150394
YBR258C,-1,-523.3668644428253,-21947.864308178425,0.17204301075268819,0.10738255033557047,0.01728395061728395
YOR058C,-1,-523.7858175039291,-22067.444140791893,0.1702127659574468,0.10738255033557047,0.017508417508417508
YHR156C,-1,-523.8826580047607,-22411.906014442444,0.16842105263157894,0.10738255033557047,0.017732884399551067
YCR092C,-1,-524.0684119462967,-21863.002850711346,0.16666666666666666,0.10738255033557047,0.017957351290684626
YLR033W,-1,-525.8496321439743,-22330.573905467987,0.16494845360824742,0.10738255033557047,0.01818181818181818
YGR104C,-1,-525.8658434152603,-22489.076602220535,0.16326530612244897,0.10738255033557047,0.01840628507295174
YML011C,-1,-525.9645827710629,-24162.656099557877,0.16161616161616163,0.10738255033557047,0.0186307519640853
YDR198C,-1,-525.9746626019478,-22723.48714390397,0.16,0.10738255033557047,0.018855218855218854
YGR057C,-1,-526.6086274981499,-22912.29227554798,0.15841584158415842,0.10738255033557047,0.019079685746352413
YGR005C,-1,-526.9577440321445,-22610.96095737815,0.1568627450980392,0.10738255033557047,0.019304152637485972
YDR243C,1,-527.4020119905472,-21993.884509563446,0.1650485436893204,0.11409395973154363,0.019304152637485972
YKR022C,1,-527.4928624033928,-21641.895885288715,0.17307692307692307,0.12080536912751678,0.019304152637485972
YPR046W,-1,-527.5565825104713,-23465.231642961502,0.17142857142857143,0.12080536912751678,0.019528619528619527
YHR191C,-1,-528.4738447070122,-22720.248535752296,0.16981132075471697,0.12080536912751678,0.019753086419753086
YDR108W,-1,-528.4908737540245,-21050.133563935757,0.16822429906542055,0.12080536912751678,0.019977553310886645
YNL317W,1,-528.5873554944992,-22937.30815935135,0.17592592592592593,0.12751677852348994,0.019977553310886645
YPL193W,-1,-528.76693546772,-23878.1112036705,0.1743119266055046,0.12751677852348994,0.020202020202020204
YJR093C,1,-528.8872139453888,-23507.774755120277,0.18181818181818182,0.1342281879194631,0.020202020202020204
YJL087C,1,-529.1167196929455,-23766.056761950254,0.1891891891891892,0.14093959731543623,0.020202020202020204
YKL089W,-1,-529.2812685370445,-22599.040716469288,0.1875,0.14093959731543623,0.02042648709315376
YGL145W,-1,-529.3206866979599,-21671.091885209084,0.18584070796460178,0.14093959731543623,0.020650953984287318
YBR131W,-1,-529.394304394722,-22061.920168042183,0.18421052631578946,0.14093959731543623,0.020875420875420877
YDL069C,-1,-529.9696704745293,-23559.39863461256,0.1826086956521739,0.14093959731543623,0.021099887766554432
YER173W,-1,-530.3482016324997,-21812.624230623245,0.1810344827586207,0.14093959731543623,0.02132435465768799
YPL101W,-1,-531.1140107512474,-24761.940108656883,0.1794871794871795,0.14093959731543623,0.02154882154882155
YBR081C,-1,-531.1496304273605,-21790.87999343872,0.17796610169491525,0.14093959731543623,0.021773288439955105
YJL168C,-1,-531.2268233299255,-21883.03496682644,0.17647058823529413,0.14093959731543623,0.021997755331088664
YOL054W,-1,-531.2802894115448,-22843.751937687397,0.175,0.14093959731543623,0.022222222222222223
YDR081C,-1,-531.3507957458496,-23493.960169494152,0.17355371900826447,0.14093959731543623,0.02244668911335578
YDL028C,-1,-531.9801802635193,-21567.524027466774,0.1721311475409836,0.14093959731543623,0.022671156004489337
YMR213W,1,-532.0752700567245,-22607.57664692402,0.17886178861788618,0.1476510067114094,0.022671156004489337
YMR127C,-1,-533.0626899600029,-24629.39460283518,0.1774193548387097,0.1476510067114094,0.022895622895622896
YOR106W,-1,-533.3392006158829,-23116.687314659357,0.176,0.1476510067114094,0.023120089786756455
YDR419W,-1,-534.1632235050201,-22777.27596861124,0.1746031746031746,0.1476510067114094,0.02334455667789001
YGR120C,-1,-534.1782674789429,-23492.804307878017,0.1732283464566929,0.1476510067114094,0.02356902356902357
YER109C,-1,-534.4651458263397,-21580.545707464218,0.171875,0.1476510067114094,0.023793490460157128
YGR091W,1,-534.6520121097565,-22580.211766958237,0.17829457364341086,0.15436241610738255,0.023793490460157128
YPR104C,-1,-534.8717219978571,-22654.945594742894,0.17692307692307693,0.15436241610738255,0.024017957351290684
YGL246C,-1,-534.8918335437775,-25690.947351694107,0.17557251908396945,0.15436241610738255,0.024242424242424242
YLL004W,-1,-535.0318856239319,-23158.073636114597,0.17424242424242425,0.15436241610738255,0.0244668911335578
YDR460W,-1,-535.2394124269485,-23054.360789060593,0.17293233082706766,0.15436241610738255,0.024691358024691357
YFL001W,-1,-535.2600040137768,-26438.287324637175,0.17164179104477612,0.15436241610738255,0.024915824915824916
YPL181W,-1,-535.2761460542679,-22398.74355995655,0.17037037037037037,0.15436241610738255,0.025140291806958474
YNL206C,-1,-535.8867332935333,-22556.537275463343,0.16911764705882354,0.15436241610738255,0.02536475869809203
YML107C,-1,-536.3796135187149,-23411.48776215315,0.1678832116788321,0.15436241610738255,0.02558922558922559
YPL047W,-1,-536.7706055045128,-22913.0689817667,0.16666666666666666,0.15436241610738255,0.025813692480359147
YOR244W,-1,-537.31887114048,-23517.246000885963,0.16546762589928057,0.15436241610738255,0.026038159371492706
YOR279C,-1,-537.3775780200958,-20844.181606411934,0.16428571428571428,0.15436241610738255,0.026262626262626262
YAL011W,-1,-537.6173629760742,-21906.411394000053,0.16312056737588654,0.15436241610738255,0.02648709315375982
YLR368W,-1,-537.9306133985519,-22401.360797822475,0.1619718309859155,0.15436241610738255,0.02671156004489338
YMR138W,-1,-538.0982059240341,-23935.942948758602,0.16083916083916083,0.15436241610738255,0.026936026936026935
YNR003C,-1,-538.3359206616879,-25686.792568683624,0.1597222222222222,0.15436241610738255,0.027160493827160494
YGL155W,-1,-539.2815134525299,-23362.807506084442,0.15862068965517243,0.15436241610738255,0.027384960718294053
YDR181C,-1,-539.968084692955,-21884.481945753098,0.15753424657534246,0.15436241610738255,0.027609427609427608
YFL017W-A,1,-540.2179608121514,-23272.486219383776,0.16326530612244897,0.1610738255033557,0.027609427609427608
YDR082W,-1,-540.6307945251465,-22853.55334454775,0.16216216216216217,0.1610738255033557,0.027833894500561167
YOL115W,-1,-541.157039642334,-24885.18919724226,0.1610738255033557,0.1610738255033557,0.028058361391694726
