Gene,Label,Score,Background Score,Precision,Recall,False Positive Rate
YGL092W,1,-839.111005783081,-25807.7701485157,1.0,0.005649717514124294,0.0
YGL155W,0,-841.106246471405,-25891.37512910366,1.0,0.005649717514124294,0.0
YMR033W,-1,-841.1886047124863,-25953.509422540665,0.5,0.005649717514124294,0.00022888532845044633
YDR245W,-1,-854.4471924304962,-25448.04975438118,0.3333333333333333,0.005649717514124294,0.00045777065690089265
YJL014W,-1,-857.1053813695908,-26857.003615021706,0.25,0.005649717514124294,0.000686655985351339
YIL085C,-1,-857.7820892333984,-25064.090665578842,0.2,0.005649717514124294,0.0009155413138017853
YJL061W,1,-865.5899572372437,-26576.686556339264,0.3333333333333333,0.011299435028248588,0.0009155413138017853
YOR151C,-1,-866.2352712154388,-25923.555805683136,0.2857142857142857,0.011299435028248588,0.0011444266422522317
YMR153W,1,-867.9293839931488,-25668.28049635887,0.375,0.01694915254237288,0.0011444266422522317
YGL238W,1,-871.377427816391,-25825.03088235855,0.4444444444444444,0.022598870056497175,0.0011444266422522317
YDL116W,1,-875.7824680805206,-25835.337279319763,0.5,0.02824858757062147,0.0011444266422522317
YJL008C,-1,-878.6958351135254,-26048.04895424843,0.45454545454545453,0.02824858757062147,0.001373311970702678
YJL039C,1,-881.8340086936951,-26215.139769792557,0.5,0.03389830508474576,0.001373311970702678
YML103C,1,-883.3996207714081,-26725.36656975746,0.5384615384615384,0.03954802259887006,0.001373311970702678
YDR198C,-1,-883.8972136974335,-26615.036141753197,0.5,0.03954802259887006,0.0016021972991531242
YPL101W,-1,-883.9673457145691,-27037.232904434204,0.4666666666666667,0.03954802259887006,0.0018310826276035706
YIL142W,-1,-885.5038245916367,-27019.703394770622,0.4375,0.03954802259887006,0.002059967956054017
YCR035C,-1,-886.3542833328247,-27288.71770787239,0.4117647058823529,0.03954802259887006,0.0022888532845044634
YNL004W,1,-886.465338230133,-26403.062856197357,0.4444444444444444,0.04519774011299435,0.0022888532845044634
YOR239W,-1,-888.7044513225555,-27046.190199375153,0.42105263157894735,0.04519774011299435,0.0025177386129549098
YLR285W,-1,-888.7530426979065,-26758.455795288086,0.4,0.04519774011299435,0.002746623941405356
YBL079W,1,-889.9409730434418,-25506.858867406845,0.42857142857142855,0.05084745762711865,0.002746623941405356
YDR292C,-1,-890.0401585102081,-26976.665632009506,0.4090909090909091,0.05084745762711865,0.002975509269855802
