Gene,Label,Score,Background Score,Precision,Recall,False Positive Rate
YDL113C,-1,-690.8097780644894,-16972.64082224667,0.0,0.0,0.0002992220227408737
YKL213C,-1,-721.1093667149544,-16970.54149401188,0.0,0.0,0.0005984440454817474
YOR054C,-1,-731.7793420553207,-17830.550640702248,0.0,0.0,0.0008976660682226212
YLR324W,-1,-737.0232137441635,-17826.199559688568,0.0,0.0,0.0011968880909634949
YBR214W,1,-737.2009089589119,-18700.560925722122,0.2,0.0056179775280898875,0.0011968880909634949
YDL132W,-1,-744.8031783103943,-17214.838040471077,0.16666666666666666,0.0056179775280898875,0.0014961101137043686
YJL005W,-1,-751.805229306221,-17575.58524978161,0.14285714285714285,0.0056179775280898875,0.0017953321364452424
YDR255C,-1,-753.5092352628708,-18168.502389997244,0.125,0.0056179775280898875,0.002094554159186116
YML057W,-1,-757.380170583725,-17839.07131433487,0.1111111111111111,0.0056179775280898875,0.0023937761819269898
YPL123C,-1,-761.8297755718231,-17937.009739518166,0.1,0.0056179775280898875,0.0026929982046678637
YDR294C,-1,-771.4527553319931,-17794.255861520767,0.09090909090909091,0.0056179775280898875,0.002992220227408737
YJR059W,1,-775.1619127988815,-18055.635875701904,0.16666666666666666,0.011235955056179775,0.002992220227408737
YDR122W,1,-778.0519449710846,-18646.46982693672,0.23076923076923078,0.016853932584269662,0.002992220227408737
YGL104C,-1,-788.1228036880493,-17726.975598335266,0.21428571428571427,0.016853932584269662,0.003291442250149611
YKL020C,-1,-794.9597401916981,-19044.75112465024,0.2,0.016853932584269662,0.003590664272890485
YKL022C,-1,-795.5598924160004,-17793.409350514412,0.1875,0.016853932584269662,0.0038898862956313583
YOR208W,-1,-796.4949145317078,-17761.239929676056,0.17647058823529413,0.016853932584269662,0.004189108318372232
YDL035C,-1,-798.3946245908737,-18673.069266080856,0.16666666666666666,0.016853932584269662,0.004488330341113106
YCL052C,-1,-798.6777719855309,-19051.459536522627,0.15789473684210525,0.016853932584269662,0.0047875523638539795
YOR120W,-1,-801.608237862587,-19391.641627311707,0.15,0.016853932584269662,0.005086774386594853
YOR132W,-1,-803.0359857082367,-19378.87641954422,0.14285714285714285,0.016853932584269662,0.005385996409335727
YIL097W,-1,-803.616311788559,-19938.15515369177,0.13636363636363635,0.016853932584269662,0.005685218432076601
YCL051W,1,-805.456791639328,-18439.75513124466,0.17391304347826086,0.02247191011235955,0.005685218432076601
YMR135C,-1,-805.7866177558899,-18122.303057789803,0.16666666666666666,0.02247191011235955,0.005984440454817474
YOR076C,-1,-809.9706279039383,-18310.549702644348,0.16,0.02247191011235955,0.0062836624775583485
YOR256C,-1,-811.4297726452351,-19203.11772683263,0.15384615384615385,0.02247191011235955,0.006582884500299222
YPL196W,-1,-811.8092186450958,-18852.249825060368,0.14814814814814814,0.02247191011235955,0.006882106523040095
YPL249C,-1,-812.2704222202301,-18852.918114304543,0.14285714285714285,0.02247191011235955,0.00718132854578097
YJR125C,-1,-812.2955567836761,-17945.541833758354,0.13793103448275862,0.02247191011235955,0.007480550568521843
YNL103W,-1,-812.8666523694992,-18792.824880242348,0.13333333333333333,0.02247191011235955,0.007779772591262717
YOR023C,-1,-815.4350423812866,-18934.65659201145,0.12903225806451613,0.02247191011235955,0.00807899461400359
YJR090C,-1,-816.752902507782,-18907.71157503128,0.125,0.02247191011235955,0.008378216636744464
YMR139W,1,-817.44651222229,-19845.519281864166,0.15151515151515152,0.028089887640449437,0.008378216636744464
YDR436W,-1,-817.5628839731216,-18961.37108230591,0.14705882352941177,0.028089887640449437,0.008677438659485339
YMR302C,-1,-817.9217867851257,-19389.970554053783,0.14285714285714285,0.028089887640449437,0.008976660682226212
YDR027C,-1,-818.607631444931,-18113.237102270126,0.1388888888888889,0.028089887640449437,0.009275882704967086
