Gene,Label,Score,Background Score,Precision,Recall,False Positive Rate
YDR394W,1,-178.40646088123322,-14693.910309821367,1.0,0.006756756756756757,0.0
YOR362C,1,-185.5301951467991,-15989.674469694495,1.0,0.013513513513513514,0.0
YMR314W,1,-211.82293739914894,-14877.740182504058,1.0,0.02027027027027027,0.0
YPR103W,1,-212.0654825270176,-16544.232001036406,1.0,0.02702702702702703,0.0
YBR170C,1,-216.121059268713,-15815.895592212677,1.0,0.033783783783783786,0.0
YDL097C,1,-224.85286447405815,-16449.62784989178,1.0,0.04054054054054054,0.0
YBL041W,1,-228.41117429733276,-16321.860045358539,1.0,0.0472972972972973,0.0
YMR139W,-1,-230.03298623859882,-14083.539025813341,0.875,0.0472972972972973,0.000286286859433152
YGL048C,1,-240.12932759523392,-16844.19686627388,0.8888888888888888,0.05405405405405406,0.000286286859433152
YDR329C,-1,-244.07645159959793,-14554.113915801048,0.8,0.05405405405405406,0.000572573718866304
YHR012W,-1,-247.2941850423813,-15470.72934654355,0.7272727272727273,0.05405405405405406,0.0008588605782994561
YOL038W,1,-255.22568956017494,-15615.11962902546,0.75,0.060810810810810814,0.0008588605782994561
YLR028C,-1,-259.0960102379322,-15012.425247982144,0.6923076923076923,0.060810810810810814,0.001145147437732608
YJL036W,-1,-260.17702881991863,-16238.624071925879,0.6428571428571429,0.060810810810810814,0.0014314342971657602
YER012W,1,-261.5366527736187,-17560.533006489277,0.6666666666666666,0.06756756756756757,0.0014314342971657602
YMR197C,-1,-262.10435734689236,-14910.019685357809,0.625,0.06756756756756757,0.0017177211565989122
YGL011C,1,-263.2025852203369,-15470.554159983993,0.6470588235294118,0.07432432432432433,0.0017177211565989122
YIL075C,1,-266.56278014183044,-16128.187009453773,0.6666666666666666,0.08108108108108109,0.0017177211565989122
YGR135W,1,-271.5433803796768,-16188.101333260536,0.6842105263157895,0.08783783783783784,0.0017177211565989122
YFR050C,1,-272.38189951330423,-16327.580890156329,0.7,0.0945945945945946,0.0017177211565989122
YHL002W,-1,-273.6180335432291,-14982.830799028277,0.6666666666666666,0.0945945945945946,0.002004008016032064
YFR003C,-1,-277.0815095305443,-15481.108853667974,0.6363636363636364,0.0945945945945946,0.002290294875465216
YDL147W,1,-277.9233330190182,-17343.166537076235,0.6521739130434783,0.10135135135135136,0.002290294875465216
YER143W,1,-279.5018636062741,-14354.457531519234,0.6666666666666666,0.10810810810810811,0.002290294875465216
YDL100C,-1,-282.3998039662838,-17475.071737393737,0.64,0.10810810810810811,0.002576581734898368
YDL045C,-1,-284.25316110253334,-15283.439806729555,0.6153846153846154,0.10810810810810811,0.0028628685943315204
YOR036W,-1,-285.5322383791208,-15972.961148187518,0.5925925925925926,0.10810810810810811,0.0031491554537646724
YCL052C,1,-287.95453130453825,-13830.045029520988,0.6071428571428571,0.11486486486486487,0.0031491554537646724
YGR048W,1,-289.6583214998245,-16857.082762539387,0.6206896551724138,0.12162162162162163,0.0031491554537646724
YLR025W,1,-290.34610775113106,-15333.834641516209,0.6333333333333333,0.12837837837837837,0.0031491554537646724
YLR260W,-1,-297.7710637450218,-16835.83924034238,0.6129032258064516,0.12837837837837837,0.0034354423131978244
YOR007C,-1,-302.63362643122673,-17894.74546596408,0.59375,0.12837837837837837,0.0037217291726309764
YJR125C,-1,-303.9990633428097,-16100.475009128451,0.5757575757575758,0.12837837837837837,0.004008016032064128
YMR004W,-1,-304.1168816238642,-14505.720480762422,0.5588235294117647,0.12837837837837837,0.00429430289149728
YMR067C,1,-305.70439480245113,-15801.478383406997,0.5714285714285714,0.13513513513513514,0.00429430289149728
