Gene,Label,Score,Background Score,Precision,Recall,False Positive Rate
YKL085W,-1,-112.71442341804504,-27974.28262448311,0.0,0.0,0.00027631942525559546
YKL213C,-1,-115.26067399978638,-28736.710470676422,0.0,0.0,0.0005526388505111909
YGL037C,-1,-116.81441640853882,-30166.33429992199,0.0,0.0,0.0008289582757667864
YDR294C,-1,-119.30776882171631,-28971.431795597076,0.0,0.0,0.0011052777010223818
YDR388W,-1,-120.24008297920227,-28307.08372569084,0.0,0.0,0.0013815971262779773
YJR091C,-1,-121.99606513977051,-29213.835114002228,0.0,0.0,0.0016579165515335729
YKL150W,-1,-122.11270093917847,-29012.335051059723,0.0,0.0,0.0019342359767891683
YLL026W,-1,-122.66419720649719,-30871.173535823822,0.0,0.0,0.0022105554020447637
YPR154W,-1,-125.06773638725281,-28637.48189139366,0.0,0.0,0.0024868748273003593
YML057W,-1,-126.66482663154602,-31886.217547893524,0.0,0.0,0.0027631942525559545
YKR066C,-1,-126.82470464706421,-29637.33199095726,0.0,0.0,0.00303951367781155
YLR240W,-1,-126.97673296928406,-30004.91043329239,0.0,0.0,0.0033158331030671458
YML128C,-1,-127.39154744148254,-28051.407613039017,0.0,0.0,0.003592152528322741
YFL016C,-1,-127.56752681732178,-28424.22799563408,0.0,0.0,0.0038684719535783366
YDR363W-A,-1,-127.78246426582336,-28192.87770986557,0.0,0.0,0.004144791378833932
YDR214W,-1,-128.57519912719727,-27730.255511045456,0.0,0.0,0.004421110804089527
YJR059W,-1,-130.511545419693,-30694.86601471901,0.0,0.0,0.004697430229345123
YAL016W,-1,-130.5139651298523,-30858.803104877472,0.0,0.0,0.004973749654600719
YLR324W,-1,-130.68625140190125,-32026.242707252502,0.0,0.0,0.005250069079856314
YFR053C,-1,-130.95318722724915,-28311.796883821487,0.0,0.0,0.005526388505111909
YNL241C,-1,-131.33194828033447,-29617.962535381317,0.0,0.0,0.005802707930367505
YHR016C,-1,-131.34009647369385,-31020.698483467102,0.0,0.0,0.0060790273556231
YPL084W,-1,-131.61039781570435,-30764.647610902786,0.0,0.0,0.0063553467808786955
YGR231C,-1,-131.79494643211365,-31049.16250348091,0.0,0.0,0.0066316662061342915
YGR248W,-1,-132.20570826530457,-30232.651138067245,0.0,0.0,0.006907985631389887
YOR185C,-1,-132.25450992584229,-27366.76687335968,0.0,0.0,0.007184305056645482
YEL060C,-1,-132.56411862373352,-31481.75119161606,0.0,0.0,0.007460624481901078
YGR268C,-1,-132.64929008483887,-30734.048395633698,0.0,0.0,0.007736943907156673
YBR273C,-1,-132.71600079536438,-31285.863283395767,0.0,0.0,0.00801326333241227
YFR003C,-1,-132.7864465713501,-31239.822369098663,0.0,0.0,0.008289582757667864
YIL034C,-1,-133.10359978675842,-29254.249727010727,0.0,0.0,0.00856590218292346
YDR259C,-1,-133.55044078826904,-27060.280597925186,0.0,0.0,0.008842221608179055
YDR335W,-1,-133.72495794296265,-29913.71063733101,0.0,0.0,0.00911854103343465
YMR092C,-1,-134.181636095047,-30133.157534360886,0.0,0.0,0.009394860458690245
YGR088W,-1,-135.2055139541626,-31334.795656442642,0.0,0.0,0.009671179883945842
YBR132C,-1,-135.6411657333374,-31230.930782794952,0.0,0.0,0.009947499309201437
YKL145W,-1,-135.68834853172302,-31689.053434848785,0.0,0.0,0.010223818734457032
YDR122W,-1,-135.6969437599182,-32113.488799095154,0.0,0.0,0.010500138159712628
YGL011C,-1,-136.0457718372345,-30820.589072465897,0.0,0.0,0.010776457584968223
YNL274C,-1,-136.10399341583252,-29604.42189502716,0.0,0.0,0.011052777010223818
YJL020C,-1,-136.33865594863892,-28735.24175095558,0.0,0.0,0.011329096435479415
YCL039W,-1,-136.61401224136353,-29235.532788276672,0.0,0.0,0.01160541586073501
YER021W,-1,-136.6847493648529,-32008.86622238159,0.0,0.0,0.011881735285990605
YFR004W,-1,-136.70235085487366,-31644.912851810455,0.0,0.0,0.0121580547112462
YEL013W,-1,-136.7935962677002,-30058.787932395935,0.0,0.0,0.012434374136501796
YGR132C,-1,-136.90901350975037,-29912.34293293953,0.0,0.0,0.012710693561757391
YER035W,-1,-137.14663457870483,-30883.844645261765,0.0,0.0,0.012987012987012988
YDR099W,-1,-137.22188997268677,-31539.280859708786,0.0,0.0,0.013263332412268583
YDR272W,-1,-137.4807677268982,-32314.563809394836,0.0,0.0,0.013539651837524178
YLR248W,-1,-137.97334551811218,-30345.824208021164,0.0,0.0,0.013815971262779773
YBL050W,-1,-138.0243203639984,-31646.192180395126,0.0,0.0,0.014092290688035369
YIL155C,-1,-138.05315256118774,-30538.77338695526,0.0,0.0,0.014368610113290964
YKR076W,-1,-138.09929871559143,-32693.85980987549,0.0,0.0,0.014644929538546559
YEL012W,-1,-138.2558023929596,-32161.22189927101,0.0,0.0,0.014921248963802156
YJL165C,-1,-138.3119878768921,-30475.807413816452,0.0,0.0,0.015197568389057751
YJL048C,-1,-138.36985778808594,-31719.367530345917,0.0,0.0,0.015473887814313346
YGR178C,-1,-138.60198259353638,-28429.008406162262,0.0,0.0,0.015750207239568943
YPL087W,1,-138.70204830169678,-29148.176273584366,0.017241379310344827,0.045454545454545456,0.015750207239568943
YAL017W,-1,-138.80218315124512,-29495.110288619995,0.01694915254237288,0.045454545454545456,0.01602652666482454
YBL058W,-1,-139.0960054397583,-31729.279853343964,0.016666666666666666,0.045454545454545456,0.016302846090080134
YIL036W,-1,-139.25852465629578,-31516.09314751625,0.01639344262295082,0.045454545454545456,0.01657916551533573
YLL019C,-1,-139.70337200164795,-32880.97124004364,0.016129032258064516,0.045454545454545456,0.016855484940591324
YER094C,-1,-139.7642331123352,-31943.2575404644,0.015873015873015872,0.045454545454545456,0.01713180436584692
YBR126C,-1,-139.79160451889038,-30331.64151620865,0.015625,0.045454545454545456,0.017408123791102514
YBL007C,-1,-139.82779788970947,-30538.30350470543,0.015384615384615385,0.045454545454545456,0.01768444321635811
YCL052C,-1,-139.95239639282227,-31557.878007411957,0.015151515151515152,0.045454545454545456,0.017960762641613705
YBR059C,-1,-139.9734230041504,-30541.83495616913,0.014925373134328358,0.045454545454545456,0.0182370820668693
YNL071W,-1,-140.0145435333252,-29870.7014503479,0.014705882352941176,0.045454545454545456,0.018513401492124895
YDL126C,-1,-140.06625366210938,-30777.751053094864,0.014492753623188406,0.045454545454545456,0.01878972091738049
YMR197C,-1,-140.16519975662231,-31545.72367668152,0.014285714285714285,0.045454545454545456,0.01906604034263609
YPL240C,-1,-140.20720052719116,-28218.782715320587,0.014084507042253521,0.045454545454545456,0.019342359767891684
YDL224C,-1,-140.2790379524231,-31097.521387577057,0.013888888888888888,0.045454545454545456,0.01961867919314728
YDL007W,-1,-140.37222957611084,-32216.600929021835,0.0136986301369863,0.045454545454545456,0.019894998618402875
YMR250W,-1,-140.42111444473267,-30347.41193985939,0.013513513513513514,0.045454545454545456,0.02017131804365847
YLR193C,-1,-140.46415662765503,-28875.2465031147,0.013333333333333334,0.045454545454545456,0.020447637468914065
YOR259C,-1,-140.4984016418457,-31062.88547730446,0.013157894736842105,0.045454545454545456,0.02072395689416966
