Gene,Label,Annos,Score,Background Score,Precision,Recall,False Positive Rate
YER045C,-1,-/-,162.1990645751357,2185.674478560686,0.0,0.0,0.0002957704821058858
YDR231C,-1,-/-,160.96004316210747,2173.991950109601,0.0,0.0,0.0005915409642117716
YBL018C,-1,-/-,157.8779818713665,2109.2497146874666,0.0,0.0,0.0008873114463176575
YAL029C,-1,-/-,156.5168683230877,2102.278374172747,0.0,0.0,0.0011830819284235432
YJL095W,-1,-/-,154.85954673588276,2078.1348390728235,0.0,0.0,0.0014788524105294291
YOL130W,-1,-/-,154.42007578909397,2105.1595640257,0.0,0.0,0.001774622892635315
YPR006C,-1,-/-,154.33525294810534,2145.8569826558232,0.0,0.0,0.002070393374741201
YDR173C,-1,-/-,154.18407282978296,2256.7513593882322,0.0,0.0,0.0023661638568470865
YPR193C,-1,-/-,154.1170130521059,2030.173262283206,0.0,0.0,0.0026619343389529724
YDR059C,-1,-/-,153.7918312996626,2108.14224717021,0.0,0.0,0.0029577048210588583
YHR098C,-1,-/+,153.6146665364504,1990.4451597481966,0.0,0.0,0.003253475303164744
YGL130W,-1,-/-,153.34250250458717,2068.874541543424,0.0,0.0,0.00354924578527063
YMR056C,-1,-/-,152.3378694653511,1986.6435858160257,0.0,0.0,0.003845016267376516
YGL095C,-1,-/+,152.11739119887352,2084.2679245620966,0.0,0.0,0.004140786749482402
YGL136C,-1,-/-,151.99280089139938,1993.0035102441907,0.0,0.0,0.0044365572315882874
YDR312W,-1,-/-,151.42795398831367,2088.620138756931,0.0,0.0,0.004732327713694173
YBR114W,-1,-/-,151.07625697553158,2092.2021630629897,0.0,0.0,0.005028098195800059
YGR275W,-1,-/-,149.90582781285048,2082.4656562134624,0.0,0.0,0.005323868677905945
YPL149W,1,+/+,149.88067710399628,2037.4919074326754,0.05263157894736842,0.0038461538461538464,0.005323868677905945
YDR147W,-1,-/-,149.63262794166803,1965.9166273027658,0.05,0.0038461538461538464,0.005619639160011831
YMR316W,-1,-/-,149.6159747466445,2019.3281327486038,0.047619047619047616,0.0038461538461538464,0.005915409642117717
YKR024C,-1,-/-,149.422412969172,2036.672417640686,0.045454545454545456,0.0038461538461538464,0.006211180124223602
YEL062W,-1,-/+,149.38717768341303,2080.6838498562574,0.043478260869565216,0.0038461538461538464,0.006506950606329488
YER151C,-1,-/-,149.1909478008747,1983.569311015308,0.041666666666666664,0.0038461538461538464,0.006802721088435374
YER114C,-1,-/-,149.10291004925966,2033.9625463932753,0.04,0.0038461538461538464,0.00709849157054126
YPL152W,-1,-/-,149.01952014118433,2072.6976370066404,0.038461538461538464,0.0038461538461538464,0.007394262052647146
YHR166C,-1,-/-,148.89067273586988,2065.70013409853,0.037037037037037035,0.0038461538461538464,0.007690032534753032
YNR010W,-1,-/-,147.68638256937265,2008.3433209955692,0.03571428571428571,0.0038461538461538464,0.007985803016858917
YLR270W,-1,-/-,147.61255770921707,1995.2250852063298,0.034482758620689655,0.0038461538461538464,0.008281573498964804
YFL013C,-1,-/-,147.21659012138844,2075.1174797192216,0.03333333333333333,0.0038461538461538464,0.00857734398107069
YHL036W,-1,-/-,147.1406778395176,2061.437155775726,0.03225806451612903,0.0038461538461538464,0.008873114463176575
YNR049C,-1,-/+,146.5412412583828,2004.4236552789807,0.03125,0.0038461538461538464,0.00916888494528246
YFL050C,-1,-/-,146.47190230339766,1999.2654029726982,0.030303030303030304,0.0038461538461538464,0.009464655427388346
YGR213C,-1,-/-,146.2960640862584,2000.1338353082538,0.029411764705882353,0.0038461538461538464,0.009760425909494233
YOL133W,-1,-/-,146.24377589672804,2026.3587808609009,0.02857142857142857,0.0038461538461538464,0.010056196391600119
YKL028W,-1,-/-,146.18650968372822,1957.2683189287782,0.027777777777777776,0.0038461538461538464,0.010351966873706004
YGR081C,-1,-/-,145.90433233976364,2036.8175857663155,0.02702702702702703,0.0038461538461538464,0.01064773735581189
YCR008W,-1,-/-,145.8136707022786,1997.6084549501538,0.02631578947368421,0.0038461538461538464,0.010943507837917775
YPL203W,-1,-/-,145.7957208827138,2038.5352050065994,0.02564102564102564,0.0038461538461538464,0.011239278320023662
YOL016C,-1,-/-,145.62582627683878,2006.6206010580063,0.025,0.0038461538461538464,0.011535048802129548
YIL159W,-1,-/-,145.31104286760092,2037.495060235262,0.024390243902439025,0.0038461538461538464,0.011830819284235433
YHR161C,-1,-/-,144.9012680053711,2019.2893700152636,0.023809523809523808,0.0038461538461538464,0.012126589766341319
YGR134W,-1,-/-,144.5245999544859,2028.2555935382843,0.023255813953488372,0.0038461538461538464,0.012422360248447204
YHR157W,-1,-/-,144.22219462692738,2054.004454962909,0.022727272727272728,0.0038461538461538464,0.012718130730553091
YFL036W,-1,-/-,144.1389533802867,2012.3502877280116,0.022222222222222223,0.0038461538461538464,0.013013901212658977
YGL018C,-1,-/-,144.04745379835367,2025.5647438913584,0.021739130434782608,0.0038461538461538464,0.013309671694764862
YML076C,-1,-/-,144.023129619658,2021.9603707566857,0.02127659574468085,0.0038461538461538464,0.013605442176870748
YKL148C,-1,-/-,144.0135110244155,2057.396713733673,0.020833333333333332,0.0038461538461538464,0.013901212658976633
YDR166C,-1,-/+,143.76789570599794,1993.6709850654006,0.02040816326530612,0.0038461538461538464,0.01419698314108252
YBR201W,-1,-/+,143.75991186499596,2001.5279241353273,0.02,0.0038461538461538464,0.014492753623188406
YGL174W,-1,-/-,143.46485709398985,1992.852864868939,0.0196078431372549,0.0038461538461538464,0.014788524105294291
YDR246W,-1,-/-,143.35027299821377,2034.3906050473452,0.019230769230769232,0.0038461538461538464,0.015084294587400177
YHR085W,-1,-/-,143.18839456140995,1908.4862536638975,0.018867924528301886,0.0038461538461538464,0.015380065069506064
YPR057W,-1,-/-,143.1616455167532,1913.4979972541332,0.018518518518518517,0.0038461538461538464,0.01567583555161195
YAL054C,-1,-/-,142.99034187197685,2002.7395090833306,0.01818181818181818,0.0038461538461538464,0.015971606033717833
YMR014W,-1,-/-,142.71313228458166,1886.062890149653,0.017857142857142856,0.0038461538461538464,0.01626737651582372
YBR297W,-1,-/-,142.6448279172182,1946.9180101975799,0.017543859649122806,0.0038461538461538464,0.016563146997929608
YGR005C,-1,-/-,142.6396135762334,2006.5486842915416,0.017241379310344827,0.0038461538461538464,0.01685891748003549
YHR152W,-1,-/-,142.6393617093563,1962.465699084103,0.01694915254237288,0.0038461538461538464,0.01715468796214138
YDR058C,-1,-/-,142.47594848275185,1983.1522233858705,0.016666666666666666,0.0038461538461538464,0.017450458444247263
YBL084C,-1,-/-,142.45381800085306,1968.8705232813954,0.01639344262295082,0.0038461538461538464,0.01774622892635315
YHR072W,-1,-/-,142.41312507539988,1875.4203307032585,0.016129032258064516,0.0038461538461538464,0.018041999408459037
YGL047W,-1,-/-,142.31079227477312,2031.8442171812057,0.015873015873015872,0.0038461538461538464,0.01833776989056492
YKR022C,-1,-/-,141.84207051247358,1879.8931608721614,0.015625,0.0038461538461538464,0.018633540372670808
YDR179C,-1,-/-,141.76431539654732,1990.4666112661362,0.015384615384615385,0.0038461538461538464,0.01892931085477669
YDL074C,-1,-/-,141.69287203997374,1972.382594294846,0.015151515151515152,0.0038461538461538464,0.01922508133688258
YNR034W,-1,-/-,141.6169335246086,2042.4303072690964,0.014925373134328358,0.0038461538461538464,0.019520851818988466
YKL020C,-1,-/-,141.17902578413486,2022.1633895859122,0.014705882352941176,0.0038461538461538464,0.01981662230109435
YKL203C,-1,-/-,141.05849374830723,1989.5195541605353,0.014492753623188406,0.0038461538461538464,0.020112392783200237
YGL144C,-1,-/-,140.53225323557854,1928.3289387822151,0.014285714285714285,0.0038461538461538464,0.02040816326530612
YJL112W,-1,-/-,140.47674717009068,1874.626863002777,0.014084507042253521,0.0038461538461538464,0.020703933747412008
YDR078C,-1,-/-,140.0670342221856,1914.0495361834764,0.013888888888888888,0.0038461538461538464,0.020999704229517895
YPL239W,-1,-/-,139.8742040619254,1905.2101573348045,0.0136986301369863,0.0038461538461538464,0.02129547471162378
YJL141C,-1,-/-,139.65863571316004,1943.5487286150455,0.013513513513513514,0.0038461538461538464,0.021591245193729666
YIL065C,-1,-/-,139.37401290237904,1968.7707609161735,0.013333333333333334,0.0038461538461538464,0.02188701567583555
YHR191C,-1,-/-,139.1620760858059,1952.4256632700562,0.013157894736842105,0.0038461538461538464,0.022182786157941437
YGR245C,-1,-/+,139.12032391875982,1932.7243466451764,0.012987012987012988,0.0038461538461538464,0.022478556640047324
YGR197C,-1,-/-,138.97149638086557,1980.3695881441236,0.01282051282051282,0.0038461538461538464,0.022774327122153208
YIL167W,-1,-/-,138.87238411605358,1971.9738457649946,0.012658227848101266,0.0038461538461538464,0.023070097604259095
YPL156C,-1,-/-,138.78442948311567,1975.4305309057236,0.0125,0.0038461538461538464,0.02336586808636498
YHR111W,-1,-/-,138.64934090524912,1830.184907719493,0.012345679012345678,0.0038461538461538464,0.023661638568470866
YHR067W,-1,-/-,138.62674863636494,1891.1326774954796,0.012195121951219513,0.0038461538461538464,0.023957409050576754
YOR298W,-1,-/-,138.397540345788,1993.3271808996797,0.012048192771084338,0.0038461538461538464,0.024253179532682637
YPR086W,-1,-/-,138.15619164705276,1910.8477940931916,0.011904761904761904,0.0038461538461538464,0.024548950014788525
YCL052C,-1,-/-,137.9398034438491,2019.0461902916431,0.011764705882352941,0.0038461538461538464,0.024844720496894408
YFL057C,-1,-/-,137.91989160329103,1969.466329343617,0.011627906976744186,0.0038461538461538464,0.025140490979000295
YGR029W,1,+/+,137.91749253869057,1969.1408183425665,0.022988505747126436,0.007692307692307693,0.025140490979000295
YKL095W,-1,-/-,137.8547788783908,1925.5803854390979,0.022727272727272728,0.007692307692307693,0.025436261461106183
YNL232W,-1,-/-,137.80064045637846,1966.7548766583204,0.02247191011235955,0.007692307692307693,0.025732031943212066
YJL203W,-1,-/-,137.77394493669271,1930.2474052533507,0.022222222222222223,0.007692307692307693,0.026027802425317954
YNL110C,-1,-/-,137.64625950157642,1927.400939129293,0.02197802197802198,0.007692307692307693,0.026323572907423837
YDR256C,-1,-/-,137.43876253068447,1883.742740407586,0.021739130434782608,0.007692307692307693,0.026619343389529725
YMR100W,-1,-/-,137.41474494338036,1992.847104638815,0.021505376344086023,0.007692307692307693,0.026915113871635612
YLR362W,-1,-/-,137.3374988809228,2064.9510057494044,0.02127659574468085,0.007692307692307693,0.027210884353741496
