Gene,Label,Score,Background Score,Precision,Recall,False Positive Rate
YBR085W,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.0005470459518599562
YBR236C,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.0010940919037199124
YOR239W,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.0016411378555798686
YBL015W,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.002188183807439825
YKL192C,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.002735229759299781
YLR153C,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.0032822757111597373
YDR448W,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.0038293216630196935
YNL220W,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.00437636761487965
YMR083W,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.004923413566739606
YBR145W,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.005470459518599562
YGL032C,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.006017505470459519
YDR524C,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.006564551422319475
YIL044C,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.007111597374179431
YBR132C,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.007658643326039387
YCR082W,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.008205689277899343
YNR074C,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.0087527352297593
YMR092C,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.009299781181619256
YBL082C,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.009846827133479213
YNL270C,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.010393873085339168
YFL050C,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.010940919037199124
YDL008W,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.011487964989059081
YBR286W,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.012035010940919038
YHL019C,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.012582056892778994
YKL114C,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.01312910284463895
YNL065W,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.013676148796498906
YER036C,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.014223194748358862
YLR370C,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.01477024070021882
YML099C,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.015317286652078774
YPL051W,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.01586433260393873
YHR129C,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.016411378555798686
YJR065C,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.016958424507658644
YJL081C,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.0175054704595186
YPR200C,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.018052516411378557
YJL170C,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.018599562363238512
YKL052C,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.019146608315098467
YDR184C,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.019693654266958426
YCL038C,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.02024070021881838
YJL178C,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.020787746170678335
YNR002C,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.021334792122538294
YPL271W,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.02188183807439825
YDL004W,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.022428884026258207
YDR298C,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.022975929978118162
YFL010W-A,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.023522975929978117
YLR114C,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.024070021881838075
YBR068C,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.02461706783369803
YDR046C,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.02516411378555799
YJL021C,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.025711159737417943
YJL020C,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.0262582056892779
YMR237W,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.026805251641137857
YDR361C,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.02735229759299781
YLR399C,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.027899343544857767
YOL164W,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.028446389496717725
YBR200W,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.02899343544857768
YJR053W,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.02954048140043764
YDR299W,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.030087527352297593
YGR286C,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.030634573304157548
YJR025C,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.031181619256017507
YBL098W,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.03172866520787746
YFR047C,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.032275711159737416
YNL166C,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.03282275711159737
YGR230W,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.03336980306345733
YLL015W,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.03391684901531729
YDL074C,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.03446389496717724
YDL231C,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.0350109409190372
YGR246C,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.03555798687089715
YHR036W,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.036105032822757115
YBR290W,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.03665207877461707
YGR142W,-1,2.6106190390371342e-42,4.5906537691281007e-41,0.0,0.0,0.037199124726477024
