Scores,Label
-0.1929,+
0.013725,+
0.4,+
-1.098,+
1.048,+
1.194,+
0.337,+
-0.0762,+
0.31,+
0.5576,+
-0.2212,+
1.362,+
-0.7856,+
0.5024,+
0.3796,+
-0.073,+
-0.05566,+
-0.524,+
0.0721,+
0.4395,+
0.1556,+
0.7656,+
-1.11,+
0.06573,+
0.3274,+
0.173,+
0.6636,+
0.06104,+
1.117,+
0.515,+
-0.4104,+
0.698,+
0.07367,+
0.2234,+
0.8022,+
0.10834,+
-0.8867,+
0.2203,+
0.165,+
-0.04303,+
-0.1503,+
0.49,+
0.091,+
0.381,+
0.0878,+
0.1746,+
-0.8423,+
-0.8867,+
-1.338,+
0.4646,+
-0.5083,+
1.342,+
-0.000465,+
0.2329,+
0.4631,+
-1.18,+
-1.857,+
-0.0793,+
0.3213,+
-1.177,+
0.8447,+
0.982,+
-1.013,+
-0.01308,+
0.1099,+
-0.2717,+
0.3542,+
0.6113,+
-0.00677,+
0.6855,+
0.1257,+
-0.628,+
-0.9717,+
-0.3726,+
0.4348,+
-0.833,+
1.365,+
-0.6846,+
0.1887,+
0.8433,+
0.296,+
-0.464,+
-0.2937,+
-0.521,+
-1.076,+
0.4473,+
0.736,+
-0.0966,+
-0.3884,+
-0.3599,+
-0.1975,+
-0.792,+
-0.032,+
0.6035,+
0.296,+
0.5073,+
-0.000465,+
0.121,+
-0.6816,+
0.356,+
0.378,+
0.578,+
0.4946,+
0.4062,+
-0.666,+
0.263,+
-0.4956,+
-0.3945,+
0.6064,+
-0.1849,+
0.5547,+
0.403,+
1.147,+
-1.624,+
-0.3945,+
-0.338,+
0.3716,+
0.0358,+
-0.5713,+
-0.3538,+
0.6616,+
-0.4956,+
-0.833,+
-0.10925,+
0.742,+
-0.748,+
0.2203,+
0.6553,+
0.676,+
0.269,+
-1.259,+
-0.6724,+
1.484,+
0.4473,+
-0.511,+
0.0216,+
0.6367,+
0.2156,+
0.288,+
-0.1455,+
-0.533,+
0.9756,+
-0.975,+
-0.27,+
0.9126,+
0.2439,+
-0.3442,+
0.4458,+
0.299,+
-0.04935,+
-0.6724,+
-0.502,+
-0.2385,+
0.9297,+
0.474,+
0.6177,+
1.7705,+
0.75,+
1.55,+
0.627,+
-0.6724,+
0.515,+
0.1761,+
-0.0257,+
0.2156,+
-0.4734,+
-0.08875,+
-0.08405,+
0.307,+
0.731,+
-0.423,+
-1.148,+
-0.2668,+
-0.4766,+
-0.2228,+
-0.000465,+
0.132,+
0.7373,+
-0.01308,+
0.6284,+
0.2708,+
-0.6025,+
1.168,+
-0.527,+
-0.011505,+
0.8003,+
-1.211,+
-0.114,+
-0.6626,+
0.0705,+
0.9297,+
-0.08563,+
0.214,+
-0.464,+
0.3953,+
-0.445,+
-0.6533,+
0.258,+
0.1809,+
-0.6025,+
0.05945,+
-0.2732,+
0.3496,+
0.627,+
0.10675,+
-0.379,+
0.7393,+
-0.565,+
-0.3442,+
0.2124,+
0.4915,+
0.6587,+
0.471,+
0.8022,+
0.827,+
1.132,+
0.05157,+
0.3591,+
-0.795,+
-0.9717,+
0.296,+
0.2927,+
-0.2449,+
0.3274,+
0.2266,+
1.574,+
-2.184,+
-0.259,+
-0.281,+
0.2313,+
-0.7573,+
