,Name,+/-,Folds,Score,True Positive,False Positive,True Negative,False Negative,Accuracy,Precision,Recall,False Positive Rate,Selectivity
0,YDR171W YOL077C,0.0,NA,9.856355750514862e-30,351,3509,1,0,0.09116809116809117,0.09093264248704663,1.0,0.9997150997150998,0.0002849002849002849
1,YDR165W YDL022W,0.0,NA,4.413610897907463e-27,351,3508,2,0,0.09142709142709143,0.09095620627105468,1.0,0.9994301994301994,0.0005698005698005698
2,YNL096C YDR450W,0.0,NA,1.2410252278638621e-24,351,3507,3,0,0.09168609168609168,0.09097978227060653,1.0,0.9991452991452991,0.0008547008547008547
3,YDL085W YKL001C,0.0,NA,1.6530086244764408e-24,351,3506,4,0,0.09194509194509194,0.09100337049520353,1.0,0.9988603988603989,0.0011396011396011395
4,YMR284W YLR196W,0.0,NA,9.074765552849398e-23,351,3505,5,0,0.0922040922040922,0.09102697095435684,1.0,0.9985754985754985,0.0014245014245014246
5,YFR014C YEL026W,0.0,NA,4.694263102883895e-22,351,3504,6,0,0.09246309246309246,0.09105058365758754,1.0,0.9982905982905983,0.0017094017094017094
6,YNL274C YPL217C,0.0,NA,5.668651471238405e-22,351,3503,7,0,0.09272209272209272,0.09107420861442657,1.0,0.998005698005698,0.0019943019943019944
7,YIL148W YDR450W,0.0,NA,3.125743474808132e-21,351,3502,8,0,0.09298109298109299,0.09109784583441474,1.0,0.9977207977207977,0.002279202279202279
8,YLR284C YBR084W,0.0,NA,3.900317743004131e-21,351,3501,9,0,0.09324009324009325,0.0911214953271028,1.0,0.9974358974358974,0.002564102564102564
9,YHL033C YDR330W,0.0,NA,7.264604677615428e-21,351,3500,10,0,0.0934990934990935,0.09114515710205141,1.0,0.9971509971509972,0.002849002849002849
10,YHR069C YOR304W,0.0,NA,7.847782357543084e-21,351,3499,11,0,0.09375809375809376,0.09116883116883116,1.0,0.9968660968660968,0.0031339031339031338
11,YHL033C YOR113W,0.0,NA,1.6750383170391802e-20,351,3498,12,0,0.09401709401709402,0.09119251753702261,1.0,0.9965811965811966,0.003418803418803419
12,YJL036W YLR196W,0.0,NA,1.8311069422300495e-20,351,3497,13,0,0.09427609427609428,0.09121621621621621,1.0,0.9962962962962963,0.003703703703703704
13,YMR182C YLR185W,0.0,NA,4.1912537242071535e-20,351,3496,14,0,0.09453509453509454,0.09123992721601248,1.0,0.996011396011396,0.003988603988603989
14,YDR171W YCR031C,0.0,NA,5.428998325217487e-20,351,3495,15,0,0.0947940947940948,0.09126365054602184,1.0,0.9957264957264957,0.004273504273504274
15,YBR203W YDR144C,0.0,NA,5.606464109527057e-20,351,3494,16,0,0.09505309505309505,0.09128738621586475,1.0,0.9954415954415955,0.004558404558404558
16,YEL055C YGR143W,0.0,NA,1.3841449711806214e-19,351,3493,17,0,0.09531209531209531,0.09131113423517169,1.0,0.9951566951566951,0.004843304843304843
17,YGL148W YGL035C,0.0,NA,2.9994261774935797e-19,351,3492,18,0,0.09557109557109557,0.09133489461358314,1.0,0.9948717948717949,0.005128205128205128
18,YDR190C YAL054C,0.0,NA,4.955868592425172e-19,351,3491,19,0,0.09583009583009583,0.09135866736074962,1.0,0.9945868945868945,0.005413105413105413
19,YMR020W YBL078C,0.0,NA,5.652745511034253e-19,351,3490,20,0,0.09608909608909609,0.09138245248633169,1.0,0.9943019943019943,0.005698005698005698
20,YDR309C YPR149W,0.0,NA,6.312977294531469e-19,351,3489,21,0,0.09634809634809635,0.09140625,1.0,0.994017094017094,0.005982905982905983
21,YNL274C YNL110C,0.0,NA,6.650178505214476e-19,351,3488,22,0,0.09660709660709661,0.09143005991143527,1.0,0.9937321937321937,0.0062678062678062675
22,YLL038C YBL075C,0.0,NA,7.657607977097403e-19,351,3487,23,0,0.09686609686609686,0.0914538822303283,1.0,0.9934472934472934,0.0065527065527065526
23,YMR268C YGL038C,0.0,NA,8.590587057947494e-19,351,3486,24,0,0.09712509712509712,0.09147771696637999,1.0,0.9931623931623932,0.006837606837606838
24,YDR309C YMR165C,0.0,NA,1.0518905332052284e-18,351,3485,25,0,0.09738409738409738,0.09150156412930135,1.0,0.9928774928774928,0.007122507122507123
25,YNL015W YDL148C,0.0,NA,1.6656351798672703e-18,351,3484,26,0,0.09764309764309764,0.09152542372881356,1.0,0.9925925925925926,0.007407407407407408
26,YDR258C YOR147W,1.0,NA,2.4274820691111393e-18,350,3484,26,1,0.09738409738409738,0.0912884715701617,0.9971509971509972,0.9925925925925926,0.007407407407407408
27,YBR072W YBR127C,0.0,NA,2.6811417602390474e-18,350,3483,27,1,0.09764309764309764,0.09131228802504565,0.9971509971509972,0.9923076923076923,0.007692307692307693
28,YDR055W YPR163C,0.0,NA,2.726356900087268e-18,350,3482,28,1,0.0979020979020979,0.09133611691022965,0.9971509971509972,0.992022792022792,0.007977207977207978
29,YLL011W YPR198W,0.0,NA,2.756180483482561e-18,350,3481,29,1,0.09816109816109816,0.09135995823544767,0.9971509971509972,0.9917378917378917,0.008262108262108263
30,YBR183W YDL201W,0.0,NA,3.034679581224824e-18,350,3480,30,1,0.09842009842009843,0.09138381201044386,0.9971509971509972,0.9914529914529915,0.008547008547008548
31,YAL036C YPL256C,0.0,NA,3.364573271581385e-18,350,3479,31,1,0.09867909867909867,0.09140767824497258,0.9971509971509972,0.9911680911680911,0.008831908831908831
32,YKL178C YBR119W,0.0,NA,4.665761875942106e-18,350,3478,32,1,0.09893809893809893,0.09143155694879833,0.9971509971509972,0.9908831908831909,0.009116809116809116
33,YMR020W YDR418W,0.0,NA,5.999052532695397e-18,350,3477,33,1,0.0991970991970992,0.09145544813169584,0.9971509971509972,0.9905982905982906,0.009401709401709401
34,YPR151C YER086W,0.0,NA,6.701163436630407e-18,350,3476,34,1,0.09945609945609946,0.09147935180345008,0.9971509971509972,0.9903133903133903,0.009686609686609686
35,YBL069W YKL178C,0.0,NA,7.02324151096926e-18,350,3475,35,1,0.09971509971509972,0.0915032679738562,0.9971509971509972,0.99002849002849,0.009971509971509971
36,YGL227W YNL096C,0.0,NA,8.422956011681479e-18,350,3474,36,1,0.09997409997409998,0.09152719665271966,0.9971509971509972,0.9897435897435898,0.010256410256410256
37,YHR031C YML104C,1.0,NA,1.2205872982929414e-17,349,3474,36,2,0.09971509971509972,0.09128956317028511,0.9943019943019943,0.9897435897435898,0.010256410256410256
38,YER169W YNL273W,0.0,NA,1.5406966827739187e-17,349,3473,37,2,0.09997409997409998,0.0913134484563056,0.9943019943019943,0.9894586894586894,0.010541310541310541
39,YIL111W YMR093W,0.0,NA,1.6231895854664845e-17,349,3472,38,2,0.10023310023310024,0.09133734624443862,0.9943019943019943,0.9891737891737892,0.010826210826210826
40,YER162C YGR148C,0.0,NA,1.720181640808125e-17,349,3471,39,2,0.10049210049210049,0.09136125654450261,0.9943019943019943,0.9888888888888889,0.011111111111111112
41,YLR189C YPL160W,0.0,NA,2.1931908120261603e-17,349,3470,40,2,0.10075110075110075,0.09138517936632626,0.9943019943019943,0.9886039886039886,0.011396011396011397
42,YPL253C YNL236W,0.0,NA,2.4704088137947318e-17,349,3469,41,2,0.10101010101010101,0.09140911471974857,0.9943019943019943,0.9883190883190883,0.011680911680911682
43,YGL191W YPL160W,0.0,NA,2.535271354347465e-17,349,3468,42,2,0.10126910126910127,0.09143306261461881,0.9943019943019943,0.9880341880341881,0.011965811965811967
44,YPL101W YPR160W,0.0,NA,3.20521336969641e-17,349,3467,43,2,0.10152810152810153,0.09145702306079664,0.9943019943019943,0.9877492877492877,0.01225071225071225
45,YMR260C YBR119W,0.0,NA,3.626043822438478e-17,349,3466,44,2,0.10178710178710179,0.09148099606815203,0.9943019943019943,0.9874643874643875,0.012535612535612535
46,YGR094W YER044C,0.0,NA,4.0622313795609605e-17,349,3465,45,2,0.10204610204610205,0.09150498164656529,0.9943019943019943,0.9871794871794872,0.01282051282051282
47,YDR536W YOR151C,0.0,NA,4.6418156589531857e-17,349,3464,46,2,0.1023051023051023,0.09152897980592709,0.9943019943019943,0.9868945868945869,0.013105413105413105
48,YCR052W YBR183W,0.0,NA,4.9616999675894873e-17,349,3463,47,2,0.10256410256410256,0.09155299055613851,0.9943019943019943,0.9866096866096866,0.01339031339031339
49,YMR049C YKL212W,0.0,NA,5.193195726435313e-17,349,3462,48,2,0.10282310282310282,0.091577013907111,0.9943019943019943,0.9863247863247864,0.013675213675213675
50,YDR258C YLR355C,1.0,NA,5.466245730533352e-17,348,3462,48,3,0.10256410256410256,0.09133858267716535,0.9914529914529915,0.9863247863247864,0.013675213675213675
51,YOR151C YMR276W,0.0,NA,5.52361765433105e-17,348,3461,49,3,0.10282310282310282,0.09136256235232344,0.9914529914529915,0.986039886039886,0.01396011396011396
52,YDR017C YIL148W,0.0,NA,6.210251016388458e-17,348,3460,50,3,0.10308210308210308,0.09138655462184873,0.9914529914529915,0.9857549857549858,0.014245014245014245
53,YFL009W YAL003W,0.0,NA,6.309757535356137e-17,348,3459,51,3,0.10334110334110334,0.09141055949566587,0.9914529914529915,0.9854700854700855,0.01452991452991453
54,YLR129W YGL227W,0.0,NA,6.634323355387243e-17,348,3458,52,3,0.1036001036001036,0.09143457698370994,0.9914529914529915,0.9851851851851852,0.014814814814814815
55,YDL223C YJR139C,0.0,NA,6.646228800507597e-17,348,3457,53,3,0.10385910385910387,0.09145860709592642,0.9914529914529915,0.9849002849002849,0.0150997150997151
56,YDR402C YLR362W,0.0,NA,6.846904140601941e-17,348,3456,54,3,0.10411810411810411,0.0914826498422713,0.9914529914529915,0.9846153846153847,0.015384615384615385
57,YDL014W YNL111C,0.0,NA,8.378959763824886e-17,348,3455,55,3,0.10437710437710437,0.09150670523271101,0.9914529914529915,0.9843304843304843,0.01566951566951567
58,YHL033C YNL241C,0.0,NA,9.025355752165264e-17,348,3454,56,3,0.10463610463610463,0.09153077327722252,0.9914529914529915,0.9840455840455841,0.015954415954415956
59,YLR270W YOR145C,0.0,NA,9.205892222194148e-17,348,3453,57,3,0.1048951048951049,0.09155485398579322,0.9914529914529915,0.9837606837606837,0.01623931623931624
60,YBR084W YLR107W,0.0,NA,9.43960317072039e-17,348,3452,58,3,0.10515410515410516,0.09157894736842105,0.9914529914529915,0.9834757834757835,0.016524216524216526
61,YBL014C YPL171C,0.0,NA,1.4881771989728039e-16,348,3451,59,3,0.10541310541310542,0.0916030534351145,0.9914529914529915,0.9831908831908832,0.01680911680911681
62,YLR129W YJL089W,0.0,NA,1.532993976909825e-16,348,3450,60,3,0.10567210567210568,0.09162717219589257,0.9914529914529915,0.9829059829059829,0.017094017094017096
63,YLR165C YNL096C,0.0,NA,1.9469332872303871e-16,348,3449,61,3,0.10593110593110593,0.09165130366078483,0.9914529914529915,0.9826210826210826,0.017378917378917377
64,YLR129W YDR100W,0.0,NA,2.0470496699200892e-16,348,3448,62,3,0.10619010619010619,0.0916754478398314,0.9914529914529915,0.9823361823361824,0.017663817663817662
65,YDR173C YMR260C,0.0,NA,2.0506294429134227e-16,348,3447,63,3,0.10644910644910645,0.091699604743083,0.9914529914529915,0.982051282051282,0.017948717948717947
66,YOR144C YNL307C,0.0,NA,2.119002736509178e-16,348,3446,64,3,0.10670810670810671,0.09172377438060095,0.9914529914529915,0.9817663817663818,0.018233618233618232
67,YLR185W YGR280C,0.0,NA,2.2121393030157086e-16,348,3445,65,3,0.10696710696710697,0.09174795676245716,0.9914529914529915,0.9814814814814815,0.018518518518518517
68,YFL023W YOR113W,0.0,NA,2.228043934787184e-16,348,3444,66,3,0.10722610722610723,0.09177215189873418,0.9914529914529915,0.9811965811965812,0.018803418803418803
69,YPL228W YCL048W,0.0,NA,2.2822731016527726e-16,348,3443,67,3,0.10748510748510748,0.09179635979952519,0.9914529914529915,0.9809116809116809,0.019088319088319088
70,YFR051C YDL201W,0.0,NA,2.298734657587068e-16,348,3442,68,3,0.10774410774410774,0.09182058047493404,0.9914529914529915,0.9806267806267807,0.019373219373219373
71,YMR309C YDL148C,0.0,NA,2.5832554068499515e-16,348,3441,69,3,0.108003108003108,0.09184481393507522,0.9914529914529915,0.9803418803418803,0.019658119658119658
72,YHR069C YLR284C,0.0,NA,2.723885640104623e-16,348,3440,70,3,0.10826210826210826,0.09186906019007392,0.9914529914529915,0.98005698005698,0.019943019943019943
73,YHR089C YOL065C,0.0,NA,2.9315362965196066e-16,348,3439,71,3,0.10852110852110852,0.09189331925006601,0.9914529914529915,0.9797720797720798,0.020227920227920228
74,YGL156W YGR154C,0.0,NA,3.0813200442583407e-16,348,3438,72,3,0.10878010878010878,0.0919175911251981,0.9914529914529915,0.9794871794871794,0.020512820512820513
75,YNL279W YOL125W,0.0,NA,3.2242351488882305e-16,348,3437,73,3,0.10903910903910904,0.09194187582562748,0.9914529914529915,0.9792022792022792,0.020797720797720798
76,YDR342C YLR155C,0.0,NA,3.5693931339604774e-16,348,3436,74,3,0.10929810929810929,0.0919661733615222,0.9914529914529915,0.978917378917379,0.021082621082621083
77,YPL218W YJR147W,0.0,NA,3.6735355701275976e-16,348,3435,75,3,0.10955710955710955,0.09199048374306107,0.9914529914529915,0.9786324786324786,0.021367521367521368
78,YMR129W YGR280C,0.0,NA,3.6821779531675516e-16,348,3434,76,3,0.10981610981610981,0.09201480698043363,0.9914529914529915,0.9783475783475784,0.021652421652421653
79,YDL031W YBL078C,0.0,NA,3.685817812560581e-16,348,3433,77,3,0.11007511007511007,0.09203914308384026,0.9914529914529915,0.9780626780626781,0.021937321937321938
80,YDR258C YOL060C,1.0,NA,3.934983936000662e-16,347,3433,77,4,0.10981610981610981,0.0917989417989418,0.9886039886039886,0.9780626780626781,0.021937321937321938
81,YJL122W YJR143C,0.0,NA,4.4407751020747867e-16,347,3432,78,4,0.11007511007511007,0.09182323365969833,0.9886039886039886,0.9777777777777777,0.022222222222222223
82,YDL149W YHR064C,0.0,NA,4.589315034870037e-16,347,3431,79,4,0.11033411033411034,0.0918475383800953,0.9886039886039886,0.9774928774928775,0.022507122507122508
83,YLL038C YBL043W,0.0,NA,4.887089467477286e-16,347,3430,80,4,0.1105931105931106,0.09187185597034683,0.9886039886039886,0.9772079772079773,0.022792022792022793
84,YML131W YKL172W,0.0,NA,5.478899741020841e-16,347,3429,81,4,0.11085211085211086,0.09189618644067797,0.9886039886039886,0.9769230769230769,0.023076923076923078
85,YCL066W YBR088C,0.0,NA,5.995146734735432e-16,347,3428,82,4,0.1111111111111111,0.09192052980132451,0.9886039886039886,0.9766381766381766,0.023361823361823363
86,YDR258C YOR326W,1.0,NA,1.052329593229746e-15,346,3428,82,5,0.11085211085211086,0.09167991520932697,0.9857549857549858,0.9766381766381766,0.023361823361823363
87,YBR105C YLR214W,0.0,NA,1.1114942093207484e-15,346,3427,83,5,0.1111111111111111,0.09170421415319374,0.9857549857549858,0.9763532763532764,0.02364672364672365
88,YPR169W YKL046C,0.0,NA,1.1395944214667914e-15,346,3426,84,5,0.11137011137011137,0.09172852598091198,0.9857549857549858,0.976068376068376,0.023931623931623933
89,YLR002C YLR055C,0.0,NA,1.1528781215412254e-15,346,3425,85,5,0.11162911162911163,0.09175285070273137,0.9857549857549858,0.9757834757834758,0.024216524216524215
90,YML024W YBL078C,0.0,NA,1.1622038484113769e-15,346,3424,86,5,0.11188811188811189,0.09177718832891246,0.9857549857549858,0.9754985754985755,0.0245014245014245
91,YER014W YBR009C,0.0,NA,1.1894607333793098e-15,346,3423,87,5,0.11214711214711215,0.09180153886972672,0.9857549857549858,0.9752136752136752,0.024786324786324785
92,YDR402C YDR414C,0.0,NA,1.1974140551166725e-15,346,3422,88,5,0.11240611240611241,0.09182590233545647,0.9857549857549858,0.9749287749287749,0.02507122507122507
