Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YDR494W,YMR019W,0,-0.5488228,0.0,0.0,9.999999747378752e-05
YPL117C,YLL066C,0,-0.5663136,0.0,0.0,0.00019999999494757503
YLR145W,YLR337C,0,-0.59342194,0.0,0.0,0.0003000000142492354
YPL221W,YDL143W,0,-0.59652513,0.0,0.0,0.00039999998989515007
YFR003C,YBR237W,0,-0.6025053,0.0,0.0,0.0005000000237487257
YLR014C,YPR011C,0,-0.65155184,0.0,0.0,0.0006000000284984708
YJL095W,YNL244C,0,-0.7237915,0.0,0.0,0.000699999975040555
YKL165C,YHR147C,0,-0.7354574,0.0,0.0,0.0007999999797903001
YKL014C,YHR074W,0,-0.742222,0.0,0.0,0.0008999999845400453
YPR043W,YIL156W,0,-0.7593432,0.0,0.0,0.0010000000474974513
YDR148C,YKL178C,0,-0.7606922,0.0,0.0,0.0010999999940395355
YBR299W,YBR086C,0,-0.7615724,0.0,0.0,0.0012000000569969416
YBL091C-A,YMR037C,0,-0.76334584,0.0,0.0,0.0013000000035390258
YOR340C,YJR126C,0,-0.7664325,0.0,0.0,0.00139999995008111
YHR081W,YLR446W,0,-0.77072287,0.0,0.0,0.001500000013038516
YLR121C,YDR168W,0,-0.773108,0.0,0.0,0.0015999999595806003
YDR416W,YDR347W,0,-0.7790778,0.0,0.0,0.0017000000225380063
YCL054W,YJR131W,0,-0.78027076,0.0,0.0,0.0017999999690800905
YDL067C,YDR312W,0,-0.78176314,0.0,0.0,0.0019000000320374966
YOR215C,YDL209C,0,-0.7876776,0.0,0.0,0.0020000000949949026
YBR066C,YPL127C,0,-0.79522616,0.0,0.0,0.002099999925121665
YCL069W,YCL025C,1,-0.79553837,0.04545454680919647,0.0010000000474974513,0.002099999925121665
YKR019C,YBR052C,0,-0.7961165,0.043478261679410934,0.0010000000474974513,0.002199999988079071
YER002W,YBR196C,0,-0.7968686,0.0416666679084301,0.0010000000474974513,0.002300000051036477
YER130C,YLL018C,0,-0.8074314,0.03999999910593033,0.0010000000474974513,0.002400000113993883
YOL135C,YFR047C,0,-0.80785877,0.03846153989434242,0.0010000000474974513,0.0024999999441206455
YBL039C,YJL081C,0,-0.81152815,0.03703703731298447,0.0010000000474974513,0.0026000000070780516
YNR043W,YER123W,0,-0.81182855,0.0357142873108387,0.0010000000474974513,0.0027000000700354576
YPR001W,YJR055W,0,-0.81426376,0.03448275849223137,0.0010000000474974513,0.00279999990016222
YHR074W,YER025W,0,-0.81624246,0.03333333507180214,0.0010000000474974513,0.002899999963119626
YDR434W,YOL123W,0,-0.81839967,0.032258063554763794,0.0010000000474974513,0.003000000026077032
YIL068C,YCL057W,0,-0.8213369,0.03125,0.0010000000474974513,0.003100000089034438
YLR277C,YNL190W,0,-0.8245156,0.03030303120613098,0.0010000000474974513,0.0031999999191612005
YKL085W,YGL144C,0,-0.82573414,0.029411764815449715,0.0010000000474974513,0.0032999999821186066
YBR122C,YAL051W,0,-0.82784444,0.02857142873108387,0.0010000000474974513,0.0034000000450760126
YAL003W,YGR282C,0,-0.8280481,0.02777777798473835,0.0010000000474974513,0.0035000001080334187
YER040W,YKL056C,0,-0.8308045,0.027027027681469917,0.0010000000474974513,0.003599999938160181
YDR055W,YKL110C,0,-0.8324718,0.02631578966975212,0.0010000000474974513,0.003700000001117587
YNL232W,YDR115W,0,-0.8341262,0.025641025975346565,0.0010000000474974513,0.003800000064074993
YJR034W,YML076C,0,-0.83533454,0.02500000037252903,0.0010000000474974513,0.0038999998942017555
YBL106C,YPL028W,0,-0.84197956,0.024390242993831635,0.0010000000474974513,0.004000000189989805
YGR260W,YJR041C,0,-0.84363586,0.02380952425301075,0.0010000000474974513,0.004100000020116568
YBL091C-A,YOR089C,0,-0.84551054,0.023255813866853714,0.0010000000474974513,0.00419999985024333
YJR034W,YDL080C,0,-0.8459381,0.022727273404598236,0.0010000000474974513,0.00430000014603138
YPL131W,YFL033C,0,-0.84670585,0.02222222276031971,0.0010000000474974513,0.004399999976158142
YLR023C,YKR037C,0,-0.84832674,0.021739130839705467,0.0010000000474974513,0.0044999998062849045
YCR018C,YDR167W,0,-0.8491356,0.021276595070958138,0.0010000000474974513,0.004600000102072954
YMR046C,YAL007C,0,-0.8543475,0.02083333395421505,0.0010000000474974513,0.004699999932199717
YGR205W,YKL033W,0,-0.85531133,0.020408162847161293,0.0010000000474974513,0.004800000227987766
YDR500C,YNL138W,0,-0.8555344,0.019999999552965164,0.0010000000474974513,0.004900000058114529
