Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YOR312C,YGR148C,0,-0.20012029,0.0,0.0,0.00021505376207642257
YGR034W,YML026C,0,-0.5453896,0.0,0.0,0.00043010752415284514
YCR031C,YBR282W,0,-0.6385332,0.0,0.0,0.0006451613153330982
YGR070W,YBR131W,1,-0.6684068,0.25,0.0021505376789718866,0.0006451613153330982
YNL045W,YJL092W,0,-0.68500537,0.20000000298023224,0.0021505376789718866,0.0008602150483056903
YPR052C,YKL058W,0,-0.68901104,0.1666666716337204,0.0021505376789718866,0.0010752688394859433
YOR136W,YJR007W,0,-0.694719,0.1428571492433548,0.0021505376789718866,0.0012903226306661963
YGR181W,YDL061C,0,-0.72380936,0.125,0.0021505376789718866,0.0015053763054311275
YLR425W,YGR070W,1,-0.7331293,0.2222222238779068,0.004301075357943773,0.0015053763054311275
YMR305C,YNL284C,0,-0.74479413,0.20000000298023224,0.004301075357943773,0.0017204300966113806
YNL131W,YBR121C,0,-0.7682472,0.1818181872367859,0.004301075357943773,0.0019354838877916336
YEL022W,YER155C,1,-0.7701618,0.25,0.006451612804085016,0.0019354838877916336
YMR230W,YGR103W,0,-0.78988147,0.23076923191547394,0.006451612804085016,0.0021505376789718866
YKL126W,YLR028C,0,-0.799371,0.2142857164144516,0.006451612804085016,0.0023655914701521397
YLR359W,YDR237W,0,-0.80469185,0.20000000298023224,0.006451612804085016,0.0025806452613323927
YLR039C,YNL297C,1,-0.808295,0.25,0.008602150715887547,0.0025806452613323927
YGL234W,YNL137C,0,-0.81176966,0.23529411852359772,0.008602150715887547,0.002795698819682002
YOR312C,YOR266W,0,-0.8170644,0.2222222238779068,0.008602150715887547,0.003010752610862255
YJR130C,YDR151C,0,-0.8212227,0.21052631735801697,0.008602150715887547,0.003225806402042508
YPR024W,YMR277W,0,-0.83879775,0.20000000298023224,0.008602150715887547,0.003440860193222761
YDR266C,YPL196W,0,-0.8416328,0.190476194024086,0.008602150715887547,0.003655913984403014
YOR001W,YKL167C,0,-0.84395,0.1818181872367859,0.008602150715887547,0.003870967775583267
YDR211W,YGR070W,1,-0.8453838,0.21739129722118378,0.01075268816202879,0.003870967775583267
YGL030W,YLR239C,0,-0.84698224,0.2083333283662796,0.01075268816202879,0.004086021333932877
YNL272C,YER155C,1,-0.8494223,0.23999999463558197,0.012903225608170033,0.004086021333932877
YHR039C-A,YBR084C-A,0,-0.85133773,0.23076923191547394,0.012903225608170033,0.004301075357943773
YER021W,YNL219C,0,-0.8541185,0.2222222238779068,0.012903225608170033,0.004516128916293383
YHR112C,YDR291W,0,-0.85636336,0.2142857164144516,0.012903225608170033,0.004731182940304279
YML109W,YLR216C,0,-0.8615809,0.2068965584039688,0.012903225608170033,0.004946236498653889
YDR434W,YEL052W,0,-0.86676425,0.20000000298023224,0.012903225608170033,0.005161290522664785
YPL112C,YNL005C,0,-0.87001526,0.19354838132858276,0.012903225608170033,0.005376344081014395
YGL129C,YOR115C,0,-0.87257826,0.1875,0.012903225608170033,0.005591397639364004
YDR045C,YKL003C,0,-0.87303334,0.1818181872367859,0.012903225608170033,0.005806451663374901
YDR194C,YPL255W,0,-0.8796082,0.1764705926179886,0.012903225608170033,0.00602150522172451
YIL046W,YMR034C,0,-0.881049,0.17142857611179352,0.012903225608170033,0.006236559245735407
YPL110C,YOR245C,0,-0.88172364,0.1666666716337204,0.012903225608170033,0.006451612804085016
YNL208W,YNR024W,0,-0.88306695,0.1621621549129486,0.012903225608170033,0.006666666828095913
YNL059C,YMR119W,0,-0.8832918,0.15789473056793213,0.012903225608170033,0.006881720386445522
YDL239C,YBL101C,0,-0.8939757,0.1538461595773697,0.012903225608170033,0.007096774410456419
