Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YGR048W,YIL015W,0,-0.8760661,0.0,0.0,0.00011074197391280904
YJR029W,YKR095W,0,-0.9071785,0.0,0.0,0.0002214839478256181
YIL011W,YOR060C,0,-0.9513917,0.0,0.0,0.0003322258999105543
YDR347W,YHR216W,0,-0.965459,0.0,0.0,0.0004429678956512362
YER110C,YNL289W,0,-0.9797118,0.0,0.0,0.0005537098622880876
YIR019C,YCR024C,0,-0.9798273,0.0,0.0,0.0006644517998211086
YDR210C-D,YKL017C,0,-0.98074603,0.0,0.0,0.0007751937955617905
YGR224W,YJR135W-A,0,-0.99016535,0.0,0.0,0.0008859357913024724
YGR161W-A,YGL251C,0,-0.99117875,0.0,0.0,0.0009966777870431542
YBR121C,YBL088C,0,-0.99347484,0.0,0.0,0.0011074197245761752
YOL077W-A,YMR131C,0,-0.9969064,0.0,0.0,0.0012181616621091962
YER081W,YCL048W,0,-0.9991354,0.0,0.0,0.0013289035996422172
YOR171C,YOL077W-A,0,-0.99976635,0.0,0.0,0.00143964565359056
YDR328C,YOL058W,0,-0.9999143,0.0,0.0,0.001550387591123581
YDR471W,YPL060C-A,0,-1.0022298,0.0,0.0,0.001661129528656602
YNL154C,YPL283C,0,-1.0235928,0.0,0.0,0.0017718715826049447
YGR109W-A,YML070W,0,-1.0254192,0.0,0.0,0.0018826135201379657
YPR158W-B,YNL154C,0,-1.0334659,0.0,0.0,0.0019933555740863085
YNR020C,YDR034C-D,0,-1.0342646,0.0,0.0,0.0021040975116193295
YGR109W-A,YDR288W,0,-1.0375273,0.0,0.0,0.0022148394491523504
YDR322W,YPL060C-A,0,-1.040794,0.0,0.0,0.0023255813866853714
YGR161C-D,YML120C,0,-1.040991,0.0,0.0,0.0024363233242183924
YDR516C,YDR034C-D,0,-1.0431876,0.0,0.0,0.0025470652617514133
YHL009W-B,YMR281W,0,-1.0453426,0.0,0.0,0.0026578071992844343
YGL179C,YLR035C-A,0,-1.0453993,0.0,0.0,0.002768549369648099
YML086C,YHL009W-A,0,-1.0463502,0.0,0.0,0.00287929130718112
YDR261W-B,YMR086W,0,-1.0479167,0.0,0.0,0.002990033244714141
YFL050C,YGR109W-A,0,-1.0479199,0.0,0.0,0.003100775182247162
YNL323W,YJR150C,1,-1.0483145,0.03448275849223137,0.0011074197245761752,0.003100775182247162
YCL026C-A,YAL014C,0,-1.0485284,0.03333333507180214,0.0011074197245761752,0.003211517119780183
YHL002W,YDR316W-B,0,-1.0491816,0.032258063554763794,0.0011074197245761752,0.003322259057313204
