Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YLR078C,YBL007C,1,0.6781327,1.0,0.0010000000474974513,0.0
YOL082W,YML013W,1,0.5441301,1.0,0.0020000000949949026,0.0
YPL196W,YJL210W,0,0.54215306,0.6666666865348816,0.0020000000949949026,9.999999747378752e-05
YOL082W,YLR026C,1,0.5395076,0.75,0.003000000026077032,9.999999747378752e-05
YLR026C,YLR429W,1,0.5299578,0.800000011920929,0.004000000189989805,9.999999747378752e-05
YLR026C,YML013W,1,0.5257043,0.8333333134651184,0.004999999888241291,9.999999747378752e-05
YPR024W,YML013W,0,0.47774178,0.7142857313156128,0.004999999888241291,0.00019999999494757503
YER008C,YGL129C,0,0.47566527,0.625,0.004999999888241291,0.0003000000142492354
YAL030W,YGL025C,0,0.4490564,0.5555555820465088,0.004999999888241291,0.00039999998989515007
YDL193W,YHR114W,0,0.4348988,0.5,0.004999999888241291,0.0005000000237487257
YOL082W,YDR129C,1,0.42616087,0.5454545617103577,0.006000000052154064,0.0005000000237487257
YLR078C,YHR027C,1,0.4163804,0.5833333134651184,0.007000000216066837,0.0005000000237487257
YOL082W,YNL084C,1,0.4018932,0.6153846383094788,0.00800000037997961,0.0005000000237487257
YDR284C,YCR067C,0,0.39852768,0.5714285969734192,0.00800000037997961,0.0006000000284984708
YPR180W,YPR198W,0,0.37165874,0.5333333611488342,0.00800000037997961,0.000699999975040555
YBL050W,YBR235W,0,0.36808896,0.5,0.00800000037997961,0.0007999999797903001
YDR204W,YLR248W,0,0.36241764,0.47058823704719543,0.00800000037997961,0.0008999999845400453
YDL077C,YLL026W,0,0.3578139,0.4444444477558136,0.00800000037997961,0.0010000000474974513
YAL017W,YOR250C,0,0.34522963,0.42105263471603394,0.00800000037997961,0.0010999999940395355
YOR030W,YOL082W,0,0.3413763,0.4000000059604645,0.00800000037997961,0.0012000000569969416
YOR036W,YHL031C,1,0.33888263,0.4285714328289032,0.008999999612569809,0.0012000000569969416
YLR251W,YDL142C,0,0.33476424,0.40909090638160706,0.008999999612569809,0.0013000000035390258
YDR307W,YDR143C,0,0.33084828,0.3913043439388275,0.008999999612569809,0.00139999995008111
YAL017W,YNL118C,0,0.32945794,0.375,0.008999999612569809,0.001500000013038516
YGR193C,YKL008C,0,0.3246662,0.36000001430511475,0.008999999612569809,0.0015999999595806003
YPL232W,YDR103W,1,0.31811696,0.38461539149284363,0.009999999776482582,0.0015999999595806003
YMR197C,YOL082W,1,0.31010872,0.40740740299224854,0.010999999940395355,0.0015999999595806003
YOR075W,YOL082W,1,0.30974275,0.4285714328289032,0.012000000104308128,0.0015999999595806003
YNL243W,YLR429W,1,0.30889153,0.4482758641242981,0.013000000268220901,0.0015999999595806003
YMR304W,YPR091C,0,0.3068202,0.4333333373069763,0.013000000268220901,0.0017000000225380063
YGL207W,YNL252C,0,0.30468798,0.4193548262119293,0.013000000268220901,0.0017999999690800905
YOL082W,YOR036W,1,0.30457997,0.4375,0.014000000432133675,0.0017999999690800905
YOR008C,YPL203W,0,0.29891998,0.42424243688583374,0.014000000432133675,0.0019000000320374966
YLR026C,YAL014C,1,0.2952788,0.44117647409439087,0.014999999664723873,0.0019000000320374966
YOL082W,YJL128C,1,0.2930832,0.4571428596973419,0.01600000075995922,0.0019000000320374966
YAR033W,YDR028C,0,0.28156686,0.4444444477558136,0.01600000075995922,0.0020000000949949026
YML057W,YGL160W,0,0.27989447,0.4324324429035187,0.01600000075995922,0.002099999925121665
YOL098C,YOR216C,0,0.27806234,0.42105263471603394,0.01600000075995922,0.002199999988079071
YER141W,YFR004W,0,0.27724236,0.41025641560554504,0.01600000075995922,0.002300000051036477
YHL031C,YOR275C,0,0.26823193,0.4000000059604645,0.01600000075995922,0.002400000113993883
YGL060W,YER093C,0,0.26711702,0.39024388790130615,0.01600000075995922,0.0024999999441206455
YDL134C,YFL009W,0,0.26682854,0.380952388048172,0.01600000075995922,0.0026000000070780516
YGL233W,YDL243C,0,0.26679987,0.3720930218696594,0.01600000075995922,0.0027000000700354576
YNR006W,YML038C,0,0.26550418,0.3636363744735718,0.01600000075995922,0.00279999990016222
YDR244W,YML013W,1,0.26481354,0.3777777850627899,0.017000000923871994,0.00279999990016222
YOR130C,YER103W,0,0.2640146,0.3695652186870575,0.017000000923871994,0.002899999963119626
YGL150C,YDR307W,0,0.2610249,0.3617021143436432,0.017000000923871994,0.003000000026077032
YOL082W,YER083C,1,0.25839424,0.375,0.017999999225139618,0.003000000026077032
YNL097C,YML121W,0,0.25075632,0.36734694242477417,0.017999999225139618,0.003100000089034438
YMR197C,YER083C,1,0.24584143,0.3799999952316284,0.01899999938905239,0.003100000089034438
YDR258C,YJL001W,0,0.2449672,0.37254902720451355,0.01899999938905239,0.0031999999191612005
YAL030W,YER083C,1,0.24435978,0.38461539149284363,0.019999999552965164,0.0031999999191612005
YBL050W,YAL014C,1,0.23395737,0.3962264060974121,0.020999999716877937,0.0031999999191612005
