Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YJL053W,YOR357C,1,-0.21946098,1.0,0.0015015015378594398,0.0
YER021W,YOR126C,0,-0.23964466,0.5,0.0015015015378594398,0.00015015015378594398
YPL084W,YJL053W,1,-0.26834846,0.6666666865348816,0.0030030030757188797,0.00015015015378594398
YPL120W,YLR039C,1,-0.30385143,0.75,0.0045045046135783195,0.00015015015378594398
YLR288C,YNR035C,0,-0.31371525,0.6000000238418579,0.0045045046135783195,0.00030030030757188797
YGL233W,YNL214W,0,-0.3189028,0.5,0.0045045046135783195,0.00045045046135783195
YKL213C,YNL265C,0,-0.32993913,0.4285714328289032,0.0045045046135783195,0.0006006006151437759
YDR153C,YJR125C,1,-0.38765973,0.5,0.006006006151437759,0.0006006006151437759
YHR012W,YDR137W,1,-0.40967596,0.5555555820465088,0.007507507689297199,0.0006006006151437759
YNL265C,YHR012W,1,-0.4175911,0.6000000238418579,0.009009009227156639,0.0006006006151437759
YJR125C,YCR027C,1,-0.42131257,0.6363636255264282,0.010510510765016079,0.0006006006151437759
YDR137W,YJL053W,1,-0.42858744,0.6666666865348816,0.012012012302875519,0.0006006006151437759
YDR358W,YHR012W,1,-0.4378338,0.692307710647583,0.013513513840734959,0.0006006006151437759
YDR207C,YNL265C,0,-0.43800324,0.6428571343421936,0.013513513840734959,0.0007507507689297199
YPL096W,YPR024W,0,-0.44821727,0.6000000238418579,0.013513513840734959,0.0009009009227156639
YGL073W,YNL073W,0,-0.45643824,0.5625,0.013513513840734959,0.001051051076501608
YNL177C,YHR201C,0,-0.4617142,0.529411792755127,0.013513513840734959,0.0012012012302875519
YDL113C,YPL120W,1,-0.46729738,0.5555555820465088,0.015015015378594398,0.0012012012302875519
YOL129W,YLR039C,1,-0.47421962,0.5789473652839661,0.016516515985131264,0.0012012012302875519
YDR358W,YOR069W,1,-0.48097688,0.6000000238418579,0.018018018454313278,0.0012012012302875519
YKL210W,YGR287C,0,-0.48756957,0.5714285969734192,0.018018018454313278,0.0013513513840734959
YJR125C,YDR484W,1,-0.4913246,0.5909090638160706,0.019519519060850143,0.0013513513840734959
YGL011C,YBR260C,0,-0.49267018,0.5652173757553101,0.019519519060850143,0.0015015015378594398
YJL154C,YNL265C,1,-0.49643475,0.5833333134651184,0.021021021530032158,0.0015015015378594398
YDR109C,YDR122W,0,-0.496718,0.5600000023841858,0.021021021530032158,0.0016516516916453838
YDR291W,YIL010W,0,-0.50846684,0.5384615659713745,0.021021021530032158,0.0018018018454313278
YHR012W,YJL053W,1,-0.5104113,0.5555555820465088,0.022522522136569023,0.0018018018454313278
YDR425W,YOR357C,1,-0.5111544,0.5714285969734192,0.024024024605751038,0.0018018018454313278
YJL099W,YIL007C,0,-0.51343364,0.5517241358757019,0.024024024605751038,0.0019519519992172718
YOR299W,YDR369C,0,-0.51359296,0.5333333611488342,0.024024024605751038,0.002102102153003216
YNL265C,YDR425W,1,-0.51698697,0.5483871102333069,0.025525525212287903,0.002102102153003216
YPL120W,YJL154C,1,-0.5230169,0.5625,0.027027027681469917,0.002102102153003216
YNL265C,YJL053W,1,-0.5240563,0.5757575631141663,0.028528528288006783,0.002102102153003216
YDL113C,YLR039C,1,-0.52505064,0.5882353186607361,0.030030030757188797,0.002102102153003216
YLR039C,YOR357C,1,-0.5288128,0.6000000238418579,0.03153153136372566,0.002102102153003216
YGL137W,YNL265C,1,-0.52892375,0.6111111044883728,0.03303303197026253,0.002102102153003216
YDR358W,YDR137W,1,-0.53367686,0.6216216087341309,0.03453453630208969,0.002102102153003216
YDR359C,YMR067C,0,-0.53708655,0.6052631735801697,0.03453453630208969,0.0022522523067891598
YDR205W,YMR284W,0,-0.54296315,0.5897436141967773,0.03453453630208969,0.0024024024605751038
YPL087W,YLR039C,0,-0.5531395,0.574999988079071,0.03453453630208969,0.0025525526143610477
YNL059C,YAL016W,0,-0.5604901,0.5609756112098694,0.03453453630208969,0.0027027027681469917
YDR484W,YJL053W,1,-0.5632341,0.5714285969734192,0.036036036908626556,0.0027027027681469917
YOL096C,YDR051C,0,-0.5640372,0.5581395626068115,0.036036036908626556,0.0028528529219329357
YGL079W,YOR319W,0,-0.5692682,0.5454545617103577,0.036036036908626556,0.0030030030757188797
YCR027C,YJL053W,1,-0.5698025,0.5555555820465088,0.03753753751516342,0.0030030030757188797
YDR358W,YLR039C,1,-0.576004,0.5652173757553101,0.03903903812170029,0.0030030030757188797
YPR107C,YKL157W,0,-0.5778833,0.5531914830207825,0.03903903812170029,0.0031531532295048237
YDR484W,YOR357C,1,-0.5923936,0.5625,0.04054053872823715,0.0031531532295048237
YFR038W,YJL004C,0,-0.59434295,0.5510203838348389,0.04054053872823715,0.0033033033832907677
YJL154C,YHR012W,1,-0.5957735,0.5600000023841858,0.042042043060064316,0.0033033033832907677
YER125W,YCR027C,1,-0.5958114,0.5686274766921997,0.04354354366660118,0.0033033033832907677
YDR484W,YDR137W,1,-0.60225415,0.5769230723381042,0.045045044273138046,0.0033033033832907677
YBR295W,YDR477W,0,-0.6029388,0.5660377144813538,0.045045044273138046,0.0034534535370767117
YNL225C,YAL016W,0,-0.6039422,0.5555555820465088,0.045045044273138046,0.0036036036908626556
YHR108W,YDR137W,1,-0.6053881,0.5636363625526428,0.04654654487967491,0.0036036036908626556
YGR080W,YGR195W,0,-0.6062085,0.5535714030265808,0.04654654487967491,0.0037537538446485996
YMR266W,YDL134C,0,-0.6068937,0.5438596606254578,0.04654654487967491,0.0039039039984345436
YDR259C,YNL051W,0,-0.6100444,0.5344827771186829,0.04654654487967491,0.004054054152220488
YOR279C,YLL039C,0,-0.61039096,0.5254237055778503,0.04654654487967491,0.004204204306006432
YBL105C,YPL015C,0,-0.61172867,0.5166666507720947,0.04654654487967491,0.0043543544597923756
YDR456W,YOR069W,1,-0.612042,0.5245901346206665,0.048048049211502075,0.0043543544597923756
YGL226W,YHL006C,0,-0.6132033,0.5161290168762207,0.048048049211502075,0.0045045046135783195
YFR044C,YNL167C,0,-0.61517686,0.5079365372657776,0.048048049211502075,0.0046546547673642635
YHR108W,YPR173C,1,-0.6155601,0.515625,0.04954954981803894,0.0046546547673642635
YDR137W,YOR357C,1,-0.61924434,0.5230769515037537,0.051051050424575806,0.0046546547673642635
YER022W,YIL062C,0,-0.6192766,0.5151515007019043,0.051051050424575806,0.0048048049211502075
YKR020W,YPR173C,1,-0.6194232,0.5223880410194397,0.05255255103111267,0.0048048049211502075
YOR132W,YMR313C,0,-0.6211776,0.5147058963775635,0.05255255103111267,0.0049549550749361515
YJR044C,YDR484W,1,-0.6221639,0.52173912525177,0.054054055362939835,0.0049549550749361515
YPL117C,YJR048W,0,-0.62316674,0.5142857432365417,0.054054055362939835,0.0051051052287220955
YDR358W,YDR153C,1,-0.6242336,0.5211267471313477,0.0555555559694767,0.0051051052287220955
YNL265C,YJR125C,1,-0.62714535,0.5277777910232544,0.057057056576013565,0.0051051052287220955
YNL265C,YLR039C,1,-0.6280265,0.534246563911438,0.05855855718255043,0.0051051052287220955
YOR357C,YDR419W,0,-0.6284655,0.5270270109176636,0.05855855718255043,0.0052552553825080395
YDR484W,YKR020W,1,-0.6287672,0.5333333611488342,0.060060061514377594,0.0052552553825080395
YJL029C,YDR137W,1,-0.63011056,0.5394737124443054,0.06156156212091446,0.0052552553825080395
YDR462W,YLR350W,0,-0.6341929,0.5324675440788269,0.06156156212091446,0.0054054055362939835
YOR132W,YLR039C,1,-0.634316,0.5384615659713745,0.06306306272745132,0.0054054055362939835
YER162C,YML049C,0,-0.6346924,0.5316455960273743,0.06306306272745132,0.0055555556900799274
YGR142W,YDR358W,1,-0.6357638,0.5375000238418579,0.06456456333398819,0.0055555556900799274
