Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YMR250W,YBR267W,0,3.0890112,0.0,0.0,0.00010008006211137399
YGL157W,YKR092C,0,3.0304618,0.0,0.0,0.00020016012422274798
YGR177C,YKL103C,0,2.8131685,0.0,0.0,0.00030024017905816436
YJR147W,YBR150C,1,2.7819276,0.25,0.0009920635493472219,0.00030024017905816436
YBR280C,YHR031C,0,2.7569637,0.20000000298023224,0.0009920635493472219,0.00040032024844549596
YKR092C,YJL171C,0,2.7434182,0.1666666716337204,0.0009920635493472219,0.0005004003178328276
YPL012W,YIL097W,0,2.6710622,0.1428571492433548,0.0009920635493472219,0.0006004803581163287
YML128C,YNL119W,0,2.6624823,0.125,0.0009920635493472219,0.0007005604566074908
YOR036W,YBR093C,0,2.6378927,0.1111111119389534,0.0009920635493472219,0.0008006404968909919
YLR307W,YHR166C,0,2.6319482,0.10000000149011612,0.0009920635493472219,0.000900720595382154
YNL216W,YGL166W,1,2.6158328,0.1818181872367859,0.0019841270986944437,0.000900720595382154
YER115C,YLR270W,0,2.5911255,0.1666666716337204,0.0019841270986944437,0.0010008006356656551
YEL012W,YPL101W,0,2.5888045,0.1538461595773697,0.0019841270986944437,0.0011008806759491563
YGL205W,YLR015W,0,2.5673413,0.1428571492433548,0.0019841270986944437,0.0012009607162326574
YDL025C,YGL211W,0,2.5669677,0.13333334028720856,0.0019841270986944437,0.0013010408729314804
YPL086C,YLR327C,0,2.5594916,0.125,0.0019841270986944437,0.0014011209132149816
YGR052W,YBR155W,0,2.5557697,0.11764705926179886,0.0019841270986944437,0.0015012009534984827
YPL152W,YBR267W,0,2.5427628,0.1111111119389534,0.0019841270986944437,0.0016012809937819839
YBR296C,YOL119C,0,2.5373745,0.10526315867900848,0.0019841270986944437,0.001701361034065485
YMR229C,YNR035C,0,2.5029354,0.10000000149011612,0.0019841270986944437,0.001801441190764308
YPR104C,YJL089W,1,2.5015962,0.1428571492433548,0.0029761905316263437,0.001801441190764308
YJR147W,YGL166W,1,2.473889,0.1818181872367859,0.003968254197388887,0.001801441190764308
YLR128W,YNL061W,0,2.467665,0.17391304671764374,0.003968254197388887,0.0019015212310478091
YDL020C,YPL133C,1,2.4668975,0.2083333283662796,0.004960317630320787,0.0019015212310478091
YGL119W,YBR294W,0,2.4548726,0.20000000298023224,0.004960317630320787,0.0020016012713313103
YGL174W,YCR010C,0,2.4417372,0.19230769574642181,0.004960317630320787,0.0021016814280301332
YLR307W,YCR020C,0,2.4345603,0.18518517911434174,0.004960317630320787,0.0022017613518983126
YIL101C,YOR313C,0,2.4127083,0.1785714328289032,0.004960317630320787,0.0023018415085971355
YPL033C,YER153C,0,2.4100366,0.17241379618644714,0.004960317630320787,0.002401921432465315
YJL139C,YFL053W,0,2.408926,0.1666666716337204,0.004960317630320787,0.002502001589164138
YPL248C,YNL167C,1,2.408639,0.19354838132858276,0.0059523810632526875,0.002502001589164138
YPR199C,YFR034C,1,2.3646412,0.21875,0.0069444444961845875,0.002502001589164138
YJR147W,YMR019W,1,2.3573575,0.24242424964904785,0.007936508394777775,0.002502001589164138
YOR310C,YMR315W,0,2.349481,0.23529411852359772,0.007936508394777775,0.002602081745862961
YHR167W,YHL018W,0,2.3487349,0.22857142984867096,0.007936508394777775,0.00270216166973114
YJR147W,YMR168C,1,2.3451016,0.25,0.008928571827709675,0.00270216166973114
YHR092C,YIR003W,0,2.344427,0.2432432472705841,0.008928571827709675,0.002802241826429963
YIL048W,YDL197C,0,2.3360264,0.2368421107530594,0.008928571827709675,0.0029023217502981424
YPL086C,YJL066C,0,2.3286982,0.23076923191547394,0.008928571827709675,0.0030024019069969654
YOR205C,YMR291W,0,2.3112476,0.22499999403953552,0.008928571827709675,0.0031024820636957884
YGR052W,YCL024W,0,2.3066273,0.2195121943950653,0.008928571827709675,0.0032025619875639677
YJL206C,YKR034W,1,2.3062172,0.2380952388048172,0.009920635260641575,0.0032025619875639677
YER131W,YDL029W,0,2.3004787,0.23255814611911774,0.009920635260641575,0.0033026421442627907
YER008C,YBR083W,0,2.2958784,0.22727273404598236,0.009920635260641575,0.00340272206813097
YIL136W,YER115C,0,2.2931027,0.2222222238779068,0.009920635260641575,0.003502802224829793
YLR320W,YNL093W,0,2.288309,0.21739129722118378,0.009920635260641575,0.003602882381528616
YDR485C,YJL089W,1,2.2847226,0.23404255509376526,0.010912698693573475,0.003602882381528616
YML049C,YHL022C,0,2.2839851,0.2291666716337204,0.010912698693573475,0.0037029623053967953
YDL060W,YPR047W,0,2.2786698,0.22448979318141937,0.010912698693573475,0.0038030424620956182
YNL305C,YBL068W,0,2.2693653,0.2199999988079071,0.010912698693573475,0.0039031223859637976
YGR133W,YKL059C,0,2.2566357,0.21568627655506134,0.010912698693573475,0.0040032025426626205
YIR005W,YMR056C,0,2.2553082,0.21153846383094788,0.010912698693573475,0.0041032824665308
YCR026C,YGL033W,0,2.254531,0.2075471729040146,0.010912698693573475,0.0042033628560602665
YIR013C,YMR019W,1,2.2514706,0.2222222238779068,0.011904762126505375,0.0042033628560602665
YJL089W,YJR060W,1,2.248334,0.23636363446712494,0.012896825559437275,0.0042033628560602665
YLL032C,YPL148C,0,2.2446363,0.2321428507566452,0.012896825559437275,0.004303442779928446
YML099C,YIR018W,1,2.2338676,0.24561403691768646,0.013888888992369175,0.004303442779928446
YJR147W,YLL023C,0,2.2325258,0.24137930572032928,0.013888888992369175,0.004403522703796625
YMR172W,YCL014W,0,2.224585,0.23728813230991364,0.013888888992369175,0.004503603093326092
YER184C,YCR106W,1,2.2245324,0.25,0.014880952425301075,0.004503603093326092
YIR013C,YFR034C,1,2.2237158,0.26229506731033325,0.01587301678955555,0.004503603093326092
YOR032C,YMR042W,1,2.206054,0.27419355511665344,0.01686508022248745,0.004503603093326092
YJR147W,YPR199C,1,2.201722,0.2857142984867096,0.01785714365541935,0.004503603093326092
YNR002C,YBL023C,0,2.2005477,0.28125,0.01785714365541935,0.004603683017194271
YJL189W,YMR315W,0,2.200298,0.2769230902194977,0.01785714365541935,0.00470376294106245
YHR039C-A,YNR057C,0,2.1987753,0.27272728085517883,0.01785714365541935,0.00480384286493063
YJL109C,YDL007W,0,2.1983728,0.26865673065185547,0.01785714365541935,0.004903923254460096
YGL055W,YBR280C,0,2.196814,0.2647058963775635,0.01785714365541935,0.005004003178328276
YIL132C,YDR255C,0,2.1950164,0.260869562625885,0.01785714365541935,0.005104083102196455
YKR034W,YML099C,1,2.1871617,0.27142858505249023,0.01884920708835125,0.005104083102196455
YBL050W,YLR385C,0,2.1839352,0.26760563254356384,0.01884920708835125,0.005204163491725922
YLR341W,YBL074C,0,2.1834168,0.2638888955116272,0.01884920708835125,0.005304243415594101
YPL248C,YBR239C,1,2.1830778,0.27397260069847107,0.01984127052128315,0.005304243415594101
YMR170C,YOR182C,0,2.1759923,0.2702702581882477,0.01984127052128315,0.00540432333946228
YMR016C,YIR018W,1,2.1742306,0.2800000011920929,0.02083333395421505,0.00540432333946228
YGR162W,YBR145W,0,2.1732857,0.2763157784938812,0.02083333395421505,0.005504403728991747
YIR013C,YML099C,1,2.1723516,0.2857142984867096,0.02182539738714695,0.005504403728991747
YOR038C,YPR066W,0,2.158307,0.28205129504203796,0.02182539738714695,0.005604483652859926
YLR205C,YNL163C,0,2.154499,0.27848100662231445,0.02182539738714695,0.0057045635767281055
YIL117C,YFL004W,0,2.149839,0.2750000059604645,0.02182539738714695,0.005804643500596285
YBR177C,YHR032W,0,2.1470356,0.2716049253940582,0.02182539738714695,0.0059047238901257515
YOR076C,YOR214C,0,2.1462858,0.26829269528388977,0.02182539738714695,0.006004803813993931
YBR238C,YGL062W,0,2.1456573,0.2650602459907532,0.02182539738714695,0.00610488373786211
YGR166W,YPR192W,0,2.1416645,0.261904776096344,0.02182539738714695,0.006204964127391577
YBR052C,YLR286C,0,2.1374428,0.25882354378700256,0.02182539738714695,0.006305044051259756
YIL113W,YPR112C,0,2.134025,0.25581395626068115,0.02182539738714695,0.006405123975127935
YPL053C,YDR534C,0,2.1336193,0.25287356972694397,0.02182539738714695,0.006505204364657402
YJL073W,YBR294W,0,2.1335256,0.25,0.02182539738714695,0.006605284288525581
YKL222C,YKR034W,1,2.1329136,0.2584269642829895,0.02281746082007885,0.006605284288525581
YDL039C,YGL184C,0,2.1270878,0.25555557012557983,0.02281746082007885,0.006705364212393761
YJL204C,YCL026C-A,0,2.1242912,0.2527472674846649,0.02281746082007885,0.00680544413626194
YLR251W,YIL127C,0,2.1240342,0.25,0.02281746082007885,0.006905524525791407
YJR070C,YOR155C,0,2.1205614,0.24731183052062988,0.02281746082007885,0.007005604449659586
YKL217W,YBR253W,0,2.119689,0.24468085169792175,0.02281746082007885,0.007105684373527765
YGL249W,YOR127W,0,2.111374,0.24210526049137115,0.02281746082007885,0.007205764763057232
YNL316C,YBR294W,0,2.1082206,0.2395833283662796,0.02281746082007885,0.007305844686925411
YGR256W,YKL056C,0,2.1078122,0.23711340129375458,0.02281746082007885,0.0074059246107935905
YJR015W,YMR135C,0,2.1000547,0.23469388484954834,0.02281746082007885,0.007506005000323057
YBR081C,YNL202W,0,2.099259,0.23232322931289673,0.02281746082007885,0.0076060849241912365
YDL045C,YJR002W,0,2.094499,0.23000000417232513,0.02281746082007885,0.007706164848059416
YBL106C,YBR293W,0,2.09448,0.22772277891635895,0.02281746082007885,0.007806244771927595
YHL040C,YKR009C,0,2.0927472,0.22549019753932953,0.02281746082007885,0.007906325161457062
YJL144W,YFL004W,0,2.0910287,0.223300963640213,0.02281746082007885,0.008006405085325241
YNR015W,YKL218C,0,2.0910213,0.2211538404226303,0.02281746082007885,0.00810648500919342
YHL022C,YGR158C,0,2.0805998,0.21904762089252472,0.02281746082007885,0.0082065649330616
YML018C,YJL036W,0,2.0741632,0.21698112785816193,0.02281746082007885,0.008306644856929779
YNL046W,YBR129C,0,2.0721884,0.21495327353477478,0.02281746082007885,0.008406725712120533
YBR072W,YDR247W,0,2.070755,0.21296297013759613,0.02281746082007885,0.008506805635988712
YDR207C,YBR083W,1,2.0685563,0.22018349170684814,0.02380952425301075,0.008506805635988712
YJL066C,YBR296C,0,2.06655,0.2181818187236786,0.02380952425301075,0.008606885559856892
YMR090W,YBL112C,0,2.0664418,0.21621622145175934,0.02380952425301075,0.008706965483725071
YPL248C,YLL054C,1,2.0661151,0.2232142835855484,0.02480158768594265,0.008706965483725071
YPL101W,YLR270W,0,2.064046,0.22123894095420837,0.02480158768594265,0.00880704540759325
YLR081W,YKL078W,0,2.0623798,0.21929824352264404,0.02480158768594265,0.00890712533146143
YDR146C,YIR039C,0,2.0620377,0.21739129722118378,0.02480158768594265,0.009007206186652184
YLL023C,YJL148W,0,2.060718,0.21551723778247833,0.02480158768594265,0.009107286110520363
YJR160C,YHL012W,0,2.0592906,0.21367521584033966,0.02480158768594265,0.009207366034388542
YLR014C,YIL036W,1,2.0557308,0.22033898532390594,0.02579365111887455,0.009207366034388542
YJR151C,YER002W,0,2.053762,0.21848739683628082,0.02579365111887455,0.009307445958256721
YNL151C,YLR128W,0,2.052472,0.21666666865348816,0.02579365111887455,0.0094075258821249
YLR341W,YMR201C,0,2.051643,0.21487602591514587,0.02579365111887455,0.00950760580599308
YCR106W,YGL254W,1,2.0508375,0.22131147980690002,0.02678571455180645,0.00950760580599308
YPR030W,YJR147W,0,2.0496168,0.2195121943950653,0.02678571455180645,0.00960768572986126
YDL054C,YOR233W,0,2.0487638,0.2177419364452362,0.02678571455180645,0.009707766585052013
YAR066W,YNL071W,0,2.04875,0.2160000056028366,0.02678571455180645,0.009807846508920193
YJL028W,YMR075W,0,2.0428824,0.2142857164144516,0.02678571455180645,0.009907926432788372
YGL170C,YCR042C,0,2.0419059,0.21259842813014984,0.02678571455180645,0.010008006356656551
YLL023C,YIL127C,0,2.0391142,0.2109375,0.02678571455180645,0.01010808628052473
