Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YDR079C-A,YHR206W,0,0.058713064,0.0,0.0,0.00010002000635722652
YBL071W-A,YGR104C,0,0.058015104,0.0,0.0,0.00020004001271445304
YBL029C-A,YJR135C,0,0.05795192,0.0,0.0,0.0003000600263476372
YLR414C,YJL062W-A,0,0.05757773,0.0,0.0,0.0004000800254289061
YBL071W-A,YBL078C,0,0.056644425,0.0,0.0,0.000500100024510175
YDR381C-A,YLR025W,0,0.056422114,0.0,0.0,0.0006001200526952744
YBL071W-A,YMR106C,0,0.055287175,0.0,0.0,0.0007001400226727128
YBL029C-A,YPR098C,0,0.055212133,0.0,0.0,0.0008001600508578122
YBL071W-A,YPL228W,0,0.055156033,0.0,0.0,0.0009001800208352506
YDR381C-A,YLL012W,0,0.054381024,0.0,0.0,0.00100020004902035
YDR381C-A,YNL293W,0,0.054327447,0.0,0.0,0.0011002200189977884
YDR079C-A,YLR103C,0,0.054284908,0.0,0.0,0.0012002401053905487
YKL095W,YER074W-A,0,0.053398076,0.0,0.0,0.0013002600753679872
YFL001W,YOL077W-A,0,0.053046934,0.0,0.0,0.0014002800453454256
YGL160W,YJL062W-A,0,0.052752297,0.0,0.0,0.001500300015322864
YBL071W-A,YJR067C,0,0.052542277,0.0,0.0,0.0016003201017156243
YDR381C-A,YDL193W,0,0.052467242,0.0,0.0,0.0017003400716930628
YBR230C,YDR079C-A,0,0.05166865,0.0,0.0,0.0018003600416705012
YBL029C-A,YAL032C,0,0.05083755,0.0,0.0,0.0019003801280632615
YDR079C-A,YPL047W,0,0.050446235,0.0,0.0,0.0020004000980407
YDR320C-A,YJR129C,0,0.050412618,0.0,0.0,0.0021004201844334602
YBL071W-A,YER018C,0,0.04972381,0.0,0.0,0.002200440037995577
YEL040W,YCL026C-B,0,0.049196944,0.0,0.0,0.002300460124388337
YBL071W-A,YOR293W,0,0.048438035,0.0,0.0,0.0024004802107810974
YBL029C-A,YHR141C,0,0.04819667,0.0,0.0,0.002500500064343214
YCL057C-A,YKR055W,0,0.047300473,0.0,0.0,0.0026005201507359743
YDR320C-A,YLR050C,0,0.04704026,0.0,0.0,0.002700540004298091
YNR028W,YJL062W-A,0,0.04678521,0.0,0.0,0.002800560090690851
YBL029C-A,YAL055W,0,0.04653219,0.0,0.0,0.0029005801770836115
YGL174W,YOL077W-A,0,0.046457503,0.0,0.0,0.003000600030645728
YER074W-A,YGR275W,0,0.04639569,0.0,0.0,0.0031006201170384884
YJL095W,YHR072W-A,0,0.045254517,0.0,0.0,0.0032006402034312487
YER074W-A,YGL209W,0,0.04462542,0.0,0.0,0.0033006600569933653
YPR137W,YJL062W-A,0,0.044405535,0.0,0.0,0.0034006801433861256
YDR320C-A,YPL091W,0,0.04424953,0.0,0.0,0.003500700229778886
YGR276C,YOL077W-A,0,0.04390803,0.0,0.0,0.0036007200833410025
YER074W-A,YNL310C,0,0.04365669,0.0,0.0,0.0037007401697337627
YBL071W-A,YBL028C,0,0.04340768,0.0,0.0,0.003800760256126523
YNL054W-B,YNR023W,0,0.043406233,0.0,0.0,0.0039007801096886396
YLL039C,YBL071W-A,0,0.04332091,0.0,0.0,0.0040008001960814
YDR320C-A,YIL160C,0,0.042903654,0.0,0.0,0.0041008200496435165
YJR135W-A,YGR185C,0,0.042737294,0.0,0.0,0.0042008403688669205
YFR031C,YHR072W-A,0,0.042723365,0.0,0.0,0.004300860222429037
YDR261W-A,YNL079C,0,0.042607754,0.0,0.0,0.004400880075991154
YMR135C,YOL103W-B,0,0.04253963,0.0,0.0,0.004500900395214558
YJL028W,YFL002W-B,0,0.04249304,0.0,0.0,0.004600920248776674
YDR034C-D,YMR321C,0,0.04238865,0.0,0.0,0.004700940102338791
YDL227C,YGR038C-B,0,0.042337842,0.0,0.0,0.004800960421562195
YDL190C,YGR161W-B,0,0.04233584,0.0,0.0,0.0049009802751243114
YLR157C-B,YGL187C,0,0.04221905,0.0,0.0,0.005001000128686428
YLR204W,YPL257W-B,0,0.04220185,0.0,0.0,0.005101019982248545
YOL077W-A,YNL241C,0,0.04217529,0.0,0.0,0.005201040301471949
YGR161W-B,YPL055C,0,0.04214925,0.0,0.0,0.005301060155034065
YGR027W-A,YOR159C,0,0.04210905,0.0,0.0,0.005401080008596182
YLR157C-B,YDL066W,0,0.041954055,0.0,0.0,0.005501100327819586
YML045W-A,YKL012W,0,0.041746635,0.0,0.0,0.005601120181381702
YML048W,YJL062W-A,0,0.041701898,0.0,0.0,0.005701140034943819
YPL257W-B,YJR147W,0,0.04169741,0.0,0.0,0.005801160354167223
YNL099C,YOR192C-B,0,0.041689377,0.0,0.0,0.00590118020772934
YLL017W,YNL054W-B,0,0.0415691,0.0,0.0,0.006001200061291456
YLR408C,YML045W-A,0,0.041478015,0.0,0.0,0.00610122038051486
YPL007C,YDR034C-C,0,0.04140082,0.0,0.0,0.006201240234076977
YNL284C-A,YIL162W,0,0.041296843,0.0,0.0,0.006301260087639093
YEL003W,YDR261C-C,0,0.04120988,0.0,0.0,0.006401280406862497
YGR109W-B,YDL039C,0,0.040985953,0.0,0.0,0.006501300260424614
YDL166C,YLR157C-A,0,0.04096492,0.0,0.0,0.006601320113986731
YGR037C,YOL103W-B,0,0.040951863,0.0,0.0,0.0067013404332101345
YGL017W,YHL009W-B,0,0.04094533,0.0,0.0,0.006801360286772251
YNL039W,YHL009W-A,0,0.040880308,0.0,0.0,0.006901380140334368
YHR072W-A,YDR506C,0,0.04087231,0.0,0.0,0.007001400459557772
YDR140W,YDR210W-B,0,0.040766116,0.0,0.0,0.007101420313119888
YDR261W-B,YJR149W,0,0.04073504,0.0,0.0,0.007201440166682005
YOR142W-B,YOL086C,0,0.040706273,0.0,0.0,0.007301460485905409
YDL215C,YLR157C-A,0,0.04067003,0.0,0.0,0.0074014803394675255
YJL129C,YOL103W-B,0,0.04062772,0.0,0.0,0.007501500193029642
YNL284C-A,YCR046C,0,0.040522575,0.0,0.0,0.007601520512253046
YDL184C,YCL026C-B,0,0.040500823,0.0,0.0,0.007701540365815163
YJL011C,YGR161W-B,0,0.04046384,0.0,0.0,0.007801560219377279
YDR210W-B,YLR424W,0,0.04039715,0.0,0.0,0.007901580072939396
YPL057C,YHL009W-B,0,0.040383108,0.0,0.0,0.0080016003921628
YGL190C,YLR256W-A,0,0.04027171,0.0,0.0,0.008101620711386204
YGR109W-B,YGR180C,0,0.04026458,0.0,0.0,0.008201640099287033
YJL014W,YOR142W-B,0,0.04023973,0.0,0.0,0.008301660418510437
YPR137C-A,YGR271W,0,0.040220767,0.0,0.0,0.008401680737733841
YPR158C-D,YCR052W,0,0.040208492,0.0,0.0,0.00850170012563467
YEL042W,YDR261W-B,0,0.040204156,0.0,0.0,0.008601720444858074
YKL022C,YGR109W-B,0,0.040157944,0.0,0.0,0.008701740764081478
YDR210C-C,YPL252C,0,0.0401507,0.0,0.0,0.008801760151982307
YDR349C,YLR410W-B,0,0.040119343,0.0,0.0,0.008901780471205711
YGR027W-A,YBL040C,0,0.0401045,0.0,0.0,0.009001800790429115
YLR410W-A,YMR244C-A,0,0.04008171,0.0,0.0,0.009101820178329945
YBR228W,YDR079C-A,0,0.040079888,0.0,0.0,0.009201840497553349
YOL111C,YOL103W-B,0,0.039885085,0.0,0.0,0.009301860816776752
YIL135C,YPR137C-A,0,0.039774965,0.0,0.0,0.009401880204677582
YML032C,YER074W-A,0,0.039703574,0.0,0.0,0.009501900523900986
YLR312W-A,YDR210W-B,0,0.03969832,0.0,0.0,0.00960192084312439
YPL060C-A,YPL131W,0,0.039694622,0.0,0.0,0.009701940231025219
YLR227W-B,YPR056W,0,0.0395294,0.0,0.0,0.009801960550248623
YGR234W,YOR192C-A,0,0.039460737,0.0,0.0,0.009901979938149452
YOR192C-B,YOR056C,0,0.039449677,0.0,0.0,0.010002000257372856
YOR142W-B,YBL017C,0,0.039436776,0.0,0.0,0.01010202057659626
YGR027W-B,YGR087C,0,0.039431475,0.0,0.0,0.01020203996449709
YDR261W-A,YKL210W,0,0.039389342,0.0,0.0,0.010302060283720493
YER159C-A,YCR052W,0,0.039343532,0.0,0.0,0.010402080602943897
YJR009C,YLR256W-A,0,0.039285593,0.0,0.0,0.010502099990844727
YGR038C-B,YKR080W,0,0.03927881,0.0,0.0,0.01060212031006813
YGR279C,YDR261C-C,0,0.039274886,0.0,0.0,0.010702140629291534
YOL058W,YPR137C-B,0,0.039224774,0.0,0.0,0.010802160017192364
YDR261W-A,YJL206C,0,0.039149478,0.0,0.0,0.010902180336415768
YDR034C-D,YDR511W,0,0.039139155,0.0,0.0,0.011002200655639172
YHL008C,YPR137C-B,0,0.03912326,0.0,0.0,0.011102220043540001
YMR109W,YCL057C-A,0,0.039069843,0.0,0.0,0.011202240362763405
YBR150C,YDR261W-A,0,0.039050978,0.0,0.0,0.011302260681986809
YGR027W-A,YKL093W,0,0.038969234,0.0,0.0,0.011402280069887638
YMR204C,YOL103W-B,0,0.038920097,0.0,0.0,0.011502300389111042
YJL062W-A,YER185W,0,0.038916297,0.0,0.0,0.011602320708334446
YER137C-A,YMR130W,0,0.0388096,0.0,0.0,0.011702340096235275
YBR276C,YDR261W-A,0,0.03871669,0.0,0.0,0.01180236041545868
YGR036C,YPR158C-C,0,0.03852219,0.0,0.0,0.011902380734682083
YAL029C,YPL257W-A,0,0.038487237,0.0,0.0,0.012002400122582912
YCR055C,YOR261C,0,0.0384377,0.0,0.0,0.012102420441806316
YBR160W,YOR240W,0,0.03843763,0.0,0.0,0.01220244076102972
YLR391W,YLR077W,0,0.03843749,0.0,0.0,0.01230246014893055
YNL037C,YCR097WB,0,0.038437434,0.0,0.0,0.012402480468153954
YKL097W-A,YJR130C,0,0.038437366,0.0,0.0,0.012502500787377357
YCL062W,YNR004W,0,0.038437206,0.0,0.0,0.012602520175278187
YBL101W-B,YKR018C,0,0.038436856,0.0,0.0,0.01270254049450159
YKL208W,YCR080W,0,0.0384363,0.0,0.0,0.012802560813724995
YBL078C,YCR097WB,0,0.03843623,0.0,0.0,0.012902580201625824
YKR098C,YBR075W,0,0.03843392,0.0,0.0,0.013002600520849228
YCL062W,YER002W,0,0.0384337,0.0,0.0,0.013102620840072632
YCL060C,YLL011W,0,0.038433384,0.0,0.0,0.013202640227973461
YDL206W,YLR157C-A,0,0.038432423,0.0,0.0,0.013302660547196865
YIL017W,YFR046C,0,0.038430687,0.0,0.0,0.013402680866420269
YAL022C,YKL158W,0,0.038428713,0.0,0.0,0.013502700254321098
YPR186C,YCR080W,0,0.03842372,0.0,0.0,0.013602720573544502
YLR391W,YDR126W,0,0.03842349,0.0,0.0,0.013702740892767906
YGL210W-A,YGR095C,0,0.03842156,0.0,0.0,0.013802760280668736
YCL048W-A,YFR007W,0,0.03842156,0.0,0.0,0.01390278059989214
YDL227C,YFL011W-A,0,0.03842156,0.0,0.0,0.014002800919115543
YBR192W,YLR154W-A,0,0.03842156,0.0,0.0,0.014102820307016373
YOR092W,YHR214W-G,0,0.03842156,0.0,0.0,0.014202840626239777
YKL096W,YOR396W,0,0.03842156,0.0,0.0,0.01430286094546318
YBR238C,YNL138W-A,0,0.03842156,0.0,0.0,0.01440288033336401
YAR044W,YNL071W,1,0.03842156,0.006896551698446274,0.0009980039903894067,0.01440288033336401
YHL044W,YGL210W-A,0,0.03842156,0.006849315017461777,0.0009980039903894067,0.014502900652587414
YDL130W-A,YKR099C-A,0,0.03842156,0.006802720949053764,0.0009980039903894067,0.014602920971810818
YPL096C-A,YOL082W,0,0.03842156,0.006756756920367479,0.0009980039903894067,0.014702940359711647
YMR268W-A,YOR226C,0,0.03842156,0.00671140942722559,0.0009980039903894067,0.014802960678935051
YPR194C,YMR268W-A,0,0.03842156,0.006666666828095913,0.0009980039903894067,0.014902980998158455
YPL189C-A,YJL198W,0,0.03842156,0.0066225165501236916,0.0009980039903894067,0.015003000386059284
YBR075W,YKR035W-A,0,0.03842156,0.00657894741743803,0.0009980039903894067,0.015103020705282688
YDL038C,YNL035C,0,0.03842156,0.006535947788506746,0.0009980039903894067,0.015203041024506092
YMR284W,YDR014W-A,0,0.03842156,0.006493506487458944,0.0009980039903894067,0.015303060412406921
YNL009W,YDR014W-A,0,0.03842156,0.006451612804085016,0.0009980039903894067,0.015403080731630325
YDL020C,YGL258W-A,0,0.03842156,0.006410256493836641,0.0009980039903894067,0.01550310105085373
YOR338W,YKR099C-A,0,0.03842156,0.006369426846504211,0.0009980039903894067,0.015603120438754559
YGR033C,YNL138W-A,0,0.03842156,0.006329114083200693,0.0009980039903894067,0.015703139826655388
YOL053C-A,YDR247W,0,0.03842156,0.006289307959377766,0.0009980039903894067,0.015803160145878792
YOR343C-B,YKR099C-A,0,0.03842156,0.0062500000931322575,0.0009980039903894067,0.015903180465102196
YIL063C,YGL210W-A,0,0.03842156,0.006211180239915848,0.0009980039903894067,0.0160032007843256
YMR268W-A,YCL003W,0,0.03842156,0.006172839552164078,0.0009980039903894067,0.016103221103549004
YLR154W-A,YNL080C,0,0.03842156,0.0061349691823124886,0.0009980039903894067,0.016203241422772408
YGL184C,YGL210W-A,0,0.03842156,0.006097560748457909,0.0009980039903894067,0.016303259879350662
YPL189C-A,YKL166C,0,0.03842156,0.0060606058686971664,0.0009980039903894067,0.016403280198574066
YKL053C-A,YKL158W,0,0.03842156,0.0060240961611270905,0.0009980039903894067,0.01650330051779747
YLR154W-A,YLR191W,0,0.03842156,0.005988024175167084,0.0009980039903894067,0.016603320837020874
YFR029W,YBR111W-A,0,0.03842156,0.0059523810632526875,0.0009980039903894067,0.016703341156244278
YNL331C,YDR524C-B,0,0.03842156,0.005917159840464592,0.0009980039903894067,0.016803361475467682
YGL210W-A,YDR416W,0,0.03842156,0.0058823530562222,0.0009980039903894067,0.016903379932045937
YNL289W,YCL060C,0,0.03842156,0.005847953259944916,0.0009980039903894067,0.01700340025126934
YIL050W,YPL189C-A,0,0.03842156,0.0058139534667134285,0.0009980039903894067,0.017103420570492744
YDR014W-A,YDR531W,0,0.03842156,0.005780346691608429,0.0009980039903894067,0.01720344088971615
YOR343C-B,YNL097C,0,0.03842156,0.005747126415371895,0.0009980039903894067,0.017303461208939552
YJR006W,YOR396W,0,0.03842156,0.0057142856530845165,0.0009980039903894067,0.017403481528162956
YHR102W,YHR214W-G,0,0.03842156,0.005681818351149559,0.0009980039903894067,0.01750349998474121
YOR343C-B,YLR425W,0,0.03842156,0.005649717524647713,0.0009980039903894067,0.017603520303964615
YGL097W,YCR029C-A,0,0.03842156,0.00561797758564353,0.0009980039903894067,0.01770354062318802
YMR268W-A,YFR018C,0,0.03842156,0.005586592014878988,0.0009980039903894067,0.017803560942411423
YLL035W,YFL011W-A,0,0.03842156,0.0055555556900799274,0.0009980039903894067,0.017903581261634827
YCL048W-A,YDR207C,0,0.03842156,0.005524862091988325,0.0009980039903894067,0.01800360158085823
YDR210W-D,YKL094W,0,0.03842156,0.005494505632668734,0.0009980039903894067,0.018103620037436485
YDR195W,YNL138W-A,0,0.03842156,0.005464480724185705,0.0009980039903894067,0.01820364035665989
YHR079C-A,YCR097WB,0,0.03842156,0.005434782709926367,0.0009980039903894067,0.018303660675883293
YKR030W,YBR111W-A,0,0.03842156,0.0054054055362939835,0.0009980039903894067,0.018403680995106697
YBR111W-A,YMR308C,0,0.03842156,0.005376344081014395,0.0009980039903894067,0.0185037013143301
YLR312C-B,YJL139C,0,0.03842156,0.005347593687474728,0.0009980039903894067,0.018603721633553505
YBL008W-A,YDL193W,0,0.03842156,0.005319148767739534,0.0009980039903894067,0.01870374009013176
YBR106W,YBR111W-A,0,0.03842156,0.005291005130857229,0.0009980039903894067,0.018803760409355164
YKL084W,YPL096C-A,0,0.03842156,0.005263158120214939,0.0009980039903894067,0.018903780728578568
YNL304W,YKR099C-A,0,0.03842156,0.005235602147877216,0.0009980039903894067,0.01900380104780197
YBR118W,YNL024C-A,0,0.03842156,0.0052083334885537624,0.0009980039903894067,0.019103821367025375
YDR524C-B,YPL017C,0,0.03842156,0.005181347019970417,0.0009980039903894067,0.01920384168624878
YLR312C-B,YIL082W-A,0,0.03842156,0.005154639016836882,0.0009980039903894067,0.019303860142827034
YGL183C,YKR099C-A,0,0.03842156,0.0051282052882015705,0.0009980039903894067,0.019403880462050438
YDL038C,YLR088W,0,0.03842156,0.005102040711790323,0.0009980039903894067,0.019503900781273842
YDR524C-B,YAL012W,0,0.03842156,0.005076142027974129,0.0009980039903894067,0.019603921100497246
YDR014W-A,YGR249W,0,0.03842156,0.005050505045801401,0.0009980039903894067,0.01970394141972065
