Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YOR150W,YJL122W,1,17.877804,1.0,0.0009970089886337519,0.0
YOR150W,YKL009W,1,17.742435,1.0,0.0019940179772675037,0.0
YDR101C,YOR150W,1,16.933624,1.0,0.0029910269659012556,0.0
YOR063W,YER126C,1,16.71568,1.0,0.0039880359545350075,0.0
YOR150W,YNL110C,1,16.704575,1.0,0.004985044710338116,0.0
YOR272W,YOR150W,1,16.448778,1.0,0.005982053931802511,0.0
YOL144W,YER126C,1,16.443363,1.0,0.006979062687605619,0.0
YDR101C,YER126C,1,16.298777,1.0,0.007976071909070015,0.0
YDR101C,YGR220C,1,16.246874,1.0,0.008973080664873123,0.0
YOL144W,YKR081C,1,16.001934,1.0,0.009970089420676231,0.0
YOL144W,YDR101C,1,15.842584,1.0,0.010967099107801914,0.0
YOL144W,YHR170W,1,15.80265,1.0,0.011964107863605022,0.0
YAL025C,YPR102C,1,15.632576,1.0,0.01296111661940813,0.0
YOR150W,YGL078C,1,15.58959,1.0,0.013958125375211239,0.0
YGR245C,YLR340W,1,15.471094,1.0,0.014955134131014347,0.0
YPL211W,YER126C,1,15.446641,1.0,0.01595214381814003,0.0
YOL144W,YHR088W,1,15.38352,1.0,0.016949152573943138,0.0
YEL054C,YGR245C,1,15.248698,1.0,0.017946161329746246,0.0
YOL144W,YBR267W,1,15.241435,1.0,0.018943170085549355,0.0
YGL078C,YLR340W,1,15.2404175,1.0,0.019940178841352463,0.0
YOR150W,YER126C,1,15.219143,1.0,0.02093718759715557,0.0
YOR150W,YLR221C,1,15.107463,1.0,0.02193419821560383,0.0
YAL025C,YOL077C,1,15.09166,1.0,0.022931206971406937,0.0
YHR052W,YLR340W,1,15.005716,1.0,0.023928215727210045,0.0
YOR150W,YLL008W,1,14.980019,1.0,0.024925224483013153,0.0
YDR418W,YER126C,1,14.953476,1.0,0.02592223323881626,0.0
YER126C,YLR448W,1,14.94969,1.0,0.02691924199461937,0.0
YEL054C,YCL054W,1,14.941246,1.0,0.027916250750422478,0.0
YGR103W,YER126C,1,14.881861,1.0,0.028913259506225586,0.0
YOR272W,YER126C,1,14.729891,1.0,0.029910268262028694,0.0
YFL002C,YNL110C,1,14.72143,1.0,0.03090727888047695,0.0
