Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YAR042W,YMR162C,1,14.25644,1.0,0.0011074197245761752,0.0
YBR041W,YLL048C,1,8.622969,1.0,0.0022148394491523504,0.0
YOR011W,YDR051C,1,8.369989,1.0,0.003322259057313204,0.0
YLL048C,YGR037C,1,8.289701,1.0,0.004429678898304701,0.0
YAL026C,YGR037C,1,8.1984005,1.0,0.005537098739296198,0.0
YNR047W,YMR079W,1,7.9732094,1.0,0.006644518114626408,0.0
YPL006W,YPL145C,1,7.902376,1.0,0.007751937955617905,0.0
YGR037C,YKL188C,1,7.863305,1.0,0.008859357796609402,0.0
YHR001W,YMR079W,1,7.857062,1.0,0.009966777637600899,0.0
YHR001W,YIL013C,1,7.583483,1.0,0.011074197478592396,0.0
YOR049C,YPL145C,1,7.4714274,1.0,0.012181616388261318,0.0
YLL048C,YKR003W,1,7.426732,1.0,0.013289036229252815,0.0
YIL013C,YNL264C,1,7.389492,1.0,0.014396456070244312,0.0
YKL091C,YPL145C,1,7.2834005,1.0,0.01550387591123581,0.0
YOR011W,YDL046W,1,7.2474966,1.0,0.016611294820904732,0.0
YKL091C,YPR009W,1,7.154788,1.0,0.017718715593218803,0.0
YLL048C,YER120W,1,7.081546,1.0,0.018826134502887726,0.0
YDL019C,YKL188C,1,7.064145,1.0,0.019933555275201797,0.0
YOR011W,YOR317W,1,7.0356083,1.0,0.02104097418487072,0.0
YAR042W,YDL019C,1,6.984785,1.0,0.02214839495718479,0.0
YNR047W,YDR093W,1,6.975149,1.0,0.023255813866853714,0.0
YLL048C,YDR093W,1,6.963004,1.0,0.024363232776522636,0.0
YDL046W,YDL019C,1,6.9473605,1.0,0.025470653548836708,0.0
YLL048C,YAR042W,1,6.9065905,1.0,0.02657807245850563,0.0
YBR041W,YDL046W,1,6.8928013,1.0,0.027685493230819702,0.0
YKL091C,YKL188C,1,6.89102,1.0,0.028792912140488625,0.0
YLL048C,YDL019C,1,6.8229303,1.0,0.029900332912802696,0.0
YLR083C,YKL100C,0,6.793414,0.9642857313156128,0.029900332912802696,0.00011074197391280904
YBR169C,YKL081W,0,6.714128,0.931034505367279,0.029900332912802696,0.0002214839478256181
YIL013C,YHR073W,1,6.685706,0.9333333373069763,0.03100775182247162,0.0002214839478256181
YBR041W,YDR093W,1,6.654333,0.9354838728904724,0.03211517259478569,0.0002214839478256181
YKL091C,YHR073W,1,6.6081257,0.9375,0.033222589641809464,0.0002214839478256181
YER166W,YNL264C,1,6.5720806,0.939393937587738,0.034330010414123535,0.0002214839478256181
YNR047W,YCR094W,1,6.520118,0.9411764740943909,0.03543743118643761,0.0002214839478256181
YLR181C,YKL188C,1,6.519349,0.9428571462631226,0.03654485195875168,0.0002214839478256181
YJR150C,YKL188C,1,6.4945745,0.9444444179534912,0.03765226900577545,0.0002214839478256181
YMR079W,YKR003W,1,6.485208,0.9459459185600281,0.03875968977808952,0.0002214839478256181
YNL323W,YIL013C,1,6.4830728,0.9473684430122375,0.039867110550403595,0.0002214839478256181
YNR047W,YPL145C,1,6.478472,0.9487179517745972,0.04097452759742737,0.0002214839478256181
YKL091C,YJR150C,1,6.4652863,0.949999988079071,0.04208194836974144,0.0002214839478256181
YNR047W,YER120W,1,6.4611464,0.9512194991111755,0.04318936914205551,0.0002214839478256181
YNR047W,YBL020W,1,6.455009,0.9523809552192688,0.04429678991436958,0.0002214839478256181
YAR042W,YDR093W,1,6.436326,0.9534883499145508,0.045404206961393356,0.0002214839478256181
YNR047W,YKL091C,1,6.424878,0.9545454382896423,0.04651162773370743,0.0002214839478256181
YBR041W,YPL145C,1,6.405128,0.9555555582046509,0.0476190485060215,0.0002214839478256181
YNR047W,YKL188C,1,6.4017158,0.95652174949646,0.04872646555304527,0.0002214839478256181
YOR049C,YKL188C,1,6.37735,0.957446813583374,0.049833886325359344,0.0002214839478256181
YOR049C,YMR162C,1,6.362419,0.9583333134651184,0.050941307097673416,0.0002214839478256181
YOR317W,YPL145C,1,6.36117,0.9591836929321289,0.05204872786998749,0.0002214839478256181
YKL091C,YDL019C,1,6.3563747,0.9599999785423279,0.05315614491701126,0.0002214839478256181
YKL091C,YAR042W,1,6.3148804,0.9607843160629272,0.05426356568932533,0.0002214839478256181
YJR150C,YOR049C,1,6.309208,0.9615384340286255,0.055370986461639404,0.0002214839478256181
YDL046W,YNL264C,1,6.2685766,0.9622641801834106,0.05647840350866318,0.0002214839478256181
YOR011W,YLL048C,1,6.2262917,0.9629629850387573,0.05758582428097725,0.0002214839478256181
YPL006W,YDL019C,1,6.209981,0.9636363387107849,0.05869324505329132,0.0002214839478256181
YKL091C,YJR120W,1,6.1693115,0.9642857313156128,0.05980066582560539,0.0002214839478256181
YJR120W,YNL264C,1,6.127866,0.9649122953414917,0.060908082872629166,0.0002214839478256181
YBR041W,YJR150C,1,6.072077,0.9655172228813171,0.06201550364494324,0.0002214839478256181
YHR001W,YDL019C,1,6.0659695,0.9661017060279846,0.06312292069196701,0.0002214839478256181
YOR011W,YKR003W,1,6.050229,0.9666666388511658,0.06423034518957138,0.0002214839478256181
YPL006W,YJR120W,1,6.017976,0.9672130942344666,0.06533776223659515,0.0002214839478256181
YIL013C,YER120W,1,6.0177436,0.9677419066429138,0.06644517928361893,0.0002214839478256181
