Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YLR466W,YNL339C,1,14.817329,1.0,0.0009842519648373127,0.0
YER160C,YML045W,1,14.4140625,1.0,0.0019685039296746254,0.0
YGR296W,YDR545W,1,13.557013,1.0,0.002952755894511938,0.0
YJR027W,YML039W,1,13.004155,1.0,0.003937007859349251,0.0
YPL121C,YDR446W,1,12.959347,1.0,0.0049212598241865635,0.0
YPL283C,YER160C,1,12.774737,1.0,0.005905511789023876,0.0
YER190W,YNL339C,1,12.5257635,1.0,0.006889763753861189,0.0
YER138C,YHR214C-B,1,12.452333,1.0,0.007874015718698502,0.0
YLR467W,YBL005W-B,1,12.214895,1.0,0.008858268149197102,0.0
YER160C,YBL100W-B,1,11.6629505,1.0,0.009842519648373127,0.0
YHR157W,YDR446W,1,11.516964,1.0,0.010826772078871727,0.0
YDL101C,YIL132C,1,11.494126,1.0,0.011811023578047752,0.0
YMR045C,YHR214C-B,1,11.33284,1.0,0.012795276008546352,0.0
YPL283C,YBR073W,1,11.235741,1.0,0.013779527507722378,0.0
YER160C,YHR039C,1,10.897916,1.0,0.014763779938220978,0.0
YLR467W,YLR383W,1,10.876085,1.0,0.015748031437397003,0.0
YJL208C,YML128C,1,10.718143,1.0,0.01673228293657303,0.0
YPR164W,YBL005W-B,1,10.677993,1.0,0.017716536298394203,0.0
YBR012W-B,YDR078C,1,10.606421,1.0,0.01870078779757023,0.0
YMR050C,YHR214C-B,1,10.481913,1.0,0.019685039296746254,0.0
YLR135W,YHR157W,1,10.447878,1.0,0.02066929079592228,0.0
YDR545W,YOR144C,1,10.428698,1.0,0.021653544157743454,0.0
YMR045C,YDR180W,1,10.401542,1.0,0.02263779565691948,0.0
YER044C-A,YFL003C,1,10.334896,1.0,0.023622047156095505,0.0
YCL019W,YBR012W-B,1,10.315786,1.0,0.02460629865527153,0.0
YCL019W,YJR027W,1,10.236708,1.0,0.025590552017092705,0.0
YGR296W,YOR269W,0,10.176987,0.9629629850387573,0.025590552017092705,0.00010016025771619752
YPR018W,YOL034W,1,10.161273,0.9642857313156128,0.02657480351626873,0.00010016025771619752
YER138C,YFR055W,1,10.16007,0.9655172228813171,0.027559055015444756,0.00010016025771619752
YLR263W,YGL033W,1,10.144185,0.9666666388511658,0.02854330651462078,0.00010016025771619752
YER138C,YGL033W,1,10.096696,0.9677419066429138,0.029527559876441956,0.00010016025771619752
YER044C-A,YKL156W,0,10.0792885,0.9375,0.029527559876441956,0.00020032051543239504
YGR296W,YOL034W,1,10.072998,0.939393937587738,0.03051181137561798,0.00020032051543239504
YLR320W,YLR376C,1,9.998882,0.9411764740943909,0.031496062874794006,0.00020032051543239504
YML039W,YBL005W-B,1,9.990691,0.9428571462631226,0.03248031437397003,0.00020032051543239504
YDR098C-B,YOR192C-B,1,9.871885,0.9444444179534912,0.03346456587314606,0.00020032051543239504
YML023C,YER038C,1,9.834068,0.9459459185600281,0.03444881737232208,0.00020032051543239504
YBL005W-B,YPR158W-B,1,9.829283,0.9473684430122375,0.035433072596788406,0.00020032051543239504
YGL127C,YBR012W-B,1,9.708697,0.9487179517745972,0.03641732409596443,0.00020032051543239504
YOL091W,YLR307W,0,9.707962,0.925000011920929,0.03641732409596443,0.0003004807804245502
YER160C,YDR316W-B,1,9.636484,0.9268292784690857,0.03740157559514046,0.0003004807804245502
YER160C,YGR161C-D,1,9.611076,0.9285714030265808,0.03838582709431648,0.0003004807804245502
YMR045C,YER095W,1,9.595083,0.930232584476471,0.03937007859349251,0.0003004807804245502
YJL090C,YDR545W,1,9.5449915,0.9318181872367859,0.04035433009266853,0.0003004807804245502
YHR153C,YJL113W,1,9.544212,0.9333333373069763,0.04133858159184456,0.0003004807804245502
YBL005W-B,YDR545W,1,9.535909,0.9347826242446899,0.042322833091020584,0.0003004807804245502
YKL143W,YDR171W,0,9.518789,0.914893627166748,0.042322833091020584,0.0004006410308647901
YML045W,YOR144C,1,9.518577,0.9166666865348816,0.04330708831548691,0.0004006410308647901
YFL002W-A,YGR296W,1,9.50515,0.918367326259613,0.04429133981466293,0.0004006410308647901
YKR099W,YMR078C,1,9.473001,0.9200000166893005,0.04527559131383896,0.0004006410308647901
YLR466W,YPR164W,1,9.463337,0.9215686321258545,0.046259842813014984,0.0004006410308647901
YDR540C,YML045W,1,9.439685,0.9230769276618958,0.04724409431219101,0.0004006410308647901
YOR142W-B,YBR012W-B,1,9.4055,0.9245283007621765,0.048228345811367035,0.0004006410308647901
YER095W,YAR009C,1,9.335692,0.9259259104728699,0.04921259731054306,0.0004006410308647901
YDR261C-D,YGR161C-D,1,9.330666,0.9272727370262146,0.050196848809719086,0.0004006410308647901
YCL019W,YER095W,1,9.326612,0.9285714030265808,0.05118110403418541,0.0004006410308647901
YCL019W,YDL101C,1,9.322826,0.9298245906829834,0.052165355533361435,0.0004006410308647901
YLR320W,YER190W,1,9.296339,0.931034505367279,0.05314960703253746,0.0004006410308647901
YPL257W-B,YBR012W-B,1,9.262833,0.9322034120559692,0.054133858531713486,0.0004006410308647901
YJL051W,YMR050C,1,9.25439,0.9333333373069763,0.05511811003088951,0.0004006410308647901
YJL173C,YDL164C,1,9.2496395,0.9344262480735779,0.056102361530065536,0.0004006410308647901
YBR160W,YCL019W,1,9.246696,0.9354838728904724,0.05708661302924156,0.0004006410308647901
YER160C,YPL257W-B,1,9.244951,0.9365079402923584,0.05807086452841759,0.0004006410308647901
YML061C,YAR009C,1,9.211893,0.9375,0.05905511975288391,0.0004006410308647901
YLR157C-B,YBR012W-B,1,9.205853,0.9384615421295166,0.060039371252059937,0.0004006410308647901
YJL173C,YDR545W,1,9.205381,0.939393937587738,0.06102362275123596,0.0004006410308647901
YOL104C,YCR092C,1,9.203697,0.9402984976768494,0.06200787425041199,0.0004006410308647901
YHR214C-B,YHR079C-A,1,9.189218,0.9411764740943909,0.06299212574958801,0.0004006410308647901
YDR261C-D,YBL005W-B,1,9.188035,0.9420289993286133,0.06397637724876404,0.0004006410308647901
YHR157W,YMR133W,1,9.173862,0.9428571462631226,0.06496062874794006,0.0004006410308647901
YNL312W,YML045W,1,9.161021,0.9436619877815247,0.06594488024711609,0.0004006410308647901
YPL283C,YBR279W,1,9.14345,0.9444444179534912,0.06692913174629211,0.0004006410308647901
YML039W,YPR158C-D,1,9.136638,0.9452054500579834,0.06791338324546814,0.0004006410308647901
YLR320W,YGL033W,1,9.131437,0.9459459185600281,0.06889763474464417,0.0004006410308647901
YLR157C-B,YPL164C,1,9.125599,0.9466666579246521,0.06988188624382019,0.0004006410308647901
YGL127C,YLR383W,1,9.094069,0.9473684430122375,0.07086614519357681,0.0004006410308647901
YFL008W,YAR009C,0,9.086128,0.9350649118423462,0.07086614519357681,0.0005008013104088604
YDR261C-D,YBR012W-B,1,9.080533,0.9358974099159241,0.07185039669275284,0.0005008013104088604
YGL173C,YPL121C,1,9.0804205,0.9367088675498962,0.07283464819192886,0.0005008013104088604
YDR098C-B,YLR157C-B,1,9.067262,0.9375,0.07381889969110489,0.0005008013104088604
YMR224C,YOR144C,1,9.0569725,0.9382715821266174,0.07480315119028091,0.0005008013104088604
YLR343W,YPL021W,0,9.050528,0.9268292784690857,0.07480315119028091,0.0006009615608491004
YGR296W,YLR383W,1,9.045862,0.9277108311653137,0.07578740268945694,0.0006009615608491004
