Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YHR020W,YKL016C,1,10.354694,1.0,0.000994035741314292,0.0
YCR016W,YML100W,0,9.959237,0.5,0.000994035741314292,0.00010006003867601976
YJL177W,YBL078C,0,9.153723,0.3333333432674408,0.000994035741314292,0.00020012007735203952
YDR341C,YOR215C,1,9.096356,0.5,0.001988071482628584,0.00020012007735203952
YBR056W,YGL076C,0,8.936406,0.4000000059604645,0.001988071482628584,0.00030018010875210166
YAL003W,YLR178C,0,8.904751,0.3333333432674408,0.001988071482628584,0.00040024015470407903
YBL099W,YNL247W,1,8.8073,0.4285714328289032,0.0029821074567735195,0.00040024015470407903
YKL006W,YKL026C,0,8.400711,0.375,0.0029821074567735195,0.0005003002006560564
YHR064C,YGR088W,0,8.15762,0.3333333432674408,0.0029821074567735195,0.0006003602175042033
YGR124W,YOR215C,1,8.121451,0.4000000059604645,0.003976142965257168,0.0006003602175042033
YJL177W,YJL057C,0,8.109057,0.3636363744735718,0.003976142965257168,0.0007004202343523502
YGL123W,YLL026W,0,8.101431,0.3333333432674408,0.003976142965257168,0.0008004803094081581
YHR019C,YOR215C,1,8.097453,0.38461539149284363,0.004970178939402103,0.0008004803094081581
YGR264C,YEL012W,1,7.9910183,0.4285714328289032,0.005964214913547039,0.0008004803094081581
YBL024W,YNL015W,0,7.8187466,0.4000000059604645,0.005964214913547039,0.000900540326256305
YKL016C,YNL247W,1,7.808441,0.4375,0.006958250422030687,0.000900540326256305
YKL016C,YGL234W,1,7.6281176,0.47058823704719543,0.007952285930514336,0.000900540326256305
YCL035C,YPL212C,0,7.498109,0.4444444477558136,0.007952285930514336,0.0010006004013121128
YGR185C,YBL099W,1,7.4341736,0.4736842215061188,0.008946321904659271,0.0010006004013121128
YBR169C,YIL078W,0,7.4053116,0.44999998807907104,0.008946321904659271,0.0011006604181602597
YDR001C,YOR293W,0,7.3801475,0.4285714328289032,0.008946321904659271,0.0012007204350084066
YNL162W,YLR189C,0,7.3693914,0.40909090638160706,0.008946321904659271,0.0013007804518565536
YDR178W,YKL120W,0,7.290399,0.3913043439388275,0.008946321904659271,0.0014008404687047005
YGR264C,YDL004W,1,7.2603483,0.4166666567325592,0.009940357878804207,0.0014008404687047005
YMR297W,YIL053W,0,7.2364273,0.4000000059604645,0.009940357878804207,0.0015009004855528474
YBL099W,YJL148W,0,7.2251225,0.38461539149284363,0.009940357878804207,0.0016009606188163161
YER006W,YDR513W,0,7.1843925,0.37037035822868347,0.009940357878804207,0.001701020635664463
YPL160W,YPL271W,1,7.1595187,0.3928571343421936,0.010934393852949142,0.001701020635664463
YKL099C,YBR054W,0,7.138564,0.37931033968925476,0.010934393852949142,0.00180108065251261
YMR197C,YJR123W,0,7.0366235,0.36666667461395264,0.010934393852949142,0.0019011406693607569
YHR128W,YDL091C,0,6.9970527,0.35483869910240173,0.010934393852949142,0.0020012008026242256
YEL054C,YPR148C,0,6.9811544,0.34375,0.010934393852949142,0.0021012607030570507
YKL216W,YIL107C,0,6.9596004,0.3333333432674408,0.010934393852949142,0.0022013208363205194
YNL067W,YLR356W,0,6.8729286,0.3235294222831726,0.010934393852949142,0.0023013807367533445
YKR067W,YNL112W,0,6.8614492,0.3142857253551483,0.010934393852949142,0.0024014408700168133
YMR217W,YJL164C,0,6.8610992,0.3055555522441864,0.010934393852949142,0.002501501003280282
YDR313C,YLR060W,1,6.8596973,0.3243243098258972,0.011928429827094078,0.002501501003280282
YPR010C,YBL078C,0,6.8509274,0.31578946113586426,0.011928429827094078,0.002601560903713107
YHL001W,YGL006W,0,6.8366337,0.3076923191547394,0.011928429827094078,0.002701621036976576
YPL097W,YMR217W,1,6.7696667,0.32499998807907104,0.012922464869916439,0.002701621036976576
YJL080C,YLR205C,0,6.7527065,0.31707316637039185,0.012922464869916439,0.002801680937409401
YDL174C,YHR089C,0,6.7426414,0.3095238208770752,0.012922464869916439,0.0029017410706728697
YGL156W,YHR196W,0,6.7175455,0.302325576543808,0.012922464869916439,0.0030018009711056948
YDR023W,YPL271W,1,6.6886625,0.3181818127632141,0.013916500844061375,0.0030018009711056948
YDR298C,YLR060W,1,6.67039,0.3333333432674408,0.01491053681820631,0.0030018009711056948
YBR121C,YPL078C,1,6.661483,0.3478260934352875,0.01590457186102867,0.0030018009711056948
YDR037W,YHR171W,1,6.6231427,0.3617021143436432,0.016898607835173607,0.0030018009711056948
YIL113W,YOL097C,0,6.609743,0.3541666567325592,0.016898607835173607,0.0031018611043691635
YGR174C,YCL054W,0,6.596772,0.3469387888908386,0.016898607835173607,0.0032019212376326323
YMR110C,YJL136C,0,6.5780425,0.3400000035762787,0.016898607835173607,0.0033019811380654573
YGL171W,YBR214W,0,6.543746,0.3333333432674408,0.016898607835173607,0.003402041271328926
YPL271W,YLR249W,0,6.498627,0.32692307233810425,0.016898607835173607,0.003502101171761751
YBL072C,YIL111W,0,6.423748,0.3207547068595886,0.016898607835173607,0.00360216130502522
YBL030C,YOL056W,0,6.422022,0.31481480598449707,0.016898607835173607,0.0037022214382886887
YOL077C,YBL099W,0,6.400224,0.30909091234207153,0.016898607835173607,0.0038022813387215137
YKL056C,YHL032C,0,6.399271,0.3035714328289032,0.016898607835173607,0.0039023414719849825
YOL052C-A,YLR432W,0,6.3863173,0.2982456088066101,0.016898607835173607,0.004002401605248451
YPR145W,YDR377W,1,6.377808,0.3103448152542114,0.017892643809318542,0.004002401605248451
YGR124W,YGL087C,1,6.3302727,0.32203391194343567,0.018886679783463478,0.004002401605248451
YDL150W,YBL099W,0,6.3231707,0.3166666626930237,0.018886679783463478,0.004102461505681276
YHR128W,YCR036W,0,6.3083973,0.31147539615631104,0.018886679783463478,0.004202521406114101
YKL081W,YPL156C,0,6.3034534,0.30645161867141724,0.018886679783463478,0.004302581772208214
YFR024C-A,YDL060W,0,6.276351,0.30158731341362,0.018886679783463478,0.004402641672641039
YGL245W,YAL054C,1,6.2720933,0.3125,0.019880715757608414,0.004402641672641039
YGR245C,YKL035W,0,6.260231,0.3076923191547394,0.019880715757608414,0.004502701573073864
YHR017W,YKL056C,0,6.260089,0.3030303120613098,0.019880715757608414,0.004602761473506689
YDR341C,YML042W,0,6.2533655,0.2985074520111084,0.019880715757608414,0.0047028218396008015
YHR171W,YDR119W,0,6.2215242,0.29411765933036804,0.019880715757608414,0.0048028817400336266
YPR047W,YDR341C,1,6.1825624,0.30434781312942505,0.02087475173175335,0.0048028817400336266
YPR081C,YGR124W,1,6.181402,0.3142857253551483,0.021868787705898285,0.0048028817400336266
YKL034W,YDR341C,1,6.1804175,0.3239436745643616,0.02286282368004322,0.0048028817400336266
YLR295C,YLR060W,1,6.178366,0.3333333432674408,0.023856859654188156,0.0048028817400336266
YGR208W,YPL186C,0,6.16726,0.3287671208381653,0.023856859654188156,0.004902941640466452
YBR084W,YEL012W,1,6.1386166,0.3378378450870514,0.024850893765687943,0.004902941640466452
YLR345W,YLR333C,0,6.1305475,0.3333333432674408,0.024850893765687943,0.005003002006560564
YLR299W,YJL183W,0,6.1156693,0.32894736528396606,0.024850893765687943,0.005103061906993389
YGL029W,YIL033C,0,6.113409,0.3246753215789795,0.024850893765687943,0.005203121807426214
YER053C,YNL061W,0,6.0994678,0.3205128312110901,0.024850893765687943,0.005303181707859039
YML106W,YLR248W,0,6.0807304,0.3164556920528412,0.024850893765687943,0.005403242073953152
YBL078C,YHR141C,0,6.07448,0.3125,0.024850893765687943,0.005503301974385977
YJR121W,YHR020W,1,6.070325,0.32098764181137085,0.025844929739832878,0.005503301974385977
YCR072C,YBL078C,0,6.066375,0.31707316637039185,0.025844929739832878,0.005603361874818802
YGR208W,YGR194C,0,6.037591,0.3132530152797699,0.025844929739832878,0.005703422240912914
YOR335C,YKL016C,1,6.0226254,0.3214285671710968,0.026838965713977814,0.005703422240912914
YML070W,YJL122W,0,6.0033216,0.3176470696926117,0.026838965713977814,0.005803482141345739
YBR082C,YHR020W,1,5.976617,0.3255814015865326,0.02783300168812275,0.005803482141345739
YIL148W,YLR205C,0,5.950042,0.3218390941619873,0.02783300168812275,0.0059035420417785645
YGR128C,YML004C,0,5.929182,0.3181818127632141,0.02783300168812275,0.0060036019422113895
YNL124W,YBR056W,0,5.9258056,0.31460675597190857,0.02783300168812275,0.006103662308305502
YOR096W,YDR330W,0,5.9113083,0.31111112236976624,0.02783300168812275,0.006203722208738327
YBL099W,YBL027W,0,5.910428,0.3076923191547394,0.02783300168812275,0.006303782109171152
YJL050W,YGL047W,0,5.8918943,0.30434781312942505,0.02783300168812275,0.0064038424752652645
YGL078C,YLR259C,0,5.88192,0.301075279712677,0.02783300168812275,0.00650390237569809
YPR003C,YBL027W,0,5.8818426,0.2978723347187042,0.02783300168812275,0.006603962276130915
YER015W,YPL160W,1,5.873103,0.3052631616592407,0.028827037662267685,0.006603962276130915
YIR026C,YIL107C,0,5.8613644,0.3020833432674408,0.028827037662267685,0.006704022642225027
YJR041C,YGR086C,0,5.826889,0.2989690601825714,0.028827037662267685,0.006804082542657852
YLR372W,YHR110W,0,5.7945824,0.29591837525367737,0.028827037662267685,0.006904142443090677
YMR056C,YHR170W,0,5.774147,0.2929292917251587,0.028827037662267685,0.007004202343523502
YDL004W,YMR217W,1,5.773399,0.30000001192092896,0.02982107363641262,0.007004202343523502
YGR280C,YML091C,0,5.7676244,0.2970297038555145,0.02982107363641262,0.007104262709617615
YDR294C,YBL087C,0,5.737773,0.29411765933036804,0.02982107363641262,0.00720432261005044
YLR406C,YJL057C,0,5.7370744,0.291262149810791,0.02982107363641262,0.007304382510483265
YCR031C,YER004W,0,5.72492,0.2884615361690521,0.02982107363641262,0.007404442876577377
YNL220W,YKL016C,1,5.7133827,0.29523810744285583,0.030815109610557556,0.007404442876577377
YJL050W,YGL187C,0,5.690742,0.2924528419971466,0.030815109610557556,0.007504502777010202
YOL071W,YPL183C,0,5.6902857,0.2897196114063263,0.030815109610557556,0.0076045626774430275
YBL076C,YDR313C,1,5.674819,0.29629629850387573,0.03180914372205734,0.0076045626774430275
YLR175W,YGR289C,0,5.6660266,0.29357796907424927,0.03180914372205734,0.007704622577875853
YDR087C,YIL107C,0,5.6647787,0.290909081697464,0.03180914372205734,0.007804682943969965
YDL075W,YLR201C,0,5.6625724,0.28828829526901245,0.03180914372205734,0.00790474284440279
YNL209W,YDR330W,0,5.636981,0.2857142984867096,0.03180914372205734,0.008004803210496902
YPR033C,YDL004W,1,5.624921,0.29203540086746216,0.03280318155884743,0.008004803210496902
YMR217W,YGR244C,1,5.6217833,0.2982456088066101,0.033797215670347214,0.008004803210496902
YDR436W,YER126C,0,5.6177306,0.2956521809101105,0.033797215670347214,0.00810486264526844
YOL120C,YHL019C,0,5.615202,0.2931034564971924,0.033797215670347214,0.008204923011362553
YPL097W,YDR341C,1,5.6108923,0.29914531111717224,0.0347912535071373,0.008204923011362553
YNL115C,YMR230W,0,5.5979395,0.29661017656326294,0.0347912535071373,0.008304983377456665
YNL220W,YJR121W,1,5.585139,0.3025210201740265,0.035785287618637085,0.008304983377456665
YPR110C,YDR358W,0,5.5833387,0.30000001192092896,0.035785287618637085,0.008405042812228203
YHR104W,YOL121C,0,5.566127,0.2975206673145294,0.035785287618637085,0.008505103178322315
YDL082W,YOL110W,0,5.5332875,0.2950819730758667,0.035785287618637085,0.008605163544416428
YPL104W,YDR341C,1,5.4994283,0.3008130192756653,0.03677932545542717,0.008605163544416428
YIR003W,YOR293W,0,5.482478,0.2983871102333069,0.03677932545542717,0.008705222979187965
YML100W,YBR162W-A,0,5.468172,0.29600000381469727,0.03677932545542717,0.008805283345282078
YDR100W,YJL050W,0,5.4596586,0.2936508059501648,0.03677932545542717,0.008905342780053616
YJL042W,YGL135W,0,5.4230742,0.29133859276771545,0.03677932545542717,0.009005403146147728
YBL076C,YCR024C,1,5.4124765,0.296875,0.037773359566926956,0.009005403146147728
YPR066W,YMR217W,1,5.3938127,0.302325576543808,0.03876739740371704,0.009005403146147728
YPL266W,YDR342C,0,5.3918915,0.30000001192092896,0.03876739740371704,0.00910546351224184
YBL027W,YNL331C,0,5.3910913,0.2977099120616913,0.03876739740371704,0.009205522947013378
YOR273C,YAR008W,0,5.383954,0.2954545319080353,0.03876739740371704,0.00930558331310749
YFR053C,YNR012W,0,5.381522,0.29323309659957886,0.03876739740371704,0.009405643679201603
YGR154C,YBL027W,0,5.374629,0.29104477167129517,0.03876739740371704,0.00950570311397314
YGR264C,YLR295C,1,5.3424788,0.29629629850387573,0.03976143151521683,0.00950570311397314
YGR057C,YPL220W,0,5.338723,0.29411765933036804,0.03976143151521683,0.009605763480067253
YOR005C,YBL087C,0,5.3365135,0.29197078943252563,0.03976143151521683,0.009705823846161366
YDL018C,YDL130W,0,5.3267817,0.28985506296157837,0.03976143151521683,0.009805883280932903
YDL018C,YOR272W,0,5.3218174,0.28776979446411133,0.03976143151521683,0.009905943647027016
YDR316W,YLR367W,0,5.3132467,0.2857142984867096,0.03976143151521683,0.010006004013121128
YGL147C,YOL126C,0,5.308534,0.283687949180603,0.03976143151521683,0.010106063447892666
YDR258C,YNL112W,0,5.29796,0.28169015049934387,0.03976143151521683,0.010206123813986778
YER044C,YKR092C,0,5.2966986,0.279720276594162,0.03976143151521683,0.010306183248758316
YPL160W,YGL087C,1,5.2963486,0.2847222089767456,0.040755465626716614,0.010306183248758316
YBL072C,YER054C,0,5.292214,0.2827586233615875,0.040755465626716614,0.010406243614852428
YBL099W,YDR390C,1,5.270771,0.2876712381839752,0.0417495034635067,0.010406243614852428
YNL061W,YBR035C,0,5.2685156,0.2857142984867096,0.0417495034635067,0.01050630398094654
YML024W,YPR155C,0,5.26805,0.28378379344940186,0.0417495034635067,0.010606363415718079
YML131W,YGR124W,0,5.2655935,0.281879186630249,0.0417495034635067,0.010706423781812191
YGR094W,YJL137C,0,5.2610493,0.2800000011920929,0.0417495034635067,0.010806484147906303
YDR372C,YOR374W,0,5.260064,0.2781457006931305,0.0417495034635067,0.010906543582677841
YDL124W,YOR234C,0,5.2448397,0.2763157784938812,0.0417495034635067,0.011006603948771954
YGL229C,YOL021C,0,5.2417355,0.27450981736183167,0.0417495034635067,0.011106664314866066
YKL148C,YDR212W,0,5.238659,0.27272728085517883,0.0417495034635067,0.011206723749637604
YNL061W,YBR201W,0,5.224439,0.2709677517414093,0.0417495034635067,0.011306784115731716
YGR124W,YMR022W,1,5.206999,0.2756410241127014,0.042743537575006485,0.011306784115731716
YOR096W,YDR219C,0,5.197391,0.2738853394985199,0.042743537575006485,0.011406844481825829
YML026C,YGL205W,0,5.195649,0.2721518874168396,0.042743537575006485,0.011506903916597366
YML091C,YJL014W,0,5.1928377,0.2704402506351471,0.042743537575006485,0.011606964282691479
YMR154C,YBR191W,0,5.1867733,0.26875001192092896,0.042743537575006485,0.011707024648785591
YGR287C,YBR084W,0,5.1858845,0.26708075404167175,0.042743537575006485,0.011807084083557129
YHR194W,YPL079W,0,5.182275,0.26543208956718445,0.042743537575006485,0.011907144449651241
YPL004C,YNL132W,0,5.182165,0.2638036906719208,0.042743537575006485,0.012007203884422779
YOR142W,YMR217W,1,5.1810994,0.26829269528388977,0.04373757541179657,0.012007203884422779
