Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YKL143W,YNL175C,0,6.2002244,0.0,0.0,0.00010005002695834264
YJL033W,YMR128W,1,5.9614415,0.5,0.0009950249223038554,0.00010005002695834264
YNR053C,YCR016W,0,5.8337574,0.3333333432674408,0.0009950249223038554,0.00020010005391668528
YNR038W,YMR128W,1,5.813582,0.5,0.001990049844607711,0.00020010005391668528
YJL033W,YLR276C,1,5.7210336,0.6000000238418579,0.0029850746504962444,0.00020010005391668528
YLR029C,YLR276C,0,5.5654655,0.5,0.0029850746504962444,0.0003001500735990703
YDR299W,YKL078W,0,5.5462327,0.4285714328289032,0.0029850746504962444,0.00040020010783337057
YMR290C,YGL171W,1,5.5051208,0.5,0.003980099689215422,0.00040020010783337057
YLR435W,YDR025W,0,5.463395,0.4444444477558136,0.003980099689215422,0.0005002501420676708
YBR191W,YAL059W,0,5.452101,0.4000000059604645,0.003980099689215422,0.0006003001471981406
YDR465C,YGR251W,0,5.4338927,0.3636363744735718,0.003980099689215422,0.0007003501523286104
YDL209C,YOR004W,0,5.3169684,0.3333333432674408,0.003980099689215422,0.0008004002156667411
YPR190C,YOL120C,0,5.2060704,0.3076923191547394,0.003980099689215422,0.0009004502207972109
YKR094C,YLR409C,0,5.172387,0.2857142984867096,0.003980099689215422,0.0010005002841353416
YLR167W,YIL096C,0,5.002246,0.2666666805744171,0.003980099689215422,0.0011005502892658114
YKL082C,YLR264W,0,4.979981,0.25,0.003980099689215422,0.0012006002943962812
YGL171W,YMR128W,1,4.9665008,0.29411765933036804,0.004975124262273312,0.0012006002943962812
YNL061W,YNL301C,0,4.9309325,0.2777777910232544,0.004975124262273312,0.001300650299526751
YJL033W,YFL002C,1,4.9301915,0.31578946113586426,0.005970149300992489,0.001300650299526751
YDR245W,YML098W,0,4.9214816,0.30000001192092896,0.005970149300992489,0.0014007003046572208
YJR097W,YDR087C,0,4.901073,0.2857142984867096,0.005970149300992489,0.0015007504262030125
YHR052W,YOR252W,0,4.8573093,0.27272728085517883,0.005970149300992489,0.0016008004313334823
YDR243C,YFR038W,1,4.839475,0.30434781312942505,0.006965174339711666,0.0016008004313334823
YJL033W,YHR065C,1,4.8287044,0.3333333432674408,0.007960199378430843,0.0016008004313334823
YLR419W,YGL078C,1,4.806015,0.36000001430511475,0.008955223485827446,0.0016008004313334823
YMR128W,YNR011C,1,4.7849965,0.38461539149284363,0.009950248524546623,0.0016008004313334823
YGR145W,YLL008W,0,4.764528,0.37037035822868347,0.009950248524546623,0.001700850436463952
YIL069C,YNL119W,0,4.699219,0.3571428656578064,0.009950248524546623,0.0018009004415944219
YJL098W,YDR449C,0,4.696053,0.3448275923728943,0.009950248524546623,0.0019009504467248917
YNR038W,YGL171W,1,4.676767,0.36666667461395264,0.0109452735632658,0.0019009504467248917
YGL135W,YKL082C,0,4.649656,0.35483869910240173,0.0109452735632658,0.0020010005682706833
YOL080C,YHR090C,0,4.6124225,0.34375,0.0109452735632658,0.0021010504569858313
YBR247C,YKL110C,0,4.572788,0.3333333432674408,0.0109452735632658,0.002201100578531623
YER082C,YIL096C,0,4.544868,0.3235294222831726,0.0109452735632658,0.002301150467246771
YBR245C,YGL078C,1,4.511849,0.34285715222358704,0.011940298601984978,0.002301150467246771
YGL189C,YPL146C,0,4.4150705,0.3333333432674408,0.011940298601984978,0.0024012005887925625
YGL030W,YOL080C,0,4.400821,0.3243243098258972,0.011940298601984978,0.002501250710338354
YDR075W,YDR110W,0,4.3739285,0.31578946113586426,0.011940298601984978,0.002601300599053502
YOR025W,YOL066C,0,4.373692,0.3076923191547394,0.011940298601984978,0.0027013507205992937
YGL120C,YMR128W,1,4.3705792,0.32499998807907104,0.012935323640704155,0.0027013507205992937
YBR247C,YBR267W,0,4.365784,0.31707316637039185,0.012935323640704155,0.0028014006093144417
YDR075W,YDR023W,0,4.364716,0.3095238208770752,0.012935323640704155,0.0029014507308602333
YOR076C,YBL028C,0,4.358761,0.302325576543808,0.012935323640704155,0.003001500852406025
YJL050W,YFL002C,1,4.350779,0.3181818127632141,0.013930348679423332,0.003001500852406025
YOR096W,YPL226W,0,4.331496,0.31111112236976624,0.013930348679423332,0.003101550741121173
YMR194W,YIL019W,0,4.3111873,0.30434781312942505,0.013930348679423332,0.0032016008626669645
YOR262W,YMR229C,0,4.3012114,0.2978723347187042,0.013930348679423332,0.0033016507513821125
YMR290C,YJL050W,1,4.2967825,0.3125,0.014925372786819935,0.0033016507513821125
YGR296W,YGL171W,1,4.2918134,0.3265306055545807,0.015920398756861687,0.0033016507513821125
YJL190C,YMR211W,0,4.28141,0.3199999928474426,0.015920398756861687,0.003401700872927904
YDR449C,YNL050C,0,4.246143,0.3137255012989044,0.015920398756861687,0.003501750761643052
YGL061C,YLR009W,0,4.235949,0.3076923191547394,0.015920398756861687,0.0036018008831888437
YNR038W,YLL008W,1,4.2085633,0.3207547068595886,0.016915423795580864,0.0036018008831888437
YLR467W,YLL067C,1,4.2047644,0.3333333432674408,0.017910446971654892,0.0036018008831888437
YMR290C,YAL019W,1,4.2038126,0.34545454382896423,0.01890547201037407,0.0036018008831888437
YGL078C,YJL033W,1,4.1934857,0.3571428656578064,0.019900497049093246,0.0036018008831888437
YNL095C,YML081W,0,4.1748004,0.35087719559669495,0.019900497049093246,0.0037018510047346354
YLR150W,YNL110C,0,4.1550965,0.3448275923728943,0.019900497049093246,0.0038019008934497833
YBR142W,YHR065C,1,4.1438694,0.35593220591545105,0.020895522087812424,0.0038019008934497833
YOR009W,YMR211W,0,4.140193,0.3499999940395355,0.020895522087812424,0.003901951014995575
YPL090C,YIL130W,0,4.1321845,0.3442623019218445,0.020895522087812424,0.004002001136541367
YKR024C,YMR128W,1,4.120622,0.35483869910240173,0.0218905471265316,0.004002001136541367
YGL120C,YLR276C,1,4.108055,0.3650793731212616,0.022885572165250778,0.004002001136541367
YBR257W,YKR056W,0,4.0903144,0.359375,0.022885572165250778,0.004102051258087158
YHR169W,YFR038W,1,4.064917,0.3692307770252228,0.023880597203969955,0.004102051258087158
YGR296W,YGL064C,1,4.0647473,0.3787878751754761,0.024875622242689133,0.004102051258087158
YPL198W,YMR239C,0,4.054817,0.3731343150138855,0.024875622242689133,0.0042021009139716625
YFL001W,YKL021C,0,4.0406976,0.36764705181121826,0.024875622242689133,0.004302151035517454
YNL207W,YBL024W,0,4.0179024,0.36231884360313416,0.024875622242689133,0.004402201157063246
YAL019W,YKL078W,1,4.0130544,0.37142857909202576,0.02587064728140831,0.004402201157063246
YMR290C,YLL008W,1,4.0124145,0.3802816867828369,0.026865672320127487,0.004402201157063246
YLR073C,YOR151C,0,4.010279,0.375,0.026865672320127487,0.004502251278609037
YIL126W,YGL078C,1,4.003879,0.3835616409778595,0.027860697358846664,0.004502251278609037
YHR070W,YBL039C,0,3.9988108,0.37837839126586914,0.027860697358846664,0.004602300934493542
YGL147C,YDR146C,0,3.996716,0.3733333349227905,0.027860697358846664,0.004702351056039333
YLR419W,YLL008W,1,3.9870687,0.3815789520740509,0.028855720534920692,0.004702351056039333
YAL019W,YLR276C,1,3.984775,0.3896103799343109,0.02985074557363987,0.004702351056039333
YLL008W,YGL201C,1,3.9829412,0.39743590354919434,0.030845770612359047,0.004702351056039333
YIL150C,YGR251W,0,3.9723902,0.39240506291389465,0.030845770612359047,0.004802401177585125
YBR237W,YGL171W,1,3.9667969,0.4000000059604645,0.03184079751372337,0.004802401177585125
YML036W,YOL077C,0,3.9585462,0.395061731338501,0.03184079751372337,0.004902451299130917
YJR097W,YLR264W,0,3.930437,0.39024388790130615,0.03184079751372337,0.005002501420676708
YBR245C,YJL050W,1,3.9288774,0.39759036898612976,0.03283582255244255,0.005002501420676708
YKR038C,YHL026C,0,3.9160419,0.3928571343421936,0.03283582255244255,0.0051025510765612125
YGL050W,YLR145W,0,3.9127145,0.38823530077934265,0.03283582255244255,0.005202601198107004
YML061C,YJL050W,1,3.9061732,0.39534884691238403,0.03383084759116173,0.005202601198107004
YDR398W,YDL133C-A,0,3.90349,0.39080458879470825,0.03383084759116173,0.005302651319652796
YDL082W,YDL031W,0,3.8922892,0.3863636255264282,0.03383084759116173,0.005402701441198587
YOR294W,YMR213W,0,3.88588,0.3820224702358246,0.03383084759116173,0.005502751562744379
YGR296W,YER164W,1,3.8512275,0.3888888955116272,0.03482586890459061,0.005502751562744379
YOL120C,YMR290C,0,3.8489804,0.38461539149284363,0.03482586890459061,0.005602801218628883
YCL029C,YLR276C,0,3.8486967,0.3804347813129425,0.03482586890459061,0.005702851340174675
YKR024C,YLR276C,1,3.8474488,0.3870967626571655,0.035820893943309784,0.005702851340174675
YMR176W,YDL247W,0,3.8450122,0.38297873735427856,0.035820893943309784,0.005802901461720467
YGL189C,YNL182C,0,3.8439822,0.378947377204895,0.035820893943309784,0.005902951583266258
YGL120C,YDR243C,1,3.8344796,0.3854166567325592,0.03681591898202896,0.005902951583266258
YMR128W,YHL015W,0,3.8277092,0.3814432919025421,0.03681591898202896,0.00600300170481205
YOL142W,YER082C,0,3.8264065,0.37755101919174194,0.03681591898202896,0.006103051360696554
YLR276C,YLL008W,1,3.8263118,0.38383838534355164,0.03781094402074814,0.006103051360696554
YEL054C,YPL210C,0,3.7889562,0.3799999952316284,0.03781094402074814,0.006203101482242346
YER147C,YNL119W,0,3.7846172,0.3762376308441162,0.03781094402074814,0.0063031516037881374
YNL278W,YDR527W,0,3.7767606,0.37254902720451355,0.03781094402074814,0.006403201725333929
YBR245C,YJL033W,1,3.7708228,0.3786407709121704,0.038805969059467316,0.006403201725333929
YHR169W,YMR128W,1,3.7653627,0.38461539149284363,0.03980099409818649,0.006403201725333929
YJR097W,YGR162W,0,3.7627296,0.380952388048172,0.03980099409818649,0.006503251846879721
YKL021C,YML074C,0,3.750965,0.37735849618911743,0.03980099409818649,0.006603301502764225
YER190W,YLR467W,1,3.7482228,0.38317757844924927,0.04079601913690567,0.006603301502764225
YDR087C,YBR031W,0,3.7429357,0.37962964177131653,0.04079601913690567,0.006703351624310017
YGR296W,YLR276C,1,3.7396252,0.38532111048698425,0.04179104417562485,0.006703351624310017
YOL141W,YDR527W,0,3.73919,0.38181817531585693,0.04179104417562485,0.006803401745855808
YAL019W,YDL031W,1,3.7358205,0.38738739490509033,0.042786069214344025,0.006803401745855808
YLR033W,YDL098C,0,3.7339396,0.3839285671710968,0.042786069214344025,0.0069034518674016
YGL078C,YDR190C,1,3.7242432,0.389380544424057,0.0437810942530632,0.0069034518674016
YPL082C,YFL066C,1,3.7215695,0.3947368562221527,0.04477611929178238,0.0069034518674016
YJL198W,YDR280W,0,3.6924744,0.3913043439388275,0.04477611929178238,0.007003501523286104
YDR021W,YDR121W,0,3.6900053,0.38793104887008667,0.04477611929178238,0.007103551644831896
YJL098W,YMR131C,0,3.6899571,0.38461539149284363,0.04477611929178238,0.0072036017663776875
YNL065W,YMR234W,0,3.681169,0.3813559412956238,0.04477611929178238,0.007303651887923479
YBL034C,YDR507C,0,3.6787324,0.3781512677669525,0.04477611929178238,0.007403702009469271
YNR003C,YGR285C,0,3.6760287,0.375,0.04477611929178238,0.007503751665353775
YLR398C,YGL171W,1,3.6608307,0.3801652789115906,0.045771144330501556,0.007503751665353775
YGL111W,YIL005W,0,3.6497836,0.37704917788505554,0.045771144330501556,0.007603801786899567
YBR172C,YMR123W,0,3.6330667,0.3739837408065796,0.045771144330501556,0.007703851908445358
YKL056C,YKR056W,0,3.631793,0.3709677457809448,0.045771144330501556,0.00780390202999115
YDR075W,YGR271W,0,3.6289597,0.36800000071525574,0.045771144330501556,0.007903952151536942
YLR467W,YDR545W,1,3.6231537,0.3730158805847168,0.046766169369220734,0.007903952151536942
YKR024C,YKL078W,1,3.6185,0.3779527544975281,0.04776119440793991,0.007903952151536942
YBR245C,YDL031W,1,3.6181054,0.3828125,0.04875621944665909,0.007903952151536942
YGL078C,YNR038W,1,3.6079364,0.38759690523147583,0.049751244485378265,0.007903952151536942
YKR024C,YDL084W,1,3.604836,0.39230769872665405,0.05074626952409744,0.007903952151536942
YBR202W,YGL201C,1,3.5871906,0.39694657921791077,0.05174129456281662,0.007903952151536942
YOR191W,YDR021W,1,3.5844133,0.4015151560306549,0.0527363196015358,0.007903952151536942
YNR038W,YKL078W,1,3.5839646,0.4060150384902954,0.053731344640254974,0.007903952151536942
YJL190C,YDR170C,0,3.583014,0.4029850661754608,0.053731344640254974,0.008004002273082733
YHR164C,YMR128W,1,3.5816474,0.40740740299224854,0.05472636967897415,0.008004002273082733
YDR527W,YKL172W,0,3.578673,0.40441176295280457,0.05472636967897415,0.008104052394628525
YOR271C,YKL078W,0,3.559321,0.40145984292030334,0.05472636967897415,0.008204102516174316
YLR441C,YIR012W,0,3.5590162,0.39855071902275085,0.05472636967897415,0.008304151706397533
YGR296W,YOR304W,1,3.5542495,0.40287768840789795,0.05572139471769333,0.008304151706397533
YPL082C,YDR291W,1,3.552566,0.40714284777641296,0.056716419756412506,0.008304151706397533
YOL135C,YMR239C,0,3.5470366,0.40425533056259155,0.056716419756412506,0.008404201827943325
YJL148W,YDR211W,0,3.5449946,0.40140846371650696,0.056716419756412506,0.008504251949489117
YJL138C,YHR169W,1,3.5443182,0.4055944085121155,0.057711441069841385,0.008504251949489117
YAR009C,YDL036C,0,3.5318017,0.4027777910232544,0.057711441069841385,0.008604302071034908
YGL203C,YJL025W,0,3.5251484,0.4000000059604645,0.057711441069841385,0.0087043521925807
YNR057C,YKR038C,0,3.5092597,0.39726027846336365,0.057711441069841385,0.008804402314126492
YAL019W,YJL033W,1,3.5082407,0.40136054158210754,0.05870646610856056,0.008804402314126492
YPL082C,YLR032W,1,3.5035706,0.4054054021835327,0.05970149114727974,0.008804402314126492
YCR093W,YBL054W,0,3.4988985,0.4026845693588257,0.05970149114727974,0.008904452435672283
YBR048W,YHR170W,0,3.4985294,0.4000000059604645,0.05970149114727974,0.009004502557218075
YOR272W,YFL001W,0,3.496315,0.3973509967327118,0.05970149114727974,0.009104552678763866
YDR245W,YKL186C,0,3.4960828,0.3947368562221527,0.05970149114727974,0.009204601868987083
YKR024C,YFR038W,1,3.491762,0.3986928164958954,0.06069651618599892,0.009204601868987083
YOL121C,YNL068C,0,3.4893951,0.3961038887500763,0.06069651618599892,0.009304651990532875
YDL031W,YDR545W,1,3.4814727,0.4000000059604645,0.061691541224718094,0.009304651990532875
YNR038W,YFL002C,1,3.4733737,0.4038461446762085,0.06268656998872757,0.009304651990532875
YML061C,YNL112W,1,3.4706047,0.40764331817626953,0.06368159502744675,0.009304651990532875
YPL043W,YHR076W,0,3.4624505,0.40506330132484436,0.06368159502744675,0.009404702112078667
YNR038W,YER172C,1,3.4623632,0.4088050425052643,0.06467662006616592,0.009404702112078667
YOL139C,YLR143W,0,3.4600825,0.40625,0.06467662006616592,0.009504752233624458
YNR038W,YLL067C,1,3.454061,0.40993788838386536,0.0656716451048851,0.009504752233624458
YDR190C,YKL078W,1,3.4513745,0.4135802388191223,0.06666667014360428,0.009504752233624458
YJL098W,YBR155W,0,3.4510593,0.4110429584980011,0.06666667014360428,0.00960480235517025
YAL019W,YNL112W,1,3.450719,0.4146341383457184,0.06766169518232346,0.00960480235517025
YKL172W,YKR089C,0,3.4409184,0.4121212065219879,0.06766169518232346,0.009704852476716042
YNL164C,YBR034C,0,3.4341345,0.40963855385780334,0.06766169518232346,0.009804902598261833
YNL061W,YBR245C,0,3.4185274,0.4071856141090393,0.06766169518232346,0.009904952719807625
YER190W,YPR204W,1,3.4049017,0.4107142984867096,0.06865671277046204,0.009904952719807625
YGR129W,YCL054W,0,3.4025254,0.4082840383052826,0.06865671277046204,0.010005002841353416
YNR053C,YJL181W,0,3.4019058,0.4058823585510254,0.06865671277046204,0.010105052962899208
YJR097W,YDR447C,0,3.4013116,0.4035087823867798,0.06865671277046204,0.010205102153122425
YOL124C,YDR310C,0,3.4007168,0.4011628031730652,0.06865671277046204,0.010305152274668217
YPR182W,YGR251W,0,3.3996663,0.3988439440727234,0.06865671277046204,0.010405202396214008
YJL025W,YML102W,0,3.397647,0.3965517282485962,0.06865671277046204,0.0105052525177598
YER172C,YDR021W,1,3.3970728,0.4000000059604645,0.06965173780918121,0.0105052525177598
YBL100W-B,YDR429C,0,3.3916898,0.39772728085517883,0.06965173780918121,0.010605302639305592
YLR467W,YIL177C,1,3.3905246,0.40112993121147156,0.07064676284790039,0.010605302639305592
YDL051W,YPR152C,0,3.3887014,0.3988763988018036,0.07064676284790039,0.010705352760851383
YJL033W,YER176W,1,3.387547,0.40223464369773865,0.07164178788661957,0.010705352760851383
YKR024C,YJL033W,1,3.3816223,0.4055555462837219,0.07263681292533875,0.010705352760851383
YOR207C,YER117W,0,3.3789678,0.4033149182796478,0.07263681292533875,0.010805402882397175
YJL008C,YJL136C,0,3.3768842,0.40109890699386597,0.07263681292533875,0.010905453003942966
YLR318W,YPL226W,0,3.37247,0.3989070951938629,0.07263681292533875,0.011005503125488758
YNL112W,YKL191W,0,3.3686812,0.39673912525177,0.07263681292533875,0.011105552315711975
YPL147W,YHR014W,0,3.3676438,0.39459457993507385,0.07263681292533875,0.011205602437257767
YDL084W,YHR169W,1,3.3674433,0.3978494703769684,0.07363183796405792,0.011205602437257767
YKR024C,YAL019W,1,3.3505006,0.4010695219039917,0.0746268630027771,0.011205602437257767
YPR162C,YPL129W,0,3.3500938,0.3989361822605133,0.0746268630027771,0.011305652558803558
YMR091C,YHL026C,0,3.3435,0.3968254029750824,0.0746268630027771,0.01140570268034935
YDR201W,YML099C,0,3.3377886,0.3947368562221527,0.0746268630027771,0.011505752801895142
YJR016C,YGL116W,0,3.3376687,0.3926701545715332,0.0746268630027771,0.011605802923440933
YOR304W,YMR128W,1,3.3341827,0.3958333432674408,0.07562188804149628,0.011605802923440933
YMR243C,YLR167W,0,3.3318257,0.393782377243042,0.07562188804149628,0.011705853044986725
