Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YPL011C,YMR005W,1,4.9581003,1.0,0.0010000000474974513,0.0
YGR274C,YMR005W,1,4.7845926,1.0,0.0020000000949949026,0.0
YMR005W,YGR186W,1,4.6932607,1.0,0.003000000026077032,0.0
YMR005W,YKL144C,1,3.9701085,1.0,0.004000000189989805,0.0
YMR026C,YGR071C,0,3.8202758,0.800000011920929,0.004000000189989805,9.999999747378752e-05
YGR274C,YPL129W,1,3.7840815,0.8333333134651184,0.004999999888241291,9.999999747378752e-05
YMR005W,YML114C,1,3.655117,0.8571428656578064,0.006000000052154064,9.999999747378752e-05
YJL110C,YPL011C,0,3.5872016,0.75,0.006000000052154064,0.00019999999494757503
YDR118W,YDR075W,0,3.5691943,0.6666666865348816,0.006000000052154064,0.0003000000142492354
YML098W,YMR005W,1,3.4906905,0.699999988079071,0.007000000216066837,0.0003000000142492354
YDR460W,YJL011C,1,3.3942003,0.7272727489471436,0.00800000037997961,0.0003000000142492354
YMR005W,YJL011C,1,3.3425803,0.75,0.008999999612569809,0.0003000000142492354
YCR054C,YNL038W,0,3.3188365,0.692307710647583,0.008999999612569809,0.00039999998989515007
YPL011C,YKL144C,1,3.3160203,0.7142857313156128,0.009999999776482582,0.00039999998989515007
YGR246C,YKL144C,1,3.3054762,0.7333333492279053,0.010999999940395355,0.00039999998989515007
YFL049W,YNR048W,0,3.2953744,0.6875,0.010999999940395355,0.0005000000237487257
YDR140W,YFL023W,0,3.294397,0.6470588445663452,0.010999999940395355,0.0006000000284984708
YIL143C,YGR274C,1,3.2837443,0.6666666865348816,0.012000000104308128,0.0006000000284984708
YLR277C,YPL138C,0,3.280771,0.6315789222717285,0.012000000104308128,0.000699999975040555
YMR153W,YDR299W,0,3.2747552,0.6000000238418579,0.012000000104308128,0.0007999999797903001
YGR246C,YGR274C,1,3.1810846,0.6190476417541504,0.013000000268220901,0.0007999999797903001
YPL193W,YMR019W,0,3.1750722,0.5909090638160706,0.013000000268220901,0.0008999999845400453
YPL122C,YGR246C,1,3.1724174,0.6086956262588501,0.014000000432133675,0.0008999999845400453
YDR527W,YPL115C,0,3.1595924,0.5833333134651184,0.014000000432133675,0.0010000000474974513
YOR091W,YDR460W,0,3.13901,0.5600000023841858,0.014000000432133675,0.0010999999940395355
YOL089C,YKL144C,1,3.0978284,0.5769230723381042,0.014999999664723873,0.0010999999940395355
YLR033W,YGL050W,0,3.0922737,0.5555555820465088,0.014999999664723873,0.0012000000569969416
YGR274C,YKL144C,1,3.066003,0.5714285969734192,0.01600000075995922,0.0012000000569969416
YIL128W,YBR155W,0,3.0606391,0.5517241358757019,0.01600000075995922,0.0013000000035390258
YNL008C,YDR412W,0,3.0479257,0.5333333611488342,0.01600000075995922,0.00139999995008111
YDR311W,YMR005W,1,3.0402725,0.5483871102333069,0.017000000923871994,0.00139999995008111
YOL010W,YOR357C,0,3.0260088,0.53125,0.017000000923871994,0.001500000013038516
YJR055W,YNL076W,0,2.9646947,0.5151515007019043,0.017000000923871994,0.0015999999595806003
YMR036C,YPL138C,0,2.9601924,0.5,0.017000000923871994,0.0017000000225380063
YDL108W,YGL112C,1,2.9560685,0.5142857432365417,0.017999999225139618,0.0017000000225380063
YOR075W,YNL039W,0,2.940979,0.5,0.017999999225139618,0.0017999999690800905
YDR167W,YPL011C,1,2.9351747,0.5135135054588318,0.01899999938905239,0.0017999999690800905
YDR350C,YLR181C,0,2.929256,0.5,0.01899999938905239,0.0019000000320374966
YML015C,YML114C,1,2.9037652,0.5128205418586731,0.019999999552965164,0.0019000000320374966
YER050C,YLR309C,0,2.903408,0.5,0.019999999552965164,0.0020000000949949026
YHR090C,YGR120C,0,2.8897233,0.4878048896789551,0.019999999552965164,0.002099999925121665
YGR005C,YDR460W,1,2.8795586,0.5,0.020999999716877937,0.002099999925121665
YML098W,YGR274C,1,2.8363523,0.5116279125213623,0.02199999988079071,0.002099999925121665
YLL012W,YLR277C,0,2.8268893,0.5,0.02199999988079071,0.002199999988079071
YML069W,YGR047C,1,2.8158617,0.5111111402511597,0.023000000044703484,0.002199999988079071
YGL112C,YGR186W,1,2.8093047,0.52173912525177,0.024000000208616257,0.002199999988079071
YER022W,YNL076W,0,2.7933283,0.5106382966041565,0.024000000208616257,0.002300000051036477
YPR056W,YJL011C,1,2.7812417,0.5208333134651184,0.02500000037252903,0.002300000051036477
YOR194C,YPL129W,1,2.7465525,0.5306122303009033,0.026000000536441803,0.002300000051036477
YMR236W,YML114C,1,2.7441568,0.5400000214576721,0.027000000700354576,0.002300000051036477
YDR288W,YGR246C,0,2.7420902,0.529411792755127,0.027000000700354576,0.002400000113993883
YMR227C,YNL222W,1,2.738956,0.5384615659713745,0.02800000086426735,0.002400000113993883
YDL108W,YPL129W,1,2.7388458,0.5471698045730591,0.028999999165534973,0.002400000113993883
YGL244W,YMR005W,1,2.7344666,0.5555555820465088,0.029999999329447746,0.002400000113993883
YDL043C,YNR015W,0,2.7246594,0.5454545617103577,0.029999999329447746,0.0024999999441206455
YMR180C,YJL003W,0,2.7132251,0.5357142686843872,0.029999999329447746,0.0026000000070780516
YNL214W,YNR022C,0,2.702721,0.5263158082962036,0.029999999329447746,0.0027000000700354576
YDR145W,YER028C,1,2.6951947,0.5344827771186829,0.03099999949336052,0.0027000000700354576
YER040W,YLR221C,0,2.6894863,0.5254237055778503,0.03099999949336052,0.00279999990016222
YMR005W,YOR110W,1,2.686028,0.5333333611488342,0.03200000151991844,0.00279999990016222
YDR078C,YDR280W,0,2.6857865,0.5245901346206665,0.03200000151991844,0.002899999963119626
YBR123C,YMR005W,1,2.685059,0.5322580933570862,0.032999999821186066,0.002899999963119626
YGR129W,YMR087W,0,2.6769214,0.523809552192688,0.032999999821186066,0.003000000026077032
YIL036W,YPL011C,1,2.6646461,0.53125,0.03400000184774399,0.003000000026077032
YDL030W,YER139C,0,2.6567857,0.5230769515037537,0.03400000184774399,0.003100000089034438
YML098W,YGL112C,1,2.6492858,0.5303030014038086,0.03500000014901161,0.003100000089034438
YGR081C,YFL023W,0,2.6460416,0.5223880410194397,0.03500000014901161,0.0031999999191612005
YJL071W,YMR093W,0,2.6377428,0.5147058963775635,0.03500000014901161,0.0032999999821186066
YJL197W,YER176W,0,2.6247377,0.5072463750839233,0.03500000014901161,0.0034000000450760126
YIL143C,YPR056W,1,2.607184,0.5142857432365417,0.035999998450279236,0.0034000000450760126
YLR005W,YPL011C,1,2.6061869,0.5211267471313477,0.03700000047683716,0.0034000000450760126
YLR316C,YOR078W,0,2.6033738,0.5138888955116272,0.03700000047683716,0.0035000001080334187
YLR399C,YML015C,1,2.5890255,0.5205479264259338,0.03799999877810478,0.0035000001080334187
YDR311W,YPL011C,1,2.5790725,0.5270270109176636,0.039000000804662704,0.0035000001080334187
YBR198C,YML114C,1,2.5790267,0.5333333611488342,0.03999999910593033,0.0035000001080334187
YMR019W,YDR449C,0,2.5723357,0.5263158082962036,0.03999999910593033,0.003599999938160181
YGR005C,YGR274C,1,2.5557866,0.5324675440788269,0.04100000113248825,0.003599999938160181
YGR030C,YDR351W,0,2.5487843,0.5256410241127014,0.04100000113248825,0.003700000001117587
YML098W,YML114C,1,2.5409448,0.5316455960273743,0.041999999433755875,0.003700000001117587
YML043C,YGL233W,0,2.539116,0.5249999761581421,0.041999999433755875,0.003800000064074993
YGL211W,YHR090C,0,2.5300896,0.5185185074806213,0.041999999433755875,0.0038999998942017555
YDR482C,YOL009C,0,2.5181894,0.5121951103210449,0.041999999433755875,0.004000000189989805
YDR167W,YKL144C,1,2.513062,0.5180723071098328,0.0430000014603138,0.004000000189989805
YLR078C,YLR015W,0,2.4978335,0.511904776096344,0.0430000014603138,0.004100000020116568
YPL122C,YML069W,1,2.487001,0.5176470875740051,0.04399999976158142,0.004100000020116568
YJR140C,YNL182C,0,2.4869022,0.5116279125213623,0.04399999976158142,0.00419999985024333
YGL043W,YMR005W,1,2.4826891,0.517241358757019,0.04500000178813934,0.00419999985024333
YGL244W,YOR194C,1,2.4819129,0.5227272510528564,0.04600000008940697,0.00419999985024333
