Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YIL126W,YNL262W,1,8.386173,1.0,0.0009541984763927758,0.0
YDR092W,YLR275W,0,6.9911933,0.5,0.0009541984763927758,0.00010048231342807412
YJR042W,YDR017C,0,6.919655,0.3333333432674408,0.0009541984763927758,0.00020096462685614824
YPL079W,YDR005C,0,6.8147,0.25,0.0009541984763927758,0.00030144694028422236
YGR001C,YCR097W,0,6.768517,0.20000000298023224,0.0009541984763927758,0.0004019292537122965
YPL210C,YAR009C,0,6.676117,0.1666666716337204,0.0009541984763927758,0.0005024115671403706
YDR224C,YKL108W,1,6.6656466,0.2857142984867096,0.0019083969527855515,0.0005024115671403706
YBL002W,YBR231C,1,6.570365,0.375,0.0028625954873859882,0.0005024115671403706
YKR037C,YDR225W,1,6.33484,0.4444444477558136,0.003816793905571103,0.0005024115671403706
YKR037C,YHR153C,1,6.2459927,0.5,0.004770992323756218,0.0005024115671403706
YCL061C,YPR095C,0,6.14561,0.4545454680919647,0.004770992323756218,0.0006028938805684447
YML024W,YER044C-A,0,6.0893183,0.4166666567325592,0.004770992323756218,0.0007033761939965189
YLR085C,YGL249W,1,5.7769456,0.4615384638309479,0.0057251909747719765,0.0007033761939965189
YIL144W,YJL074C,1,5.7629886,0.5,0.006679389160126448,0.0007033761939965189
YBR231C,YGL145W,0,5.7266016,0.46666666865348816,0.006679389160126448,0.000803858507424593
YBR045C,YBL010C,0,5.6897984,0.4375,0.006679389160126448,0.0009043408208526671
YBL002W,YLR045C,1,5.688897,0.47058823704719543,0.007633587811142206,0.0009043408208526671
YBR289W,YMR094W,1,5.686028,0.5,0.008587785996496677,0.0009043408208526671
YPR046W,YIL096C,0,5.67376,0.4736842215061188,0.008587785996496677,0.0010048231342807412
YHR079C-A,YGL061C,1,5.6424665,0.5,0.009541984647512436,0.0010048231342807412
YML024W,YBR191W,0,5.585561,0.4761904776096344,0.009541984647512436,0.0011053055059164762
YMR078C,YBR009C,1,5.532049,0.5,0.010496183298528194,0.0011053055059164762
YNL309W,YIR010W,1,5.5188265,0.52173912525177,0.011450381949543953,0.0011053055059164762
YLR212C,YOR033C,0,5.4895744,0.5,0.011450381949543953,0.0012057877611368895
YPL127C,YIR010W,1,5.4854417,0.5199999809265137,0.012404580600559711,0.0012057877611368895
YGL175C,YDR314C,0,5.431922,0.5,0.012404580600559711,0.0013062701327726245
YBR156C,YOR077W,0,5.409541,0.48148149251937866,0.012404580600559711,0.0014067523879930377
YOR229W,YBL035C,0,5.3953485,0.4642857015132904,0.012404580600559711,0.0015072347596287727
YNL227C,YDR501W,0,5.3799305,0.4482758641242981,0.012404580600559711,0.001607717014849186
YML043C,YLR376C,0,5.3649626,0.4333333373069763,0.012404580600559711,0.001708199386484921
YLR318W,YDR485C,1,5.361409,0.4516128897666931,0.013358778320252895,0.001708199386484921
YML066C,YAL034W-A,0,5.3536944,0.4375,0.013358778320252895,0.0018086816417053342
YLR313C,YKL004W,0,5.3308887,0.42424243688583374,0.013358778320252895,0.0019091640133410692
YCL039W,YMR306W,0,5.327916,0.4117647111415863,0.013358778320252895,0.0020096462685614824
YHR079C-A,YMR076C,1,5.306803,0.4285714328289032,0.014312976971268654,0.0020096462685614824
YMR133W,YPL129W,1,5.2785416,0.4444444477558136,0.015267175622284412,0.0020096462685614824
YER127W,YMR106C,0,5.269526,0.4324324429035187,0.015267175622284412,0.0021101285237818956
