Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YOL029C,YDL005C,0,4.560636,0.0,0.0,0.00010008006211137399
YMR059W,YGL174W,1,4.4970613,0.5,0.0009920635493472219,0.00010008006211137399
YBR188C,YDR163W,1,4.4643283,0.6666666865348816,0.0019841270986944437,0.00010008006211137399
YDL098C,YDR473C,1,4.302924,0.75,0.0029761905316263437,0.00010008006211137399
YDR482C,YLL036C,1,4.284429,0.800000011920929,0.003968254197388887,0.00010008006211137399
YDR240C,YOL102C,1,4.252566,0.8333333134651184,0.004960317630320787,0.00010008006211137399
YIL061C,YDL043C,1,4.2165027,0.8571428656578064,0.0059523810632526875,0.00010008006211137399
YGL174W,YDR416W,1,4.1130466,0.875,0.0069444444961845875,0.00010008006211137399
YDR235W,YNL286W,1,4.111262,0.8888888955116272,0.007936508394777775,0.00010008006211137399
YBR188C,YPR134W,1,4.099152,0.8999999761581421,0.008928571827709675,0.00010008006211137399
YAL032C,YER112W,1,4.030209,0.9090909361839294,0.009920635260641575,0.00010008006211137399
YKL173W,YIR005W,1,3.9776576,0.9166666865348816,0.010912698693573475,0.00010008006211137399
YKL074C,YBR278W,0,3.968976,0.8461538553237915,0.010912698693573475,0.00020016012422274798
YER013W,YKL074C,1,3.967095,0.8571428656578064,0.011904762126505375,0.00020016012422274798
YMR213W,YLL036C,1,3.9594007,0.8666666746139526,0.012896825559437275,0.00020016012422274798
YLR435W,YBR095C,0,3.9459138,0.8125,0.012896825559437275,0.00030024017905816436
YML096W,YBR095C,0,3.9428716,0.7647058963775635,0.012896825559437275,0.00040032024844549596
YDR104C,YBR257W,0,3.93944,0.7222222089767456,0.012896825559437275,0.0005004003178328276
YLR275W,YBR237W,1,3.8979945,0.7368420958518982,0.013888888992369175,0.0005004003178328276
YDL098C,YPL064C,1,3.895287,0.75,0.014880952425301075,0.0005004003178328276
YLR323C,YPL213W,1,3.8811445,0.761904776096344,0.01587301678955555,0.0005004003178328276
YBR237W,YJL087C,1,3.847382,0.7727272510528564,0.01686508022248745,0.0005004003178328276
YOL054W,YJL203W,0,3.8433347,0.739130437374115,0.01686508022248745,0.0006004803581163287
YBL034C,YDR407C,0,3.8218453,0.7083333134651184,0.01686508022248745,0.0007005604566074908
YLR275W,YKL074C,1,3.8073997,0.7200000286102295,0.01785714365541935,0.0007005604566074908
YNL286W,YOR148C,1,3.7716699,0.7307692170143127,0.01884920708835125,0.0007005604566074908
YMR059W,YPR057W,1,3.7128143,0.7407407164573669,0.01984127052128315,0.0007005604566074908
YKR008W,YLR275W,0,3.6876328,0.7142857313156128,0.01984127052128315,0.0008006404968909919
YDR078C,YOR341W,0,3.6863022,0.6896551847457886,0.01984127052128315,0.000900720595382154
