Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YJL006C,YJR050W,1,8.391659,1.0,0.0009891196386888623,0.0
YJL006C,YOR148C,1,8.008525,1.0,0.0019782392773777246,0.0
YJL203W,YGL174W,1,7.637092,1.0,0.002967359032481909,0.0
YJL006C,YPR094W,1,7.5393467,1.0,0.003956478554755449,0.0
YFL017W-A,YOR148C,1,7.4893646,1.0,0.004945598542690277,0.0
YJL006C,YDL098C,1,7.3755937,1.0,0.005934718064963818,0.0
YLR277C,YDL044C,1,7.296697,1.0,0.006923837587237358,0.0
YFL017W-A,YML049C,1,7.220688,1.0,0.007912957109510899,0.0
YJL203W,YLR275W,1,7.177312,1.0,0.008902077563107014,0.0
YPR187W,YDR163W,0,6.9922943,0.8999999761581421,0.008902077563107014,0.00010011011909227818
YLR117C,YDR163W,1,6.8831744,0.9090909361839294,0.009891197085380554,0.00010011011909227818
YKL074C,YGR278W,1,6.8731685,0.9166666865348816,0.010880316607654095,0.00010011011909227818
YBR119W,YKR002W,1,6.8609996,0.9230769276618958,0.011869436129927635,0.00010011011909227818
YJL006C,YBR237W,1,6.82255,0.9285714030265808,0.012858555652201176,0.00010011011909227818
YKL173W,YDR482C,1,6.771131,0.9333333373069763,0.013847675174474716,0.00010011011909227818
YDR240C,YDR163W,1,6.7387414,0.9375,0.014836795628070831,0.00010011011909227818
YJL006C,YBR055C,1,6.679564,0.9411764740943909,0.015825914219021797,0.00010011011909227818
YDR416W,YLR147C,1,6.6668897,0.9444444179534912,0.016815034672617912,0.00010011011909227818
YLR117C,YJL140W,1,6.662287,0.9473684430122375,0.017804155126214027,0.00010011011909227818
YML010W,YIR005W,1,6.6429725,0.949999988079071,0.018793273717164993,0.00010011011909227818
YJL203W,YJR093C,1,6.5661244,0.9523809552192688,0.01978239417076111,0.00010011011909227818
YOR244W,YER118C,0,6.55539,0.9090909361839294,0.01978239417076111,0.00020022023818455637
YGL122C,YMR213W,1,6.520481,0.9130434989929199,0.020771512761712074,0.00020022023818455637
YIL061C,YLR147C,1,6.485769,0.9166666865348816,0.02176063321530819,0.00020022023818455637
YDR473C,YDR482C,1,6.46149,0.9200000166893005,0.022749751806259155,0.00020022023818455637
YDR416W,YGR013W,1,6.4568186,0.9230769276618958,0.02373887225985527,0.00020022023818455637
YOR244W,YML007W,0,6.4561334,0.8888888955116272,0.02373887225985527,0.0003003303718287498
YDR473C,YGR278W,1,6.446401,0.8928571343421936,0.024727992713451385,0.0003003303718287498
YGR074W,YGL174W,1,6.4457927,0.8965517282485962,0.02571711130440235,0.0003003303718287498
YPL064C,YGR091W,1,6.432901,0.8999999761581421,0.026706231757998466,0.0003003303718287498
YJL006C,YDR473C,1,6.389361,0.9032257795333862,0.027695350348949432,0.0003003303718287498
YFL017W-A,YDR228C,1,6.3600683,0.90625,0.028684470802545547,0.0003003303718287498
YLR277C,YGR091W,1,6.3593307,0.9090909361839294,0.029673591256141663,0.0003003303718287498
YKL012W,YGR013W,1,6.3375487,0.9117646813392639,0.03066270984709263,0.0003003303718287498
YGR074W,YLR116W,1,6.326469,0.9142857193946838,0.031651828438043594,0.0003003303718287498
YML112W,YDR378C,1,6.314334,0.9166666865348816,0.03264094889163971,0.0003003303718287498
YFL017W-A,YDR235W,1,6.29555,0.9189189076423645,0.033630069345235825,0.0003003303718287498
YPR182W,YGL128C,1,6.2840576,0.9210526347160339,0.03461918979883194,0.0003003303718287498
YNR011C,YDR163W,1,6.2778225,0.9230769276618958,0.035608310252428055,0.0003003303718287498
YGR091W,YDR195W,1,6.277176,0.925000011920929,0.03659742698073387,0.0003003303718287498
YKL012W,YOR148C,1,6.251119,0.9268292784690857,0.03758654743432999,0.0003003303718287498
YOR179C,YDR138W,1,6.2450447,0.9285714030265808,0.0385756678879261,0.0003003303718287498
YBR188C,YKL012W,1,6.240174,0.930232584476471,0.03956478834152222,0.0003003303718287498
YLR117C,YPR107C,1,6.2320185,0.9318181872367859,0.04055390879511833,0.0003003303718287498
YJL203W,YHR034C,1,6.2315474,0.9333333373069763,0.04154302552342415,0.0003003303718287498
YOR038C,YML062C,0,6.222661,0.9130434989929199,0.04154302552342415,0.00040044047636911273
YDR369C,YJR089W,0,6.222304,0.8936170339584351,0.04154302552342415,0.0005005506100133061
YJL006C,YIL061C,1,6.202005,0.8958333134651184,0.042532145977020264,0.0005005506100133061
YJL006C,YNR032C-A,1,6.198091,0.8979591727256775,0.04352126643061638,0.0005005506100133061
YGR074W,YGR063C,1,6.1909804,0.8999999761581421,0.044510386884212494,0.0005005506100133061
YDL227C,YDR369C,0,6.184903,0.8823529481887817,0.044510386884212494,0.0006006607436574996
YBR237W,YGR278W,1,6.160105,0.8846153616905212,0.04549950361251831,0.0006006607436574996
