Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YLR096W,YMR075W,0,-1.5566572,0.0,0.0,9.999999747378752e-05
YLR215C,YER173W,1,-1.868436,0.5,0.0010000000474974513,9.999999747378752e-05
YML104C,YLR383W,0,-1.8967513,0.3333333432674408,0.0010000000474974513,0.00019999999494757503
YLR127C,YFR028C,1,-2.024934,0.5,0.0020000000949949026,0.00019999999494757503
YOR249C,YGR109C,1,-2.0307279,0.6000000238418579,0.003000000026077032,0.00019999999494757503
YOR330C,YGL212W,0,-2.0705526,0.5,0.003000000026077032,0.0003000000142492354
YPR120C,YIL112W,1,-2.0961633,0.5714285969734192,0.004000000189989805,0.0003000000142492354
YKL092C,YGR092W,0,-2.1527326,0.5,0.004000000189989805,0.00039999998989515007
YHR115C,YDL056W,1,-2.1802764,0.5555555820465088,0.004999999888241291,0.00039999998989515007
YDL008W,YIL112W,1,-2.181157,0.6000000238418579,0.006000000052154064,0.00039999998989515007
YOR058C,YJL031C,0,-2.184899,0.5454545617103577,0.006000000052154064,0.0005000000237487257
YGR098C,YHR061C,1,-2.1936817,0.5833333134651184,0.007000000216066837,0.0005000000237487257
YIR002C,YPL036W,0,-2.222594,0.5384615659713745,0.007000000216066837,0.0006000000284984708
YDL155W,YKR029C,1,-2.2416759,0.5714285969734192,0.00800000037997961,0.0006000000284984708
YLR329W,YDR532C,0,-2.242628,0.5333333611488342,0.00800000037997961,0.000699999975040555
YPL213W,YGR221C,0,-2.281955,0.5,0.00800000037997961,0.0007999999797903001
YMR100W,YKR001C,0,-2.3179321,0.47058823704719543,0.00800000037997961,0.0008999999845400453
YLR127C,YIL112W,1,-2.3198354,0.5,0.008999999612569809,0.0008999999845400453
YGL093W,YLR272C,0,-2.3206317,0.4736842215061188,0.008999999612569809,0.0010000000474974513
YLR210W,YPR120C,1,-2.3404124,0.5,0.009999999776482582,0.0010000000474974513
YHR115C,YBL051C,1,-2.3653095,0.523809552192688,0.010999999940395355,0.0010000000474974513
YDL008W,YIL106W,1,-2.3737092,0.5454545617103577,0.012000000104308128,0.0010000000474974513
YLR116W,YOR253W,0,-2.379717,0.52173912525177,0.012000000104308128,0.0010999999940395355
YNL268W,YER075C,0,-2.3925498,0.5,0.012000000104308128,0.0012000000569969416
YAL026C,YNL317W,0,-2.398065,0.47999998927116394,0.012000000104308128,0.0013000000035390258
YMR029C,YDR207C,1,-2.4132946,0.5,0.013000000268220901,0.0013000000035390258
YDR499W,YJL187C,1,-2.4184654,0.5185185074806213,0.014000000432133675,0.0013000000035390258
YDR309C,YMR036C,1,-2.4265969,0.5357142686843872,0.014999999664723873,0.0013000000035390258
YFL011W,YIL066C,0,-2.4298973,0.517241358757019,0.014999999664723873,0.00139999995008111
YDL056W,YIR025W,1,-2.4388206,0.5333333611488342,0.01600000075995922,0.00139999995008111
YGL254W,YPR141C,0,-2.4408066,0.5161290168762207,0.01600000075995922,0.001500000013038516
YLR215C,YMR036C,1,-2.4441729,0.53125,0.017000000923871994,0.001500000013038516
YMR048W,YDR499W,1,-2.4442189,0.5454545617103577,0.017999999225139618,0.001500000013038516
YLR015W,YKL092C,0,-2.4576678,0.529411792755127,0.017999999225139618,0.0015999999595806003
YGR014W,YKL068W,0,-2.4756548,0.5142857432365417,0.017999999225139618,0.0017000000225380063
YLR210W,YHR158C,1,-2.4850948,0.5277777910232544,0.01899999938905239,0.0017000000225380063
YKL101W,YLR263W,1,-2.4953842,0.5405405163764954,0.019999999552965164,0.0017000000225380063
YPL069C,YOR334W,0,-2.4996777,0.5263158082962036,0.019999999552965164,0.0017999999690800905
YGL116W,YHR115C,1,-2.5081909,0.5384615659713745,0.020999999716877937,0.0017999999690800905
YKL089W,YPR056W,0,-2.5208335,0.5249999761581421,0.020999999716877937,0.0019000000320374966
YGR098C,YNL273W,1,-2.5273561,0.5365853905677795,0.02199999988079071,0.0019000000320374966
YBR260C,YDR181C,0,-2.5282764,0.523809552192688,0.02199999988079071,0.0020000000949949026
YBL052C,YOR075W,0,-2.5341103,0.5116279125213623,0.02199999988079071,0.002099999925121665
YPL078C,YOR174W,0,-2.546178,0.5,0.02199999988079071,0.002199999988079071
YGR029W,YKL079W,0,-2.54795,0.4888888895511627,0.02199999988079071,0.002300000051036477
YER075C,YHR111W,0,-2.5498905,0.47826087474823,0.02199999988079071,0.002400000113993883
YJR053W,YDR309C,1,-2.5536032,0.4893617033958435,0.023000000044703484,0.002400000113993883
YHR115C,YJR066W,1,-2.5693805,0.5,0.024000000208616257,0.002400000113993883
YCL024W,YOR057W,1,-2.5721796,0.5102040767669678,0.02500000037252903,0.002400000113993883
YGL190C,YCL024W,1,-2.573191,0.5199999809265137,0.026000000536441803,0.002400000113993883
YBR135W,YIR025W,1,-2.5741885,0.529411792755127,0.027000000700354576,0.002400000113993883
YKL022C,YER173W,1,-2.5859013,0.5384615659713745,0.02800000086426735,0.002400000113993883
YMR055C,YCL061C,1,-2.5875154,0.5471698045730591,0.028999999165534973,0.002400000113993883
YOL012C,YLR329W,0,-2.5896194,0.5370370149612427,0.028999999165534973,0.0024999999441206455
YOR249C,YIL131C,1,-2.5914724,0.5454545617103577,0.029999999329447746,0.0024999999441206455
YPR120C,YGL181W,1,-2.592028,0.5535714030265808,0.03099999949336052,0.0024999999441206455
YKL022C,YIL106W,1,-2.6001737,0.5614035129547119,0.03200000151991844,0.0024999999441206455
YDR507C,YMR036C,1,-2.6007607,0.568965494632721,0.032999999821186066,0.0024999999441206455
YNL118C,YPR168W,0,-2.6014261,0.5593220591545105,0.032999999821186066,0.0026000000070780516
YKL022C,YNL116W,1,-2.6044867,0.5666666626930237,0.03400000184774399,0.0026000000070780516
YIL066C,YHL028W,0,-2.6078677,0.5573770403862,0.03400000184774399,0.0027000000700354576
YDR281C,YER075C,0,-2.6082265,0.5483871102333069,0.03400000184774399,0.00279999990016222
YMR075W,YGL113W,0,-2.6113517,0.5396825671195984,0.03400000184774399,0.002899999963119626
YFR036W,YDR451C,1,-2.6139662,0.546875,0.03500000014901161,0.002899999963119626
YJR140C,YDL003W,0,-2.6150346,0.5384615659713745,0.03500000014901161,0.003000000026077032
YFR034C,YMR146C,0,-2.6175835,0.5303030014038086,0.03500000014901161,0.003100000089034438
YNL068C,YPR075C,1,-2.6221805,0.5373134613037109,0.035999998450279236,0.003100000089034438
YOR058C,YDL224C,0,-2.622274,0.529411792755127,0.035999998450279236,0.0031999999191612005
YOR249C,YGL116W,1,-2.6272852,0.5362318754196167,0.03700000047683716,0.0031999999191612005
YDR440W,YOR233W,1,-2.6277914,0.5428571701049805,0.03799999877810478,0.0031999999191612005
YPR138C,YPR168W,0,-2.628773,0.5352112650871277,0.03799999877810478,0.0032999999821186066
YMR135C,YGL086W,1,-2.6301756,0.5416666865348816,0.039000000804662704,0.0032999999821186066
YKL022C,YLR210W,1,-2.6316469,0.5479452013969421,0.03999999910593033,0.0032999999821186066
YML060W,YAL047C,0,-2.6350954,0.5405405163764954,0.03999999910593033,0.0034000000450760126
YMR075W,YDR545W,0,-2.6354036,0.5333333611488342,0.03999999910593033,0.0035000001080334187
YMR078C,YDL117W,0,-2.6465728,0.5263158082962036,0.03999999910593033,0.003599999938160181
YFR028C,YMR036C,1,-2.6550453,0.5324675440788269,0.04100000113248825,0.003599999938160181
YDL003W,YBR153W,0,-2.6554997,0.5256410241127014,0.04100000113248825,0.003700000001117587
YKR037C,YPR095C,0,-2.6697886,0.5189873576164246,0.04100000113248825,0.003800000064074993
YLR210W,YBL051C,1,-2.6711752,0.5249999761581421,0.041999999433755875,0.003800000064074993
YFR036W,YJL030W,1,-2.6725895,0.5308641791343689,0.0430000014603138,0.003800000064074993
YNL298W,YDR309C,1,-2.6728714,0.5365853905677795,0.04399999976158142,0.003800000064074993
YJL110C,YMR268C,0,-2.676135,0.5301204919815063,0.04399999976158142,0.0038999998942017555
YER157W,YNL329C,0,-2.6799169,0.523809552192688,0.04399999976158142,0.004000000189989805
YGL243W,YNL304W,0,-2.6959302,0.5176470875740051,0.04399999976158142,0.004100000020116568
YNL201C,YGL127C,0,-2.6998055,0.5116279125213623,0.04399999976158142,0.00419999985024333
YBR042C,YML097C,0,-2.7017467,0.5057471394538879,0.04399999976158142,0.00430000014603138
YAL024C,YIL122W,1,-2.7036517,0.5113636255264282,0.04500000178813934,0.00430000014603138
YLR215C,YDR499W,1,-2.70575,0.516853928565979,0.04600000008940697,0.00430000014603138
YHR166C,YIL131C,1,-2.7097855,0.5222222208976746,0.04699999839067459,0.00430000014603138
YGR098C,YAL024C,1,-2.7156427,0.5274725556373596,0.04800000041723251,0.00430000014603138
YGL201C,YPL085W,0,-2.715932,0.52173912525177,0.04800000041723251,0.004399999976158142
YOR005C,YAL047C,0,-2.7198927,0.5161290168762207,0.04800000041723251,0.0044999998062849045
YDR174W,YBR168W,0,-2.7219663,0.5106382966041565,0.04800000041723251,0.004600000102072954
YPR075C,YNL273W,1,-2.7336004,0.5157894492149353,0.04899999871850014,0.004600000102072954
YMR048W,YIL112W,1,-2.7340276,0.5208333134651184,0.05000000074505806,0.004600000102072954
YGL190C,YOR368W,1,-2.7349632,0.5257731676101685,0.050999999046325684,0.004600000102072954
YML023C,YFR034C,0,-2.7365081,0.5204081535339355,0.050999999046325684,0.004699999932199717
YDR151C,YDL209C,0,-2.7392647,0.5151515007019043,0.050999999046325684,0.004800000227987766
YCR106W,YOR116C,0,-2.7526226,0.5099999904632568,0.050999999046325684,0.004900000058114529
YMR076C,YGR253C,0,-2.75436,0.5049505233764648,0.050999999046325684,0.004999999888241291
YDR163W,YNL222W,0,-2.7552955,0.5,0.050999999046325684,0.005100000184029341
YKL092C,YMR224C,0,-2.7563703,0.49514561891555786,0.050999999046325684,0.005200000014156103
YMR055C,YBR103W,1,-2.75748,0.5,0.052000001072883606,0.005200000014156103
YOR058C,YMR073C,0,-2.757645,0.4952380955219269,0.052000001072883606,0.0052999998442828655
YOR174W,YJL056C,0,-2.7649481,0.49056604504585266,0.052000001072883606,0.005400000140070915
YBR236C,YDR004W,0,-2.765828,0.4859813153743744,0.052000001072883606,0.005499999970197678
YBL085W,YFL005W,0,-2.7659695,0.48148149251937866,0.052000001072883606,0.00559999980032444
YCR089W,YBR170C,0,-2.7731116,0.47706422209739685,0.052000001072883606,0.00570000009611249
YGL243W,YLR183C,0,-2.7743437,0.4727272689342499,0.052000001072883606,0.005799999926239252
YIR004W,YHR167W,0,-2.7759044,0.46846845746040344,0.052000001072883606,0.005900000222027302
YHR183W,YJL139C,0,-2.7770262,0.4642857015132904,0.052000001072883606,0.006000000052154064
YOL069W,YDR292C,0,-2.7777183,0.4601770043373108,0.052000001072883606,0.006099999882280827
YCL061C,YER173W,1,-2.782146,0.4649122953414917,0.05299999937415123,0.006099999882280827
YNL084C,YAL032C,0,-2.7824771,0.46086955070495605,0.05299999937415123,0.006200000178068876
YHR166C,YJL090C,1,-2.7825098,0.4655172526836395,0.05400000140070915,0.006200000178068876
YER145C,YDL058W,0,-2.7889264,0.4615384638309479,0.05400000140070915,0.006300000008195639
YHR150W,YNL097C,0,-2.789244,0.4576271176338196,0.05400000140070915,0.006399999838322401
YLR079W,YBR103W,1,-2.7898655,0.462184876203537,0.054999999701976776,0.006399999838322401
YLR381W,YDL154W,0,-2.794666,0.4583333432674408,0.054999999701976776,0.006500000134110451
YMR109W,YMR268C,0,-2.8034208,0.4545454680919647,0.054999999701976776,0.006599999964237213
YOR322C,YJR077C,0,-2.8077285,0.4508196711540222,0.054999999701976776,0.0066999997943639755
YJL031C,YCR094W,0,-2.810519,0.4471544623374939,0.054999999701976776,0.006800000090152025
YCL024W,YNL273W,1,-2.8110683,0.4516128897666931,0.0560000017285347,0.006800000090152025
YGL238W,YPR104C,0,-2.8113482,0.4480000138282776,0.0560000017285347,0.006899999920278788
YKL048C,YDR309C,1,-2.8126786,0.4523809552192688,0.05700000002980232,0.006899999920278788
YDL087C,YDR227W,0,-2.8133805,0.4488188922405243,0.05700000002980232,0.007000000216066837
YBR195C,YGL094C,0,-2.8141606,0.4453125,0.05700000002980232,0.0071000000461936
YHR115C,YIL131C,1,-2.8217032,0.44961240887641907,0.057999998331069946,0.0071000000461936
YJL006C,YCR039C,0,-2.826124,0.446153849363327,0.057999998331069946,0.007199999876320362
YBR276C,YKR029C,1,-2.8262975,0.45038166642189026,0.05900000035762787,0.007199999876320362
YGL222C,YJL101C,0,-2.8294818,0.4469696879386902,0.05900000035762787,0.007300000172108412
YLR215C,YDR507C,1,-2.8299377,0.451127827167511,0.05999999865889549,0.007300000172108412
YNL161W,YMR052W,1,-2.8332186,0.4552238881587982,0.061000000685453415,0.007300000172108412
YCL014W,YIR008C,0,-2.8336384,0.45185184478759766,0.061000000685453415,0.007400000002235174
YGR109C,YJL030W,1,-2.834572,0.45588234066963196,0.06199999898672104,0.007400000002235174
YGR274C,YPR056W,0,-2.8363156,0.45255473256111145,0.06199999898672104,0.007499999832361937
YHR205W,YOL128C,0,-2.837167,0.4492753744125366,0.06199999898672104,0.007600000128149986
YGR098C,YCL024W,1,-2.8381004,0.4532374143600464,0.06300000101327896,0.007600000128149986
YOR112W,YOL066C,0,-2.8402007,0.44999998807907104,0.06300000101327896,0.007699999958276749
YER042W,YDR227W,0,-2.8408873,0.44680851697921753,0.06300000101327896,0.007799999788403511
YKL101W,YJL106W,1,-2.8484087,0.4507042169570923,0.06400000303983688,0.007799999788403511
YBL047C,YMR100W,0,-2.850262,0.4475524425506592,0.06400000303983688,0.007899999618530273
YMR055C,YHR061C,1,-2.8558056,0.4513888955116272,0.06499999761581421,0.007899999618530273
YPR057W,YCR092C,0,-2.8594053,0.4482758641242981,0.06499999761581421,0.00800000037997961
YKL092C,YPL083C,0,-2.859501,0.4452054798603058,0.06499999761581421,0.008100000210106373
