,Name,+/-,Folds,Score,True Positive,False Positive,True Negative,False Negative,Accuracy,Precision,Recall,False Positive Rate,Selectivity
0,YMR189W YCL029C,0.0,NA,0.0,820,8199,1,0,0.091019955654102,0.0909191706397605,1.0,0.9998780487804878,0.00012195121951219512
1,YDL145C YAR009C,0.0,NA,0.0,820,8198,2,0,0.09113082039911308,0.09092925260589932,1.0,0.9997560975609756,0.00024390243902439024
2,YML016C YEL031W,0.0,NA,0.0,820,8197,3,0,0.09124168514412417,0.09093933680825109,1.0,0.9996341463414634,0.00036585365853658537
3,YLR196W YBR053C,0.0,NA,1.1945670038306733e-38,820,8196,4,0,0.09135254988913526,0.09094942324755989,1.0,0.9995121951219512,0.0004878048780487805
4,YBL088C YNR031C,1.0,NA,5.635187249629677e-38,819,8196,4,1,0.09124168514412417,0.0908485856905158,0.998780487804878,0.9995121951219512,0.0004878048780487805
5,YBR072W YHR064C,0.0,NA,4.0328248764496775e-36,819,8195,5,1,0.09135254988913526,0.09085866429997781,0.998780487804878,0.999390243902439,0.0006097560975609756
6,YHR039C YKL086W,0.0,NA,1.739748243074691e-32,819,8194,6,1,0.09146341463414634,0.09086874514590036,0.998780487804878,0.9992682926829268,0.0007317073170731707
7,YBR149W YOR063W,0.0,NA,4.735176184942813e-31,819,8193,7,1,0.09157427937915742,0.09087882822902796,0.998780487804878,0.9991463414634146,0.0008536585365853659
8,YPR158W YPL090C,0.0,NA,8.475760016886525e-31,819,8192,8,1,0.09168514412416852,0.09088891355010542,0.998780487804878,0.9990243902439024,0.000975609756097561
9,YKR094C YIL065C,0.0,NA,9.48089326282832e-31,819,8191,9,1,0.0917960088691796,0.09089900110987792,0.998780487804878,0.9989024390243902,0.0010975609756097562
10,YDL147W YGR118W,0.0,NA,1.0506969116124366e-30,819,8190,10,1,0.09190687361419068,0.09090909090909091,0.998780487804878,0.998780487804878,0.0012195121951219512
11,YJR070C YPL054W,0.0,NA,2.474967056390773e-30,819,8189,11,1,0.09201773835920177,0.09091918294849023,0.998780487804878,0.9986585365853659,0.0013414634146341464
12,YIL113W YJR145C,0.0,NA,2.772043066866177e-30,819,8188,12,1,0.09212860310421286,0.09092927722882203,0.998780487804878,0.9985365853658537,0.0014634146341463415
13,YBL025W YMR116C,0.0,NA,4.825754137244295e-30,819,8187,13,1,0.09223946784922395,0.09093937375083277,0.998780487804878,0.9984146341463415,0.0015853658536585367
14,YBR093C YGL168W,0.0,NA,4.833086212727888e-30,819,8186,14,1,0.09235033259423503,0.09094947251526929,0.998780487804878,0.9982926829268293,0.0017073170731707317
