Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YBR247C,YGR145W,1,2.2904272,1.0,0.0010000000474974513,0.0
YGR128C,YDR449C,1,2.2766414,1.0,0.0020000000949949026,0.0
YGR128C,YMR229C,1,2.2115693,1.0,0.003000000026077032,0.0
YKL009W,YOL080C,1,2.1508226,1.0,0.004000000189989805,0.0
YDR449C,YKL009W,1,2.1219378,1.0,0.004999999888241291,0.0
YML093W,YDR449C,1,2.077478,1.0,0.006000000052154064,0.0
YMR290C,YDR449C,1,2.0659375,1.0,0.007000000216066837,0.0
YDR449C,YOR310C,1,2.0453444,1.0,0.00800000037997961,0.0
YML093W,YPR137W,1,2.012548,1.0,0.008999999612569809,0.0
YGR159C,YMR093W,1,1.9909462,1.0,0.009999999776482582,0.0
YMR093W,YGL120C,1,1.978777,1.0,0.010999999940395355,0.0
YGL120C,YLR129W,1,1.7795156,1.0,0.012000000104308128,0.0
YCR057C,YOR310C,1,1.7541536,1.0,0.013000000268220901,0.0
YEL026W,YDR449C,1,1.6925417,1.0,0.014000000432133675,0.0
YKL009W,YMR229C,1,1.6862191,1.0,0.014999999664723873,0.0
YBR247C,YKL009W,1,1.6821157,1.0,0.01600000075995922,0.0
YDR449C,YPL266W,1,1.6329957,1.0,0.017000000923871994,0.0
YLR197W,YDR449C,1,1.5917944,1.0,0.017999999225139618,0.0
YLR222C,YKL009W,1,1.5415196,1.0,0.01899999938905239,0.0
YCR057C,YDL014W,1,1.5135638,1.0,0.019999999552965164,0.0
YLR197W,YOR310C,1,1.4949678,1.0,0.020999999716877937,0.0
YGL120C,YHR196W,1,1.4866288,1.0,0.02199999988079071,0.0
YER006W,YJR002W,1,1.4578322,1.0,0.023000000044703484,0.0
YCL059C,YDR449C,1,1.4239821,1.0,0.024000000208616257,0.0
YPR137W,YMR229C,1,1.4172599,1.0,0.02500000037252903,0.0
YGL120C,YKL009W,1,1.4085747,1.0,0.026000000536441803,0.0
YGR128C,YKL009W,1,1.4016103,1.0,0.027000000700354576,0.0
YCL059C,YPR137W,1,1.3767056,1.0,0.02800000086426735,0.0
YMR290C,YHR196W,1,1.3541183,1.0,0.028999999165534973,0.0
YCL059C,YJR002W,1,1.3479463,1.0,0.029999999329447746,0.0
YER006W,YOL080C,1,1.338041,1.0,0.03099999949336052,0.0
YPL211W,YDR449C,1,1.3357568,1.0,0.03200000151991844,0.0
YDR449C,YDL014W,1,1.334834,1.0,0.032999999821186066,0.0
YGR159C,YGR128C,1,1.3305169,1.0,0.03400000184774399,0.0
YCL059C,YPL211W,1,1.3281958,1.0,0.03500000014901161,0.0
YGL120C,YMR049C,1,1.3191868,1.0,0.035999998450279236,0.0
YGR128C,YMR049C,1,1.3085763,1.0,0.03700000047683716,0.0
YBR247C,YOR310C,1,1.3085167,1.0,0.03799999877810478,0.0
YJL010C,YGL120C,1,1.2987531,1.0,0.039000000804662704,0.0
YDL208W,YDR449C,1,1.2973214,1.0,0.03999999910593033,0.0
YGR159C,YGL120C,1,1.2851118,1.0,0.04100000113248825,0.0
YDR449C,YMR229C,1,1.2844509,1.0,0.041999999433755875,0.0
YCR057C,YMR290C,1,1.281239,1.0,0.0430000014603138,0.0
YMR093W,YMR229C,1,1.2765583,1.0,0.04399999976158142,0.0
YGL120C,YOL080C,1,1.2756708,1.0,0.04500000178813934,0.0
YBR142W,YLL011W,1,1.2465701,1.0,0.04600000008940697,0.0
YBR247C,YMR093W,1,1.234508,1.0,0.04699999839067459,0.0
YGR159C,YDL213C,1,1.2339945,1.0,0.04800000041723251,0.0
YCL059C,YLR222C,1,1.2277238,1.0,0.04899999871850014,0.0
YLR222C,YOR310C,1,1.2268784,1.0,0.05000000074505806,0.0
YER006W,YOR310C,1,1.2266424,1.0,0.050999999046325684,0.0
YLR197W,YGL120C,1,1.2242327,1.0,0.052000001072883606,0.0
