Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YJL114W,YGL237C,0,-4.2612944,0.0,0.0,0.000735294132027775
YER159C-A,YLR237W,0,-4.3276367,0.0,0.0,0.00147058826405555
YJR026W,YLL011W,0,-4.338074,0.0,0.0,0.002205882454290986
YER027C,YDR261C-D,0,-4.338877,0.0,0.0,0.0029411765281111
YLR337W,YPL130W,0,-4.339189,0.0,0.0,0.0036764706019312143
YPL178W,YGR161W-B,0,-4.363611,0.0,0.0,0.004411764908581972
YNL081C,YNL284C-B,0,-4.3814826,0.0,0.0,0.005147058982402086
YDR210W-B,YJL170C,0,-4.392135,0.0,0.0,0.0058823530562222
YNL273W,YLR227W-A,0,-4.3927045,0.0,0.0,0.0066176471300423145
YGL210W,YCL057C-A,0,-4.3989854,0.0,0.0,0.007352941203862429
YHR214C-C,YCL069W,0,-4.407167,0.0,0.0,0.00808823574334383
YMR072W,YCR097WB,0,-4.408801,0.0,0.0,0.008823529817163944
YML094W,YBR012W-B,0,-4.4149837,0.0,0.0,0.009558823890984058
YHR070W,YHR214C-B,0,-4.4283185,0.0,0.0,0.010294117964804173
YOR142W-A,YDR419W,0,-4.4318004,0.0,0.0,0.011029412038624287
YGR161C-D,YOR020C,0,-4.4360065,0.0,0.0,0.0117647061124444
YDR098C-A,YMR316W,0,-4.4375243,0.0,0.0,0.012500000186264515
YOR142W-B,YIL139C,0,-4.44097,0.0,0.0,0.013235294260084629
YFL035C-B,YKL116C,0,-4.4430904,0.0,0.0,0.013970588333904743
YER137C-A,YLR234W,0,-4.450631,0.0,0.0,0.014705882407724857
YLR286C,YBL100W-B,0,-4.4523225,0.0,0.0,0.015441176481544971
YPR016C,YML045W-A,0,-4.45934,0.0,0.0,0.01617647148668766
YOR142W-A,YDR435C,0,-4.45934,0.0,0.0,0.016911765560507774
YDR014W-A,YIL004C,0,-4.45934,0.0,0.0,0.01764705963432789
YCL048W-A,YDR261C,0,-4.45934,0.0,0.0,0.018382353708148003
YOR265W,YOR343C-A,0,-4.45934,0.0,0.0,0.019117647781968117
YJL114W,YDL038C,0,-4.45934,0.0,0.0,0.01985294185578823
YDR213W,YPR158W-B,0,-4.45934,0.0,0.0,0.020588235929608345
YBL101W-B,YGL062W,0,-4.45934,0.0,0.0,0.02132353000342846
YER030W,YBL101W-B,0,-4.45934,0.0,0.0,0.022058824077248573
YGL028C,YDR014W-A,0,-4.45934,0.0,0.0,0.022794118151068687
YDR365W-A,YDR320C-A,0,-4.45934,0.0,0.0,0.0235294122248888
YCL048W-A,YJL089W,0,-4.45934,0.0,0.0,0.024264706298708916
YDR381C-A,YDR397C,0,-4.45934,0.0,0.0,0.02500000037252903
YPR137C-B,YDR179C,0,-4.4628263,0.0,0.0,0.025735294446349144
YPL038W,YNL284C-B,0,-4.463754,0.0,0.0,0.026470588520169258
YKR077W,YLR227W-A,0,-4.472967,0.0,0.0,0.027205882593989372
YHL009W-B,YDR378C,0,-4.4835815,0.0,0.0,0.027941176667809486
YOL103W-A,YKR058W,0,-4.4948273,0.0,0.0,0.0286764707416296
YDR098C-A,YBR205W,0,-4.49668,0.0,0.0,0.029411764815449715
YDR098C-B,YGR276C,0,-4.510992,0.0,0.0,0.03014705888926983
YMR045C,YDL059C,0,-4.511983,0.0,0.0,0.030882352963089943
YLR350W,YGR109W-A,0,-4.5150285,0.0,0.0,0.031617648899555206
YDL220C,YGR109W-B,0,-4.5216737,0.0,0.0,0.03235294297337532
YBR240C,YER087C-A,0,-4.532114,0.0,0.0,0.033088237047195435
YIL108W,YML045W,0,-4.5375695,0.0,0.0,0.03382353112101555
YJR041C,YMR050C,0,-4.5386543,0.0,0.0,0.03455882519483566
YBL100W-B,YMR054W,0,-4.542604,0.0,0.0,0.03529411926865578
YCR080W,YGL173C,0,-4.548875,0.0,0.0,0.03602941334247589
YNL166C,YNL054W-B,0,-4.5502553,0.0,0.0,0.036764707416296005
YCL034W,YDL134C-A,0,-4.5502644,0.0,0.0,0.03750000149011612
YOR315W,YCL012W,0,-4.551768,0.0,0.0,0.038235295563936234
YOR110W,YAR010C,0,-4.552424,0.0,0.0,0.03897058963775635
YMR049C,YDR261W-A,0,-4.5632524,0.0,0.0,0.03970588371157646
YBR231C,YPR158C-D,0,-4.565567,0.0,0.0,0.040441177785396576
YOL141W,YMR050C,0,-4.5662503,0.0,0.0,0.04117647185921669
