Batch,Training Loss,Validation Loss
0,70.39371132850647,69.92566645145416
100,63.96837645769119,53.83199870586395
200,29.58762390166521,15.474254190921783
300,13.173510789871216,13.333797827363014
400,11.928737081587315,12.134061679244041
500,11.140383824706078,11.70177511870861
600,10.997351661324501,11.214783787727356
700,11.119213715195656,10.234605818986893
800,10.78436429798603,12.408381775021553
900,10.86998862028122,10.525264739990234
1000,10.636114902794361,11.466467827558517
1100,10.735009580850601,11.743954569101334
1200,11.001670077443123,10.017723590135574
1300,10.988942176103592,10.930862501263618
1400,11.01873628795147,10.651321709156036
1500,10.727900750935078,10.36036103963852
1600,10.891163609921932,11.374123990535736
1700,10.924710340797901,10.745014995336533
1800,10.496821209788322,11.34414292871952
1900,10.510550253093243,10.080083832144737
2000,10.746856212615967,11.109976321458817
2100,10.562969140708447,9.32282604277134
2200,10.479842782020569,10.262309536337852
2300,10.472699165344238,10.576027557253838
2400,10.535349525511265,10.079211667180061
2500,10.463807485997677,11.024428904056549
2600,10.799801990389824,11.267998442053795
2700,10.253727607429028,10.07481336593628
2800,10.578558720648289,11.425716802477837
2900,10.642011135816574,10.196185410022736
3000,10.656003020703793,10.663031190633774
3100,10.375995330512524,10.506155788898468
3200,10.278763055801392,10.934234037995338
3300,10.40394625812769,11.371600478887558
3400,10.357665181159973,10.17055593430996
3500,10.601345539093018,11.184530854225159
3600,10.37880553305149,11.525299102067947
3700,10.332592010498047,10.946117118000984
3800,10.426274612545967,11.78748369216919
3900,10.411050625145435,9.464383199810982
4000,10.474300861358643,10.684211999177933
4100,10.277038611471653,10.537670776247978
4200,10.571664921939373,10.169852003455162
4300,10.477566108107567,11.094479039311409
4400,10.329466469585896,9.754707738757133
4500,10.33314647525549,9.885269179940224
4600,10.389842711389065,12.829337120056152
4700,10.435623779892921,10.41117176413536
4800,10.328802585601807,10.268152430653572
4900,10.606375381350517,12.13798314332962
5000,10.433824934065342,10.386379435658455
5100,10.389802612364292,11.18828870356083
