Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YCR057C,YIL017W,0,-0.39331567,0.0,0.0,9.999999747378752e-05
YBR012W-B,YNL206C,1,-0.43821293,0.5,0.0010000000474974513,9.999999747378752e-05
YJR027W,YNL206C,1,-0.4892298,0.6666666865348816,0.0020000000949949026,9.999999747378752e-05
YMR050C,YGR109W-B,1,-0.49880436,0.75,0.003000000026077032,9.999999747378752e-05
YJR026W,YDR261W-B,1,-0.51703376,0.800000011920929,0.004000000189989805,9.999999747378752e-05
YJR026W,YKL149C,1,-0.52067596,0.8333333134651184,0.004999999888241291,9.999999747378752e-05
YNL206C,YBR012W-A,1,-0.52305907,0.8571428656578064,0.006000000052154064,9.999999747378752e-05
YER087C-A,YMR023C,0,-0.5231799,0.75,0.006000000052154064,0.00019999999494757503
YJR027W,YDR261C-D,1,-0.52398974,0.7777777910232544,0.007000000216066837,0.00019999999494757503
YJL114W,YFL002W-A,1,-0.52766335,0.800000011920929,0.00800000037997961,0.00019999999494757503
YJR028W,YOR142W-B,1,-0.53070587,0.8181818127632141,0.008999999612569809,0.00019999999494757503
YJR027W,YCL075W,1,-0.5314275,0.8333333134651184,0.009999999776482582,0.00019999999494757503
YGR109W-B,YBR012W-A,1,-0.53286463,0.8461538553237915,0.010999999940395355,0.00019999999494757503
YIL017W,YAL039C,0,-0.53396,0.7857142686843872,0.010999999940395355,0.0003000000142492354
YDR261W-A,YJR026W,1,-0.5402404,0.800000011920929,0.012000000104308128,0.0003000000142492354
YHR214C-C,YJR026W,1,-0.54102,0.8125,0.013000000268220901,0.0003000000142492354
YER108C,YGL028C,0,-0.5429334,0.7647058963775635,0.013000000268220901,0.00039999998989515007
YJR029W,YPR158C-D,1,-0.54365844,0.7777777910232544,0.014000000432133675,0.00039999998989515007
YPR137C-B,YGR109W-B,1,-0.54425806,0.7894737124443054,0.014999999664723873,0.00039999998989515007
YOR142W-A,YGR109W-B,1,-0.5456373,0.800000011920929,0.01600000075995922,0.00039999998989515007
YBL005W-B,YGR109W-B,1,-0.5456973,0.8095238208770752,0.017000000923871994,0.00039999998989515007
YGR161W-A,YPR158C-D,1,-0.54923517,0.8181818127632141,0.017999999225139618,0.00039999998989515007
YJR027W,YDR316W-B,1,-0.55055445,0.8260869383811951,0.01899999938905239,0.00039999998989515007
YJR026W,YPR137C-A,1,-0.5506144,0.8333333134651184,0.019999999552965164,0.00039999998989515007
YJR027W,YLL002W,1,-0.5512256,0.8399999737739563,0.020999999716877937,0.00039999998989515007
YGR109W-B,YPR158C-D,1,-0.5523534,0.8461538553237915,0.02199999988079071,0.00039999998989515007
YJR027W,YOR343W-B,1,-0.5531929,0.8518518805503845,0.023000000044703484,0.00039999998989515007
YGR161W-B,YGR109W-B,1,-0.5538525,0.8571428656578064,0.024000000208616257,0.00039999998989515007
YPR137C-B,YJR029W,1,-0.5560712,0.8620689511299133,0.02500000037252903,0.00039999998989515007
YGR109W-B,YDR210C-D,1,-0.556431,0.8666666746139526,0.026000000536441803,0.00039999998989515007
YJL114W,YDR170W-A,1,-0.55685365,0.8709677457809448,0.027000000700354576,0.00039999998989515007
YOR343W-B,YJR029W,1,-0.5580501,0.875,0.02800000086426735,0.00039999998989515007
YMR177W,YOL053C-A,0,-0.5582954,0.8484848737716675,0.02800000086426735,0.0005000000237487257
YLL002W,YJR029W,1,-0.558441,0.8529411554336548,0.028999999165534973,0.0005000000237487257
YGR161W-B,YJL114W,1,-0.55870974,0.8571428656578064,0.029999999329447746,0.0005000000237487257
