Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YNL007C,YNL247W,0,-3.837167,0.0,0.0,0.00026455026818439364
YGR179C,YOR063W,0,-3.8491733,0.0,0.0,0.0005291005363687873
YOR313C,YDL211C,0,-3.8656416,0.0,0.0,0.0007936508045531809
YLL067C,YIL101C,0,-3.917156,0.0,0.0,0.0010582010727375746
YML100W,YOR388C,0,-3.9444005,0.0,0.0,0.0013227512827143073
YCR016W,YOR332W,0,-3.9839036,0.0,0.0,0.0015873016091063619
YMR045C,YER150W,0,-3.9937298,0.0,0.0,0.0018518518190830946
YPL036W,YDR046C,0,-3.9948695,0.0,0.0,0.002116402145475149
YPL131W,YMR130W,0,-4.0203185,0.0,0.0,0.0023809524718672037
YDR159W,YER150W,0,-4.049863,0.0,0.0,0.0026455025654286146
YOR162C,YML133C,0,-4.0514812,0.0,0.0,0.002910052891820669
YHR138C,YJR051W,0,-4.084752,0.0,0.0,0.0031746032182127237
YDL170W,YOR230W,0,-4.085945,0.0,0.0,0.0034391535446047783
YER095W,YNR071C,0,-4.0878916,0.0,0.0,0.003703703638166189
YNL115C,YIL084C,0,-4.09557,0.0,0.0,0.003968254197388887
YMR250W,YNR057C,0,-4.0979786,0.0,0.0,0.004232804290950298
YMR303C,YGL018C,0,-4.100652,0.0,0.0,0.004497354384511709
YDL130W,YDR115W,0,-4.1051245,0.0,0.0,0.004761904943734407
YDR479C,YHR160C,1,-4.106592,0.05263157933950424,0.0026455025654286146,0.004761904943734407
YLR333C,YJR042W,0,-4.106838,0.05000000074505806,0.0026455025654286146,0.005026455037295818
YHL034C,YGR251W,0,-4.12981,0.0476190485060215,0.0026455025654286146,0.005291005130857229
YER173W,YGR088W,0,-4.150493,0.04545454680919647,0.0026455025654286146,0.0055555556900799274
YNR021W,YFR032C-A,0,-4.155156,0.043478261679410934,0.0026455025654286146,0.005820105783641338
YNL164C,YLR058C,0,-4.157819,0.0416666679084301,0.0026455025654286146,0.006084655877202749
YFL002W-A,YPL033C,0,-4.1704087,0.03999999910593033,0.0026455025654286146,0.0063492064364254475
YJL079C,YPR192W,0,-4.1811705,0.03846153989434242,0.0026455025654286146,0.006613756529986858
YJL212C,YLL062C,0,-4.18386,0.03703703731298447,0.0026455025654286146,0.006878307089209557
YPR160W,YOR316C,0,-4.185614,0.0357142873108387,0.0026455025654286146,0.0071428571827709675
YNR045W,YGR026W,0,-4.1889057,0.03448275849223137,0.0026455025654286146,0.007407407276332378
YDR170W-A,YJR130C,0,-4.197431,0.03333333507180214,0.0026455025654286146,0.007671957835555077
YDR479C,YOR084W,1,-4.2019043,0.06451612710952759,0.005291005130857229,0.007671957835555077
YLR414C,YFL041W,0,-4.212213,0.0625,0.005291005130857229,0.007936508394777775
YMR118C,YIL125W,0,-4.21391,0.06060606241226196,0.005291005130857229,0.008201058022677898
YAR027W,YGL249W,0,-4.214909,0.05882352963089943,0.005291005130857229,0.008465608581900597
YHR010W,YGL231C,0,-4.2182784,0.05714285746216774,0.005291005130857229,0.008730159141123295
YNL025C,YML030W,0,-4.2183,0.0555555559694767,0.005291005130857229,0.008994708769023418
YMR114C,YLR024C,0,-4.219287,0.054054055362939835,0.005291005130857229,0.009259259328246117
YMR075W,YLR413W,0,-4.224733,0.05263157933950424,0.005291005130857229,0.009523809887468815
YOR338W,YGL259W,0,-4.2273984,0.05128205195069313,0.005291005130857229,0.009788359515368938
YNR032C-A,YMR099C,0,-4.236959,0.05000000074505806,0.005291005130857229,0.010052910074591637
YJR150C,YDL112W,0,-4.23875,0.04878048598766327,0.005291005130857229,0.010317460633814335
YGR008C,YGR017W,0,-4.244314,0.0476190485060215,0.005291005130857229,0.010582010261714458
YMR078C,YJL080C,0,-4.2457967,0.04651162773370743,0.005291005130857229,0.010846560820937157
YDR483W,YNL194C,0,-4.247166,0.04545454680919647,0.005291005130857229,0.011111111380159855
YDL129W,YEL064C,0,-4.2486243,0.04444444552063942,0.005291005130857229,0.011375661008059978
YJL106W,YHL050C,0,-4.257851,0.043478261679410934,0.005291005130857229,0.011640211567282677
YDR026C,YKL181W,0,-4.262472,0.042553190141916275,0.005291005130857229,0.011904762126505375
YER014W,YBL113C,0,-4.2651563,0.0416666679084301,0.005291005130857229,0.012169311754405499
YOR347C,YGR026W,0,-4.265699,0.040816325694322586,0.005291005130857229,0.012433862313628197
YPL027W,YPL223C,0,-4.2708335,0.03999999910593033,0.005291005130857229,0.012698412872850895
YML096W,YJL071W,0,-4.27376,0.03921568766236305,0.005291005130857229,0.012962962500751019
YER098W,YML133C,0,-4.2741857,0.03846153989434242,0.005291005130857229,0.013227513059973717
YPR034W,YLR413W,0,-4.278019,0.03773584961891174,0.005291005130857229,0.013492063619196415
YLR068W,YNL247W,0,-4.2875066,0.03703703731298447,0.005291005130857229,0.013756614178419113
YOL084W,YDR342C,0,-4.2876506,0.036363635212183,0.005291005130857229,0.014021163806319237
YNR074C,YHR140W,0,-4.2911935,0.0357142873108387,0.005291005130857229,0.014285714365541935
YKR071C,YBR090C-A,0,-4.29134,0.035087719559669495,0.005291005130857229,0.014550264924764633
YOL077C,YDR115W,0,-4.294353,0.03448275849223137,0.005291005130857229,0.014814814552664757
YCR011C,YOR292C,0,-4.294407,0.033898305147886276,0.005291005130857229,0.015079365111887455
YLL067C,YMR115W,0,-4.296204,0.03333333507180214,0.005291005130857229,0.015343915671110153
YOR247W,YMR130W,0,-4.296593,0.032786883413791656,0.005291005130857229,0.015608465299010277
YCR014C,YHR092C,0,-4.302828,0.032258063554763794,0.005291005130857229,0.01587301678955555
YOL165C,YML056C,0,-4.305865,0.0317460335791111,0.005291005130857229,0.016137566417455673
YNL095C,YKL100C,0,-4.3080993,0.03125,0.005291005130857229,0.016402116045355797
YJL171C,YLR390W,0,-4.3103514,0.03076923079788685,0.005291005130857229,0.01666666753590107
YOR113W,YNR001C,0,-4.3107076,0.03030303120613098,0.005291005130857229,0.016931217163801193
YJL110C,YGL148W,0,-4.3117166,0.02985074557363987,0.005291005130857229,0.017195766791701317
YLL014W,YLR329W,0,-4.3148446,0.029411764815449715,0.005291005130857229,0.01746031828224659
YML045W,YCR096C,0,-4.31925,0.028985507786273956,0.005291005130857229,0.017724867910146713
YOL066C,YGL010W,0,-4.3198795,0.02857142873108387,0.005291005130857229,0.017989417538046837
YDL129W,YBR020W,0,-4.321361,0.028169013559818268,0.005291005130857229,0.01825396902859211
YJR066W,YLR345W,0,-4.3310847,0.02777777798473835,0.005291005130857229,0.018518518656492233
YBL093C,YCR040W,0,-4.3314304,0.027397260069847107,0.005291005130857229,0.018783068284392357
YDL198C,YFL002W-A,0,-4.3350873,0.027027027681469917,0.005291005130857229,0.01904761977493763
YBR181C,YER008C,0,-4.3375635,0.02666666731238365,0.005291005130857229,0.019312169402837753
YMR204C,YDR479C,1,-4.339319,0.03947368264198303,0.007936508394777775,0.019312169402837753
YML054C,YOR158W,0,-4.3436894,0.03896103799343109,0.007936508394777775,0.019576719030737877
YLL067C,YNL160W,0,-4.3451385,0.03846153989434242,0.007936508394777775,0.01984127052128315
YLR001C,YLR228C,0,-4.3462787,0.037974681705236435,0.007936508394777775,0.020105820149183273
YLR356W,YBR038W,0,-4.347346,0.03750000149011612,0.007936508394777775,0.020370369777083397
YLL026W,YPR152C,0,-4.347347,0.03703703731298447,0.007936508394777775,0.02063492126762867
YLR068W,YDR213W,0,-4.3489428,0.03658536449074745,0.007936508394777775,0.020899470895528793
YDL211C,YPL017C,0,-4.3545566,0.03614457696676254,0.007936508394777775,0.021164020523428917
YER106W,YGR012W,0,-4.3565392,0.0357142873108387,0.007936508394777775,0.02142857201397419
YBL034C,YDL114W,0,-4.357326,0.03529411926865578,0.007936508394777775,0.021693121641874313
YJR026W,YNL123W,0,-4.3626695,0.03488372266292572,0.007936508394777775,0.021957671269774437
YJL102W,YOR388C,0,-4.365315,0.03448275849223137,0.007936508394777775,0.02222222276031971
YMR321C,YDR256C,0,-4.3667865,0.034090910106897354,0.007936508394777775,0.022486772388219833
YLR134W,YML097C,0,-4.3675427,0.033707864582538605,0.007936508394777775,0.022751322016119957
YDR372C,YER071C,0,-4.3676467,0.03333333507180214,0.007936508394777775,0.02301587350666523
YBR046C,YML091C,0,-4.3707466,0.032967034727334976,0.007936508394777775,0.023280423134565353
YJR029W,YCR039C,0,-4.375255,0.032608695328235626,0.007936508394777775,0.023544972762465477
YOL154W,YIL128W,0,-4.376748,0.032258063554763794,0.007936508394777775,0.02380952425301075
YEL039C,YBL091C-A,0,-4.3774405,0.03191489353775978,0.007936508394777775,0.024074073880910873
YGR229C,YLR460C,0,-4.377518,0.031578946858644485,0.007936508394777775,0.024338623508810997
YBR075W,YDR075W,0,-4.3787885,0.03125,0.007936508394777775,0.02460317499935627
YPR174C,YNR053C,0,-4.378904,0.030927835032343864,0.007936508394777775,0.024867724627256393
YDR248C,YDL083C,0,-4.3822913,0.030612245202064514,0.007936508394777775,0.025132274255156517
YMR130W,YDR372C,0,-4.3823013,0.03030303120613098,0.007936508394777775,0.02539682574570179
YML101C,YFL054C,0,-4.3824763,0.029999999329447746,0.007936508394777775,0.025661375373601913
YPL131W,YOL072W,0,-4.382694,0.029702970758080482,0.007936508394777775,0.025925925001502037
YNL095C,YPL221W,0,-4.383704,0.029411764815449715,0.007936508394777775,0.02619047649204731
YKL001C,YPL123C,0,-4.3843956,0.029126213863492012,0.007936508394777775,0.026455026119947433
YPR204W,YLL024C,0,-4.3859534,0.028846153989434242,0.007936508394777775,0.026719577610492706
YPR191W,YML030W,0,-4.38808,0.02857142873108387,0.007936508394777775,0.02698412723839283
YMR032W,YNL339C,0,-4.3887277,0.028301887214183807,0.007936508394777775,0.027248676866292953
YOR092W,YOL086W-A,0,-4.391698,0.028037382289767265,0.007936508394777775,0.027513228356838226
YJR133W,YER108C,0,-4.392197,0.02777777798473835,0.007936508394777775,0.02777777798473835
YMR045C,YGL051W,0,-4.3932214,0.027522936463356018,0.007936508394777775,0.028042327612638474
YJL026W,YGL157W,0,-4.394378,0.027272727340459824,0.007936508394777775,0.028306879103183746
YBL005W-B,YLR460C,0,-4.394489,0.027027027681469917,0.007936508394777775,0.02857142873108387
YLL029W,YHR014W,0,-4.3951063,0.02678571455180645,0.007936508394777775,0.028835978358983994
YBR175W,YOR228C,0,-4.3954363,0.02654867246747017,0.007936508394777775,0.029100529849529266
YHR116W,YLR348C,0,-4.396389,0.02631578966975212,0.007936508394777775,0.02936507947742939
YHL035C,YMR322C,0,-4.3969107,0.0260869562625885,0.007936508394777775,0.029629629105329514
YFL035C-A,YJR063W,0,-4.401781,0.0258620698004961,0.007936508394777775,0.029894180595874786
YPR138C,YDR533C,0,-4.4050875,0.025641025975346565,0.007936508394777775,0.03015873022377491
YOL152W,YKL097W-A,0,-4.405337,0.025423727929592133,0.007936508394777775,0.030423279851675034
YBR054W,YDR222W,0,-4.4056582,0.02521008439362049,0.007936508394777775,0.030687831342220306
YDL082W,YPL141C,0,-4.4095187,0.02500000037252903,0.007936508394777775,0.03095238097012043
YKR020W,YGL229C,0,-4.4095516,0.024793388321995735,0.007936508394777775,0.031216930598020554
