Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YDR449C,YLR441C,0,-4.2952695,0.0,0.0,0.0009523809421807528
YCR021C,YBL013W,0,-4.3119698,0.0,0.0,0.0019047618843615055
YDL227C,YMR032W,0,-4.5662775,0.0,0.0,0.0028571428265422583
YKL154W,YJL148W,0,-4.928618,0.0,0.0,0.003809523768723011
YMR059W,YCR031C,0,-4.937741,0.0,0.0,0.004761904943734407
YOR226C,YOR182C,0,-4.9770384,0.0,0.0,0.0057142856530845165
YNL248C,YLR045C,0,-4.9851213,0.0,0.0,0.006666666828095913
YNL096C,YIL159W,0,-5.0709877,0.0,0.0,0.007619047537446022
YLR040C,YHR146W,0,-5.122775,0.0,0.0,0.008571428246796131
YOR298W,YDL083C,0,-5.2216005,0.0,0.0,0.009523809887468815
YJL097W,YIL096C,0,-5.2261953,0.0,0.0,0.010476190596818924
YBL087C,YPL163C,0,-5.2331624,0.0,0.0,0.011428571306169033
YAL008W,YKL178C,0,-5.239028,0.0,0.0,0.012380952015519142
YKL021C,YLL062C,0,-5.2699847,0.0,0.0,0.013333333656191826
YGR052W,YJR127C,0,-5.2933445,0.0,0.0,0.014285714365541935
YOR098C,YCR072C,0,-5.331228,0.0,0.0,0.015238095074892044
YCL051W,YCL068C,0,-5.422121,0.0,0.0,0.016190476715564728
YBR281C,YDR465C,0,-5.4479723,0.0,0.0,0.017142856493592262
YPR102C,YLR411W,0,-5.461929,0.0,0.0,0.018095238134264946
YMR246W,YNR044W,0,-5.4877453,0.0,0.0,0.01904761977493763
YOR147W,YER110C,0,-5.5306644,0.0,0.0,0.019999999552965164
YLR413W,YGL092W,0,-5.5307217,0.0,0.0,0.020952381193637848
YMR015C,YGL026C,0,-5.5383396,0.0,0.0,0.02190476283431053
YOR338W,YHR090C,0,-5.5491247,0.0,0.0,0.022857142612338066
YOL132W,YLR160C,0,-5.5611444,0.0,0.0,0.02380952425301075
YER099C,YMR246W,0,-5.5881453,0.0,0.0,0.024761904031038284
YNL111C,YMR076C,0,-5.5990334,0.0,0.0,0.025714285671710968
YDL114W,YJL153C,0,-5.6036487,0.0,0.0,0.02666666731238365
YGL246C,YBR121C,1,-5.620749,0.03448275849223137,0.009523809887468815,0.02666666731238365
YLR048W,YGR035C,0,-5.63925,0.03333333507180214,0.009523809887468815,0.027619047090411186
YFL066C,YIL056W,0,-5.645058,0.032258063554763794,0.009523809887468815,0.02857142873108387
YJR027W,YLR265C,0,-5.6456676,0.03125,0.009523809887468815,0.029523810371756554
YNL095C,YLR142W,0,-5.6459284,0.03030303120613098,0.009523809887468815,0.030476190149784088
YPL144W,YBR181C,0,-5.662478,0.029411764815449715,0.009523809887468815,0.03142857179045677
YCL026C-B,YKR050W,0,-5.676462,0.02857142873108387,0.009523809887468815,0.032380953431129456
YGL014W,YIL009W,0,-5.6852875,0.02777777798473835,0.009523809887468815,0.03333333507180214
YGL010W,YKL060C,0,-5.7036667,0.027027027681469917,0.009523809887468815,0.034285712987184525
YDR492W,YER044C-A,0,-5.7222877,0.02631578966975212,0.009523809887468815,0.03523809462785721
YDR517W,YIL172C,0,-5.725878,0.025641025975346565,0.009523809887468815,0.03619047626852989
