Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YER091C,YPR120C,0,-0.10247257,0.0,0.0,9.999999747378752e-05
YGL184C,YDR107C,0,-0.10247257,0.0,0.0,0.00019999999494757503
YNL210W,YCL064C,0,-0.10247257,0.0,0.0,0.0003000000142492354
YBL106C,YER091C,0,-0.10247257,0.0,0.0,0.00039999998989515007
YMR303C,YLR117C,0,-0.10247261,0.0,0.0,0.0005000000237487257
YGL184C,YMR024W,0,-0.10247266,0.0,0.0,0.0006000000284984708
YIL155C,YPL096C-A,0,-0.10247267,0.0,0.0,0.000699999975040555
YLR343W,YHR037W,0,-0.10247296,0.0,0.0,0.0007999999797903001
YGL077C,YOR348C,0,-0.10247304,0.0,0.0,0.0008999999845400453
YFL061W,YMR189W,0,-0.102473155,0.0,0.0,0.0010000000474974513
YDL247W,YHR052W,0,-0.10247343,0.0,0.0,0.0010999999940395355
YLR178C,YGL189C,0,-0.102473564,0.0,0.0,0.0012000000569969416
YLR178C,YMR277W,0,-0.102473736,0.0,0.0,0.0013000000035390258
YGL096W,YLR249W,0,-0.10247379,0.0,0.0,0.00139999995008111
YOL052C-A,YAL012W,0,-0.10247385,0.0,0.0,0.001500000013038516
YLR258W,YNL209W,0,-0.10247429,0.0,0.0,0.0015999999595806003
YDR358W,YCR031C,0,-0.1024743,0.0,0.0,0.0017000000225380063
YMR189W,YMR055C,0,-0.10247439,0.0,0.0,0.0017999999690800905
YPR184W,YLR167W,0,-0.102474496,0.0,0.0,0.0019000000320374966
YBR084W,YOL052C-A,0,-0.10247518,0.0,0.0,0.0020000000949949026
YML100W,YEL026W,0,-0.102475226,0.0,0.0,0.002099999925121665
YLR178C,YBL039C,0,-0.102475345,0.0,0.0,0.002199999988079071
YMR121C,YOL058W,0,-0.10247806,0.0,0.0,0.002300000051036477
YGL184C,YCR047C,0,-0.102478586,0.0,0.0,0.002400000113993883
YJR073C,YOR369C,0,-0.102563605,0.0,0.0,0.0024999999441206455
YMR175W,YJR123W,0,-0.10270102,0.0,0.0,0.0026000000070780516
YOR033C,YMR105C,0,-0.10305224,0.0,0.0,0.0027000000700354576
YNL113W,YLR258W,0,-0.103413515,0.0,0.0,0.00279999990016222
YPL018W,YKL081W,0,-0.10346178,0.0,0.0,0.002899999963119626
YIL155C,YNL096C,0,-0.10354526,0.0,0.0,0.003000000026077032
YDL222C,YGL255W,0,-0.10483177,0.0,0.0,0.003100000089034438
YIL069C,YKL091C,0,-0.10487641,0.0,0.0,0.0031999999191612005
YLR327C,YOR359W,0,-0.105807625,0.0,0.0,0.0032999999821186066
YCR031C,YIL113W,0,-0.10590171,0.0,0.0,0.0034000000450760126
YHR104W,YML024W,0,-0.10650356,0.0,0.0,0.0035000001080334187
YHL004W,YDR273W,0,-0.10787512,0.0,0.0,0.003599999938160181
YOR391C,YJL080C,0,-0.10897622,0.0,0.0,0.003700000001117587
YBL078C,YDL081C,0,-0.10898327,0.0,0.0,0.003800000064074993
YHR104W,YHR170W,0,-0.11065825,0.0,0.0,0.0038999998942017555
YJL148W,YDL110C,0,-0.11122931,0.0,0.0,0.004000000189989805
YOR096W,YNL142W,0,-0.11526511,0.0,0.0,0.004100000020116568
YLR178C,YMR305C,0,-0.120342806,0.0,0.0,0.00419999985024333
YPL143W,YIL107C,0,-0.12292009,0.0,0.0,0.00430000014603138
YDR385W,YLR258W,0,-0.12803657,0.0,0.0,0.004399999976158142
YOR095C,YJL116C,0,-0.12836021,0.0,0.0,0.0044999998062849045
YMR309C,YLR327C,0,-0.13137023,0.0,0.0,0.004600000102072954
YCL040W,YOL127W,0,-0.14362313,0.0,0.0,0.004699999932199717
YOR348C,YPL085W,0,-0.14399038,0.0,0.0,0.004800000227987766
YHR216W,YPL024W,0,-0.1451999,0.0,0.0,0.004900000058114529
YMR189W,YDR536W,0,-0.15725718,0.0,0.0,0.004999999888241291
YPR046W,YER131W,0,-0.15813921,0.0,0.0,0.005100000184029341
YKL096W,YFR055W,0,-0.1660982,0.0,0.0,0.005200000014156103
YER062C,YML107C,0,-0.16832012,0.0,0.0,0.0052999998442828655
YER054C,YEL026W,0,-0.1716818,0.0,0.0,0.005400000140070915
YJL102W,YNL096C,0,-0.179948,0.0,0.0,0.005499999970197678
YIL063C,YLR343W,0,-0.18366617,0.0,0.0,0.00559999980032444
YBL075C,YLR378C,0,-0.18712543,0.0,0.0,0.00570000009611249
YER060W-A,YNL067W,0,-0.19133824,0.0,0.0,0.005799999926239252
YPR140W,YEL039C,0,-0.19389105,0.0,0.0,0.005900000222027302
YPR151C,YHR072W-A,0,-0.1957124,0.0,0.0,0.006000000052154064
YFR053C,YDR197W,0,-0.21396874,0.0,0.0,0.006099999882280827
YKL017C,YLR343W,0,-0.2154383,0.0,0.0,0.006200000178068876
YDR204W,YBR092C,0,-0.2170789,0.0,0.0,0.006300000008195639
YLR136C,YDR399W,0,-0.22902429,0.0,0.0,0.006399999838322401
YDL130W-A,YBR158W,0,-0.22903502,0.0,0.0,0.006500000134110451
YML065W,YLR058C,0,-0.22943582,0.0,0.0,0.006599999964237213
YLR075W,YDR058C,0,-0.2319555,0.0,0.0,0.0066999997943639755
YBL023C,YFR015C,0,-0.23579346,0.0,0.0,0.006800000090152025
YDR533C,YJL157C,0,-0.24154171,0.0,0.0,0.006899999920278788
YGL055W,YOR308C,0,-0.2449587,0.0,0.0,0.007000000216066837
YHR052W,YIL113W,0,-0.2607205,0.0,0.0,0.0071000000461936
YHR089C,YKL035W,0,-0.26667866,0.0,0.0,0.007199999876320362
YDR380W,YDR432W,0,-0.267668,0.0,0.0,0.007300000172108412
YJL098W,YDR019C,0,-0.27573568,0.0,0.0,0.007400000002235174
YIL168W,YDR033W,0,-0.27733934,0.0,0.0,0.007499999832361937
YGR142W,YML113W,0,-0.27909267,0.0,0.0,0.007600000128149986
YPL186C,YOR234C,0,-0.2816794,0.0,0.0,0.007699999958276749
